Jordan-Wigner mapping of BeH2 Hamiltonian in sto3g basis.
IIIIIIIIIIIIII (-12.109913082430284+0j)
IIIIIIIYZZZYXX (-0.002144606570902468+0j)
IIIIIIIXZZZXXX (-0.00651020864099568+0j)
IIIIIIIIIIZIYY (0.0058790424234687975+0j)
IIIIIIIIIIZIXX (0.0058790424234687975+0j)
IIIIIIIIIZIIYY (0.005879042423468801+0j)
IIIIIIIIIZIIXX (0.005879042423468801+0j)
IIIIIIIIZIIIYY (0.0006988721068193675+0j)
IIIIIIIIZIIIXX (0.0006988721068193675+0j)
IIIIIIIZIIIIYY (0.004102811672108251+0j)
IIIIIIIZIIIIXX (0.004102811672108251+0j)
IIIIIIZIIIIIYY (0.050207794132134095+0j)
IIIIIIZIIIIIXX (0.050207794132134095+0j)
IIIIIYYIIIIIYY (0.006808954849645805+0j)
IIIIIXXIIIIIYY (0.006808954849645805+0j)
IIIIIYYIIIIIXX (0.006808954849645805+0j)
IIIIIXXIIIIIXX (0.006808954849645805+0j)
IYZZZZYIIIIIYY (0.0062283193815921+0j)
IXZZZZXIIIIIYY (0.0062283193815921+0j)
IYZZZZYIIIIIXX (0.0062283193815921+0j)
IXZZZZXIIIIIXX (0.0062283193815921+0j)
IIIIIZIIIIIIYY (0.0017243074155991116+0j)
IIIIIZIIIIIIXX (0.0017243074155991116+0j)
IYZZZYIIIIIIYY (-0.0016806933093403249+0j)
IXZZZXIIIIIIYY (-0.0016806933093403249+0j)
IYZZZYIIIIIIXX (-0.0016806933093403249+0j)
IXZZZXIIIIIIXX (-0.0016806933093403249+0j)
IIIIZIIIIIIIYY (0.0007215408112740118+0j)
IIIIZIIIIIIIXX (0.0007215408112740118+0j)
YZZZYIIIIIIIYY (-0.0013110626161813215+0j)
XZZZXIIIIIIIYY (-0.0013110626161813215+0j)
YZZZYIIIIIIIXX (-0.0013110626161813215+0j)
XZZZXIIIIIIIXX (-0.0013110626161813215+0j)
IIIZIIIIIIIIYY (0.0020412486074172136+0j)
IIIZIIIIIIIIXX (0.0020412486074172136+0j)
IIZIIIIIIIIIYY (0.002041248607417213+0j)
IIZIIIIIIIIIXX (0.002041248607417213+0j)
IZIIIIIIIIIIYY (0.0016331538525335475+0j)
IZIIIIIIIIIIXX (0.0016331538525335475+0j)
ZIIIIIIIIIIIYY (0.0023138699556311156+0j)
ZIIIIIIIIIIIXX (0.0023138699556311156+0j)
IIIIIIIIYZZIZY (0.00031692937658847674+0j)
IIIIIIIIXZZIZX (0.00031692937658847674+0j)
IIIIIIIYYIIYZY (0.0034687869685246283+0j)
IIIIIIIXXIIYZY (0.0036748113105703082+0j)
IIIIIIIYXIIXZY (-0.00020602434204567988+0j)
IIIIIIIXYIIYZX (-0.00020602434204567988+0j)
IIIIIIIYYIIXZX (0.0036748113105703082+0j)
IIIIIIIXXIIXZX (0.0034687869685246283+0j)
IIIIYZYIIIIYZY (0.0015444448110653575+0j)
IIIIXZXIIIIYZY (0.0015444448110653575+0j)
IIIIYZYIIIIXZX (0.0015444448110653575+0j)
IIIIXZXIIIIXZX (0.0015444448110653575+0j)
YZZZZZYIIIIYZY (0.002863486572037971+0j)
XZZZZZXIIIIYZY (0.002863486572037971+0j)
YZZZZZYIIIIXZX (0.002863486572037971+0j)
XZZZZZXIIIIXZX (0.002863486572037971+0j)
IIIIYYIIIIIYZY (0.0036591384479716686+0j)
IIIIXXIIIIIYZY (0.0036591384479716686+0j)
IIIIYYIIIIIXZX (0.0036591384479716686+0j)
IIIIXXIIIIIXZX (0.0036591384479716686+0j)
YZZZZYIIIIIYZY (0.0008335439547211461+0j)
XZZZZXIIIIIYZY (0.0008335439547211461+0j)
YZZZZYIIIIIXZX (0.0008335439547211461+0j)
XZZZZXIIIIIXZX (0.0008335439547211461+0j)
IYZZYIIIIIIYZY (-0.0007462478602607016+0j)
IXZZXIIIIIIYZY (-0.0007462478602607016+0j)
IYZZYIIIIIIXZX (-0.0007462478602607016+0j)
IXZZXIIIIIIXZX (-0.0007462478602607016+0j)
YYIIIIIIIIIYZY (0.002869889314662391+0j)
XXIIIIIIIIIYZY (0.002869889314662391+0j)
YYIIIIIIIIIXZX (0.002869889314662391+0j)
XXIIIIIIIIIXZX (0.002869889314662391+0j)
IIIIIIIIYZIZZY (0.005226423196581951+0j)
IIIIIIIIXZIZZX (0.005226423196581951+0j)
IIIYZZYIIIYZZY (0.0039419575176293555+0j)
IIIXZZXIIIYZZY (0.0039419575176293555+0j)
IIIYZZYIIIXZZX (0.0039419575176293555+0j)
IIIXZZXIIIXZZX (0.0039419575176293555+0j)
IIIYZYIIIIYZZY (0.003837793816051584+0j)
IIIXZXIIIIYZZY (0.003837793816051584+0j)
IIIYZYIIIIXZZX (0.003837793816051584+0j)
IIIXZXIIIIXZZX (0.003837793816051584+0j)
IYZYIIIIIIYZZY (0.0040839005277451+0j)
IXZXIIIIIIYZZY (0.0040839005277451+0j)
IYZYIIIIIIXZZX (0.0040839005277451+0j)
IXZXIIIIIIXZZX (0.0040839005277451+0j)
IIIIIIIIYIZZZY (0.005226423196581956+0j)
IIIIIIIIXIZZZX (0.005226423196581956+0j)
IIYZZZYIIYZZZY (0.003941957517629359+0j)
IIXZZZXIIYZZZY (0.003941957517629359+0j)
IIYZZZYIIXZZZX (0.003941957517629359+0j)
IIXZZZXIIXZZZX (0.003941957517629359+0j)
IIYZZYIIIYZZZY (0.0038377938160515873+0j)
IIXZZXIIIYZZZY (0.0038377938160515873+0j)
IIYZZYIIIXZZZX (0.0038377938160515873+0j)
IIXZZXIIIXZZZX (0.0038377938160515873+0j)
IYYIIIIIIYZZZY (0.004083900527745103+0j)
IXXIIIIIIYZZZY (0.004083900527745103+0j)
IYYIIIIIIXZZZX (0.004083900527745103+0j)
IXXIIIIIIXZZZX (0.004083900527745103+0j)
IIIIIIIZYZZZZY (0.006332744308435366+0j)
IIIIIIIZXZZZZX (0.006332744308435366+0j)
IIIIIIZIYZZZZY (0.044671673136156595+0j)
IIIIIIZIXZZZZX (0.044671673136156595+0j)
IIIIIYYIYZZZZY (0.0062283193815921+0j)
IIIIIXXIYZZZZY (0.0062283193815921+0j)
IIIIIYYIXZZZZX (0.0062283193815921+0j)
IIIIIXXIXZZZZX (0.0062283193815921+0j)
IYZZZZYIYZZZZY (0.005763291086475866+0j)
IXZZZZXIYZZZZY (0.005763291086475866+0j)
IYZZZZYIXZZZZX (0.005763291086475866+0j)
IXZZZZXIXZZZZX (0.005763291086475866+0j)
IIIIIZIIYZZZZY (0.0017194454534694749+0j)
IIIIIZIIXZZZZX (0.0017194454534694749+0j)
IYZZZYIIYZZZZY (-0.0009342817457141799+0j)
IXZZZXIIYZZZZY (-0.0009342817457141799+0j)
IYZZZYIIXZZZZX (-0.0009342817457141799+0j)
IXZZZXIIXZZZZX (-0.0009342817457141799+0j)
IIIIZIIIYZZZZY (0.0010631772368491783+0j)
IIIIZIIIXZZZZX (0.0010631772368491783+0j)
YZZZYIIIYZZZZY (-0.0008049219959079178+0j)
XZZZXIIIYZZZZY (-0.0008049219959079178+0j)
YZZZYIIIXZZZZX (-0.0008049219959079178+0j)
XZZZXIIIXZZZZX (-0.0008049219959079178+0j)
IIIZIIIIYZZZZY (0.001142522668836852+0j)
IIIZIIIIXZZZZX (0.001142522668836852+0j)
IIZIIIIIYZZZZY (0.0011425226688368529+0j)
IIZIIIIIXZZZZX (0.0011425226688368529+0j)
IZIIIIIIYZZZZY (0.0014816329409562338+0j)
IZIIIIIIXZZZZX (0.0014816329409562338+0j)
ZIIIIIIIYZZZZY (0.002233663996386527+0j)
ZIIIIIIIXZZZZX (0.002233663996386527+0j)
IIIIYZYYZZZZZY (0.002863486572037971+0j)
IIIIXZXYZZZZZY (0.002863486572037971+0j)
IIIIYZYXZZZZZX (0.002863486572037971+0j)
IIIIXZXXZZZZZX (0.002863486572037971+0j)
YZZZZZYYZZZZZY (0.005430157266798539+0j)
XZZZZZXYZZZZZY (0.005430157266798539+0j)
YZZZZZYXZZZZZX (0.005430157266798539+0j)
XZZZZZXXZZZZZX (0.005430157266798539+0j)
IIIIYYIYZZZZZY (0.005199146024814357+0j)
IIIIXXIYZZZZZY (0.005199146024814357+0j)
IIIIYYIXZZZZZX (0.005199146024814357+0j)
IIIIXXIXZZZZZX (0.005199146024814357+0j)
YZZZZYIYZZZZZY (0.001788941716477135+0j)
XZZZZXIYZZZZZY (0.001788941716477135+0j)
YZZZZYIXZZZZZX (0.001788941716477135+0j)
XZZZZXIXZZZZZX (0.001788941716477135+0j)
IYZZYIIYZZZZZY (-0.0005988976538622378+0j)
IXZZXIIYZZZZZY (-0.0005988976538622378+0j)
IYZZYIIXZZZZZX (-0.0005988976538622378+0j)
IXZZXIIXZZZZZX (-0.0005988976538622378+0j)
YYIIIIIYZZZZZY (0.00409908031204884+0j)
XXIIIIIYZZZZZY (0.00409908031204884+0j)
YYIIIIIXZZZZZX (0.00409908031204884+0j)
XXIIIIIXZZZZZX (0.00409908031204884+0j)
IIIIIIIIIIIZZI (0.06250250544781386+0j)
IIIIIIIYZZZYZI (-0.009534485483616168+0j)
IIIIIIIXZZZXZI (-0.009534485483616168+0j)
IIIIIIIIIIZIZI (0.08036167234862382+0j)
IIIIIIIIIZIIZI (0.0803616723486239+0j)
IIIIIIIIZIIIZI (0.0805735138630127+0j)
IIIIIIIZIIIIZI (0.09377551455824538+0j)
IIIIIIZIIIIIZI (0.12303175502961902+0j)
IIIIIYYIIIIIZI (0.0017243074155991116+0j)
IIIIIXXIIIIIZI (0.0017243074155991116+0j)
IYZZZZYIIIIIZI (0.0017194454534694749+0j)
IXZZZZXIIIIIZI (0.0017194454534694749+0j)
IIIIIZIIIIIIZI (0.10038640165320227+0j)
IYZZZYIIIIIIZI (0.006508726477198147+0j)
IXZZZXIIIIIIZI (0.006508726477198147+0j)
IIIIZIIIIIIIZI (0.10374044534077097+0j)
YZZZYIIIIIIIZI (0.0017199469974447713+0j)
XZZZXIIIIIIIZI (0.0017199469974447713+0j)
IIIZIIIIIIIIZI (0.09279999627169257+0j)
IIZIIIIIIIIIZI (0.09279999627169265+0j)
IZIIIIIIIIIIZI (0.0998566221517386+0j)
ZIIIIIIIIIIIZI (0.10791347828879969+0j)
IIIIIIIIYZZIYI (-0.011607207569915054+0j)
IIIIIIIIXZZIXI (-0.011607207569915054+0j)
IIIIIIIYYIIYYI (0.02049489390495392+0j)
IIIIIIIXXIIYYI (0.01768289792966363+0j)
IIIIIIIYXIIXYI (0.0028119959752902915+0j)
IIIIIIIXYIIYXI (0.0028119959752902915+0j)
IIIIIIIYYIIXXI (0.01768289792966363+0j)
IIIIIIIXXIIXXI (0.02049489390495392+0j)
IIIIYZYIIIIYYI (0.0036591384479716686+0j)
IIIIXZXIIIIYYI (0.0036591384479716686+0j)
IIIIYZYIIIIXXI (0.0036591384479716686+0j)
IIIIXZXIIIIXXI (0.0036591384479716686+0j)
YZZZZZYIIIIYYI (0.005199146024814357+0j)
XZZZZZXIIIIYYI (0.005199146024814357+0j)
YZZZZZYIIIIXXI (0.005199146024814357+0j)
XZZZZZXIIIIXXI (0.005199146024814357+0j)
IIIIYYIIIIIYYI (0.04123793989295712+0j)
IIIIXXIIIIIYYI (0.04123793989295712+0j)
IIIIYYIIIIIXXI (0.04123793989295712+0j)
IIIIXXIIIIIXXI (0.04123793989295712+0j)
YZZZZYIIIIIYYI (-0.011254432481060938+0j)
XZZZZXIIIIIYYI (-0.011254432481060938+0j)
YZZZZYIIIIIXXI (-0.011254432481060938+0j)
XZZZZXIIIIIXXI (-0.011254432481060938+0j)
IYZZYIIIIIIYYI (-0.023805173323467002+0j)
IXZZXIIIIIIYYI (-0.023805173323467002+0j)
IYZZYIIIIIIXXI (-0.023805173323467002+0j)
IXZZXIIIIIIXXI (-0.023805173323467002+0j)
YYIIIIIIIIIYYI (0.03578157683499356+0j)
XXIIIIIIIIIYYI (0.03578157683499356+0j)
YYIIIIIIIIIXXI (0.03578157683499356+0j)
XXIIIIIIIIIXXI (0.03578157683499356+0j)
IIIIIIIIYZIZYI (-0.0006975134065945205+0j)
IIIIIIIIXZIZXI (-0.0006975134065945205+0j)
IIIYZZYIIIYZYI (0.003837793816051584+0j)
IIIXZZXIIIYZYI (0.003837793816051584+0j)
IIIYZZYIIIXZXI (0.003837793816051584+0j)
IIIXZZXIIIXZXI (0.003837793816051584+0j)
IIIYZYIIIIYZYI (0.012438323923068744+0j)
IIIXZXIIIIYZYI (0.012438323923068744+0j)
IIIYZYIIIIXZXI (0.012438323923068744+0j)
IIIXZXIIIIXZXI (0.012438323923068744+0j)
IYZYIIIIIIYZYI (0.011875719590358711+0j)
IXZXIIIIIIYZYI (0.011875719590358711+0j)
IYZYIIIIIIXZXI (0.011875719590358711+0j)
IXZXIIIIIIXZXI (0.011875719590358711+0j)
IIIIIIIIYIZZYI (-0.0006975134065945205+0j)
IIIIIIIIXIZZXI (-0.0006975134065945205+0j)
IIYZZZYIIYZZYI (0.0038377938160515873+0j)
IIXZZZXIIYZZYI (0.0038377938160515873+0j)
IIYZZZYIIXZZXI (0.0038377938160515873+0j)
IIXZZZXIIXZZXI (0.0038377938160515873+0j)
IIYZZYIIIYZZYI (0.01243832392306875+0j)
IIXZZXIIIYZZYI (0.01243832392306875+0j)
IIYZZYIIIXZZXI (0.01243832392306875+0j)
IIXZZXIIIXZZXI (0.01243832392306875+0j)
IYYIIIIIIYZZYI (0.011875719590358724+0j)
IXXIIIIIIYZZYI (0.011875719590358724+0j)
IYYIIIIIIXZZXI (0.011875719590358724+0j)
IXXIIIIIIXZZXI (0.011875719590358724+0j)
IIIIIIIZYZZZYI (-0.0044220113725580955+0j)
IIIIIIIZXZZZXI (-0.0044220113725580955+0j)
IIIIIIZIYZZZYI (-0.026933903862159703+0j)
IIIIIIZIXZZZXI (-0.026933903862159703+0j)
IIIIIYYIYZZZYI (-0.0016806933093403249+0j)
IIIIIXXIYZZZYI (-0.0016806933093403249+0j)
IIIIIYYIXZZZXI (-0.0016806933093403249+0j)
IIIIIXXIXZZZXI (-0.0016806933093403249+0j)
IYZZZZYIYZZZYI (-0.0009342817457141799+0j)
IXZZZZXIYZZZYI (-0.0009342817457141799+0j)
IYZZZZYIXZZZXI (-0.0009342817457141799+0j)
IXZZZZXIXZZZXI (-0.0009342817457141799+0j)
IIIIIZIIYZZZYI (0.006508726477198147+0j)
IIIIIZIIXZZZXI (0.006508726477198147+0j)
IYZZZYIIYZZZYI (0.019283108288725894+0j)
IXZZZXIIYZZZYI (0.019283108288725894+0j)
IYZZZYIIXZZZXI (0.019283108288725894+0j)
IXZZZXIIXZZZXI (0.019283108288725894+0j)
IIIIZIIIYZZZYI (0.012197965753551948+0j)
IIIIZIIIXZZZXI (0.012197965753551948+0j)
YZZZYIIIYZZZYI (0.018098678905329926+0j)
XZZZXIIIYZZZYI (0.018098678905329926+0j)
YZZZYIIIXZZZXI (0.018098678905329926+0j)
XZZZXIIIXZZZXI (0.018098678905329926+0j)
IIIZIIIIYZZZYI (-0.012573232996953232+0j)
IIIZIIIIXZZZXI (-0.012573232996953232+0j)
IIZIIIIIYZZZYI (-0.012573232996953242+0j)
IIZIIIIIXZZZXI (-0.012573232996953242+0j)
IZIIIIIIYZZZYI (0.009012402710649133+0j)
IZIIIIIIXZZZXI (0.009012402710649133+0j)
ZIIIIIIIYZZZYI (0.009780396756415873+0j)
ZIIIIIIIXZZZXI (0.009780396756415873+0j)
IIIIYZYYZZZZYI (0.0008335439547211461+0j)
IIIIXZXYZZZZYI (0.0008335439547211461+0j)
IIIIYZYXZZZZXI (0.0008335439547211461+0j)
IIIIXZXXZZZZXI (0.0008335439547211461+0j)
YZZZZZYYZZZZYI (0.001788941716477135+0j)
XZZZZZXYZZZZYI (0.001788941716477135+0j)
YZZZZZYXZZZZXI (0.001788941716477135+0j)
XZZZZZXXZZZZXI (0.001788941716477135+0j)
IIIIYYIYZZZZYI (-0.011254432481060938+0j)
IIIIXXIYZZZZYI (-0.011254432481060938+0j)
IIIIYYIXZZZZXI (-0.011254432481060938+0j)
IIIIXXIXZZZZXI (-0.011254432481060938+0j)
YZZZZYIYZZZZYI (0.014137963730554301+0j)
XZZZZXIYZZZZYI (0.014137963730554301+0j)
YZZZZYIXZZZZXI (0.014137963730554301+0j)
XZZZZXIXZZZZXI (0.014137963730554301+0j)
IYZZYIIYZZZZYI (0.015286682930039637+0j)
IXZZXIIYZZZZYI (0.015286682930039637+0j)
IYZZYIIXZZZZXI (0.015286682930039637+0j)
IXZZXIIXZZZZXI (0.015286682930039637+0j)
YYIIIIIYZZZZYI (-0.014202408128973968+0j)
XXIIIIIYZZZZYI (-0.014202408128973968+0j)
YYIIIIIXZZZZXI (-0.014202408128973968+0j)
XXIIIIIXZZZZXI (-0.014202408128973968+0j)
IIIIIIIIIIZZII (0.08602665952400962+0j)
IIIIIIIIIZIZII (0.0860266595240097+0j)
IIIIIIIIZIIZII (0.08178814169455068+0j)
IIIIIIIZIIIZII (0.09219528616642292+0j)
IIIIIIZIIIIZII (0.1157754503589181+0j)
IIIIIYYIIIIZII (0.0007215408112740118+0j)
IIIIIXXIIIIZII (0.0007215408112740118+0j)
IYZZZZYIIIIZII (0.0010631772368491783+0j)
IXZZZZXIIIIZII (0.0010631772368491783+0j)
IIIIIZIIIIIZII (0.10374044534077097+0j)
IYZZZYIIIIIZII (0.012197965753551948+0j)
IXZZZXIIIIIZII (0.012197965753551948+0j)
IIIIZIIIIIIZII (0.10951832766582141+0j)
YZZZYIIIIIIZII (0.005483361946891082+0j)
XZZZXIIIIIIZII (0.005483361946891082+0j)
IIIZIIIIIIIZII (0.08975893886236364+0j)
IIZIIIIIIIIZII (0.08975893886236372+0j)
IZIIIIIIIIIZII (0.1026095769172983+0j)
ZIIIIIIIIIIZII (0.11266318038769048+0j)
IIIIIIIYZZIYII (-0.010971855586678908+0j)
IIIIIIIXZZIXII (-0.010971855586678908+0j)
IIIYYIIIIIYYII (0.003732279338354019+0j)
IIIXXIIIIIYYII (0.003732279338354019+0j)
IIIYYIIIIIXXII (0.003732279338354019+0j)
IIIXXIIIIIXXII (0.003732279338354019+0j)
YZZYIIIIIIYYII (0.003453592409869341+0j)
XZZXIIIIIIYYII (0.003453592409869341+0j)
YZZYIIIIIIXXII (0.003453592409869341+0j)
XZZXIIIIIIXXII (0.003453592409869341+0j)
IIIIIIIYZIZYII (-0.010971855586678918+0j)
IIIIIIIXZIZXII (-0.010971855586678918+0j)
IIYZYIIIIYZYII (0.003732279338354021+0j)
IIXZXIIIIYZYII (0.003732279338354021+0j)
IIYZYIIIIXZXII (0.003732279338354021+0j)
IIXZXIIIIXZXII (0.003732279338354021+0j)
YZYIIIIIIYZYII (0.0034535924098693443+0j)
XZXIIIIIIYZYII (0.0034535924098693443+0j)
YZYIIIIIIXZXII (0.0034535924098693443+0j)
XZXIIIIIIXZXII (0.0034535924098693443+0j)
IIIIIIIYIZZYII (-0.01713990337400787+0j)
IIIIIIIXIZZXII (-0.01713990337400787+0j)
IIIIYZYIYZZYII (-0.0007462478602607016+0j)
IIIIXZXIYZZYII (-0.0007462478602607016+0j)
IIIIYZYIXZZXII (-0.0007462478602607016+0j)
IIIIXZXIXZZXII (-0.0007462478602607016+0j)
YZZZZZYIYZZYII (-0.0005988976538622378+0j)
XZZZZZXIYZZYII (-0.0005988976538622378+0j)
YZZZZZYIXZZXII (-0.0005988976538622378+0j)
XZZZZZXIXZZXII (-0.0005988976538622378+0j)
IIIIYYIIYZZYII (-0.023805173323467002+0j)
IIIIXXIIYZZYII (-0.023805173323467002+0j)
IIIIYYIIXZZXII (-0.023805173323467002+0j)
IIIIXXIIXZZXII (-0.023805173323467002+0j)
YZZZZYIIYZZYII (0.015286682930039637+0j)
XZZZZXIIYZZYII (0.015286682930039637+0j)
YZZZZYIIXZZXII (0.015286682930039637+0j)
XZZZZXIIXZZXII (0.015286682930039637+0j)
IYZZYIIIYZZYII (0.020821435222747625+0j)
IXZZXIIIYZZYII (0.020821435222747625+0j)
IYZZYIIIXZZXII (0.020821435222747625+0j)
IXZZXIIIXZZXII (0.020821435222747625+0j)
YYIIIIIIYZZYII (-0.024005440472664733+0j)
XXIIIIIIYZZYII (-0.024005440472664733+0j)
YYIIIIIIXZZXII (-0.024005440472664733+0j)
XXIIIIIIXZZXII (-0.024005440472664733+0j)
IIIIIIZYZZZYII (-0.0345595978163892+0j)
IIIIIIZXZZZXII (-0.0345595978163892+0j)
IIIIIYYYZZZYII (-0.0013110626161813215+0j)
IIIIIXXYZZZYII (-0.0013110626161813215+0j)
IIIIIYYXZZZXII (-0.0013110626161813215+0j)
IIIIIXXXZZZXII (-0.0013110626161813215+0j)
IYZZZZYYZZZYII (-0.0008049219959079178+0j)
IXZZZZXYZZZYII (-0.0008049219959079178+0j)
IYZZZZYXZZZXII (-0.0008049219959079178+0j)
IXZZZZXXZZZXII (-0.0008049219959079178+0j)
IIIIIZIYZZZYII (0.0017199469974447713+0j)
IIIIIZIXZZZXII (0.0017199469974447713+0j)
IYZZZYIYZZZYII (0.018098678905329926+0j)
IXZZZXIYZZZYII (0.018098678905329926+0j)
IYZZZYIXZZZXII (0.018098678905329926+0j)
IXZZZXIXZZZXII (0.018098678905329926+0j)
IIIIZIIYZZZYII (0.005483361946891082+0j)
IIIIZIIXZZZXII (0.005483361946891082+0j)
YZZZYIIYZZZYII (0.020467894221267564+0j)
XZZZXIIYZZZYII (0.020467894221267564+0j)
YZZZYIIXZZZXII (0.020467894221267564+0j)
XZZZXIIXZZZXII (0.020467894221267564+0j)
IIIZIIIYZZZYII (-0.014425447996548248+0j)
IIIZIIIXZZZXII (-0.014425447996548248+0j)
IIZIIIIYZZZYII (-0.014425447996548262+0j)
IIZIIIIXZZZXII (-0.014425447996548262+0j)
IZIIIIIYZZZYII (0.006865537098656869+0j)
IZIIIIIXZZZXII (0.006865537098656869+0j)
ZIIIIIIYZZZYII (0.003326266630218464+0j)
ZIIIIIIXZZZXII (0.003326266630218464+0j)
IIIIIIIIIZZIII (0.09427772585578942+0j)
IIIIIIIIZIZIII (0.07949191446363252+0j)
IIIIIIIZIIZIII (0.09405484566698546+0j)
IIIIIIZIIIZIII (0.14229299196031547+0j)
IIIIIYYIIIZIII (0.0020412486074172136+0j)
IIIIIXXIIIZIII (0.0020412486074172136+0j)
IYZZZZYIIIZIII (0.001142522668836852+0j)
IXZZZZXIIIZIII (0.001142522668836852+0j)
IIIIIZIIIIZIII (0.09279999627169257+0j)
IYZZZYIIIIZIII (-0.012573232996953232+0j)
IXZZZXIIIIZIII (-0.012573232996953232+0j)
IIIIZIIIIIZIII (0.08975893886236364+0j)
YZZZYIIIIIZIII (-0.014425447996548248+0j)
XZZZXIIIIIZIII (-0.014425447996548248+0j)
IIIZIIIIIIZIII (0.11246476027166769+0j)
IIZIIIIIIIZIII (0.10034007066108222+0j)
IZIIIIIIIIZIII (0.09224296511028857+0j)
ZIIIIIIIIIZIII (0.09817224903003095+0j)
IIYYIIIIIYYIII (0.006062344805292796+0j)
IIXXIIIIIYYIII (0.006062344805292796+0j)
IIYYIIIIIXXIII (0.006062344805292796+0j)
IIXXIIIIIXXIII (0.006062344805292796+0j)
IIIYZZYIYZYIII (0.0040839005277451+0j)
IIIXZZXIYZYIII (0.0040839005277451+0j)
IIIYZZYIXZXIII (0.0040839005277451+0j)
IIIXZZXIXZXIII (0.0040839005277451+0j)
IIIYZYIIYZYIII (0.011875719590358711+0j)
IIIXZXIIYZYIII (0.011875719590358711+0j)
IIIYZYIIXZXIII (0.011875719590358711+0j)
IIIXZXIIXZXIII (0.011875719590358711+0j)
IYZYIIIIYZYIII (0.012751050646656052+0j)
IXZXIIIIYZYIII (0.012751050646656052+0j)
IYZYIIIIXZXIII (0.012751050646656052+0j)
IXZXIIIIXZXIII (0.012751050646656052+0j)
IIIYYIIYZZYIII (0.003453592409869341+0j)
IIIXXIIYZZYIII (0.003453592409869341+0j)
IIIYYIIXZZXIII (0.003453592409869341+0j)
