Bravyi-Kitaev mapping of NH3 Hamiltonian in sto3g basis.
IIIIIIIIIIIIII (-15.686545446509985+0j)
IIIIIIIXZIYIYX (0.006489859681043264+0j)
IIIIIIIIIIIZZX (-2.6941227762589115e-08+0j)
IIIIIIIIIIIZIX (2.6941227762589115e-08+0j)
IIIIIIIIYIYXIX (-0.0064873769899719165+0j)
IIIIIIIIXZYYIX (4.1771795118369925e-07+0j)
IIIIIIIIYIYYZY (-0.006486959272020731+0j)
IIIIIIIIXZYXIY (0.006486959272020731+0j)
IIIIIIIIYIYXZX (4.1771795118369925e-07+0j)
IIIIIIIIXZYYZX (-0.0064873769899719165+0j)
IIIIIIIIIIZZIX (3.4282282515332697e-07+0j)
IIIIIIIIIIZZZX (-3.4282282515332697e-07+0j)
IIIIIIIIXYYZIX (1.0160833585115862e-06+0j)
IIIIIIIIXXXIZX (1.7709755645883732e-07+0j)
IIIIIIIIXYXIIY (-8.389858020527489e-07+0j)
IIIIIIIIXXYZIY (-8.389858020527489e-07+0j)
IIIIIIIIXYYZZX (-1.7709755645883732e-07+0j)
IIIIIIIIXXXIIX (-1.0160833585115862e-06+0j)
IIIIIIIYZIYZIX (-0.006986293157657261+0j)
IIIIIIIXZIXIZX (-0.0007732789353853704+0j)
IIIIIIIYZIXIIY (0.006213014222271891+0j)
IIIIIIIXZIYZIY (0.006213014222271891+0j)
IIIIIIIYZIYZZX (0.0007732789353853704+0j)
IIIIIIIXZIXIIX (0.006986293157657261+0j)
IIIIIIIIIZIIZX (-2.103186260369585e-06+0j)
IIIIIIIIIZIIIX (2.103186260369585e-06+0j)
IIIIIIIYYXIIZX (-0.013323195207564874+0j)
IIIIIIIXYYIIZX (0.004162716851283454+0j)
IIIIIIIYYYIIIY (-0.009160478356281424+0j)
IIIIIIIXYXIIZY (0.009160478356281424+0j)
IIIIIIIYYXIIIX (0.004162716851283454+0j)
IIIIIIIXYYIIIX (-0.013323195207564874+0j)
IIIIIIIIZZIIZX (-0.006045421778906376+0j)
IIIIIIIIZZIIIX (0.006045421778906376+0j)
IIIIIIIZIIIIZX (0.00604783730512948+0j)
IIIIIIIZIIIIIX (-0.00604783730512948+0j)
IIIIIIZZZIZIZX (6.955101660452521e-07+0j)
IIIIIIZZZIZIIX (-6.955101660452521e-07+0j)
IIXIXYYZZIZIZX (-0.03039289813248927+0j)
IIXIXXXIIIIIZX (-0.03039289813248927+0j)
IIXIXYYZZIZIIX (0.03039289813248927+0j)
IIXIXXXIIIIIIX (0.03039289813248927+0j)
IIXYZIYZZIZIZX (8.537848384743618e-08+0j)
IIXXZIXIIIIIZX (8.537848384743618e-08+0j)
IIXYZIYZZIZIIX (-8.537848384743618e-08+0j)
IIXXZIXIIIIIIX (-8.537848384743618e-08+0j)
IIYIIIYZZIZIZX (1.1758607754841087e-06+0j)
IIXZZIXIIIIIZX (1.1758607754841087e-06+0j)
IIYIIIYZZIZIIX (-1.1758607754841087e-06+0j)
IIXZZIXIIIIIIX (-1.1758607754841087e-06+0j)
YIZIIIYZZIZIZX (-0.006767822519923117+0j)
XZZIIIXIIIIIZX (-0.006767822519923117+0j)
YIZIIIYZZIZIIX (0.006767822519923117+0j)
XZZIIIXIIIIIIX (0.006767822519923117+0j)
IIIIIZIIIIIIZX (0.011340211110000453+0j)
IIIIIZIIIIIIIX (-0.011340211110000453+0j)
IIIYYXIIIIIIZX (0.0008062968435164624+0j)
IIIXYYIIIIIIZX (-0.0008062968435164624+0j)
IIIYYXIIIIIIIX (-0.0008062968435164624+0j)
IIIXYYIIIIIIIX (0.0008062968435164624+0j)
IIZIXXIIIIIIZX (-0.005199859187767757+0j)
IIIZYYIIIIIIZX (-0.005199859187767757+0j)
IIZIXXIIIIIIIX (0.005199859187767757+0j)
IIIZYYIIIIIIIX (0.005199859187767757+0j)
YIYIXXIIIIIIZX (0.010292956923660668+0j)
XZYIXYIIIIIIZX (-0.010292956923660668+0j)
YIYIXXIIIIIIIX (-0.010292956923660668+0j)
XZYIXYIIIIIIIX (0.010292956923660668+0j)
IIIIZZIIIIIIZX (-0.011340645771823294+0j)
IIIIZZIIIIIIIX (0.011340645771823294+0j)
XYYIXZIIIIIIZX (-0.010293518251255627+0j)
XXYIYIIIIIIIZX (0.010293518251255627+0j)
XYYIXZIIIIIIIX (0.010293518251255627+0j)
XXYIYIIIIIIIIX (-0.010293518251255627+0j)
IIIZIIIIIIIIZX (3.2179936620101157e-07+0j)
IIIZIIIIIIIIIX (-3.2179936620101157e-07+0j)
IIZXZIIIIIIIZX (-2.0436200350211497e-06+0j)
IIIXIIIIIIIIZX (2.0436200350211497e-06+0j)
IIZXZIIIIIIIIX (2.0436200350211497e-06+0j)
IIIXIIIIIIIIIX (-2.0436200350211497e-06+0j)
YIYXZIIIIIIIZX (-0.013267988528260662+0j)
XZYYZIIIIIIIZX (0.013267988528260662+0j)
YIYXZIIIIIIIIX (0.013267988528260662+0j)
XZYYZIIIIIIIIX (-0.013267988528260662+0j)
IIZZZIIIIIIIZX (-6.172287923114639e-06+0j)
IIZZZIIIIIIIIX (6.172287923114639e-06+0j)
YIYZZIIIIIIIZX (-0.022859836988398555+0j)
XZXIIIIIIIIIZX (-0.022859836988398555+0j)
YIYZZIIIIIIIIX (0.022859836988398555+0j)
XZXIIIIIIIIIIX (0.022859836988398555+0j)
IZIIIIIIIIIIZX (-0.007611057509153649+0j)
IZIIIIIIIIIIIX (0.007611057509153649+0j)
ZZIIIIIIIIIIZX (0.007617630049418689+0j)
ZZIIIIIIIIIIIX (-0.007617630049418689+0j)
IIIIIIIIIIZZXX (0.00034183960573880333+0j)
IIIIIIIIIIIIYY (0.00034183960573880333+0j)
IIIIIIIIXYYZXX (-0.02487827311446458+0j)
IIIIIIIIXXYZXY (0.02487827311446458+0j)
IIIIIIIYZIYZXX (0.006483185344236019+0j)
IIIIIIIXZIYZXY (-0.006483185344236019+0j)
IIIIIIIIYIYXXX (-0.0069858169487535+0j)
IIIIIIIIXZXYYX (0.0007729676314706074+0j)
IIIIIIIIYIXXYX (0.006212849317282892+0j)
IIIIIIIIXZYXXY (0.006212849317282892+0j)
IIIIIIIIYIYYXY (-0.0007729676314706074+0j)
IIIIIIIIXZXXYY (-0.0069858169487535+0j)
IIIIIIIIZXIYYX (-0.013324025405131345+0j)
IIIIIIIIIXIYYX (0.004163780866985761+0j)
IIIIIIIIZYIXYX (0.009160244538145589+0j)
IIIIIIIIIYIYYY (-0.009160244538145589+0j)
IIIIIIIIZXIXYY (0.004163780866985761+0j)
IIIIIIIIIXIXYY (-0.013324025405131345+0j)
IIIIIIIYYZIYYX (-0.006044655961815945+0j)
IIIIIIIXXIIYYX (-0.006043291787286367+0j)
IIIIIIIYXIIXYX (-1.3641745295776483e-06+0j)
IIIIIIIXYZIYYY (1.3641745295776483e-06+0j)
IIIIIIIYYZIXYY (0.006043291787286367+0j)
IIIIIIIXXIIXYY (0.006044655961815945+0j)
IIXIYIYZZIZYYX (0.030391863647815095+0j)
IIXIXZXIIIIYYX (0.030391863647815095+0j)
IIXIYIYZZIZXYY (-0.030391863647815095+0j)
IIXIXZXIIIIXYY (-0.030391863647815095+0j)
XYZIIIYZZIZYYX (0.006768213972732541+0j)
XXZIIIXIIIIYYX (0.006768213972732541+0j)
XYZIIIYZZIZXYY (-0.006768213972732541+0j)
XXZIIIXIIIIXYY (-0.006768213972732541+0j)
IIIIZXIIIIIYYX (0.011340618830595532+0j)
IIIIIXIIIIIYYX (-0.011340618830595532+0j)
IIIIZXIIIIIXYY (-0.011340618830595532+0j)
IIIIIXIIIIIXYY (0.011340618830595532+0j)
XYYIXXIIIIIYYX (0.010293100533304442+0j)
XXYIXYIIIIIYYX (-0.010293100533304442+0j)
XYYIXXIIIIIXYY (-0.010293100533304442+0j)
XXYIXYIIIIIXYY (0.010293100533304442+0j)
IIIYYZIIIIIYYX (-0.0008058665440341127+0j)
IIIXXIIIIIIYYX (-0.0008058665440341127+0j)
IIIYYZIIIIIXYY (0.0008058665440341127+0j)
IIIXXIIIIIIXYY (0.0008058665440341127+0j)
IIZIXZIIIIIYYX (0.00520131793120037+0j)
IIIZXIIIIIIYYX (-0.00520131793120037+0j)
IIZIXZIIIIIXYY (-0.00520131793120037+0j)
IIIZXIIIIIIXYY (0.00520131793120037+0j)
YIYIXZIIIIIYYX (0.010291764852320114+0j)
XZYIYIIIIIIYYX (-0.010291764852320114+0j)
YIYIXZIIIIIXYY (-0.010291764852320114+0j)
XZYIYIIIIIIXYY (0.010291764852320114+0j)
XYYXZIIIIIIYYX (0.013267432774370577+0j)
XXYYZIIIIIIYYX (-0.013267432774370577+0j)
XYYXZIIIIIIXYY (-0.013267432774370577+0j)
XXYYZIIIIIIXYY (0.013267432774370577+0j)
XYYZZIIIIIIYYX (0.022861174142199934+0j)
XXXIIIIIIIIYYX (0.022861174142199934+0j)
XYYZZIIIIIIXYY (-0.022861174142199934+0j)
XXXIIIIIIIIXYY (-0.022861174142199934+0j)
ZXIIIIIIIIIYYX (0.0076075185888425725+0j)
IXIIIIIIIIIYYX (-0.0076075185888425725+0j)
ZXIIIIIIIIIXYY (-0.0076075185888425725+0j)
IXIIIIIIIIIXYY (0.0076075185888425725+0j)
IIIIIIIIXYXZYX (-0.025559964068128424+0j)
IIIIIIIIXXXZYY (0.025559964068128424+0j)
IIIIIIIYZIXZYX (-3.6708135448188162e-06+0j)
IIIIIIIXZIXZYY (3.6708135448188162e-06+0j)
IIIIIIIIIZZIXX (-0.00041603211837378494+0j)
IIIIIIIIIZIZYY (-0.00041603211837378494+0j)
IIIIIIIYYXZIXX (1.1082733784742536e-07+0j)
IIIIIIIXYYZIXX (-8.196171792163639e-08+0j)
IIIIIIIYYYIZYX (2.886561992578897e-08+0j)
IIIIIIIXYXZIXY (-2.886561992578897e-08+0j)
IIIIIIIYYXIZYY (8.196171792163639e-08+0j)
IIIIIIIXYYIZYY (-1.1082733784742536e-07+0j)
IIIIIIIIZZZIXX (-0.0001981610207979057+0j)
IIIIIIIIZZIZYY (-0.0001981610207979057+0j)
IIIIIIIZIIZIXX (-0.00019792781629785264+0j)
IIIIIIIZIIIZYY (-0.00019792781629785264+0j)
IIIIIIZZZIIIXX (-0.004396096586198011+0j)
IIIIIIZZZIZZYY (-0.004396096586198011+0j)
IIXIXYYZZIIIXX (8.537848384743618e-08+0j)
IIXIXXXIIIZIXX (8.537848384743618e-08+0j)
IIXIXYYZZIZZYY (8.537848384743618e-08+0j)
IIXIXXXIIIIZYY (8.537848384743618e-08+0j)
IIXYZIYZZIIIXX (-0.023828404981907383+0j)
IIXXZIXIIIZIXX (-0.023828404981907383+0j)
IIXYZIYZZIZZYY (-0.023828404981907383+0j)
IIXXZIXIIIIZYY (-0.023828404981907383+0j)
IIYIIIYZZIIIXX (0.003586272890591039+0j)
IIXZZIXIIIZIXX (0.003586272890591039+0j)
IIYIIIYZZIZZYY (0.003586272890591039+0j)
IIXZZIXIIIIZYY (0.003586272890591039+0j)
YIZIIIYZZIIIXX (3.5099325241080186e-07+0j)
XZZIIIXIIIZIXX (3.5099325241080186e-07+0j)
YIZIIIYZZIZZYY (3.5099325241080186e-07+0j)
XZZIIIXIIIIZYY (3.5099325241080186e-07+0j)
IIIIIZIIIIZIXX (-0.0004643354535715223+0j)
IIIIIZIIIIIZYY (-0.0004643354535715223+0j)
IIZIXXIIIIZIXX (-1.8665224785623124e-06+0j)
IIIZYYIIIIZIXX (-1.8665224785623124e-06+0j)
IIZIXXIIIIIZYY (-1.8665224785623124e-06+0j)
IIIZYYIIIIIZYY (-1.8665224785623124e-06+0j)
YIYIXXIIIIZIXX (-0.01249470959287529+0j)
XZYIXYIIIIZIXX (0.01249470959287529+0j)
YIYIXXIIIIIZYY (-0.01249470959287529+0j)
XZYIXYIIIIIZYY (0.01249470959287529+0j)
IIIIZZIIIIZIXX (-0.0004640269382953095+0j)
IIIIZZIIIIIZYY (-0.0004640269382953095+0j)
XYYIXZIIIIZIXX (-0.012494465142899968+0j)
XXYIYIIIIIZIXX (0.012494465142899968+0j)
XYYIXZIIIIIZYY (-0.012494465142899968+0j)
XXYIYIIIIIIZYY (0.012494465142899968+0j)
IIIZIIIIIIZIXX (0.024035303747611265+0j)
IIIZIIIIIIIZYY (0.024035303747611265+0j)
IIZXZIIIIIZIXX (0.0021717159158687206+0j)
IIIXIIIIIIZIXX (-0.0021717159158687206+0j)
IIZXZIIIIIIZYY (0.0021717159158687206+0j)
IIIXIIIIIIIZYY (-0.0021717159158687206+0j)
YIYXZIIIIIZIXX (-3.2228357101507304e-07+0j)
XZYYZIIIIIZIXX (3.2228357101507304e-07+0j)
YIYXZIIIIIIZYY (-3.2228357101507304e-07+0j)
XZYYZIIIIIIZYY (3.2228357101507304e-07+0j)
IIZZZIIIIIZIXX (-0.01340556526316827+0j)
IIZZZIIIIIIZYY (-0.01340556526316827+0j)
YIYZZIIIIIZIXX (2.6585517351706807e-06+0j)
XZXIIIIIIIZIXX (2.6585517351706807e-06+0j)
YIYZZIIIIIIZYY (2.6585517351706807e-06+0j)
XZXIIIIIIIIZYY (2.6585517351706807e-06+0j)
IZIIIIIIIIZIXX (0.0035488543624550783+0j)
IZIIIIIIIIIZYY (0.0035488543624550783+0j)
ZZIIIIIIIIZIXX (0.003549177981792919+0j)
ZZIIIIIIIIIZYY (0.003549177981792919+0j)
IIIIIIIYZZYIXX (-2.9001272954076295e-06+0j)
IIIIIIIXZZYIXY (2.9001272954076295e-06+0j)
IIIIIIIIYXYIXX (-0.020180547775448258+0j)
IIIIIIIIYYYIXY (-0.020180547775448258+0j)
IIIIIIIZXYYIXX (-0.020180865877094865+0j)
IIIIIIIZXXYIXY (0.020180865877094865+0j)
IIIIIIZZYYXIXX (-0.031723424959660615+0j)
IIIIIIZZYXXIXY (0.031723424959660615+0j)
IIXIXYYZYYXIXX (-1.1758607754841087e-06+0j)
IIXIXXXIXYYIXX (-1.1758607754841087e-06+0j)
IIXIXYYZYXXIXY (1.1758607754841087e-06+0j)
IIXIXXXIXXYIXY (1.1758607754841087e-06+0j)
IIXYZIYZYYXIXX (-0.003586272890591039+0j)
IIXXZIXIXYYIXX (-0.003586272890591039+0j)
IIXYZIYZYXXIXY (0.003586272890591039+0j)
IIXXZIXIXXYIXY (0.003586272890591039+0j)
IIYIIIYZYYXIXX (0.024144188374641388+0j)
IIXZZIXIXYYIXX (0.024144188374641388+0j)
IIYIIIYZYXXIXY (-0.024144188374641388+0j)
IIXZZIXIXXYIXY (-0.024144188374641388+0j)
YIZIIIYZYYXIXX (1.6996912982954887e-06+0j)
XZZIIIXIXYYIXX (1.6996912982954887e-06+0j)
YIZIIIYZYXXIXY (-1.6996912982954887e-06+0j)
XZZIIIXIXXYIXY (-1.6996912982954887e-06+0j)
IIIIIZIIXYYIXX (-0.019677306483949823+0j)
IIIIIZIIXXYIXY (0.019677306483949823+0j)
IIIYYXIIXYYIXX (-1.0275366765095635e-06+0j)
IIIXYYIIXYYIXX (1.0275366765095635e-06+0j)
IIIYYXIIXXYIXY (1.0275366765095635e-06+0j)
IIIXYYIIXXYIXY (-1.0275366765095635e-06+0j)
IIZIXXIIXYYIXX (4.069101662745054e-06+0j)
IIIZYYIIXYYIXX (4.069101662745054e-06+0j)
IIZIXXIIXXYIXY (-4.069101662745054e-06+0j)
IIIZYYIIXXYIXY (-4.069101662745054e-06+0j)
YIYIXXIIXYYIXX (0.018697120137115105+0j)
XZYIXYIIXYYIXX (-0.018697120137115105+0j)
YIYIXXIIXXYIXY (-0.018697120137115105+0j)
XZYIXYIIXXYIXY (0.018697120137115105+0j)
IIIIZZIIXYYIXX (-0.019676955183264212+0j)
IIIIZZIIXXYIXY (0.019676955183264212+0j)
XYYIXZIIXYYIXX (0.018697393275214177+0j)
XXYIYIIIXYYIXX (-0.018697393275214177+0j)
XYYIXZIIXXYIXY (-0.018697393275214177+0j)
XXYIYIIIXXYIXY (0.018697393275214177+0j)
IIIZIIIIXYYIXX (-0.027731679983997143+0j)
IIIZIIIIXXYIXY (0.027731679983997143+0j)
IIZXZIIIXYYIXX (0.012989533144794483+0j)
IIIXIIIIXYYIXX (-0.012989533144794483+0j)
IIZXZIIIXXYIXY (-0.012989533144794483+0j)
IIIXIIIIXXYIXY (0.012989533144794483+0j)
YIYXZIIIXYYIXX (-2.5765900172490443e-06+0j)
XZYYZIIIXYYIXX (2.5765900172490443e-06+0j)
YIYXZIIIXXYIXY (2.5765900172490443e-06+0j)
XZYYZIIIXXYIXY (-2.5765900172490443e-06+0j)
IIZZZIIIXYYIXX (-0.02470870310605143+0j)
IIZZZIIIXXYIXY (0.02470870310605143+0j)
YIYZZIIIXYYIXX (2.5254573172571633e-07+0j)
XZXIIIIIXYYIXX (2.5254573172571633e-07+0j)
YIYZZIIIXXYIXY (-2.5254573172571633e-07+0j)
XZXIIIIIXXYIXY (-2.5254573172571633e-07+0j)
IZIIIIIIXYYIXX (-0.019901421150550536+0j)
IZIIIIIIXXYIXY (0.019901421150550536+0j)
ZZIIIIIIXYYIXX (-0.01990316289907822+0j)
ZZIIIIIIXXYIXY (0.01990316289907822+0j)
IIIIIIIYIZYIXX (-2.745518193123138e-06+0j)
IIIIIIIXIZYIXY (2.745518193123138e-06+0j)
IIXIYIYZXIXIXX (-0.006768213972732541+0j)
IIXIXZXIYIYIXX (0.006768213972732541+0j)
IIXIYIYZYZXIXY (-0.006768213972732541+0j)
IIXIXZXIXZYIXY (-0.006768213972732541+0j)
XYZIIIYZXIXIXX (-0.013174647572731442+0j)
XXZIIIXIYIYIXX (0.013174647572731442+0j)
XYZIIIYZYZXIXY (-0.013174647572731442+0j)
XXZIIIXIXZYIXY (-0.013174647572731442+0j)
IIIIZXIIYIYIXX (-0.00380614126128371+0j)
IIIIIXIIYIYIXX (0.00380614126128371+0j)
IIIIZXIIXZYIXY (0.00380614126128371+0j)
IIIIIXIIXZYIXY (-0.00380614126128371+0j)
XYYIXXIIYIYIXX (-0.0015656357302472736+0j)
XXYIXYIIYIYIXX (0.0015656357302472736+0j)
XYYIXXIIXZYIXY (0.0015656357302472736+0j)
XXYIXYIIXZYIXY (-0.0015656357302472736+0j)
IIIYYZIIYIYIXX (0.006281615825617077+0j)
IIIXXIIIYIYIXX (0.006281615825617077+0j)
IIIYYZIIXZYIXY (-0.006281615825617077+0j)
IIIXXIIIXZYIXY (-0.006281615825617077+0j)
IIZIXZIIYIYIXX (-0.00953714873706859+0j)
IIIZXIIIYIYIXX (0.00953714873706859+0j)
IIZIXZIIXZYIXY (0.00953714873706859+0j)
IIIZXIIIXZYIXY (-0.00953714873706859+0j)
YIYIXZIIYIYIXX (-0.0015642268015562052+0j)
XZYIYIIIYIYIXX (0.0015642268015562052+0j)
YIYIXZIIXZYIXY (0.0015642268015562052+0j)
XZYIYIIIXZYIXY (-0.0015642268015562052+0j)
XYYXZIIIYIYIXX (0.003747015383252984+0j)
XXYYZIIIYIYIXX (-0.003747015383252984+0j)
XYYXZIIIXZYIXY (-0.003747015383252984+0j)
XXYYZIIIXZYIXY (0.003747015383252984+0j)
XYYZZIIIYIYIXX (-0.0002791266248977249+0j)
XXXIIIIIYIYIXX (-0.0002791266248977249+0j)
XYYZZIIIXZYIXY (0.0002791266248977249+0j)
XXXIIIIIXZYIXY (0.0002791266248977249+0j)
ZXIIIIIIYIYIXX (-0.006086293737244728+0j)
IXIIIIIIYIYIXX (0.006086293737244728+0j)
ZXIIIIIIXZYIXY (0.006086293737244728+0j)
IXIIIIIIXZYIXY (-0.006086293737244728+0j)
IIIIIIZXIIXIXX (4.4383658010420455e-06+0j)
IIIIIIZYIIXIXY (4.4383658010420455e-06+0j)
IIXIXYYXIIXIXX (-0.006767822519923117+0j)
IIXIXXXYZIYIXX (0.006767822519923117+0j)
IIXIXYYYIIXIXY (-0.006767822519923117+0j)
IIXIXXXXZIYIXY (-0.006767822519923117+0j)
IIXYZIYXIIXIXX (3.5099325241080186e-07+0j)
IIXXZIXYZIYIXX (-3.5099325241080186e-07+0j)
IIXYZIYYIIXIXY (3.5099325241080186e-07+0j)
IIXXZIXXZIYIXY (3.5099325241080186e-07+0j)
IIYIIIYXIIXIXX (-1.6996912982954887e-06+0j)
IIXZZIXYZIYIXX (1.6996912982954887e-06+0j)
IIYIIIYYIIXIXY (-1.6996912982954887e-06+0j)
IIXZZIXXZIYIXY (-1.6996912982954887e-06+0j)
YIZIIIYXIIXIXX (-0.013174603189027873+0j)
XZZIIIXYZIYIXX (0.013174603189027873+0j)
YIZIIIYYIIXIXY (-0.013174603189027873+0j)
XZZIIIXXZIYIXY (-0.013174603189027873+0j)
IIIIIZIYZIYIXX (0.003803097242617403+0j)
IIIIIZIXZIYIXY (-0.003803097242617403+0j)
IIIYYXIYZIYIXX (0.0062816953706034+0j)
IIIXYYIYZIYIXX (-0.0062816953706034+0j)
IIIYYXIXZIYIXY (-0.0062816953706034+0j)
IIIXYYIXZIYIXY (0.0062816953706034+0j)
IIZIXXIYZIYIXX (-0.009536641780833683+0j)
IIIZYYIYZIYIXX (-0.009536641780833683+0j)
