Bravyi-Kitaev mapping of NH3 Hamiltonian in sto3g basis.
IIIIIIIIIIII (-15.41294640079288+0j)
IIIIIIYIYXZZ (-0.01844822582853088+0j)
IIIIIIXZYYZZ (0.01844822582853088+0j)
IIIIIIIIZZZZ (0.12208627955339334+0j)
IIIIIIXYYZZZ (0.011677832958948605+0j)
IIIIIIXXXIIZ (0.011677832958948605+0j)
IIIIIIIZIIIZ (0.11278716743387024+0j)
IIIIIIZZIIIZ (0.12380628920080962+0j)
IIIIIZIIIIIZ (0.1532216154963641+0j)
IIIIZXZIZIIZ (6.955101661844636e-07+0j)
IIIIIXIIIIIZ (-6.955101661844636e-07+0j)
XIYIYXZIZIIZ (0.004396096586299502+0j)
XIXZYYZIZIIZ (-0.004396096586299502+0j)
XYZIYXZIZIIZ (-0.03172342495963722+0j)
XXZIYYZIZIIZ (0.03172342495963722+0j)
IIIIZZZIZIIZ (0.13887870838619845+0j)
XIYIYZZIZIIZ (3.4569130554710625e-07+0j)
XIXZXIIIIIIZ (3.4569130554710625e-07+0j)
XYZIYZZIZIIZ (4.340647689616813e-06+0j)
XXZIXIIIIIIZ (4.340647689616813e-06+0j)
IIIZIIIIIIIZ (0.1388779545371761+0j)
ZIXXIIIIIIIZ (0.025216439801225243+0j)
IZYYIIIIIIIZ (0.025216439801225243+0j)
IIZZIIIIIIIZ (0.14591468453527678+0j)
IYYZIIIIIIIZ (0.015264105849520572+0j)
IXXIIIIIIIIZ (0.015264105849520572+0j)
IZIIIIIIIIIZ (0.1369313558085216+0j)
ZZZIIIIIIIIZ (0.13698093677353865+0j)
IIIIIIIIZIYY (-0.0003419613898698867+0j)
IIIIIIIIIZXX (-0.0003419613898698867+0j)
IIIIIIXYYIYY (0.02487716567172257+0j)
IIIIIIXXYIYX (0.02487716567172257+0j)
IIIIIIIIIZZX (-2.6941227771262732e-08+0j)
IIIIIIIIIZIX (2.6941227771262732e-08+0j)
IIIIIIYIYXIX (-0.00648737698996732+0j)
IIIIIIXZYYIX (4.1771795119237287e-07+0j)
IIIIIIYIYYZY (-0.006486959272016131+0j)
IIIIIIXZYXIY (0.006486959272016131+0j)
IIIIIIYIYXZX (4.1771795119237287e-07+0j)
IIIIIIXZYYZX (-0.00648737698996732+0j)
IIIIIIIIZZIX (3.4282282457395643e-07+0j)
IIIIIIIIZZZX (-3.4282282457395643e-07+0j)
IIIIIIXYYZIX (1.0160833583349425e-06+0j)
IIIIIIXXXIZX (1.7709755669988256e-07+0j)
IIIIIIXYXIIY (-8.3898580163506e-07+0j)
IIIIIIXXYZIY (-8.3898580163506e-07+0j)
IIIIIIXYYZZX (-1.7709755669988256e-07+0j)
IIIIIIXXXIIX (-1.0160833583349425e-06+0j)
IIIIIIIZIIZX (-2.1031862598404946e-06+0j)
IIIIIIIZIIIX (2.1031862598404946e-06+0j)
IIIIIIZZIIZX (-0.006045421778902292+0j)
IIIIIIZZIIIX (0.006045421778902292+0j)
IIIIIZIIIIZX (6.955101661844636e-07+0j)
IIIIIZIIIIIX (-6.955101661844636e-07+0j)
IIIIZXZIZIZX (0.030392898132496595+0j)
IIIIIXIIIIZX (-0.030392898132496595+0j)
IIIIZXZIZIIX (-0.030392898132496595+0j)
IIIIIXIIIIIX (0.030392898132496595+0j)
XIYIYXZIZIZX (8.537848384749039e-08+0j)
XIXZYYZIZIZX (-8.537848384749039e-08+0j)
XIYIYXZIZIIX (-8.537848384749039e-08+0j)
XIXZYYZIZIIX (8.537848384749039e-08+0j)
XYZIYXZIZIZX (1.1758607751883384e-06+0j)
XXZIYYZIZIZX (-1.1758607751883384e-06+0j)
XYZIYXZIZIIX (-1.1758607751883384e-06+0j)
XXZIYYZIZIIX (1.1758607751883384e-06+0j)
IIIIZZZIZIZX (0.011340211110013175+0j)
IIIIZZZIZIIX (-0.011340211110013175+0j)
XIYIYZZIZIZX (0.0008062968434918021+0j)
XIXZXIIIIIZX (0.0008062968434918021+0j)
XIYIYZZIZIIX (-0.0008062968434918021+0j)
XIXZXIIIIIIX (-0.0008062968434918021+0j)
XYZIYZZIZIZX (0.005199859187764931+0j)
XXZIXIIIIIZX (0.005199859187764931+0j)
XYZIYZZIZIIX (-0.005199859187764931+0j)
XXZIXIIIIIIX (-0.005199859187764931+0j)
IIIZIIIIIIZX (-0.01134064577183611+0j)
IIIZIIIIIIIX (0.01134064577183611+0j)
ZIXXIIIIIIZX (0.010293518251262375+0j)
IZYYIIIIIIZX (0.010293518251262375+0j)
ZIXXIIIIIIIX (-0.010293518251262375+0j)
IZYYIIIIIIIX (-0.010293518251262375+0j)
IIZZIIIIIIZX (3.21799365247781e-07+0j)
IIZZIIIIIIIX (-3.21799365247781e-07+0j)
IYYZIIIIIIZX (2.043620035018846e-06+0j)
IXXIIIIIIIZX (2.043620035018846e-06+0j)
IYYZIIIIIIIX (-2.043620035018846e-06+0j)
IXXIIIIIIIIX (-2.043620035018846e-06+0j)
IZIIIIIIIIZX (-6.172287921531704e-06+0j)
IZIIIIIIIIIX (6.172287921531704e-06+0j)
ZZZIIIIIIIZX (-0.007611057509161204+0j)
ZZZIIIIIIIIX (0.007611057509161204+0j)
IIIIIIIIZZXX (0.000341839605664035+0j)
IIIIIIIIIIYY (0.000341839605664035+0j)
IIIIIIXYYZXX (-0.024878273114469125+0j)
IIIIIIXXYZXY (0.024878273114469125+0j)
IIIIIIYIYXXX (-0.0069858169487153005+0j)
IIIIIIXZXYYX (0.000772967631465137+0j)
IIIIIIYIXXYX (0.006212849317250164+0j)
IIIIIIXZYXXY (0.006212849317250164+0j)
IIIIIIYIYYXY (-0.000772967631465137+0j)
IIIIIIXZXXYY (-0.0069858169487153005+0j)
IIIIIIZXIYYX (-0.013324025405151249+0j)
IIIIIIIXIYYX (0.004163780866985111+0j)
IIIIIIZYIXYX (0.009160244538166138+0j)
IIIIIIIYIYYY (-0.009160244538166138+0j)
IIIIIIZXIXYY (0.004163780866985111+0j)
IIIIIIIXIXYY (-0.013324025405151249+0j)
XIXYYXZIZYYX (0.030391863647822395+0j)
XIXXYYZIZYYX (-0.030391863647822395+0j)
XIXYYXZIZXYY (-0.030391863647822395+0j)
XIXXYYZIZXYY (0.030391863647822395+0j)
YIIIYXZIZYYX (0.006768213972694363+0j)
XZZIYYZIZYYX (-0.006768213972694363+0j)
YIIIYXZIZXYY (-0.006768213972694363+0j)
XZZIYYZIZXYY (0.006768213972694363+0j)
XIXYYZZIZYYX (-0.011340618830608341+0j)
XIXXXIIIIYYX (-0.011340618830608341+0j)
XIXYYZZIZXYY (0.011340618830608341+0j)
XIXXXIIIIXYY (0.011340618830608341+0j)
YIIIYZZIZYYX (0.010293100533311185+0j)
XZZIXIIIIYYX (0.010293100533311185+0j)
YIIIYZZIZXYY (-0.010293100533311185+0j)
XZZIXIIIIXYY (-0.010293100533311185+0j)
IIZXIIIIIYYX (0.0008058665440099663+0j)
IIIXIIIIIYYX (-0.0008058665440099663+0j)
IIZXIIIIIXYY (-0.0008058665440099663+0j)
IIIXIIIIIXYY (0.0008058665440099663+0j)
IYYXIIIIIYYX (-0.005201317931196623+0j)
IXYYIIIIIYYX (0.005201317931196623+0j)
IYYXIIIIIXYY (0.005201317931196623+0j)
IXYYIIIIIXYY (-0.005201317931196623+0j)
ZIXZIIIIIYYX (-0.013267432774309322+0j)
IZXIIIIIIYYX (0.013267432774309322+0j)
ZIXZIIIIIXYY (0.013267432774309322+0j)
IZXIIIIIIXYY (-0.013267432774309322+0j)
ZXZIIIIIIYYX (-0.022861174142253818+0j)
IXIIIIIIIYYX (0.022861174142253818+0j)
ZXZIIIIIIXYY (0.022861174142253818+0j)
IXIIIIIIIXYY (-0.022861174142253818+0j)
IIIIIIXYXZYX (-0.025559964068143908+0j)
IIIIIIXXXZYY (0.025559964068143908+0j)
IIIIIIIZZIXX (-0.0004160321184373157+0j)
IIIIIIIZIZYY (-0.0004160321184373157+0j)
IIIIIIZZZIXX (-0.000198161020842142+0j)
IIIIIIZZIZYY (-0.000198161020842142+0j)
IIIIIZIIZIXX (-0.004396096586299502+0j)
IIIIIZIIIZYY (-0.004396096586299502+0j)
IIIIZXZIIIXX (-8.537848384749039e-08+0j)
IIIIIXIIZIXX (8.537848384749039e-08+0j)
IIIIZXZIZZYY (-8.537848384749039e-08+0j)
IIIIIXIIIZYY (8.537848384749039e-08+0j)
XIYIYXZIIIXX (-0.02382840498188344+0j)
XIXZYYZIIIXX (0.02382840498188344+0j)
XIYIYXZIZZYY (-0.02382840498188344+0j)
XIXZYYZIZZYY (0.02382840498188344+0j)
XYZIYXZIIIXX (0.0035862728905719675+0j)
XXZIYYZIIIXX (-0.0035862728905719675+0j)
XYZIYXZIZZYY (0.0035862728905719675+0j)
XXZIYYZIZZYY (-0.0035862728905719675+0j)
IIIIZZZIIIXX (-0.0004643354536219154+0j)
IIIIZZZIZZYY (-0.0004643354536219154+0j)
XYZIYZZIIIXX (1.8665224783189632e-06+0j)
XXZIXIIIZIXX (1.8665224783189632e-06+0j)
XYZIYZZIZZYY (1.8665224783189632e-06+0j)
XXZIXIIIIZYY (1.8665224783189632e-06+0j)
IIIZIIIIZIXX (-0.00046402693834593153+0j)
IIIZIIIIIZYY (-0.00046402693834593153+0j)
ZIXXIIIIZIXX (0.012494465142844188+0j)
IZYYIIIIZIXX (0.012494465142844188+0j)
ZIXXIIIIIZYY (0.012494465142844188+0j)
IZYYIIIIIZYY (0.012494465142844188+0j)
IIZZIIIIZIXX (0.024035303747537557+0j)
IIZZIIIIIZYY (0.024035303747537557+0j)
IYYZIIIIZIXX (-0.002171715916025247+0j)
IXXIIIIIZIXX (-0.002171715916025247+0j)
IYYZIIIIIZYY (-0.002171715916025247+0j)
IXXIIIIIIZYY (-0.002171715916025247+0j)
IZIIIIIIZIXX (-0.013405565263211454+0j)
IZIIIIIIIZYY (-0.013405565263211454+0j)
ZZZIIIIIZIXX (0.003548854362407984+0j)
ZZZIIIIIIZYY (0.003548854362407984+0j)
IIIIIIYXYIXX (-0.020180547775478765+0j)
IIIIIIYYYIXY (-0.020180547775478765+0j)
IIIIIZXYYIXX (-0.03172342495963722+0j)
IIIIIZXXYIXY (0.03172342495963722+0j)
IIIIZXYYXIXX (1.1758607751883384e-06+0j)
IIIIIXXYYIXX (-1.1758607751883384e-06+0j)
IIIIZXYXXIXY (-1.1758607751883384e-06+0j)
IIIIIXXXYIXY (1.1758607751883384e-06+0j)
XIYIYXYYXIXX (-0.0035862728905719675+0j)
XIXZYYYYXIXX (0.0035862728905719675+0j)
XIYIYXYXXIXY (0.0035862728905719675+0j)
XIXZYYYXXIXY (-0.0035862728905719675+0j)
XYZIYXYYXIXX (0.024144188374651345+0j)
XXZIYYYYXIXX (-0.024144188374651345+0j)
XYZIYXYXXIXY (-0.024144188374651345+0j)
XXZIYYYXXIXY (0.024144188374651345+0j)
IIIIZZYYXIXX (-0.019677306483957636+0j)
IIIIZZYXXIXY (0.019677306483957636+0j)
XIYIYZYYXIXX (-1.0275366766839033e-06+0j)
XIXZXIXYYIXX (-1.0275366766839033e-06+0j)
XIYIYZYXXIXY (1.0275366766839033e-06+0j)
XIXZXIXXYIXY (1.0275366766839033e-06+0j)
XYZIYZYYXIXX (-4.069101661691209e-06+0j)
XXZIXIXYYIXX (-4.069101661691209e-06+0j)
XYZIYZYXXIXY (4.069101661691209e-06+0j)
XXZIXIXXYIXY (4.069101661691209e-06+0j)
IIIZIIXYYIXX (-0.019676955183272504+0j)
IIIZIIXXYIXY (0.019676955183272504+0j)
ZIXXIIXYYIXX (-0.018697393275268707+0j)
IZYYIIXYYIXX (-0.018697393275268707+0j)
ZIXXIIXXYIXY (0.018697393275268707+0j)
IZYYIIXXYIXY (0.018697393275268707+0j)
IIZZIIXYYIXX (-0.027731679984169155+0j)
IIZZIIXXYIXY (0.027731679984169155+0j)
IYYZIIXYYIXX (-0.012989533144774136+0j)
IXXIIIXYYIXX (-0.012989533144774136+0j)
IYYZIIXXYIXY (0.012989533144774136+0j)
IXXIIIXXYIXY (0.012989533144774136+0j)
IZIIIIXYYIXX (-0.024708703105989063+0j)
IZIIIIXXYIXY (0.024708703105989063+0j)
ZZZIIIXYYIXX (-0.019901421150582473+0j)
ZZZIIIXXYIXY (0.019901421150582473+0j)
XIXYYXXIXIXX (-0.006768213972694363+0j)
XIXXYYXIXIXX (0.006768213972694363+0j)
XIXYYXYZXIXY (-0.006768213972694363+0j)
XIXXYYYZXIXY (0.006768213972694363+0j)
YIIIYXXIXIXX (-0.013174647572729025+0j)
XZZIYYXIXIXX (0.013174647572729025+0j)
YIIIYXYZXIXY (-0.013174647572729025+0j)
XZZIYYYZXIXY (0.013174647572729025+0j)
XIXYYZXIXIXX (-0.0038061412612950545+0j)
XIXXXIYIYIXX (0.0038061412612950545+0j)
XIXYYZYZXIXY (-0.0038061412612950545+0j)
XIXXXIXZYIXY (-0.0038061412612950545+0j)
YIIIYZXIXIXX (0.0015656357302589112+0j)
XZZIXIYIYIXX (-0.0015656357302589112+0j)
YIIIYZYZXIXY (0.0015656357302589112+0j)
XZZIXIXZYIXY (0.0015656357302589112+0j)
IIZXIIYIYIXX (-0.006281615825594021+0j)
IIIXIIYIYIXX (0.006281615825594021+0j)
IIZXIIXZYIXY (0.006281615825594021+0j)
IIIXIIXZYIXY (-0.006281615825594021+0j)
IYYXIIYIYIXX (0.009537148737102567+0j)
IXYYIIYIYIXX (-0.009537148737102567+0j)
IYYXIIXZYIXY (-0.009537148737102567+0j)
IXYYIIXZYIXY (0.009537148737102567+0j)
ZIXZIIYIYIXX (-0.003747015383250126+0j)
IZXIIIYIYIXX (0.003747015383250126+0j)
ZIXZIIXZYIXY (0.003747015383250126+0j)
IZXIIIXZYIXY (-0.003747015383250126+0j)
ZXZIIIYIYIXX (0.0002791266248962903+0j)
IXIIIIYIYIXX (-0.0002791266248962903+0j)
ZXZIIIXZYIXY (-0.0002791266248962903+0j)
IXIIIIXZYIXY (0.0002791266248962903+0j)
IIIIIIIIIZZZ (0.11098940203154403+0j)
IIIIIIYIYXIZ (-0.024478678784779256+0j)
IIIIIIXZYYIZ (0.024478678784779256+0j)
IIIIIIIIZZIZ (0.12488905025026696+0j)
IIIIIIXYYZIZ (0.011380855562612955+0j)
IIIIIIXXXIZZ (0.011380855562612955+0j)
IIIIIIIZIIZZ (0.11264635671039147+0j)
IIIIIIZZIIZZ (0.11323660636606517+0j)
IIIIIZIIIIZZ (0.13887870838619845+0j)
IIIIZXZIZIZZ (0.011340211110013175+0j)
IIIIIXIIIIZZ (-0.011340211110013175+0j)
XIYIYXZIZIZZ (0.0004643354536219154+0j)
XIXZYYZIZIZZ (-0.0004643354536219154+0j)
XYZIYXZIZIZZ (-0.019677306483957636+0j)
XXZIYYZIZIZZ (0.019677306483957636+0j)
IIIIZZZIZIZZ (0.14294458392602533+0j)
XIYIYZZIZIZZ (0.002595215705446841+0j)
XIXZXIIIIIZZ (0.002595215705446841+0j)
XYZIYZZIZIZZ (0.007322335083749028+0j)
XXZIXIIIIIZZ (0.007322335083749028+0j)
IIIZIIIIIIZZ (0.1216416791499289+0j)
ZIXXIIIIIIZZ (0.02113116632914358+0j)
IZYYIIIIIIZZ (0.02113116632914358+0j)
IIZZIIIIIIZZ (0.13278619635238081+0j)
IYYZIIIIIIZZ (0.007863016470072865+0j)
IXXIIIIIIIZZ (0.007863016470072865+0j)
IZIIIIIIIIZZ (0.12591791053545304+0j)
ZZZIIIIIIIZZ (0.12175009370675238+0j)
IIIIIIIIZZXZ (-1.8982886787650977e-07+0j)
IIIIIIIIIIXI (1.8982886787650977e-07+0j)
IIIIIIXYYZXZ (3.7424254675910013e-06+0j)
IIIIIIXXYZYI (-3.7424254675910013e-06+0j)
IIIIIIYIYXXZ (0.002464278161460824+0j)
IIIIIIXZXYYZ (-0.0024640379540995802+0j)
IIIIIIYIXXYZ (-2.4020736124393677e-07+0j)
IIIIIIXZYXYI (-2.4020736124393677e-07+0j)
IIIIIIYIYYYI (0.0024640379540995802+0j)
IIIIIIXZXXXI (-0.002464278161460824+0j)
IIIIIIZXIYYZ (0.004580744561579059+0j)
IIIIIIIXIYYZ (-0.004578776823398338+0j)
IIIIIIZYIXYZ (-1.967738180721698e-06+0j)
IIIIIIIYIYXI (-1.967738180721698e-06+0j)
IIIIIIZXIXXI (0.004578776823398338+0j)
IIIIIIIXIXXI (-0.004580744561579059+0j)
XIXYYXZIZYYZ (-0.011340618830608341+0j)
XIXXYYZIZYYZ (0.011340618830608341+0j)
XIXYYXZIZXXI (-0.011340618830608341+0j)
XIXXYYZIZXXI (0.011340618830608341+0j)
YIIIYXZIZYYZ (0.0038061412612950545+0j)
XZZIYYZIZYYZ (-0.0038061412612950545+0j)
YIIIYXZIZXXI (0.0038061412612950545+0j)
XZZIYYZIZXXI (-0.0038061412612950545+0j)
XIXYYZZIZYYZ (0.010652277118384871+0j)
XIXXXIIIIYYZ (0.010652277118384871+0j)
XIXYYZZIZXXI (0.010652277118384871+0j)
XIXXXIIIIXXI (0.010652277118384871+0j)
YIIIYZZIZYYZ (-0.003347512455635675+0j)
XZZIXIIIIYYZ (-0.003347512455635675+0j)
YIIIYZZIZXXI (-0.003347512455635675+0j)
XZZIXIIIIXXI (-0.003347512455635675+0j)
IIZXIIIIIYYZ (-0.002595120387374727+0j)
IIIXIIIIIYYZ (0.002595120387374727+0j)
IIZXIIIIIXXI (-0.002595120387374727+0j)
IIIXIIIIIXXI (0.002595120387374727+0j)
IYYXIIIIIYYZ (0.007320446767139862+0j)
IXYYIIIIIYYZ (-0.007320446767139862+0j)
IYYXIIIIIXXI (0.007320446767139862+0j)
IXYYIIIIIXXI (-0.007320446767139862+0j)
ZIXZIIIIIYYZ (0.005080502233136274+0j)
IZXIIIIIIYYZ (-0.005080502233136274+0j)
ZIXZIIIIIXXI (0.005080502233136274+0j)
IZXIIIIIIXXI (-0.005080502233136274+0j)
ZXZIIIIIIYYZ (0.011105916466319681+0j)
IXIIIIIIIYYZ (-0.011105916466319681+0j)
ZXZIIIIIIXXI (0.011105916466319681+0j)
IXIIIIIIIXXI (-0.011105916466319681+0j)
IIIIIIXYXZYZ (5.398288867202556e-06+0j)
IIIIIIXXXZXI (5.398288867202556e-06+0j)
IIIIIIIZZIXZ (-1.000166328392815e-06+0j)
IIIIIIIZIZXI (1.000166328392815e-06+0j)
IIIIIIZZZIXZ (-0.001276070648437497+0j)
IIIIIIZZIZXI (0.001276070648437497+0j)
IIIIIZIIZIXZ (-3.4569130554710625e-07+0j)
IIIIIZIIIZXI (3.4569130554710625e-07+0j)
IIIIZXZIIIXZ (-0.0008062968434918021+0j)
IIIIIXIIZIXZ (0.0008062968434918021+0j)
IIIIZXZIZZXI (0.0008062968434918021+0j)
IIIIIXIIIZXI (-0.0008062968434918021+0j)
XYZIYXZIIIXZ (1.0275366766839033e-06+0j)
XXZIYYZIIIXZ (-1.0275366766839033e-06+0j)
XYZIYXZIZZXI (-1.0275366766839033e-06+0j)
XXZIYYZIZZXI (1.0275366766839033e-06+0j)
IIIIZZZIIIXZ (-0.002595215705446841+0j)
IIIIZZZIZZXI (0.002595215705446841+0j)
XIYIYZZIIIXZ (-0.007897146102113848+0j)
XIXZXIIIZIXZ (-0.007897146102113848+0j)
XIYIYZZIZZXI (0.007897146102113848+0j)
XIXZXIIIIZXI (0.007897146102113848+0j)
XYZIYZZIIIXZ (-0.0035178390925400915+0j)
XXZIXIIIZIXZ (-0.0035178390925400915+0j)
XYZIYZZIZZXI (0.0035178390925400915+0j)
XXZIXIIIIZXI (0.0035178390925400915+0j)
IIIZIIIIZIXZ (0.0025949305585068506+0j)
IIIZIIIIIZXI (-0.0025949305585068506+0j)
ZIXXIIIIZIXZ (-0.0026164642790366924+0j)
IZYYIIIIZIXZ (-0.0026164642790366924+0j)
ZIXXIIIIIZXI (0.0026164642790366924+0j)
IZYYIIIIIZXI (0.0026164642790366924+0j)
IIZZIIIIZIXZ (-4.7483690407022425e-07+0j)
IIZZIIIIIZXI (4.7483690407022425e-07+0j)
IYYZIIIIZIXZ (6.523287090288749e-07+0j)
IXXIIIIIZIXZ (6.523287090288749e-07+0j)
IYYZIIIIIZXI (-6.523287090288749e-07+0j)
IXXIIIIIIZXI (-6.523287090288749e-07+0j)
IZIIIIIIZIXZ (9.710071922361743e-07+0j)
IZIIIIIIIZXI (-9.710071922361743e-07+0j)
ZZZIIIIIZIXZ (0.0036848174025869585+0j)
ZZZIIIIIIZXI (-0.0036848174025869585+0j)
IIIIIIYXYIXZ (0.002379121167221266+0j)
IIIIIIYYYIYI (0.002379121167221266+0j)
IIIIIZXYYIXZ (4.340647689616813e-06+0j)
IIIIIZXXYIYI (-4.340647689616813e-06+0j)
IIIIZXYYXIXZ (0.005199859187764931+0j)
IIIIIXXYYIXZ (-0.005199859187764931+0j)
IIIIZXYXXIYI (-0.005199859187764931+0j)
IIIIIXXXYIYI (0.005199859187764931+0j)
XIYIYXYYXIXZ (-1.8665224783189632e-06+0j)
XIXZYYYYXIXZ (1.8665224783189632e-06+0j)
XIYIYXYXXIYI (1.8665224783189632e-06+0j)
XIXZYYYXXIYI (-1.8665224783189632e-06+0j)
XYZIYXYYXIXZ (-4.069101661691209e-06+0j)
XXZIYYYYXIXZ (4.069101661691209e-06+0j)
XYZIYXYXXIYI (4.069101661691209e-06+0j)
XXZIYYYXXIYI (-4.069101661691209e-06+0j)
IIIIZZYYXIXZ (0.007322335083749028+0j)
IIIIZZYXXIYI (-0.007322335083749028+0j)
XIYIYZYYXIXZ (0.0035178390925400915+0j)
XIXZXIXYYIXZ (0.0035178390925400915+0j)
XIYIYZYXXIYI (-0.0035178390925400915+0j)
XIXZXIXXYIYI (-0.0035178390925400915+0j)
XYZIYZYYXIXZ (0.013271553825061564+0j)
XXZIXIXYYIXZ (0.013271553825061564+0j)
XYZIYZYXXIYI (-0.013271553825061564+0j)
XXZIXIXXYIYI (-0.013271553825061564+0j)
IIIZIIXYYIXZ (-0.007316704341672272+0j)
IIIZIIXXYIYI (0.007316704341672272+0j)
ZIXXIIXYYIXZ (0.0065271396429213415+0j)
IZYYIIXYYIXZ (0.0065271396429213415+0j)
ZIXXIIXXYIYI (-0.0065271396429213415+0j)
IZYYIIXXYIYI (-0.0065271396429213415+0j)
IIZZIIXYYIXZ (6.050617576231431e-06+0j)
IIZZIIXXYIYI (-6.050617576231431e-06+0j)
IYYZIIXYYIXZ (1.9711735206289892e-06+0j)
IXXIIIXYYIXZ (1.9711735206289892e-06+0j)
IYYZIIXXYIYI (-1.9711735206289892e-06+0j)
IXXIIIXXYIYI (-1.9711735206289892e-06+0j)
IZIIIIXYYIXZ (-3.540470284767519e-07+0j)
IZIIIIXXYIYI (3.540470284767519e-07+0j)
ZZZIIIXYYIXZ (-0.008828183859850416+0j)
ZZZIIIXXYIYI (0.008828183859850416+0j)
XIXYYXXIXIXZ (-0.010293100533311185+0j)
XIXXYYXIXIXZ (0.010293100533311185+0j)
XIXYYXYZXIYI (-0.010293100533311185+0j)
XIXXYYYZXIYI (0.010293100533311185+0j)
YIIIYXXIXIXZ (0.0015656357302589112+0j)
XZZIYYXIXIXZ (-0.0015656357302589112+0j)
YIIIYXYZXIYI (0.0015656357302589112+0j)
XZZIYYYZXIYI (-0.0015656357302589112+0j)
XIXYYZXIXIXZ (0.003347512455635675+0j)
XIXXXIYIYIXZ (-0.003347512455635675+0j)
XIXYYZYZXIYI (0.003347512455635675+0j)
XIXXXIXZYIYI (0.003347512455635675+0j)
YIIIYZXIXIXZ (-0.008513487340687216+0j)
XZZIXIYIYIXZ (0.008513487340687216+0j)
YIIIYZYZXIYI (-0.008513487340687216+0j)
XZZIXIXZYIYI (-0.008513487340687216+0j)
IIZXIIYIYIXZ (0.002616224071675449+0j)
IIIXIIYIYIXZ (-0.002616224071675449+0j)
IIZXIIXZYIYI (-0.002616224071675449+0j)
IIIXIIXZYIYI (0.002616224071675449+0j)
IYYXIIYIYIXZ (-0.006525171904740619+0j)
IXYYIIYIYIXZ (0.006525171904740619+0j)
IYYXIIXZYIYI (0.006525171904740619+0j)
IXYYIIXZYIYI (-0.006525171904740619+0j)
ZIXZIIYIYIXZ (-0.004960888051024456+0j)
IZXIIIYIYIXZ (0.004960888051024456+0j)
ZIXZIIXZYIYI (0.004960888051024456+0j)
IZXIIIXZYIYI (-0.004960888051024456+0j)
ZXZIIIYIYIXZ (-0.01120730502707168+0j)
IXIIIIYIYIXZ (0.01120730502707168+0j)
ZXZIIIXZYIYI (0.01120730502707168+0j)
IXIIIIXZYIYI (-0.01120730502707168+0j)
IIIIIIIIZIZI (0.1248889076900339+0j)
IIIIIIXYYIZI (0.011380108185456615+0j)
IIIIIIXXXZII (0.011380108185456615+0j)
IIIIIIIZIZII (0.11264877041042358+0j)
IIIIIIZZIZII (0.10554721363499123+0j)
IIIIIZIIIZII (0.1388779545371761+0j)
IIIIZXZIZZII (-0.01134064577183611+0j)
IIIIIXIIIZII (0.01134064577183611+0j)
XIYIYXZIZZII (0.00046402693834593153+0j)
XIXZYYZIZZII (-0.00046402693834593153+0j)
XYZIYXZIZZII (-0.019676955183272504+0j)
XXZIYYZIZZII (0.019676955183272504+0j)
IIIIZZZIZZII (0.1216416791499289+0j)
