Bravyi-Kitaev mapping of ethylene Hamiltonian in sto3g basis.
IIIIIIIIIIIIIIIIIIIIIIIIIIII (-80.08225714874858+0j)
IIIIIIIIIIIIIIIIZZZIIIIIIIII (0.2312370201655612+0j)
IIIIIIIIIIIIIIIZIIIIIIIIIIII (0.21544296833046683+0j)
IIIIIIIIIIIIIIZZIIIIIIIIIIII (0.351776854884817+0j)
IIIIIIIIIIIIIZIIIIIIIIIIIIII (6.456447352280452+0j)
IIIIXIIIXIXYYXZIZIIIZIIIIIII (0.0736007878939414+0j)
IIIIXIIIXIXXYYZIZIIIZIIIIIII (-0.0736007878939414+0j)
IIIIXIIIYIIIYXZIZIIIZIIIIIII (0.0004595621310632252+0j)
IIIIXIIIXZZIYYZIZIIIZIIIIIII (-0.0004595621310632252+0j)
XIYIZIIIIIIIYXZIZIIIZIIIIIII (0.05049256494998424+0j)
XIXZZIIIIIIIYYZIZIIIZIIIIIII (-0.05049256494998424+0j)
IIIIIIIIIIIIZZZIZIIIZIIIIIII (6.456396882147132+0j)
IIIIXIIIXIYIYZZIZIIIZIIIIIII (0.05793683739519055+0j)
IIIIXIIIXIXZXIIIIIIIIIIIIIII (0.05793683739519055+0j)
XIXYZIIIIIIIYZZIZIIIZIIIIIII (0.06345936037279153+0j)
XIXXZIIIIIIIXIIIIIIIIIIIIIII (0.06345936037279153+0j)
YIIIZIIIIIIIYZZIZIIIZIIIIIII (0.029958379565388688+0j)
XZZIZIIIIIIIXIIIIIIIIIIIIIII (0.029958379565388688+0j)
IIIIIIIIIIIZIIIIIIIIIIIIIIII (0.9180053452739417+0j)
IIIIIIIIZIXXIIIIIIIIIIIIIIII (-0.10644687523851848+0j)
IIIIIIIIIZYYIIIIIIIIIIIIIIII (-0.10644687523851848+0j)
XIYIYIIIXIXXIIIIIIIIIIIIIIII (-0.08097085173931654+0j)
XIXZYIIIXIXYIIIIIIIIIIIIIIII (0.08097085173931654+0j)
IIIIIIIIIIZZIIIIIIIIIIIIIIII (0.7039458441239737+0j)
XIXYYIIIXIXZIIIIIIIIIIIIIIII (-0.148705733721679+0j)
XIXXYIIIXIYIIIIIIIIIIIIIIIII (0.148705733721679+0j)
YIIIYIIIXIXZIIIIIIIIIIIIIIII (-0.009826972252653795+0j)
XZZIYIIIXIYIIIIIIIIIIIIIIIII (0.009826972252653795+0j)
IIIIIIIIIZIIIIIIIIIIIIIIIIII (0.6462247451835721+0j)
IIIIZIIIXXZIIIIIIIIIIIIIIIII (0.15511797128768962+0j)
IIIIIZZIYYZIIIIIIIIIIIIIIIII (0.15511797128768962+0j)
IIIIIIIIZZZIIIIIIIIIIIIIIIII (0.6864208963854149+0j)
XIYIYIIIXZZIIIIIIIIIIIIIIIII (-0.10862145763090622+0j)
XIXZYIIIYIIIIIIIIIIIIIIIIIII (0.10862145763090622+0j)
IIIIIIIZIIIIIIIIIIIIIIIIIIII (0.5489982179943326+0j)
XYZIYIXXZIIIIIIIIIIIIIIIIIII (-0.15047408711743093+0j)
XXZIYIXYZIIIIIIIIIIIIIIIIIII (0.15047408711743093+0j)
IIIIIIZZIIIIIIIIIIIIIIIIIIII (0.6454128425574723+0j)
IIIIIZIIIIIIIIIIIIIIIIIIIIII (0.5242188496295739+0j)
IIIIZZZIZIIIIIIIIIIIIIIIIIII (0.280492680851277+0j)
IIIZIIIIIIIIIIIIIIIIIIIIIIII (0.23902308815458043+0j)
ZIXXIIIIIIIIIIIIIIIIIIIIIIII (0.062287024511492664+0j)
IZYYIIIIIIIIIIIIIIIIIIIIIIII (0.062287024511492664+0j)
IIZZIIIIIIIIIIIIIIIIIIIIIIII (0.2312370201655634+0j)
IZIIIIIIIIIIIIIIIIIIIIIIIIII (0.2154429683304669+0j)
ZZZIIIIIIIIIIIIIIIIIIIIIIIII (0.35177685488481736+0j)
IIIIIIIIIIIIIIIIIIIIIIIIIIZI (0.0992524302529108+0j)
IIIIIIIIIIIIIIIIIIIIIIIIZIXI (-0.001208944169894914+0j)
IIIIIIIIIIIIIIIIIIIIIIIIIZXZ (0.001208944169894914+0j)
IIIIIIIIIIIIIIIIXYZIYIIIXIXI (0.0008315092930533605+0j)
IIIIIIIIIIIIIIIIXXZIYIIIXIYZ (-0.0008315092930533605+0j)
IIIIIIIIIIIIIIYIZIIIYIIIXIXI (-0.004018631663877981+0j)
IIIIIIIIIIIIIIXZZIIIYIIIXIYZ (0.004018631663877981+0j)
IIIIIIIIIIIIIIIIIIIIIIIIIZIZ (0.14484152548946946+0j)
IIIIIIIIIIIIIIIIIIIIIIYIYXZZ (0.026607424959019084+0j)
IIIIIIIIIIIIIIIIIIIIIIXZYYZZ (-0.026607424959019084+0j)
IIIIIIIIIIIIIIIIYIIIYIIIXXZZ (-0.017940745644012247+0j)
IIIIIIIIIIIIIIIIXZZIYIIIXYZZ (0.017940745644012247+0j)
IIIIIIIIIIIIIIIIIIIIIIIIZZZZ (0.11722046481278132+0j)
IIIIIIIIIIIIIIIIXYZIYIIIXZZZ (-0.03428044867262285+0j)
IIIIIIIIIIIIIIIIXXZIYIIIYIIZ (0.03428044867262285+0j)
IIIIIIIIIIIIIIYIZIIIYIIIXZZZ (0.0015103355904811063+0j)
IIIIIIIIIIIIIIXZZIIIYIIIYIIZ (-0.0015103355904811063+0j)
IIIIIIIIIIIIIIIIIIIIIIIZIIIZ (0.11866071835670451+0j)
IIIIIIIIIIIIIIIIXIYIYIXXZIIZ (-0.038146416284262456+0j)
IIIIIIIIIIIIIIIIXIXZYIXYZIIZ (0.038146416284262456+0j)
IIIIIIIIIIIIIIIIIIIIIIZZIIIZ (0.13757863091797984+0j)
IIIIIIIIIIIIIIIIYIIIYIXZZIIZ (-0.02933410931815437+0j)
IIIIIIIIIIIIIIIIXZZIYIYIZIIZ (0.02933410931815437+0j)
IIIIIIIIIIIIIIIIIIIIIZIIIIIZ (0.11057122389797543+0j)
IIIIIIIIIIIIIIXYZIIIYXZIZIIZ (-0.040901423095982964+0j)
IIIIIIIIIIIIIIXXZIIIYYZIZIIZ (0.040901423095982964+0j)
IIIIIIIIIIIIIIIIIIIIZZZIZIIZ (0.14660057229661758+0j)
IIIIIIIIIIIIIIIIIIIZIIIIIIIZ (0.1540681215927093+0j)
IIIIIIIIIIIIIIIIIIZZIIIIIIIZ (0.12261724326116195+0j)
IIIIIIIIIIIIIIIIIZIIIIIIIIIZ (0.11652764067514892+0j)
IIIIIIIIIIIIIIYIYXZIIIIIIIIZ (-0.012437072137702138+0j)
IIIIIIIIIIIIIIXZYYZIIIIIIIIZ (0.012437072137702138+0j)
IIIIIIIIIIIIIIIIZZZIIIIIIIIZ (0.11703161686162555+0j)
IIIIIIIIIIIIIIIZIIIIIIIIIIIZ (0.14194626830700907+0j)
IIIIIIIIIIIIIIZZIIIIIIIIIIIZ (0.18253996961602353+0j)
IIIIIIIIIIIIIZIIIIIIIIIIIIIZ (0.4876362211482996+0j)
IIIIXIIIXIXYYXZIZIIIZIIIIIIZ (0.04159166901759588+0j)
IIIIXIIIXIXXYYZIZIIIZIIIIIIZ (-0.04159166901759588+0j)
IIIIXIIIYIIIYXZIZIIIZIIIIIIZ (-0.0019920157102347896+0j)
IIIIXIIIXZZIYYZIZIIIZIIIIIIZ (0.0019920157102347896+0j)
XIYIZIIIIIIIYXZIZIIIZIIIIIIZ (0.02949031369654392+0j)
XIXZZIIIIIIIYYZIZIIIZIIIIIIZ (-0.02949031369654392+0j)
IIIIIIIIIIIIZZZIZIIIZIIIIIIZ (0.48747149479506313+0j)
IIIIXIIIXIYIYZZIZIIIZIIIIIIZ (0.03242752595881281+0j)
IIIIXIIIXIXZXIIIIIIIIIIIIIIZ (0.03242752595881281+0j)
XIXYZIIIIIIIYZZIZIIIZIIIIIIZ (0.039443099624153204+0j)
XIXXZIIIIIIIXIIIIIIIIIIIIIIZ (0.039443099624153204+0j)
YIIIZIIIIIIIYZZIZIIIZIIIIIIZ (0.023414507755896385+0j)
XZZIZIIIIIIIXIIIIIIIIIIIIIIZ (0.023414507755896385+0j)
IIIIIIIIIIIZIIIIIIIIIIIIIIIZ (0.15124214478636078+0j)
IIIIIIIIZIXXIIIIIIIIIIIIIIIZ (-0.027606934615225072+0j)
IIIIIIIIIZYYIIIIIIIIIIIIIIIZ (-0.027606934615225072+0j)
XIYIYIIIXIXXIIIIIIIIIIIIIIIZ (-0.021879698258785524+0j)
XIXZYIIIXIXYIIIIIIIIIIIIIIIZ (0.021879698258785524+0j)
IIIIIIIIIIZZIIIIIIIIIIIIIIIZ (0.12112935913566801+0j)
XIXYYIIIXIXZIIIIIIIIIIIIIIIZ (-0.039021382223383916+0j)
XIXXYIIIXIYIIIIIIIIIIIIIIIIZ (0.039021382223383916+0j)
YIIIYIIIXIXZIIIIIIIIIIIIIIIZ (-0.0003204333345041609+0j)
XZZIYIIIXIYIIIIIIIIIIIIIIIIZ (0.0003204333345041609+0j)
IIIIIIIIIZIIIIIIIIIIIIIIIIIZ (0.1197905473503228+0j)
IIIIZIIIXXZIIIIIIIIIIIIIIIIZ (0.03970085702905448+0j)
IIIIIZZIYYZIIIIIIIIIIIIIIIIZ (0.03970085702905448+0j)
IIIIIIIIZZZIIIIIIIIIIIIIIIIZ (0.13947709311137313+0j)
XIYIYIIIXZZIIIIIIIIIIIIIIIIZ (-0.030495677902882243+0j)
XIXZYIIIYIIIIIIIIIIIIIIIIIIZ (0.030495677902882243+0j)
IIIIIIIZIIIIIIIIIIIIIIIIIIIZ (0.11154169763507209+0j)
XYZIYIXXZIIIIIIIIIIIIIIIIIIZ (-0.042769457410014165+0j)
XXZIYIXYZIIIIIIIIIIIIIIIIIIZ (0.042769457410014165+0j)
IIIIIIZZIIIIIIIIIIIIIIIIIIIZ (0.1490172273607311+0j)
IIIIIZIIIIIIIIIIIIIIIIIIIIIZ (0.15734877422263974+0j)
IIIIZZZIZIIIIIIIIIIIIIIIIIIZ (0.12476930634773839+0j)
IIIZIIIIIIIIIIIIIIIIIIIIIIIZ (0.12234691162051338+0j)
ZIXXIIIIIIIIIIIIIIIIIIIIIIIZ (0.015282847641389678+0j)
IZYYIIIIIIIIIIIIIIIIIIIIIIIZ (0.015282847641389678+0j)
IIZZIIIIIIIIIIIIIIIIIIIIIIIZ (0.12127887293042079+0j)
IZIIIIIIIIIIIIIIIIIIIIIIIIIZ (0.145562361468677+0j)
ZZZIIIIIIIIIIIIIIIIIIIIIIIIZ (0.18988609681539256+0j)
IIIIIIIIIIIIIIIIIIIIIIIIIYXY (-0.0006724759879068593+0j)
IIIIIIIIIIIIIIIIIIIIIIIIIXXX (-0.0006724759879068593+0j)
IIIIIIIIIIIIIIIIIIIIIIYIYIYY (-0.002858811136751116+0j)
IIIIIIIIIIIIIIIIIIIIIIXZYIYX (-0.002858811136751116+0j)
IIIIIIIIIIIIIIIIYIIIYIIIXIYY (-0.0021542400204621406+0j)
IIIIIIIIIIIIIIIIXZZIYIIIXIYX (-0.0021542400204621406+0j)
IIIIIIIIIIIIIIIIIIIIIIIIZXIX (0.0363090041289108+0j)
IIIIIIIIIIIIIIIIIIIIIIIIIXZX (-0.036324117101077524+0j)
IIIIIIIIIIIIIIIIIIIIIIIIZYZY (-1.5112972166724144e-05+0j)
IIIIIIIIIIIIIIIIIIIIIIIIIYZY (-1.5112972166724144e-05+0j)
IIIIIIIIIIIIIIIIIIIIIIIIZXZX (-0.036324117101077524+0j)
IIIIIIIIIIIIIIIIIIIIIIIIIXIX (0.0363090041289108+0j)
IIIIIIIIIIIIIIIIXYZIYIIIXXIX (-0.02659772825619701+0j)
IIIIIIIIIIIIIIIIXXZIYIIIXYIX (0.026608013056609977+0j)
IIIIIIIIIIIIIIIIXYZIYIIIXYZY (1.0284800412967837e-05+0j)
IIIIIIIIIIIIIIIIXXZIYIIIXXIY (-1.0284800412967837e-05+0j)
IIIIIIIIIIIIIIIIXYZIYIIIXXZX (0.026608013056609977+0j)
IIIIIIIIIIIIIIIIXXZIYIIIXYZX (-0.02659772825619701+0j)
IIIIIIIIIIIIIIYIZIIIYIIIXXIX (-0.0289729653112622+0j)
IIIIIIIIIIIIIIXZZIIIYIIIXYIX (0.0289287700459889+0j)
IIIIIIIIIIIIIIYIZIIIYIIIXYZY (-4.419526527330714e-05+0j)
IIIIIIIIIIIIIIXZZIIIYIIIXXIY (4.419526527330714e-05+0j)
IIIIIIIIIIIIIIYIZIIIYIIIXXZX (0.0289287700459889+0j)
IIIIIIIIIIIIIIXZZIIIYIIIXYZX (-0.0289729653112622+0j)
IIIIIIIIIIIIIIIIIIIIIIYIYZIX (-0.030585734542066482+0j)
IIIIIIIIIIIIIIIIIIIIIIXZXIZX (-0.030654881630832395+0j)
IIIIIIIIIIIIIIIIIIIIIIYIXIIY (-6.91470887659129e-05+0j)
IIIIIIIIIIIIIIIIIIIIIIXZYZIY (-6.91470887659129e-05+0j)
IIIIIIIIIIIIIIIIIIIIIIYIYZZX (0.030654881630832395+0j)
IIIIIIIIIIIIIIIIIIIIIIXZXIIX (0.030585734542066482+0j)
IIIIIIIIIIIIIIIIYIIIYIIIXZIX (-0.0257978797982777+0j)
IIIIIIIIIIIIIIIIXZZIYIIIYIZX (0.025850877247775683+0j)
IIIIIIIIIIIIIIIIYIIIYIIIYIIY (5.299744949797784e-05+0j)
IIIIIIIIIIIIIIIIXZZIYIIIXZIY (-5.299744949797784e-05+0j)
IIIIIIIIIIIIIIIIYIIIYIIIXZZX (0.025850877247775683+0j)
IIIIIIIIIIIIIIIIXZZIYIIIYIIX (-0.0257978797982777+0j)
IIIIIIIIIIIIIIIIIIIIIYYXIIZX (-0.03975643253618253+0j)
IIIIIIIIIIIIIIIIIIIIIXYYIIZX (0.03970731830308794+0j)
IIIIIIIIIIIIIIIIIIIIIYYYIIIY (-4.9114233094599453e-05+0j)
IIIIIIIIIIIIIIIIIIIIIXYXIIZY (4.9114233094599453e-05+0j)
IIIIIIIIIIIIIIIIIIIIIYYXIIIX (0.03970731830308794+0j)
IIIIIIIIIIIIIIIIIIIIIXYYIIIX (-0.03975643253618253+0j)
IIIIIIIIIIIIIIXYZIIIYIXXZIZX (-0.02956208851715681+0j)
IIIIIIIIIIIIIIXXZIIIYIXYZIZX (0.029475513237048143+0j)
IIIIIIIIIIIIIIXYZIIIYIXYZIIY (-8.657528010866389e-05+0j)
IIIIIIIIIIIIIIXXZIIIYIXXZIZY (8.657528010866389e-05+0j)
IIIIIIIIIIIIIIXYZIIIYIXXZIIX (0.029475513237048143+0j)
IIIIIIIIIIIIIIXXZIIIYIXYZIIX (-0.02956208851715681+0j)
IIIIIIIIIIIIIIIIXYZIYIXZZIZX (-0.003624583657765087+0j)
IIIIIIIIIIIIIIIIXXZIYIYIZIZX (0.003578080492161866+0j)
IIIIIIIIIIIIIIIIXYZIYIYIZIIY (-4.650316560322128e-05+0j)
IIIIIIIIIIIIIIIIXXZIYIXZZIZY (4.650316560322128e-05+0j)
IIIIIIIIIIIIIIIIXYZIYIXZZIIX (0.003578080492161866+0j)
IIIIIIIIIIIIIIIIXXZIYIYIZIIX (-0.003624583657765087+0j)
IIIIIIIIIIIIIIYIZIIIYIXZZIZX (0.048746378065021405+0j)
IIIIIIIIIIIIIIXZZIIIYIYIZIZX (-0.04852864406189061+0j)
IIIIIIIIIIIIIIYIZIIIYIYIZIIY (0.00021773400313078017+0j)
IIIIIIIIIIIIIIXZZIIIYIXZZIZY (-0.00021773400313078017+0j)
IIIIIIIIIIIIIIYIZIIIYIXZZIIX (-0.04852864406189061+0j)
IIIIIIIIIIIIIIXZZIIIYIYIZIIX (0.048746378065021405+0j)
IIIIIIIIIIIIIIIIXIYIYXZIZIZX (-0.013669549949904292+0j)
IIIIIIIIIIIIIIIIXIXZYYZIZIZX (0.01373299876639061+0j)
IIIIIIIIIIIIIIIIXIYIYYZIZIIY (6.344881648631976e-05+0j)
IIIIIIIIIIIIIIIIXIXZYXZIZIZY (-6.344881648631976e-05+0j)
IIIIIIIIIIIIIIIIXIYIYXZIZIIX (0.01373299876639061+0j)
IIIIIIIIIIIIIIIIXIXZYYZIZIIX (-0.013669549949904292+0j)
IIIIIIIIIIIIIIIIXIXYYZZIZIZX (0.05988561582161427+0j)
IIIIIIIIIIIIIIIIXIXXXIIIIIZX (0.05975824877494101+0j)
IIIIIIIIIIIIIIIIXIXYXIIIIIIY (-0.00012736704667325877+0j)
IIIIIIIIIIIIIIIIXIXXYZZIZIZY (-0.00012736704667325877+0j)
IIIIIIIIIIIIIIIIXIXYYZZIZIIX (-0.05975824877494101+0j)
IIIIIIIIIIIIIIIIXIXXXIIIIIIX (-0.05988561582161427+0j)
IIIIIIIIIIIIIIXYYIXZIIIIIIZX (-0.05069893883223142+0j)
IIIIIIIIIIIIIIXXYIYIIIIIIIZX (0.05058685608527069+0j)
IIIIIIIIIIIIIIXYYIYIIIIIIIIY (-0.0001120827469607141+0j)
IIIIIIIIIIIIIIXXYIXZIIIIIIZY (0.0001120827469607141+0j)
IIIIIIIIIIIIIIXYYIXZIIIIIIIX (0.05058685608527069+0j)
IIIIIIIIIIIIIIXXYIYIIIIIIIIX (-0.05069893883223142+0j)
IIIIIIIIIIIIIIIIZXZIIIIIIIZX (0.044148599172450294+0j)
IIIIIIIIIIIIIIIIIXIIIIIIIIZX (-0.04418408008725487+0j)
IIIIIIIIIIIIIIIIZYZIIIIIIIIY (-3.548091480456289e-05+0j)
IIIIIIIIIIIIIIIIIYIIIIIIIIZY (-3.548091480456289e-05+0j)
IIIIIIIIIIIIIIIIZXZIIIIIIIIX (-0.04418408008725487+0j)
IIIIIIIIIIIIIIIIIXIIIIIIIIIX (0.044148599172450294+0j)
IIIIIIIIIIIIIIYIYZZIIIIIIIZX (0.025587886416171792+0j)
IIIIIIIIIIIIIIXZXIIIIIIIIIZX (0.025417406092915915+0j)
IIIIIIIIIIIIIIYIXIIIIIIIIIIY (-0.0001704803232558754+0j)
IIIIIIIIIIIIIIXZYZZIIIIIIIZY (-0.0001704803232558754+0j)
IIIIIIIIIIIIIIYIYZZIIIIIIIIX (-0.025417406092915915+0j)
IIIIIIIIIIIIIIXZXIIIIIIIIIIX (-0.025587886416171792+0j)
IIIIIIIIIIIIZXZIZIIIZIIIIIZX (0.3882190645421523+0j)
IIIIIIIIIIIIIXIIIIIIIIIIIIZX (-0.3882190645421523+0j)
IIIIIIIIIIIIZXZIZIIIZIIIIIIX (-0.3882190645421523+0j)
IIIIIIIIIIIIIXIIIIIIIIIIIIIX (0.3882190645421523+0j)
IIIIXIIIXIYIYXZIZIIIZIIIIIZX (0.0312185817889179+0j)
IIIIXIIIXIXZYYZIZIIIZIIIIIZX (-0.0312185817889179+0j)
IIIIXIIIXIYIYXZIZIIIZIIIIIIX (-0.0312185817889179+0j)
IIIIXIIIXIXZYYZIZIIIZIIIIIIX (0.0312185817889179+0j)
XIXYZIIIIIIIYXZIZIIIZIIIIIZX (0.03861159033109984+0j)
XIXXZIIIIIIIYYZIZIIIZIIIIIZX (-0.03861159033109984+0j)
XIXYZIIIIIIIYXZIZIIIZIIIIIIX (-0.03861159033109984+0j)
XIXXZIIIIIIIYYZIZIIIZIIIIIIX (0.03861159033109984+0j)
YIIIZIIIIIIIYXZIZIIIZIIIIIZX (0.02743313941977437+0j)
XZZIZIIIIIIIYYZIZIIIZIIIIIZX (-0.02743313941977437+0j)
YIIIZIIIIIIIYXZIZIIIZIIIIIIX (-0.02743313941977437+0j)
XZZIZIIIIIIIYYZIZIIIZIIIIIIX (0.02743313941977437+0j)
IIIIXIIIXIXYYZZIZIIIZIIIIIZX (0.04223023932639346+0j)
IIIIXIIIXIXXXIIIIIIIIIIIIIZX (0.04223023932639346+0j)
IIIIXIIIXIXYYZZIZIIIZIIIIIIX (-0.04223023932639346+0j)
IIIIXIIIXIXXXIIIIIIIIIIIIIIX (-0.04223023932639346+0j)
IIIIXIIIYIIIYZZIZIIIZIIIIIZX (-0.004828701281057993+0j)
IIIIXIIIXZZIXIIIIIIIIIIIIIZX (-0.004828701281057993+0j)
IIIIXIIIYIIIYZZIZIIIZIIIIIIX (0.004828701281057993+0j)
IIIIXIIIXZZIXIIIIIIIIIIIIIIX (0.004828701281057993+0j)
XIYIZIIIIIIIYZZIZIIIZIIIIIZX (0.02733253376156675+0j)
XIXZZIIIIIIIXIIIIIIIIIIIIIZX (0.02733253376156675+0j)
XIYIZIIIIIIIYZZIZIIIZIIIIIIX (-0.02733253376156675+0j)
XIXZZIIIIIIIXIIIIIIIIIIIIIIX (-0.02733253376156675+0j)
IIIIIIIIIIZXIIIIIIIIIIIIIIZX (0.04090565728689443+0j)
IIIIIIIIIIIXIIIIIIIIIIIIIIZX (-0.04090565728689443+0j)
IIIIIIIIIIZXIIIIIIIIIIIIIIIX (-0.04090565728689443+0j)
IIIIIIIIIIIXIIIIIIIIIIIIIIIX (0.04090565728689443+0j)
XIXYYIIIXIXXIIIIIIIIIIIIIIZX (-0.03241505862318652+0j)
XIXXYIIIXIXYIIIIIIIIIIIIIIZX (0.03241505862318652+0j)
XIXYYIIIXIXXIIIIIIIIIIIIIIIX (0.03241505862318652+0j)
XIXXYIIIXIXYIIIIIIIIIIIIIIIX (-0.03241505862318652+0j)
YIIIYIIIXIXXIIIIIIIIIIIIIIZX (-0.033629216732094264+0j)
XZZIYIIIXIXYIIIIIIIIIIIIIIZX (0.033629216732094264+0j)
YIIIYIIIXIXXIIIIIIIIIIIIIIIX (0.033629216732094264+0j)
XZZIYIIIXIXYIIIIIIIIIIIIIIIX (-0.033629216732094264+0j)
IIIIIIIIZIXZIIIIIIIIIIIIIIZX (0.03094050199676287+0j)
IIIIIIIIIZXIIIIIIIIIIIIIIIZX (-0.03094050199676287+0j)
IIIIIIIIZIXZIIIIIIIIIIIIIIIX (-0.03094050199676287+0j)
IIIIIIIIIZXIIIIIIIIIIIIIIIIX (0.03094050199676287+0j)
XIYIYIIIXIXZIIIIIIIIIIIIIIZX (-0.029708864511204802+0j)
XIXZYIIIXIYIIIIIIIIIIIIIIIZX (0.029708864511204802+0j)
XIYIYIIIXIXZIIIIIIIIIIIIIIIX (0.029708864511204802+0j)
XIXZYIIIXIYIIIIIIIIIIIIIIIIX (-0.029708864511204802+0j)
IIIIIIXYYXZIIIIIIIIIIIIIIIZX (-0.040778872448012406+0j)
IIIIIIXXYYZIIIIIIIIIIIIIIIZX (0.040778872448012406+0j)
IIIIIIXYYXZIIIIIIIIIIIIIIIIX (0.040778872448012406+0j)
IIIIIIXXYYZIIIIIIIIIIIIIIIIX (-0.040778872448012406+0j)
XYZIYIIIXXZIIIIIIIIIIIIIIIZX (-0.031531264828822736+0j)
XXZIYIIIXYZIIIIIIIIIIIIIIIZX (0.031531264828822736+0j)
XYZIYIIIXXZIIIIIIIIIIIIIIIIX (0.031531264828822736+0j)
XXZIYIIIXYZIIIIIIIIIIIIIIIIX (-0.031531264828822736+0j)
XIXYYIIIXZZIIIIIIIIIIIIIIIZX (-0.0036491833861886586+0j)
XIXXYIIIYIIIIIIIIIIIIIIIIIZX (0.0036491833861886586+0j)
XIXYYIIIXZZIIIIIIIIIIIIIIIIX (0.0036491833861886586+0j)
XIXXYIIIYIIIIIIIIIIIIIIIIIIX (-0.0036491833861886586+0j)
YIIIYIIIXZZIIIIIIIIIIIIIIIZX (0.05193005433108016+0j)
XZZIYIIIYIIIIIIIIIIIIIIIIIZX (-0.05193005433108016+0j)
YIIIYIIIXZZIIIIIIIIIIIIIIIIX (-0.05193005433108016+0j)
XZZIYIIIYIIIIIIIIIIIIIIIIIIX (0.05193005433108016+0j)
IIIIZIXXZIIIIIIIIIIIIIIIIIZX (0.01514324763184019+0j)
IIIIIZYYIIIIIIIIIIIIIIIIIIZX (0.01514324763184019+0j)
IIIIZIXXZIIIIIIIIIIIIIIIIIIX (-0.01514324763184019+0j)
IIIIIZYYIIIIIIIIIIIIIIIIIIIX (-0.01514324763184019+0j)
IIIIIYYZIIIIIIIIIIIIIIIIIIZX (0.06263561816683987+0j)
IIIIIXXIIIIIIIIIIIIIIIIIIIZX (0.06263561816683987+0j)
IIIIIYYZIIIIIIIIIIIIIIIIIIIX (-0.06263561816683987+0j)
IIIIIXXIIIIIIIIIIIIIIIIIIIIX (-0.06263561816683987+0j)
XYZIYZZIZIIIIIIIIIIIIIIIIIZX (-0.05343130175652833+0j)
