Bravyi-Kitaev mapping of ethylene Hamiltonian in sto3g basis.
IIIIIIIIIIIIIIIIIIIIIIII (-51.161025573776655+0j)
IIIIIIIIIIIIXIXXYIXZZIZY (-0.00039743905596966+0j)
IIIIIIIIIIIIXIXYYIXZZIIX (-0.002033433285482113+0j)
IIIIIIIIIIIIXIXXYIYIZIIX (0.002430872341451772+0j)
IIIIIIIIIIIIIIIIZXZIZIZX (-0.005864429087585344+0j)
IIIIIIIIIIIIIIIIIXIIIIZX (0.004486020172642796+0j)
IIIIIIIIIIIIIIIIZYZIZIIY (-0.0013784089149425464+0j)
IIIIIIIIIIIIIIIIIYIIIIZY (-0.0013784089149425464+0j)
IIIIIIIIIIIIIIIIZXZIZIIX (0.004486020172642796+0j)
IIIIIIIIIIIIIIIIIXIIIIIX (-0.005864429087585344+0j)
IIIIIIIIIIIIZIXXIIIIIIZX (-0.004217912520736751+0j)
IIIIIIIIIIIIIZYYIIIIIIZX (-0.003562565261983196+0j)
IIIIIIIIIIIIZIXYIIIIIIIY (-0.0006553472587535543+0j)
IIIIIIIIIIIIIZYXIIIIIIZY (-0.0006553472587535543+0j)
IIIIIIIIIIIIZIXXIIIIIIIX (0.003562565261983196+0j)
IIIIIIIIIIIIIZYYIIIIIIIX (0.004217912520736751+0j)
IIIIIIIIIIIIIYYZIIIIIIZX (-0.0012873169407825347+0j)
IIIIIIIIIIIIIXXIIIIIIIZX (-0.0014314269858267709+0j)
IIIIIIIIIIIIIYXIIIIIIIIY (-0.00014411004504423616+0j)
IIIIIIIIIIIIIXYZIIIIIIZY (-0.00014411004504423616+0j)
IIIIIIIIIIIIIYYZIIIIIIIX (0.0014314269858267709+0j)
IIIIIIIIIIIIIXXIIIIIIIIX (0.0012873169407825347+0j)
IIIIIIIIIIZXIIIIIIIIIIZX (0.006380240857458412+0j)
IIIIIIIIIIIXIIIIIIIIIIZX (-0.006380240857458412+0j)
IIIIIIIIIIZXIIIIIIIIIIIX (-0.006380240857458412+0j)
IIIIIIIIIIIXIIIIIIIIIIIX (0.006380240857458412+0j)
XIIIXIXYYIXXZIIIZIIIIIZX (0.0009543396384186948+0j)
XIIIXIXXYIXYZIIIZIIIIIZX (-0.0009543396384186948+0j)
XIIIXIXYYIXXZIIIZIIIIIIX (-0.0009543396384186948+0j)
XIIIXIXXYIXYZIIIZIIIIIIX (0.0009543396384186948+0j)
XYZIZIIIYIXXZIIIZIIIIIZX (-0.003966365556982636+0j)
XXZIZIIIYIXYZIIIZIIIIIZX (0.003966365556982636+0j)
XYZIZIIIYIXXZIIIZIIIIIIX (0.003966365556982636+0j)
XXZIZIIIYIXYZIIIZIIIIIIX (-0.003966365556982636+0j)
IIIIIIIIIYYZIIIIIIIIIIZX (0.0015913619603503436+0j)
IIIIIIIIIXXIIIIIIIIIIIZX (0.0015913619603503436+0j)
IIIIIIIIIYYZIIIIIIIIIIIX (-0.0015913619603503436+0j)
IIIIIIIIIXXIIIIIIIIIIIIX (-0.0015913619603503436+0j)
XIYIZIIIYIXZZIIIZIIIIIZX (-0.0016311410890002822+0j)
XIXZZIIIYIYIZIIIZIIIIIZX (0.0016311410890002822+0j)
XIYIZIIIYIXZZIIIZIIIIIIX (0.0016311410890002822+0j)
XIXZZIIIYIYIZIIIZIIIIIIX (-0.0016311410890002822+0j)
XIIIXIXYYXZIZIIIZIIIIIZX (0.0009174036774723349+0j)
XIIIXIXXYYZIZIIIZIIIIIZX (-0.0009174036774723349+0j)
XIIIXIXYYXZIZIIIZIIIIIIX (-0.0009174036774723349+0j)
XIIIXIXXYYZIZIIIZIIIIIIX (0.0009174036774723349+0j)
XYZIZIIIYXZIZIIIZIIIIIZX (0.0015890011211556773+0j)
XXZIZIIIYYZIZIIIZIIIIIZX (-0.0015890011211556773+0j)
XYZIZIIIYXZIZIIIZIIIIIIX (-0.0015890011211556773+0j)
XXZIZIIIYYZIZIIIZIIIIIIX (0.0015890011211556773+0j)
XIIIXIYIYZZIZIIIZIIIIIZX (0.0009173441927131688+0j)
XIIIXIXZXIIIIIIIIIIIIIZX (0.0009173441927131688+0j)
XIIIXIYIYZZIZIIIZIIIIIIX (-0.0009173441927131688+0j)
XIIIXIXZXIIIIIIIIIIIIIIX (-0.0009173441927131688+0j)
YIIIIIIIYZZIZIIIZIIIIIZX (0.0009794053630319199+0j)
XZZIZIIIXIIIIIIIIIIIIIZX (0.0009794053630319199+0j)
YIIIIIIIYZZIZIIIZIIIIIIX (-0.0009794053630319199+0j)
XZZIZIIIXIIIIIIIIIIIIIIX (-0.0009794053630319199+0j)
IIYIYIXXIIIIIIIIIIIIIIZX (-0.00043967221344023836+0j)
IIXZYIXYIIIIIIIIIIIIIIZX (0.00043967221344023836+0j)
IIYIYIXXIIIIIIIIIIIIIIIX (0.00043967221344023836+0j)
IIXZYIXYIIIIIIIIIIIIIIIX (-0.00043967221344023836+0j)
IIXYYIXZIIIIIIIIIIIIIIZX (0.0005729143687747806+0j)
IIXXYIYIIIIIIIIIIIIIIIZX (-0.0005729143687747806+0j)
IIXYYIXZIIIIIIIIIIIIIIIX (-0.0005729143687747806+0j)
IIXXYIYIIIIIIIIIIIIIIIIX (0.0005729143687747806+0j)
IIIIZXZIIIIIIIIIIIIIIIZX (-0.0016830475396161348+0j)
IIIIIXIIIIIIIIIIIIIIIIZX (0.0016830475396161348+0j)
IIIIZXZIIIIIIIIIIIIIIIIX (0.0016830475396161348+0j)
IIIIIXIIIIIIIIIIIIIIIIIX (-0.0016830475396161348+0j)
ZIXXZIIIIIIIIIIIIIIIIIZX (-0.0015372787340676682+0j)
IZYYIIIIIIIIIIIIIIIIIIZX (-0.0015372787340676682+0j)
ZIXXZIIIIIIIIIIIIIIIIIIX (0.0015372787340676682+0j)
IZYYIIIIIIIIIIIIIIIIIIIX (0.0015372787340676682+0j)
IYYZIIIIIIIIIIIIIIIIIIZX (-0.0020458213373521967+0j)
IXXIIIIIIIIIIIIIIIIIIIZX (-0.0020458213373521967+0j)
IYYZIIIIIIIIIIIIIIIIIIIX (0.0020458213373521967+0j)
IXXIIIIIIIIIIIIIIIIIIIIX (0.0020458213373521967+0j)
IIIIIIIIIIIIXIYIYIIIXZXX (0.00011549084790412581+0j)
IIIIIIIIIIIIXIXZYIIIXZXY (-0.00011549084790412581+0j)
IIIIIIIIIIIIIIIIIIIIZXXX (-0.0021764828513992688+0j)
IIIIIIIIIIIIIIIIIIIIZYXY (-0.0021764828513992688+0j)
IIIIIIIIIIIIXIXYYIIIXXXX (0.0028659958502875813+0j)
IIIIIIIIIIIIXIXXYIIIYYYX (0.0016273022372658053+0j)
IIIIIIIIIIIIXIXYYIIIYXYX (0.001238693613021776+0j)
IIIIIIIIIIIIXIXXYIIIXXXY (-0.001238693613021776+0j)
IIIIIIIIIIIIXIXYYIIIXYXY (0.0016273022372658053+0j)
IIIIIIIIIIIIXIXXYIIIYXYY (-0.0028659958502875813+0j)
IIIIIIIIIIIIIIIIIIIZIYYX (0.003680193724840503+0j)
IIIIIIIIIIIIIIIIIIIZIXYY (-0.003680193724840503+0j)
IIIIIIIIIIIIXYZIYIXXZYYX (-0.0017857281439874412+0j)
IIIIIIIIIIIIXXZIYIXYZYYX (0.0017861227467759753+0j)
IIIIIIIIIIIIXYZIYIXYZXYX (-3.946027885344972e-07+0j)
IIIIIIIIIIIIXXZIYIXXZYYY (-3.946027885344972e-07+0j)
IIIIIIIIIIIIXYZIYIXXZXYY (0.0017861227467759753+0j)
IIIIIIIIIIIIXXZIYIXYZXYY (-0.0017857281439874412+0j)
IIIIIIIIIIIIIIIIIIZZIYYX (0.0021451690020486123+0j)
IIIIIIIIIIIIIIIIIIZZIXYY (-0.0021451690020486123+0j)
IIIIIIIIIIIIYIIIYIXZZYYX (-0.004003971231662097+0j)
IIIIIIIIIIIIXZZIYIYIZYYX (0.002006535535900395+0j)
IIIIIIIIIIIIYIIIYIYIZXYX (0.001997435695761701+0j)
IIIIIIIIIIIIXZZIYIXZZYYY (0.001997435695761701+0j)
IIIIIIIIIIIIYIIIYIXZZXYY (0.002006535535900395+0j)
IIIIIIIIIIIIXZZIYIYIZXYY (-0.004003971231662097+0j)
IIIIIIIIIIIIIIIIIZIIIYYX (0.003540017830899231+0j)
IIIIIIIIIIIIIIIIIZIIIXYY (-0.003540017830899231+0j)
IIIIIIIIIIIIIIIIZZZIZYYX (0.004728489593042607+0j)
IIIIIIIIIIIIIIIIZZZIZXYY (-0.004728489593042607+0j)
IIIIIIIIIIIIIIIZIIIIIYYX (0.002028823983365269+0j)
IIIIIIIIIIIIIIIZIIIIIXYY (-0.002028823983365269+0j)
IIIIIIIIIIIIIIZZIIIIIYYX (4.688583536444188e-05+0j)
IIIIIIIIIIIIIIZZIIIIIXYY (-4.688583536444188e-05+0j)
IIIIIIIIIIIIIZIIIIIIIYYX (0.0009208108308278179+0j)
IIIIIIIIIIIIIZIIIIIIIXYY (-0.0009208108308278179+0j)
IIIIIIIIIIIIZZZIIIIIIYYX (0.0035902000938910898+0j)
IIIIIIIIIIIIZZZIIIIIIXYY (-0.0035902000938910898+0j)
IIIIIIIIIIIZIIIIIIIIIYYX (0.032413484194599024+0j)
IIIIIIIIIIIZIIIIIIIIIXYY (-0.032413484194599024+0j)
IIIIIIIIIYYXIIIIIIIIIYYX (0.003937260757372872+0j)
IIIIIIIIIXYYIIIIIIIIIYYX (-0.003937260757372872+0j)
IIIIIIIIIYYXIIIIIIIIIXYY (-0.003937260757372872+0j)
IIIIIIIIIXYYIIIIIIIIIXYY (0.003937260757372872+0j)
XIYIZIIIYIXXZIIIZIIIIYYX (-0.004758596506624634+0j)
XIXZZIIIYIXYZIIIZIIIIYYX (0.004758596506624634+0j)
XIYIZIIIYIXXZIIIZIIIIXYY (0.004758596506624634+0j)
XIXZZIIIYIXYZIIIZIIIIXYY (-0.004758596506624634+0j)
IIIIIIIIIIZZIIIIIIIIIYYX (0.0024348004162465194+0j)
IIIIIIIIIIZZIIIIIIIIIXYY (-0.0024348004162465194+0j)
XIIIXIXYYIXZZIIIZIIIIYYX (0.0016872151346313585+0j)
XIIIXIXXYIYIZIIIZIIIIYYX (-0.0016872151346313585+0j)
XIIIXIXYYIXZZIIIZIIIIXYY (-0.0016872151346313585+0j)
XIIIXIXXYIYIZIIIZIIIIXYY (0.0016872151346313585+0j)
XYZIZIIIYIXZZIIIZIIIIYYX (-0.00038221431062404257+0j)
XXZIZIIIYIYIZIIIZIIIIYYX (0.00038221431062404257+0j)
XYZIZIIIYIXZZIIIZIIIIXYY (0.00038221431062404257+0j)
XXZIZIIIYIYIZIIIZIIIIXYY (-0.00038221431062404257+0j)
IIIIIIIIIZIIIIIIIIIIIYYX (0.00034816024137517324+0j)
IIIIIIIIIZIIIIIIIIIIIXYY (-0.00034816024137517324+0j)
XIYIZIIIYXZIZIIIZIIIIYYX (0.0007756849514327933+0j)
XIXZZIIIYYZIZIIIZIIIIYYX (-0.0007756849514327933+0j)
XIYIZIIIYXZIZIIIZIIIIXYY (-0.0007756849514327933+0j)
XIXZZIIIYYZIZIIIZIIIIXYY (0.0007756849514327933+0j)
IIIIIIIIZZZIZIIIZIIIIYYX (0.0006407683587345131+0j)
IIIIIIIIZZZIZIIIZIIIIXYY (-0.0006407683587345131+0j)
XIXYZIIIYZZIZIIIZIIIIYYX (-0.001000900696136995+0j)
XIXXZIIIXIIIIIIIIIIIIYYX (-0.001000900696136995+0j)
XIXYZIIIYZZIZIIIZIIIIXYY (0.001000900696136995+0j)
XIXXZIIIXIIIIIIIIIIIIXYY (0.001000900696136995+0j)
IIIIIIIZIIIIIIIIIIIIIYYX (0.0012854164427373246+0j)
IIIIIIIZIIIIIIIIIIIIIXYY (-0.0012854164427373246+0j)
IYZIYIXXIIIIIIIIIIIIIYYX (-0.00015921050547507753+0j)
IXZIYIXYIIIIIIIIIIIIIYYX (0.00015921050547507753+0j)
IYZIYIXXIIIIIIIIIIIIIXYY (0.00015921050547507753+0j)
IXZIYIXYIIIIIIIIIIIIIXYY (-0.00015921050547507753+0j)
IIIIIIZZIIIIIIIIIIIIIYYX (0.0003295949692143436+0j)
IIIIIIZZIIIIIIIIIIIIIXYY (-0.0003295949692143436+0j)
ZIIIXIXZIIIIIIIIIIIIIYYX (0.000900923094030416+0j)
IZZIYIYIIIIIIIIIIIIIIYYX (0.000900923094030416+0j)
ZIIIXIXZIIIIIIIIIIIIIXYY (-0.000900923094030416+0j)
IZZIYIYIIIIIIIIIIIIIIXYY (-0.000900923094030416+0j)
IIIIIZIIIIIIIIIIIIIIIYYX (0.001465053932222339+0j)
IIIIIZIIIIIIIIIIIIIIIXYY (-0.001465053932222339+0j)
IIIIZZZIIIIIIIIIIIIIIYYX (0.0014655059164995008+0j)
IIIIZZZIIIIIIIIIIIIIIXYY (-0.0014655059164995008+0j)
IIIZIIIIIIIIIIIIIIIIIYYX (0.0012102947774496925+0j)
IIIZIIIIIIIIIIIIIIIIIXYY (-0.0012102947774496925+0j)
IIZZIIIIIIIIIIIIIIIIIYYX (0.0010368204599789624+0j)
IIZZIIIIIIIIIIIIIIIIIXYY (-0.0010368204599789624+0j)
IZIIIIIIIIIIIIIIIIIIIYYX (0.00046413921496710686+0j)
IZIIIIIIIIIIIIIIIIIIIXYY (-0.00046413921496710686+0j)
ZZZIZIIIIIIIIIIIIIIIIYYX (0.0016220955098863218+0j)
ZZZIZIIIIIIIIIIIIIIIIXYY (-0.0016220955098863218+0j)
IIIIIIIIIIIIXIYIYIIIYZYX (0.0012818237283248298+0j)
IIIIIIIIIIIIXIXZYIIIYZYY (-0.0012818237283248298+0j)
IIIIIIIIIIIIIIIIIIZXZIXX (0.00023895239052429645+0j)
IIIIIIIIIIIIIIIIIIIXZIXX (0.0008239558077147494+0j)
IIIIIIIIIIIIIIIIIIZYIZYX (0.0010629081982390458+0j)
IIIIIIIIIIIIIIIIIIIYZIXY (0.0010629081982390458+0j)
IIIIIIIIIIIIIIIIIIZXIZYY (-0.0008239558077147494+0j)
IIIIIIIIIIIIIIIIIIIXIZYY (-0.00023895239052429645+0j)
IIIIIIIIIIIIYIIIYIXXIIXX (0.0007294868845777253+0j)
IIIIIIIIIIIIXZZIYIXYIIXX (-0.0004629742017541257+0j)
IIIIIIIIIIIIYIIIYIXYZZYX (0.0002665126828235996+0j)
IIIIIIIIIIIIXZZIYIXXIIXY (-0.0002665126828235996+0j)
IIIIIIIIIIIIYIIIYIXXZZYY (0.0004629742017541257+0j)
IIIIIIIIIIIIXZZIYIXYZZYY (-0.0007294868845777253+0j)
IIIIIIIIIIIIXYZIYIXZIIXX (0.0003558169454465855+0j)
IIIIIIIIIIIIXXZIYIYIIIXX (0.00010213100018406391+0j)
IIIIIIIIIIIIXYZIYIYIZZYX (0.0004579479456306494+0j)
IIIIIIIIIIIIXXZIYIXZIIXY (-0.0004579479456306494+0j)
IIIIIIIIIIIIXYZIYIXZZZYY (-0.00010213100018406391+0j)
IIIIIIIIIIIIXXZIYIYIZZYY (-0.0003558169454465855+0j)
IIIIIIIIIIIIIIZXIIIIZIXX (-0.0023753224310318626+0j)
IIIIIIIIIIIIIIIXIIIIZIXX (0.0006271273629056709+0j)
IIIIIIIIIIIIIIZYIIIIIZYX (-0.0017481950681261915+0j)
IIIIIIIIIIIIIIIYIIIIZIXY (-0.0017481950681261915+0j)
IIIIIIIIIIIIIIZXIIIIIZYY (-0.0006271273629056709+0j)
IIIIIIIIIIIIIIIXIIIIIZYY (0.0023753224310318626+0j)
IIIIIIIIIIIIZXZIIIIIZIXX (0.0009508850376000745+0j)
IIIIIIIIIIIIIXIIIIIIZIXX (-0.001776857545321833+0j)
IIIIIIIIIIIIZYZIIIIIIZYX (-0.0008259725077217589+0j)
IIIIIIIIIIIIIYIIIIIIZIXY (-0.0008259725077217589+0j)
IIIIIIIIIIIIZXZIIIIIIZYY (0.001776857545321833+0j)
IIIIIIIIIIIIIXIIIIIIIZYY (-0.0009508850376000745+0j)
IIIIIIIIZIXXZIIIZIIIZIXX (0.0010782937907929805+0j)
IIIIIIIIIZYYIIIIIIIIZIXX (0.0010782937907929805+0j)
IIIIIIIIZIXXZIIIZIIIIZYY (0.0010782937907929805+0j)
IIIIIIIIIZYYIIIIIIIIIZYY (0.0010782937907929805+0j)
XIXYZIIIYIXXZIIIZIIIZIXX (-0.0014880395653088033+0j)
XIXXZIIIYIXYZIIIZIIIZIXX (0.0014880395653088033+0j)
XIXYZIIIYIXXZIIIZIIIIZYY (-0.0014880395653088033+0j)
XIXXZIIIYIXYZIIIZIIIIZYY (0.0014880395653088033+0j)
