Jordan-Wigner mapping of ethylene Hamiltonian in sto3g basis.
IIIIIIIIIIIIIIIIIIIIIIIIIIII (-80.08225714874858+0j)
IIIIIIIIIIIIIIIIIIXZZZZXIIIZ (-0.038146416284262456+0j)
IIIIIIIIIIIIIIIIIIIIIIZIIIIZ (0.13757863091797984+0j)
IIIIIIIIIIIIIIIIYZZZZZYIIIIZ (-0.02933410931815437+0j)
IIIIIIIIIIIIIIIIXZZZZZXIIIIZ (-0.02933410931815437+0j)
IIIIIIIIIIIIIIIIIIIIIZIIIIIZ (0.11057122389797543+0j)
IIIIIIIIIIIIIIIYZZZZZYIIIIIZ (-0.040901423095982964+0j)
IIIIIIIIIIIIIIIXZZZZZXIIIIIZ (-0.040901423095982964+0j)
IIIIIIIIIIIIIIIIIIIIZIIIIIIZ (0.14660057229661758+0j)
IIIIIIIIIIIIIIIIIIIZIIIIIIIZ (0.1540681215927093+0j)
IIIIIIIIIIIIIIIIIIZIIIIIIIIZ (0.12261724326116195+0j)
IIIIIIIIIIIIIIIIIZIIIIIIIIIZ (0.11652764067514892+0j)
IIIIIIIIIIIIIIYZZYIIIIIIIIIZ (-0.012437072137702138+0j)
IIIIIIIIIIIIIIXZZXIIIIIIIIIZ (-0.012437072137702138+0j)
IIIIIIIIIIIIIIIIZIIIIIIIIIIZ (0.11703161686162555+0j)
IIIIIIIIIIIIIIIZIIIIIIIIIIIZ (0.14194626830700907+0j)
IIIIIIIIIIIIIIZIIIIIIIIIIIIZ (0.18253996961602353+0j)
IIIIIIIIIIIIIZIIIIIIIIIIIIIZ (0.4876362211482996+0j)
IIIIIIIIIIIYZYIIIIIIIIIIIIIZ (0.04159166901759588+0j)
IIIIIIIIIIIXZXIIIIIIIIIIIIIZ (0.04159166901759588+0j)
IIIIIIIIYZZZZYIIIIIIIIIIIIIZ (-0.0019920157102347896+0j)
IIIIIIIIXZZZZXIIIIIIIIIIIIIZ (-0.0019920157102347896+0j)
IIYZZZZZZZZZZYIIIIIIIIIIIIIZ (0.02949031369654392+0j)
IIXZZZZZZZZZZXIIIIIIIIIIIIIZ (0.02949031369654392+0j)
IIIIIIIIIIIIZIIIIIIIIIIIIIIZ (0.48747149479506313+0j)
IIIIIIIIIIYZYIIIIIIIIIIIIIIZ (0.03242752595881281+0j)
IIIIIIIIIIXZXIIIIIIIIIIIIIIZ (0.03242752595881281+0j)
IIIYZZZZZZZZYIIIIIIIIIIIIIIZ (0.039443099624153204+0j)
IIIXZZZZZZZZXIIIIIIIIIIIIIIZ (0.039443099624153204+0j)
YZZZZZZZZZZZYIIIIIIIIIIIIIIZ (0.023414507755896385+0j)
XZZZZZZZZZZZXIIIIIIIIIIIIIIZ (0.023414507755896385+0j)
IIIIIIIIIIIZIIIIIIIIIIIIIIIZ (0.15124214478636078+0j)
IIIIIIIIYZZYIIIIIIIIIIIIIIIZ (0.027606934615225072+0j)
IIIIIIIIXZZXIIIIIIIIIIIIIIIZ (0.027606934615225072+0j)
IIYZZZZZZZZYIIIIIIIIIIIIIIIZ (-0.021879698258785524+0j)
IIXZZZZZZZZXIIIIIIIIIIIIIIIZ (-0.021879698258785524+0j)
IIIIIIIIIIZIIIIIIIIIIIIIIIIZ (0.12112935913566801+0j)
IIIYZZZZZZYIIIIIIIIIIIIIIIIZ (-0.039021382223383916+0j)
IIIXZZZZZZXIIIIIIIIIIIIIIIIZ (-0.039021382223383916+0j)
YZZZZZZZZZYIIIIIIIIIIIIIIIIZ (-0.0003204333345041609+0j)
XZZZZZZZZZXIIIIIIIIIIIIIIIIZ (-0.0003204333345041609+0j)
IIIIIIIIIZIIIIIIIIIIIIIIIIIZ (0.1197905473503228+0j)
IIIIYZZZZYIIIIIIIIIIIIIIIIIZ (-0.03970085702905448+0j)
IIIIXZZZZXIIIIIIIIIIIIIIIIIZ (-0.03970085702905448+0j)
IIIIIIIIZIIIIIIIIIIIIIIIIIIZ (0.13947709311137313+0j)
IIYZZZZZYIIIIIIIIIIIIIIIIIIZ (-0.030495677902882243+0j)
IIXZZZZZXIIIIIIIIIIIIIIIIIIZ (-0.030495677902882243+0j)
IIIIIIIZIIIIIIIIIIIIIIIIIIIZ (0.11154169763507209+0j)
IYZZZZZYIIIIIIIIIIIIIIIIIIIZ (-0.042769457410014165+0j)
IXZZZZZXIIIIIIIIIIIIIIIIIIIZ (-0.042769457410014165+0j)
IIIIIIZIIIIIIIIIIIIIIIIIIIIZ (0.1490172273607311+0j)
IIIIIZIIIIIIIIIIIIIIIIIIIIIZ (0.15734877422263974+0j)
IIIIZIIIIIIIIIIIIIIIIIIIIIIZ (0.12476930634773839+0j)
IIIZIIIIIIIIIIIIIIIIIIIIIIIZ (0.12234691162051338+0j)
YZZYIIIIIIIIIIIIIIIIIIIIIIIZ (-0.015282847641389678+0j)
XZZXIIIIIIIIIIIIIIIIIIIIIIIZ (-0.015282847641389678+0j)
IIZIIIIIIIIIIIIIIIIIIIIIIIIZ (0.12127887293042079+0j)
IZIIIIIIIIIIIIIIIIIIIIIIIIIZ (0.145562361468677+0j)
ZIIIIIIIIIIIIIIIIIIIIIIIIIIZ (0.18988609681539256+0j)
IIIIIIIIIIIIIIIIIIIIIIIIIYIY (-0.0006724759879068593+0j)
IIIIIIIIIIIIIIIIIIIIIIIIIXIX (-0.0006724759879068593+0j)
IIIIIIIIIIIIIIIIIIIIIIYZZZIY (0.002858811136751116+0j)
IIIIIIIIIIIIIIIIIIIIIIXZZZIX (0.002858811136751116+0j)
IIIIIIIIIIIIIIIIYZZZZZZZZZIY (0.0021542400204621406+0j)
IIIIIIIIIIIIIIIIXZZZZZZZZZIX (0.0021542400204621406+0j)
IIIIIIIIIIIIIIIIIIIIIIIIYYYY (0.0363090041289108+0j)
IIIIIIIIIIIIIIIIIIIIIIIIXXYY (0.036324117101077524+0j)
IIIIIIIIIIIIIIIIIIIIIIIIYXXY (-1.5112972166724144e-05+0j)
IIIIIIIIIIIIIIIIIIIIIIIIXYYX (-1.5112972166724144e-05+0j)
IIIIIIIIIIIIIIIIIIIIIIIIYYXX (0.036324117101077524+0j)
IIIIIIIIIIIIIIIIIIIIIIIIXXXX (0.0363090041289108+0j)
IIIIIIIIIIIIIIIIIYZZZZZZZYYY (0.02659772825619701+0j)
IIIIIIIIIIIIIIIIIXZZZZZZZXYY (0.026608013056609977+0j)
IIIIIIIIIIIIIIIIIYZZZZZZZXXY (-1.0284800412967837e-05+0j)
IIIIIIIIIIIIIIIIIXZZZZZZZYYX (-1.0284800412967837e-05+0j)
IIIIIIIIIIIIIIIIIYZZZZZZZYXX (0.026608013056609977+0j)
IIIIIIIIIIIIIIIIIXZZZZZZZXXX (0.02659772825619701+0j)
IIIIIIIIIIIIIIYZZZZZZZZZZYYY (0.0289729653112622+0j)
IIIIIIIIIIIIIIXZZZZZZZZZZXYY (0.0289287700459889+0j)
IIIIIIIIIIIIIIYZZZZZZZZZZXXY (4.419526527330714e-05+0j)
IIIIIIIIIIIIIIXZZZZZZZZZZYYX (4.419526527330714e-05+0j)
IIIIIIIIIIIIIIYZZZZZZZZZZYXX (0.0289287700459889+0j)
IIIIIIIIIIIIIIXZZZZZZZZZZXXX (0.0289729653112622+0j)
IIIIIIIIIIIIIIIIIIIIIIYZYIYY (0.030585734542066482+0j)
IIIIIIIIIIIIIIIIIIIIIIXZXIYY (0.030654881630832395+0j)
IIIIIIIIIIIIIIIIIIIIIIYZXIXY (-6.91470887659129e-05+0j)
IIIIIIIIIIIIIIIIIIIIIIXZYIYX (-6.91470887659129e-05+0j)
IIIIIIIIIIIIIIIIIIIIIIYZYIXX (0.030654881630832395+0j)
IIIIIIIIIIIIIIIIIIIIIIXZXIXX (0.030585734542066482+0j)
IIIIIIIIIIIIIIIIYZZZZZZZYIYY (0.0257978797982777+0j)
IIIIIIIIIIIIIIIIXZZZZZZZXIYY (0.025850877247775683+0j)
IIIIIIIIIIIIIIIIYZZZZZZZXIXY (-5.299744949797784e-05+0j)
IIIIIIIIIIIIIIIIXZZZZZZZYIYX (-5.299744949797784e-05+0j)
IIIIIIIIIIIIIIIIYZZZZZZZYIXX (0.025850877247775683+0j)
IIIIIIIIIIIIIIIIXZZZZZZZXIXX (0.0257978797982777+0j)
IIIIIIIIIIIIIIIIIIIIIYZYIIYY (0.03975643253618253+0j)
IIIIIIIIIIIIIIIIIIIIIXZXIIYY (0.03970731830308794+0j)
IIIIIIIIIIIIIIIIIIIIIYZXIIXY (4.9114233094599453e-05+0j)
IIIIIIIIIIIIIIIIIIIIIXZYIIYX (4.9114233094599453e-05+0j)
IIIIIIIIIIIIIIIIIIIIIYZYIIXX (0.03970731830308794+0j)
IIIIIIIIIIIIIIIIIIIIIXZXIIXX (0.03975643253618253+0j)
IIIIIIIIIIIIIIIYZZZZZZZYIIYY (0.02956208851715681+0j)
IIIIIIIIIIIIIIIXZZZZZZZXIIYY (0.029475513237048143+0j)
IIIIIIIIIIIIIIIYZZZZZZZXIIXY (8.657528010866389e-05+0j)
IIIIIIIIIIIIIIIXZZZZZZZYIIYX (8.657528010866389e-05+0j)
IIIIIIIIIIIIIIIYZZZZZZZYIIXX (0.029475513237048143+0j)
IIIIIIIIIIIIIIIXZZZZZZZXIIXX (0.02956208851715681+0j)
IIIIIIIIIIIIIIIIIYZZZZYIIIYY (0.003624583657765087+0j)
IIIIIIIIIIIIIIIIIXZZZZXIIIYY (0.003578080492161866+0j)
IIIIIIIIIIIIIIIIIYZZZZXIIIXY (4.650316560322128e-05+0j)
IIIIIIIIIIIIIIIIIXZZZZYIIIYX (4.650316560322128e-05+0j)
IIIIIIIIIIIIIIIIIYZZZZYIIIXX (0.003578080492161866+0j)
IIIIIIIIIIIIIIIIIXZZZZXIIIXX (0.003624583657765087+0j)
IIIIIIIIIIIIIIYZZZZZZZYIIIYY (-0.048746378065021405+0j)
IIIIIIIIIIIIIIXZZZZZZZXIIIYY (-0.04852864406189061+0j)
IIIIIIIIIIIIIIYZZZZZZZXIIIXY (-0.00021773400313078017+0j)
IIIIIIIIIIIIIIXZZZZZZZYIIIYX (-0.00021773400313078017+0j)
IIIIIIIIIIIIIIYZZZZZZZYIIIXX (-0.04852864406189061+0j)
IIIIIIIIIIIIIIXZZZZZZZXIIIXX (-0.048746378065021405+0j)
IIIIIIIIIIIIIIIIIIYZZYIIIIYY (0.013669549949904292+0j)
IIIIIIIIIIIIIIIIIIXZZXIIIIYY (0.01373299876639061+0j)
IIIIIIIIIIIIIIIIIIYZZXIIIIXY (-6.344881648631976e-05+0j)
IIIIIIIIIIIIIIIIIIXZZYIIIIYX (-6.344881648631976e-05+0j)
IIIIIIIIIIIIIIIIIIYZZYIIIIXX (0.01373299876639061+0j)
IIIIIIIIIIIIIIIIIIXZZXIIIIXX (0.013669549949904292+0j)
IIIIIIIIIIIIIIIIIIIYYIIIIIYY (-0.05988561582161427+0j)
IIIIIIIIIIIIIIIIIIIXXIIIIIYY (-0.05975824877494101+0j)
IIIIIIIIIIIIIIIIIIIYXIIIIIXY (-0.00012736704667325877+0j)
IIIIIIIIIIIIIIIIIIIXYIIIIIYX (-0.00012736704667325877+0j)
IIIIIIIIIIIIIIIIIIIYYIIIIIXX (-0.05975824877494101+0j)
IIIIIIIIIIIIIIIIIIIXXIIIIIXX (-0.05988561582161427+0j)
IIIIIIIIIIIIIIIYZZYIIIIIIIYY (0.05069893883223142+0j)
IIIIIIIIIIIIIIIXZZXIIIIIIIYY (0.05058685608527069+0j)
IIIIIIIIIIIIIIIYZZXIIIIIIIXY (0.0001120827469607141+0j)
IIIIIIIIIIIIIIIXZZYIIIIIIIYX (0.0001120827469607141+0j)
IIIIIIIIIIIIIIIYZZYIIIIIIIXX (0.05058685608527069+0j)
IIIIIIIIIIIIIIIXZZXIIIIIIIXX (0.05069893883223142+0j)
IIIIIIIIIIIIIIIIYYIIIIIIIIYY (0.044148599172450294+0j)
IIIIIIIIIIIIIIIIXXIIIIIIIIYY (0.04418408008725487+0j)
IIIIIIIIIIIIIIIIYXIIIIIIIIXY (-3.548091480456289e-05+0j)
IIIIIIIIIIIIIIIIXYIIIIIIIIYX (-3.548091480456289e-05+0j)
IIIIIIIIIIIIIIIIYYIIIIIIIIXX (0.04418408008725487+0j)
IIIIIIIIIIIIIIIIXXIIIIIIIIXX (0.044148599172450294+0j)
IIIIIIIIIIIIIIYZYIIIIIIIIIYY (-0.025587886416171792+0j)
IIIIIIIIIIIIIIXZXIIIIIIIIIYY (-0.025417406092915915+0j)
IIIIIIIIIIIIIIYZXIIIIIIIIIXY (-0.0001704803232558754+0j)
IIIIIIIIIIIIIIXZYIIIIIIIIIYX (-0.0001704803232558754+0j)
IIIIIIIIIIIIIIYZYIIIIIIIIIXX (-0.025417406092915915+0j)
IIIIIIIIIIIIIIXZXIIIIIIIIIXX (-0.025587886416171792+0j)
IIIIIIIIIIIIYYIIIIIIIIIIIIYY (0.3882190645421523+0j)
IIIIIIIIIIIIXXIIIIIIIIIIIIYY (0.3882190645421523+0j)
IIIIIIIIIIIIYYIIIIIIIIIIIIXX (0.3882190645421523+0j)
IIIIIIIIIIIIXXIIIIIIIIIIIIXX (0.3882190645421523+0j)
IIIIIIIIIIYZZYIIIIIIIIIIIIYY (-0.0312185817889179+0j)
IIIIIIIIIIXZZXIIIIIIIIIIIIYY (-0.0312185817889179+0j)
IIIIIIIIIIYZZYIIIIIIIIIIIIXX (-0.0312185817889179+0j)
IIIIIIIIIIXZZXIIIIIIIIIIIIXX (-0.0312185817889179+0j)
IIIYZZZZZZZZZYIIIIIIIIIIIIYY (-0.03861159033109984+0j)
IIIXZZZZZZZZZXIIIIIIIIIIIIYY (-0.03861159033109984+0j)
IIIYZZZZZZZZZYIIIIIIIIIIIIXX (-0.03861159033109984+0j)
IIIXZZZZZZZZZXIIIIIIIIIIIIXX (-0.03861159033109984+0j)
YZZZZZZZZZZZZYIIIIIIIIIIIIYY (-0.02743313941977437+0j)
XZZZZZZZZZZZZXIIIIIIIIIIIIYY (-0.02743313941977437+0j)
YZZZZZZZZZZZZYIIIIIIIIIIIIXX (-0.02743313941977437+0j)
XZZZZZZZZZZZZXIIIIIIIIIIIIXX (-0.02743313941977437+0j)
IIIIIIIIIIIYYIIIIIIIIIIIIIYY (-0.04223023932639346+0j)
IIIIIIIIIIIXXIIIIIIIIIIIIIYY (-0.04223023932639346+0j)
IIIIIIIIIIIYYIIIIIIIIIIIIIXX (-0.04223023932639346+0j)
IIIIIIIIIIIXXIIIIIIIIIIIIIXX (-0.04223023932639346+0j)
IIIIIIIIYZZZYIIIIIIIIIIIIIYY (0.004828701281057993+0j)
IIIIIIIIXZZZXIIIIIIIIIIIIIYY (0.004828701281057993+0j)
IIIIIIIIYZZZYIIIIIIIIIIIIIXX (0.004828701281057993+0j)
IIIIIIIIXZZZXIIIIIIIIIIIIIXX (0.004828701281057993+0j)
IIYZZZZZZZZZYIIIIIIIIIIIIIYY (-0.02733253376156675+0j)
IIXZZZZZZZZZXIIIIIIIIIIIIIYY (-0.02733253376156675+0j)
IIYZZZZZZZZZYIIIIIIIIIIIIIXX (-0.02733253376156675+0j)
IIXZZZZZZZZZXIIIIIIIIIIIIIXX (-0.02733253376156675+0j)
IIIIIIIIIIYYIIIIIIIIIIIIIIYY (0.04090565728689443+0j)
IIIIIIIIIIXXIIIIIIIIIIIIIIYY (0.04090565728689443+0j)
IIIIIIIIIIYYIIIIIIIIIIIIIIXX (0.04090565728689443+0j)
IIIIIIIIIIXXIIIIIIIIIIIIIIXX (0.04090565728689443+0j)
IIIYZZZZZZZYIIIIIIIIIIIIIIYY (0.03241505862318652+0j)
IIIXZZZZZZZXIIIIIIIIIIIIIIYY (0.03241505862318652+0j)
IIIYZZZZZZZYIIIIIIIIIIIIIIXX (0.03241505862318652+0j)
IIIXZZZZZZZXIIIIIIIIIIIIIIXX (0.03241505862318652+0j)
YZZZZZZZZZZYIIIIIIIIIIIIIIYY (0.033629216732094264+0j)
XZZZZZZZZZZXIIIIIIIIIIIIIIYY (0.033629216732094264+0j)
YZZZZZZZZZZYIIIIIIIIIIIIIIXX (0.033629216732094264+0j)
XZZZZZZZZZZXIIIIIIIIIIIIIIXX (0.033629216732094264+0j)
IIIIIIIIYZYIIIIIIIIIIIIIIIYY (0.03094050199676287+0j)
IIIIIIIIXZXIIIIIIIIIIIIIIIYY (0.03094050199676287+0j)
IIIIIIIIYZYIIIIIIIIIIIIIIIXX (0.03094050199676287+0j)
IIIIIIIIXZXIIIIIIIIIIIIIIIXX (0.03094050199676287+0j)
IIYZZZZZZZYIIIIIIIIIIIIIIIYY (0.029708864511204802+0j)
IIXZZZZZZZXIIIIIIIIIIIIIIIYY (0.029708864511204802+0j)
IIYZZZZZZZYIIIIIIIIIIIIIIIXX (0.029708864511204802+0j)
IIXZZZZZZZXIIIIIIIIIIIIIIIXX (0.029708864511204802+0j)
IIIIIIIYZYIIIIIIIIIIIIIIIIYY (0.040778872448012406+0j)
IIIIIIIXZXIIIIIIIIIIIIIIIIYY (0.040778872448012406+0j)
IIIIIIIYZYIIIIIIIIIIIIIIIIXX (0.040778872448012406+0j)
IIIIIIIXZXIIIIIIIIIIIIIIIIXX (0.040778872448012406+0j)
IYZZZZZZZYIIIIIIIIIIIIIIIIYY (0.031531264828822736+0j)
IXZZZZZZZXIIIIIIIIIIIIIIIIYY (0.031531264828822736+0j)
IYZZZZZZZYIIIIIIIIIIIIIIIIXX (0.031531264828822736+0j)
IXZZZZZZZXIIIIIIIIIIIIIIIIXX (0.031531264828822736+0j)
IIIYZZZZYIIIIIIIIIIIIIIIIIYY (0.0036491833861886586+0j)
IIIXZZZZXIIIIIIIIIIIIIIIIIYY (0.0036491833861886586+0j)
IIIYZZZZYIIIIIIIIIIIIIIIIIXX (0.0036491833861886586+0j)
IIIXZZZZXIIIIIIIIIIIIIIIIIXX (0.0036491833861886586+0j)
YZZZZZZZYIIIIIIIIIIIIIIIIIYY (-0.05193005433108016+0j)
XZZZZZZZXIIIIIIIIIIIIIIIIIYY (-0.05193005433108016+0j)
YZZZZZZZYIIIIIIIIIIIIIIIIIXX (-0.05193005433108016+0j)
XZZZZZZZXIIIIIIIIIIIIIIIIIXX (-0.05193005433108016+0j)
IIIIYZZYIIIIIIIIIIIIIIIIIIYY (0.01514324763184019+0j)
IIIIXZZXIIIIIIIIIIIIIIIIIIYY (0.01514324763184019+0j)
IIIIYZZYIIIIIIIIIIIIIIIIIIXX (0.01514324763184019+0j)
IIIIXZZXIIIIIIIIIIIIIIIIIIXX (0.01514324763184019+0j)
IIIIIYYIIIIIIIIIIIIIIIIIIIYY (-0.06263561816683987+0j)
IIIIIXXIIIIIIIIIIIIIIIIIIIYY (-0.06263561816683987+0j)
IIIIIYYIIIIIIIIIIIIIIIIIIIXX (-0.06263561816683987+0j)
IIIIIXXIIIIIIIIIIIIIIIIIIIXX (-0.06263561816683987+0j)
IYZZYIIIIIIIIIIIIIIIIIIIIIYY (0.05343130175652833+0j)
IXZZXIIIIIIIIIIIIIIIIIIIIIYY (0.05343130175652833+0j)
