Bravyi-Kitaev mapping of LiH Hamiltonian in sto3g basis.
IIIIIIIIIIII (-5.152415944121773+0j)
IZYYIIIIIIIZ (0.004360974516833923+0j)
IIZZIIIIIIIZ (0.0990778898789144+0j)
IZIIIIIIIIIZ (0.0990778898789144+0j)
ZZZIIIIIIIIZ (0.0904361091949772+0j)
IIIIIIIIIYXY (0.0032965239635161002+0j)
IIIIIIIIIXXX (0.0032965239635161002+0j)
IIIIIIYIYIYY (-0.002929923661047115+0j)
IIIIIIXZYIYX (-0.002929923661047115+0j)
IIIIIIIIIZZX (-0.0029292660683236673+0j)
IIIIIIIIIZIX (0.0029292660683236673+0j)
IIIIIIYIYXIX (0.001365856966049339+0j)
IIIIIIXZYYIX (-0.0009306496497366405+0j)
IIIIIIYIYYZY (0.00043520731631269875+0j)
IIIIIIXZYXIY (-0.00043520731631269875+0j)
IIIIIIYIYXZX (-0.0009306496497366405+0j)
IIIIIIXZYYZX (0.001365856966049339+0j)
IIIIIIIIZZIX (-0.0030199976438174698+0j)
IIIIIIIIZZZX (0.0030199976438174698+0j)
IIIIIIIZIIZX (-0.0030199976438174706+0j)
IIIIIIIZIIIX (0.0030199976438174706+0j)
IIIIIIZZIIZX (0.0009261835147084776+0j)
IIIIIIZZIIIX (-0.0009261835147084776+0j)
IIIIIZIIIIZX (-0.02885210310927823+0j)
IIIIIZIIIIIX (0.02885210310927823+0j)
IIIIZXZIZIZX (0.003576571661464321+0j)
IIIIIXIIIIZX (-0.003576571661464321+0j)
IIIIZXZIZIIX (-0.003576571661464321+0j)
IIIIIXIIIIIX (0.003576571661464321+0j)
XIXYYXZIZIZX (-0.002862762245614194+0j)
XIXXYYZIZIZX (0.002862762245614194+0j)
XIXYYXZIZIIX (0.002862762245614194+0j)
XIXXYYZIZIIX (-0.002862762245614194+0j)
YIIIYXZIZIZX (0.0020956574965077805+0j)
XZZIYYZIZIZX (-0.0020956574965077805+0j)
YIIIYXZIZIIX (-0.0020956574965077805+0j)
XZZIYYZIZIIX (0.0020956574965077805+0j)
IIIIZZZIZIZX (0.0017413692235801249+0j)
IIIIZZZIZIIX (-0.0017413692235801249+0j)
XIXYYZZIZIZX (0.0008929389797010688+0j)
XIXXXIIIIIZX (0.0008929389797010688+0j)
XIXYYZZIZIIX (-0.0008929389797010688+0j)
XIXXXIIIIIIX (-0.0008929389797010688+0j)
YIIIYZZIZIZX (-0.0013651879963209321+0j)
XZZIXIIIIIZX (-0.0013651879963209321+0j)
YIIIYZZIZIIX (0.0013651879963209321+0j)
XZZIXIIIIIIX (0.0013651879963209321+0j)
IIIZIIIIIIZX (-0.002874483977934139+0j)
IIIZIIIIIIIX (0.002874483977934139+0j)
ZIXXIIIIIIZX (-0.0010234796628406358+0j)
IZYYIIIIIIZX (-0.0010234796628406358+0j)
ZIXXIIIIIIIX (0.0010234796628406358+0j)
IZYYIIIIIIIX (0.0010234796628406358+0j)
IIZZIIIIIIZX (-0.0011319350519759736+0j)
IIZZIIIIIIIX (0.0011319350519759736+0j)
IZIIIIIIIIZX (-0.0011319350519759736+0j)
IZIIIIIIIIIX (0.0011319350519759736+0j)
ZZZIIIIIIIZX (0.0010042989958114596+0j)
ZZZIIIIIIIIX (-0.0010042989958114596+0j)
IIIIIIYIYZXX (-0.0013429493865418085+0j)
IIIIIIXZYZXY (0.0013429493865418085+0j)
IIIIIIIIZXXX (-0.003799161440408031+0j)
IIIIIIIIZYXY (-0.003799161440408031+0j)
IIIIIIIZIYYX (0.0037991614404080318+0j)
IIIIIIIZIXYY (-0.0037991614404080318+0j)
IIIIIIZZIYYX (0.0038956200594375085+0j)
IIIIIIZZIXYY (-0.0038956200594375085+0j)
IIIIIZIIIYYX (0.034474629751479066+0j)
IIIIIZIIIXYY (-0.034474629751479066+0j)
IIIIZXZIZYYX (-0.002862762245614194+0j)
IIIIIXIIIYYX (0.002862762245614194+0j)
IIIIZXZIZXYY (0.002862762245614194+0j)
IIIIIXIIIXYY (-0.002862762245614194+0j)
XIXYYXZIZYYX (0.0053888945575242+0j)
XIXXYYZIZYYX (-0.0053888945575242+0j)
XIXYYXZIZXYY (-0.0053888945575242+0j)
XIXXYYZIZXYY (0.0053888945575242+0j)
YIIIYXZIZYYX (-0.0003951031954584865+0j)
XZZIYYZIZYYX (0.0003951031954584865+0j)
YIIIYXZIZXYY (0.0003951031954584865+0j)
XZZIYYZIZXYY (-0.0003951031954584865+0j)
IIIIZZZIZYYX (0.00418946294321717+0j)
IIIIZZZIZXYY (-0.00418946294321717+0j)
XIXYYZZIZYYX (5.4782090389528224e-05+0j)
XIXXXIIIIYYX (5.4782090389528224e-05+0j)
XIXYYZZIZXYY (-5.4782090389528224e-05+0j)
XIXXXIIIIXYY (-5.4782090389528224e-05+0j)
YIIIYZZIZYYX (-9.283001310399535e-05+0j)
XZZIXIIIIYYX (-9.283001310399535e-05+0j)
YIIIYZZIZXYY (9.283001310399535e-05+0j)
XZZIXIIIIXYY (9.283001310399535e-05+0j)
IIIZIIIIIYYX (-0.0004885236222236816+0j)
IIIZIIIIIXYY (0.0004885236222236816+0j)
ZIXXIIIIIYYX (-0.0011188564780979253+0j)
IZYYIIIIIYYX (-0.0011188564780979253+0j)
ZIXXIIIIIXYY (0.0011188564780979253+0j)
IZYYIIIIIXYY (0.0011188564780979253+0j)
IIZZIIIIIYYX (0.001237508384903623+0j)
IIZZIIIIIXYY (-0.001237508384903623+0j)
IZIIIIIIIYYX (0.001237508384903623+0j)
IZIIIIIIIXYY (-0.001237508384903623+0j)
ZZZIIIIIIYYX (0.0028389715801200896+0j)
ZZZIIIIIIXYY (-0.0028389715801200896+0j)
IIIIIIYIXZYX (-0.0015832911773011982+0j)
IIIIIIXZXZYY (0.0015832911773011982+0j)
XIYIYXZIIIXX (-0.0024547052717560167+0j)
XIXZYYZIIIXX (0.0024547052717560167+0j)
XIYIYXZIZZYY (-0.0024547052717560167+0j)
XIXZYYZIZZYY (0.0024547052717560167+0j)
XIYIYZZIIIXX (-0.0018880625918414966+0j)
XIXZXIIIZIXX (-0.0018880625918414966+0j)
XIYIYZZIZZYY (-0.0018880625918414966+0j)
XIXZXIIIIZYY (-0.0018880625918414966+0j)
IIZXIIIIZIXX (0.0025616530555044076+0j)
IIIXIIIIZIXX (-0.0025616530555044076+0j)
IIZXIIIIIZYY (0.0025616530555044076+0j)
IIIXIIIIIZYY (-0.0025616530555044076+0j)
ZIXZIIIIZIXX (-0.0015079457403672657+0j)
IZXIIIIIZIXX (0.0015079457403672657+0j)
ZIXZIIIIIZYY (-0.0015079457403672657+0j)
IZXIIIIIIZYY (0.0015079457403672657+0j)
IIIIIIYZYIXX (-0.0015832911773011982+0j)
IIIIIIXIYIXY (0.0015832911773011982+0j)
XYZIYXYYXIXX (0.0024547052717560167+0j)
XXZIYYYYXIXX (-0.0024547052717560167+0j)
XYZIYXYXXIXY (-0.0024547052717560167+0j)
XXZIYYYXXIXY (0.0024547052717560167+0j)
XYZIYZYYXIXX (0.0018880625918414968+0j)
XXZIXIXYYIXX (0.0018880625918414968+0j)
XYZIYZYXXIXY (-0.0018880625918414968+0j)
XXZIXIXXYIXY (-0.0018880625918414968+0j)
IYYXIIXYYIXX (0.0025616530555044085+0j)
IXYYIIXYYIXX (-0.0025616530555044085+0j)
IYYXIIXXYIXY (-0.0025616530555044085+0j)
IXYYIIXXYIXY (0.0025616530555044085+0j)
ZXZIIIXYYIXX (0.0015079457403672657+0j)
IXIIIIXYYIXX (-0.0015079457403672657+0j)
ZXZIIIXXYIXY (-0.0015079457403672657+0j)
IXIIIIXXYIXY (0.0015079457403672657+0j)
IIIIIZYIYIXX (-0.01155995488975384+0j)
IIIIIZXZYIXY (0.01155995488975384+0j)
IIIIZXXIXIXX (-0.0020956574965077805+0j)
IIIIIXYIYIXX (-0.0020956574965077805+0j)
IIIIZXYZXIXY (-0.0020956574965077805+0j)
IIIIIXXZYIXY (0.0020956574965077805+0j)
XIXYYXXIXIXX (0.0003951031954584865+0j)
XIXXYYXIXIXX (-0.0003951031954584865+0j)
XIXYYXYZXIXY (0.0003951031954584865+0j)
XIXXYYYZXIXY (-0.0003951031954584865+0j)
YIIIYXXIXIXX (-0.0019026888010043317+0j)
XZZIYYXIXIXX (0.0019026888010043317+0j)
YIIIYXYZXIXY (-0.0019026888010043317+0j)
XZZIYYYZXIXY (0.0019026888010043317+0j)
IIIIZZXIXIXX (-0.001564735664726183+0j)
IIIIZZYZXIXY (-0.001564735664726183+0j)
XIXYYZXIXIXX (-0.00034237730320870336+0j)
XIXXXIYIYIXX (0.00034237730320870336+0j)
XIXYYZYZXIXY (-0.00034237730320870336+0j)
XIXXXIXZYIXY (-0.00034237730320870336+0j)
YIIIYZXIXIXX (-7.811548110298207e-05+0j)
XZZIXIYIYIXX (7.811548110298207e-05+0j)
YIIIYZYZXIXY (-7.811548110298207e-05+0j)
XZZIXIXZYIXY (-7.811548110298207e-05+0j)
IIIZIIYIYIXX (-0.002461805864639734+0j)
IIIZIIXZYIXY (0.002461805864639734+0j)
ZIXXIIYIYIXX (-0.0010566484793174185+0j)
IZYYIIYIYIXX (-0.0010566484793174185+0j)
ZIXXIIXZYIXY (0.0010566484793174185+0j)
IZYYIIXZYIXY (0.0010566484793174185+0j)
IIZZIIYIYIXX (-7.534543693393239e-05+0j)
IIZZIIXZYIXY (7.534543693393239e-05+0j)
IZIIIIYIYIXX (-7.534543693393239e-05+0j)
IZIIIIXZYIXY (7.534543693393239e-05+0j)
ZZZIIIYIYIXX (0.0005997457128937102+0j)
ZZZIIIXZYIXY (-0.0005997457128937102+0j)
IIIIIIIIIZZZ (0.053361230488474826+0j)
IIIIIIYIYXIZ (0.004316436307231122+0j)
IIIIIIXZYYIZ (-0.004316436307231122+0j)
IIIIIIIIZZIZ (0.0625012601526992+0j)
IIIIIIIZIIZZ (0.0625012601526992+0j)
IIIIIIZZIIZZ (0.08333840586818236+0j)
IIIIIZIIIIZZ (0.0940061154064797+0j)
IIIIZXZIZIZZ (0.0017413692235801249+0j)
IIIIIXIIIIZZ (-0.0017413692235801249+0j)
XIXYYXZIZIZZ (0.00418946294321717+0j)
XIXXYYZIZIZZ (-0.00418946294321717+0j)
YIIIYXZIZIZZ (0.001564735664726183+0j)
XZZIYYZIZIZZ (-0.001564735664726183+0j)
IIIIZZZIZIZZ (0.12311602672790625+0j)
XIXYYZZIZIZZ (0.01183824634118167+0j)
XIXXXIIIIIZZ (0.01183824634118167+0j)
YIIIYZZIZIZZ (-0.03269082754247628+0j)
XZZIXIIIIIZZ (-0.03269082754247628+0j)
IIIZIIIIIIZZ (0.056452338836996935+0j)
ZIXXIIIIIIZZ (-0.01275766770408919+0j)
IZYYIIIIIIZZ (-0.01275766770408919+0j)
IIZZIIIIIIZZ (0.06846060828749323+0j)
IZIIIIIIIIZZ (0.06846060828749323+0j)
ZZZIIIIIIIZZ (0.11413403856633093+0j)
IIIIIIYIYZXZ (0.0047460856352643495+0j)
IIIIIIXZYZYI (-0.0047460856352643495+0j)
IIIIIIIIZXXZ (-0.0035587843627264+0j)
IIIIIIIIZYYI (-0.0035587843627264+0j)
IIIIIIIZIYYZ (0.0035587843627264+0j)
IIIIIIIZIXXI (0.0035587843627264+0j)
IIIIIIZZIYYZ (0.0028029171909619444+0j)
IIIIIIZZIXXI (0.0028029171909619444+0j)
IIIIIZIIIYYZ (-0.002984868297598454+0j)
IIIIIZIIIXXI (-0.002984868297598454+0j)
IIIIZXZIZYYZ (0.0008929389797010688+0j)
IIIIIXIIIYYZ (-0.0008929389797010688+0j)
IIIIZXZIZXXI (0.0008929389797010688+0j)
IIIIIXIIIXXI (-0.0008929389797010688+0j)
XIXYYXZIZYYZ (5.4782090389528224e-05+0j)
XIXXYYZIZYYZ (-5.4782090389528224e-05+0j)
XIXYYXZIZXXI (5.4782090389528224e-05+0j)
XIXXYYZIZXXI (-5.4782090389528224e-05+0j)
YIIIYXZIZYYZ (0.00034237730320870336+0j)
XZZIYYZIZYYZ (-0.00034237730320870336+0j)
YIIIYXZIZXXI (0.00034237730320870336+0j)
XZZIYYZIZXXI (-0.00034237730320870336+0j)
IIIIZZZIZYYZ (0.01183824634118167+0j)
IIIIZZZIZXXI (0.01183824634118167+0j)
XIXYYZZIZYYZ (0.0030911083485221074+0j)
XIXXXIIIIYYZ (0.0030911083485221074+0j)
XIXYYZZIZXXI (0.0030911083485221074+0j)
XIXXXIIIIXXI (0.0030911083485221074+0j)
YIIIYZZIZYYZ (-0.008441231396858068+0j)
XZZIXIIIIYYZ (-0.008441231396858068+0j)
YIIIYZZIZXXI (-0.008441231396858068+0j)
XZZIXIIIIXXI (-0.008441231396858068+0j)
IIIZIIIIIYYZ (-0.0016267451710517485+0j)
IIIZIIIIIXXI (-0.0016267451710517485+0j)
ZIXXIIIIIYYZ (-0.002170931879093681+0j)
IZYYIIIIIYYZ (-0.002170931879093681+0j)
ZIXXIIIIIXXI (-0.002170931879093681+0j)
IZYYIIIIIXXI (-0.002170931879093681+0j)
IIZZIIIIIYYZ (-0.0012471320088673667+0j)
IIZZIIIIIXXI (-0.0012471320088673667+0j)
IZIIIIIIIYYZ (-0.0012471320088673667+0j)
IZIIIIIIIXXI (-0.0012471320088673667+0j)
ZZZIIIIIIYYZ (0.01061795802253364+0j)
ZZZIIIIIIXXI (0.01061795802253364+0j)
IIIIIIYIXZYZ (-0.0017940114229895204+0j)
IIIIIIXZXZXI (-0.0017940114229895204+0j)
XIYIYXZIIIXZ (-0.0018880625918414966+0j)
XIXZYYZIIIXZ (0.0018880625918414966+0j)
XIYIYXZIZZXI (0.0018880625918414966+0j)
XIXZYYZIZZXI (-0.0018880625918414966+0j)
XIYIYZZIIIXZ (-0.005959348134794028+0j)
XIXZXIIIZIXZ (-0.005959348134794028+0j)
XIYIYZZIZZXI (0.005959348134794028+0j)
XIXZXIIIIZXI (0.005959348134794028+0j)
IIZXIIIIZIXZ (0.0048059163715937665+0j)
IIIXIIIIZIXZ (-0.0048059163715937665+0j)
IIZXIIIIIZXI (-0.0048059163715937665+0j)
IIIXIIIIIZXI (0.0048059163715937665+0j)
ZIXZIIIIZIXZ (-0.004886687167773482+0j)
IZXIIIIIZIXZ (0.004886687167773482+0j)
ZIXZIIIIIZXI (0.004886687167773482+0j)
IZXIIIIIIZXI (-0.004886687167773482+0j)
IIIIIIYZYIXZ (-0.0017940114229895204+0j)
IIIIIIXIYIYI (0.0017940114229895204+0j)
XYZIYXYYXIXZ (0.0018880625918414968+0j)
XXZIYYYYXIXZ (-0.0018880625918414968+0j)
XYZIYXYXXIYI (-0.0018880625918414968+0j)
XXZIYYYXXIYI (0.0018880625918414968+0j)
XYZIYZYYXIXZ (0.00595934813479403+0j)
XXZIXIXYYIXZ (0.00595934813479403+0j)
XYZIYZYXXIYI (-0.00595934813479403+0j)
XXZIXIXXYIYI (-0.00595934813479403+0j)
IYYXIIXYYIXZ (0.0048059163715937665+0j)
IXYYIIXYYIXZ (-0.0048059163715937665+0j)
IYYXIIXXYIYI (-0.0048059163715937665+0j)
IXYYIIXXYIYI (0.0048059163715937665+0j)
ZXZIIIXYYIXZ (0.004886687167773482+0j)
IXIIIIXYYIXZ (-0.004886687167773482+0j)
ZXZIIIXXYIYI (-0.004886687167773482+0j)
IXIIIIXXYIYI (0.004886687167773482+0j)
IIIIIZYIYIXZ (0.00805731874984492+0j)
IIIIIZXZYIYI (-0.00805731874984492+0j)
IIIIZXXIXIXZ (0.0013651879963209321+0j)
IIIIIXYIYIXZ (0.0013651879963209321+0j)
IIIIZXYZXIYI (0.0013651879963209321+0j)
IIIIIXXZYIYI (-0.0013651879963209321+0j)
XIXYYXXIXIXZ (9.283001310399535e-05+0j)
XIXXYYXIXIXZ (-9.283001310399535e-05+0j)
XIXYYXYZXIYI (9.283001310399535e-05+0j)
XIXXYYYZXIYI (-9.283001310399535e-05+0j)
YIIIYXXIXIXZ (-7.811548110298207e-05+0j)
XZZIYYXIXIXZ (7.811548110298207e-05+0j)
YIIIYXYZXIYI (-7.811548110298207e-05+0j)
XZZIYYYZXIYI (7.811548110298207e-05+0j)
IIIIZZXIXIXZ (0.03269082754247628+0j)
IIIIZZYZXIYI (0.03269082754247628+0j)
XIXYYZXIXIXZ (0.008441231396858068+0j)
XIXXXIYIYIXZ (-0.008441231396858068+0j)
XIXYYZYZXIYI (0.008441231396858068+0j)
XIXXXIXZYIYI (0.008441231396858068+0j)
YIIIYZXIXIXZ (-0.030795632698148563+0j)
XZZIXIYIYIXZ (0.030795632698148563+0j)
YIIIYZYZXIYI (-0.030795632698148563+0j)
XZZIXIXZYIYI (-0.030795632698148563+0j)
IIIZIIYIYIXZ (0.002575153756170668+0j)
IIIZIIXZYIYI (-0.002575153756170668+0j)
ZIXXIIYIYIXZ (0.007815040831571696+0j)
IZYYIIYIYIXZ (0.007815040831571696+0j)
ZIXXIIXZYIYI (-0.007815040831571696+0j)
IZYYIIXZYIYI (-0.007815040831571696+0j)
IIZZIIYIYIXZ (0.003092675744783962+0j)
IIZZIIXZYIYI (-0.003092675744783962+0j)
IZIIIIYIYIXZ (0.003092675744783962+0j)
IZIIIIXZYIYI (-0.003092675744783962+0j)
ZZZIIIYIYIXZ (-0.03472189417844199+0j)
ZZZIIIXZYIYI (0.03472189417844199+0j)
IIIIIIIIZIZI (0.060215328730553075+0j)
IIIIIIIZIZII (0.060215328730553075+0j)
IIIIIIZZIZII (0.053889590212474275+0j)
IIIIIZIIIZII (0.09897320675972478+0j)
IIIIZXZIZZII (-0.002874483977934139+0j)
IIIIIXIIIZII (0.002874483977934139+0j)
XIXYYXZIZZII (-0.0004885236222236816+0j)
XIXXYYZIZZII (0.0004885236222236816+0j)
YIIIYXZIZZII (-0.002461805864639734+0j)
XZZIYYZIZZII (0.002461805864639734+0j)
IIIIZZZIZZII (0.056452338836996935+0j)
XIXYYZZIZZII (-0.0016267451710517485+0j)
XIXXXIIIIZII (-0.0016267451710517485+0j)
YIIIYZZIZZII (0.002575153756170668+0j)
XZZIXIIIIZII (0.002575153756170668+0j)
IIIZIIIIIZII (0.08464944490904779+0j)
ZIXXIIIIIZII (0.00900653369217314+0j)
IZYYIIIIIZII (0.00900653369217314+0j)
IIZZIIIIIZII (0.0705407357347499+0j)
IZIIIIIIIZII (0.0705407357347499+0j)
ZZZIIIIIIZII (0.06047069997040127+0j)
IIIIIIYIXYII (-0.0038630263573783533+0j)
IIIIIIXZXXII (-0.0038630263573783533+0j)
XIYIYXZIIXZI (-0.0025616530555044076+0j)
XIXZYYZIIXZI (0.0025616530555044076+0j)
XIYIYXZIZXII (0.0025616530555044076+0j)
XIXZYYZIZXII (-0.0025616530555044076+0j)
XIYIYZZIIXZI (-0.0048059163715937665+0j)
XIXZXIIIZXZI (-0.0048059163715937665+0j)
XIYIYZZIZXII (0.0048059163715937665+0j)
XIXZXIIIIXII (0.0048059163715937665+0j)
IIZXIIIIZXZI (0.01032540700419682+0j)
IIIXIIIIZXZI (-0.01032540700419682+0j)
IIZXIIIIIXII (-0.01032540700419682+0j)
IIIXIIIIIXII (0.01032540700419682+0j)
ZIXZIIIIZXZI (-0.0034593099858053894+0j)
IZXIIIIIZXZI (0.0034593099858053894+0j)
ZIXZIIIIIXII (0.0034593099858053894+0j)
IZXIIIIIIXII (-0.0034593099858053894+0j)
IIIIIIYZYXZI (-0.0038630263573783533+0j)
IIIIIIXIYYZI (0.0038630263573783533+0j)
XYZIYXYYXXZI (0.0025616530555044085+0j)
XXZIYYYYXXZI (-0.0025616530555044085+0j)
XYZIYXYXXYZI (-0.0025616530555044085+0j)
XXZIYYYXXYZI (0.0025616530555044085+0j)
XYZIYZYYXXZI (0.0048059163715937665+0j)
XXZIXIXYYXZI (0.0048059163715937665+0j)
XYZIYZYXXYZI (-0.0048059163715937665+0j)
XXZIXIXXYYZI (-0.0048059163715937665+0j)
IYYXIIXYYXZI (0.01032540700419682+0j)
IXYYIIXYYXZI (-0.01032540700419682+0j)
IYYXIIXXYYZI (-0.01032540700419682+0j)
IXYYIIXXYYZI (0.01032540700419682+0j)
ZXZIIIXYYXZI (0.0034593099858053894+0j)
IXIIIIXYYXZI (-0.0034593099858053894+0j)
ZXZIIIXXYYZI (-0.0034593099858053894+0j)
IXIIIIXXYYZI (0.0034593099858053894+0j)
IIIIIZYIYXZI (-0.004360974516833923+0j)
IIIIIZXZYYZI (0.004360974516833923+0j)
IIIIZXXIXXZI (-0.0010234796628406358+0j)
IIIIIXYIYXZI (-0.0010234796628406358+0j)
IIIIZXYZXYZI (-0.0010234796628406358+0j)
IIIIIXXZYYZI (0.0010234796628406358+0j)
XIXYYXXIXXZI (-0.0011188564780979253+0j)
XIXXYYXIXXZI (0.0011188564780979253+0j)
XIXYYXYZXYZI (-0.0011188564780979253+0j)
XIXXYYYZXYZI (0.0011188564780979253+0j)
YIIIYXXIXXZI (-0.0010566484793174185+0j)
XZZIYYXIXXZI (0.0010566484793174185+0j)
YIIIYXYZXYZI (-0.0010566484793174185+0j)
XZZIYYYZXYZI (0.0010566484793174185+0j)
IIIIZZXIXXZI (-0.01275766770408919+0j)
IIIIZZYZXYZI (-0.01275766770408919+0j)
XIXYYZXIXXZI (-0.002170931879093681+0j)
XIXXXIYIYXZI (0.002170931879093681+0j)
XIXYYZYZXYZI (-0.002170931879093681+0j)
XIXXXIXZYYZI (-0.002170931879093681+0j)
YIIIYZXIXXZI (0.007815040831571696+0j)
XZZIXIYIYXZI (-0.007815040831571696+0j)
YIIIYZYZXYZI (0.007815040831571696+0j)
XZZIXIXZYYZI (0.007815040831571696+0j)
IIIZIIYIYXZI (-0.00900653369217314+0j)
IIIZIIXZYYZI (0.00900653369217314+0j)
ZIXXIIYIYXZI (-0.006581109757926992+0j)
IZYYIIYIYXZI (-0.006581109757926992+0j)
ZIXXIIXZYYZI (0.006581109757926992+0j)
IZYYIIXZYYZI (0.006581109757926992+0j)
IIZZIIYIYXZI (-0.0004037163715729642+0j)
IIZZIIXZYYZI (0.0004037163715729642+0j)
IZIIIIYIYXZI (-0.0004037163715729643+0j)
IZIIIIXZYYZI (0.0004037163715729643+0j)
ZZZIIIYIYXZI (0.010924624116983793+0j)
ZZZIIIXZYYZI (-0.010924624116983793+0j)
IIIIIIIZZZZI (0.0655845231545841+0j)
IIIIIIZZZZZI (0.06236719052855442+0j)
IIIIIZIIZZZI (0.0990778898789144+0j)
IIIIZXZIIZZI (-0.0011319350519759736+0j)
IIIIIXIIZZZI (0.0011319350519759736+0j)
XIXYYXZIIZZI (0.001237508384903623+0j)
XIXXYYZIIZZI (-0.001237508384903623+0j)
YIIIYXZIIZZI (-7.534543693393239e-05+0j)
XZZIYYZIIZZI (7.534543693393239e-05+0j)
IIIIZZZIIZZI (0.06846060828749323+0j)
XIXYYZZIIZZI (-0.0012471320088673667+0j)
XIXXXIIIZZZI (-0.0012471320088673667+0j)
YIIIYZZIIZZI (0.003092675744783962+0j)
XZZIXIIIZZZI (0.003092675744783962+0j)
IIIZIIIIZZZI (0.0705407357347499+0j)
ZIXXIIIIZZZI (0.0004037163715729642+0j)
IZYYIIIIZZZI (0.0004037163715729642+0j)
IIZZIIIIZZZI (0.07823637778985237+0j)
IZIIIIIIZZZI (0.06980180803300685+0j)
ZZZIIIIIZZZI (0.06725554994155136+0j)
IYYZIIXYYZZI (0.004217284878422759+0j)
IXXIIIXYYZZI (0.004217284878422759+0j)
IYYZIIXXXIII (0.004217284878422759+0j)
IXXIIIXXXIII (0.004217284878422759+0j)
XIYIYXXIXZZI (0.0015079457403672657+0j)
XIXZYYXIXZZI (-0.0015079457403672657+0j)
XIYIYXYZYIII (0.0015079457403672657+0j)
XIXZYYYZYIII (-0.0015079457403672657+0j)
XIYIYZXIXZZI (0.004886687167773482+0j)
XIXZXIYIYZZI (-0.004886687167773482+0j)
XIYIYZYZYIII (0.004886687167773482+0j)
XIXZXIXZXIII (-0.004886687167773482+0j)
IIZXIIYIYZZI (0.0034593099858053894+0j)
IIIXIIYIYZZI (-0.0034593099858053894+0j)
IIZXIIXZXIII (0.0034593099858053894+0j)
IIIXIIXZXIII (-0.0034593099858053894+0j)
ZIXZIIYIYZZI (-0.004888359412996945+0j)
IZXIIIYIYZZI (0.004888359412996945+0j)
ZIXZIIXZXIII (-0.004888359412996945+0j)
IZXIIIXZXIII (0.004888359412996945+0j)
IIIIIIZIIIII (0.06236719052855442+0j)
