Bravyi-Kitaev mapping of N2 Hamiltonian in sto3g basis.
IIIIIIIIIIIIIIIIII (-54.90718292900202+0j)
IIIXZIYIYIIIIIIIZX (0.0018252552043683604+0j)
IIIYZIYIXZIIIIIIIX (0.0018252552043683604+0j)
IIIXZIYIYIIIIIIIIX (-0.0018252552043683604+0j)
IIIIIIZXZIIIIIIIZX (0.0020250185363549374+0j)
IIIIIIIXIIIIIIIIZX (-0.0020250185363549374+0j)
IIIIIIZXZIIIIIIIIX (-0.0020250185363549374+0j)
IIIIIIIXIIIIIIIIIX (0.0020250185363549374+0j)
YIYIIIXXZIZIIIIIZX (0.000981112092399392+0j)
XZYIIIXYZIZIIIIIZX (-0.000981112092399392+0j)
YIYIIIXXZIZIIIIIIX (-0.000981112092399392+0j)
XZYIIIXYZIZIIIIIIX (0.000981112092399392+0j)
IIIYZIYZZIIIIIIIZX (-0.0030953286471773066+0j)
IIIXZIXIIIIIIIIIZX (-0.0030953286471773066+0j)
IIIYZIYZZIIIIIIIIX (0.0030953286471773066+0j)
IIIXZIXIIIIIIIIIIX (0.0030953286471773066+0j)
IIZIXXZIIIZIIIIIZX (0.0019860621313535706+0j)
IIIZYYIIIIIIIIIIZX (0.0019860621313535706+0j)
IIZIXXZIIIZIIIIIIX (-0.0019860621313535706+0j)
IIIZYYIIIIIIIIIIIX (-0.0019860621313535706+0j)
XYYIXXZIIIZIIIIIZX (0.00021181396847455545+0j)
XXYIXYZIIIZIIIIIZX (-0.00021181396847455545+0j)
XYYIXXZIIIZIIIIIIX (-0.00021181396847455545+0j)
XXYIXYZIIIZIIIIIIX (0.00021181396847455545+0j)
IIZIXZZIIIZIIIIIZX (-0.00021181396847455455+0j)
IIIZXIIIIIIIIIIIZX (0.00021181396847455455+0j)
IIZIXZZIIIZIIIIIIX (0.00021181396847455455+0j)
IIIZXIIIIIIIIIIIIX (-0.00021181396847455455+0j)
XYYIXZZIIIZIIIIIZX (0.00198606213135357+0j)
XXYIYIZIIIZIIIIIZX (-0.00198606213135357+0j)
XYYIXZZIIIZIIIIIIX (-0.00198606213135357+0j)
XXYIYIZIIIZIIIIIIX (0.00198606213135357+0j)
YIYXZIZIIIZIIIIIZX (-0.0015438184387996969+0j)
XZYYZIZIIIZIIIIIZX (0.0015438184387996969+0j)
YIYXZIZIIIZIIIIIIX (0.0015438184387996969+0j)
XZYYZIZIIIZIIIIIIX (-0.0015438184387996969+0j)
IIIIIIXIXYYIIIXZXX (0.0019324195525094114+0j)
IIIIIIXIXXYIIIXZXY (-0.0019324195525094114+0j)
IIIIIIIIIIIIIIZXXX (0.004771477127308435+0j)
IIIIIIIIIIIIIIZYXY (0.004771477127308435+0j)
IIIIIIIIIIIIIZIYYX (-0.004771477127308443+0j)
IIIIIIIIIIIIIZIXYY (0.004771477127308443+0j)
IIIIIIIIIIIIZZIYYX (-0.004548252145711697+0j)
IIIIIIIIIIIIZZIXYY (0.004548252145711697+0j)
IIIIIIIIIIIZIIIYYX (-0.006462536427530496+0j)
IIIIIIIIIIIZIIIXYY (0.006462536427530496+0j)
IIIIIIIIIIZZZIZYYX (-0.0064625364275305+0j)
IIIIIIIIIIZZZIZXYY (0.0064625364275305+0j)
IIIIIIIIIZIIIIIYYX (-0.008415275430084355+0j)
IIIIIIIIIZIIIIIXYY (0.008415275430084355+0j)
IIIIIIIIZZIIIIIYYX (-0.048626774871797944+0j)
IIIIIIIIZZIIIIIXYY (0.048626774871797944+0j)
IIIIIIZIXZIIIIIYYX (-0.007416726092476905+0j)
IIIIIIIZXIIIIIIYYX (0.007416726092476905+0j)
IIIIIIZIXZIIIIIXYY (0.007416726092476905+0j)
IIIIIIIZXIIIIIIXYY (-0.007416726092476905+0j)
YIYIIIXIXZZIIIIYYX (-0.0036003477161525997+0j)
XZYIIIXIYIZIIIIYYX (0.0036003477161525997+0j)
YIYIIIXIXZZIIIIXYY (0.0036003477161525997+0j)
XZYIIIXIYIZIIIIXYY (-0.0036003477161525997+0j)
IIIIIIIZIIIIIIIYYX (-0.004082647821445929+0j)
IIIIIIIZIIIIIIIXYY (0.004082647821445929+0j)
IIIYZIYXZIIIIIIYYX (-0.0010464441963648563+0j)
IIIXZIYYZIIIIIIYYX (0.0010464441963648563+0j)
IIIYZIYXZIIIIIIXYY (0.0010464441963648563+0j)
IIIXZIYYZIIIIIIXYY (-0.0010464441963648563+0j)
IIIIIIZZZIIIIIIYYX (-0.0014126288986259276+0j)
IIIIIIZZZIIIIIIXYY (0.0014126288986259276+0j)
YIYIIIXZZIZIIIIYYX (-0.0018621997585557984+0j)
XZYIIIYIIIZIIIIYYX (0.0018621997585557984+0j)
YIYIIIXZZIZIIIIXYY (0.0018621997585557984+0j)
XZYIIIYIIIZIIIIXYY (-0.0018621997585557984+0j)
IIIIIZIIIIIIIIIYYX (-0.0018262231177478111+0j)
IIIIIZIIIIIIIIIXYY (0.0018262231177478111+0j)
IIIIZZIIIIIIIIIYYX (-0.001826223117747815+0j)
IIIIZZIIIIIIIIIXYY (0.001826223117747815+0j)
IIIZIIIIIIIIIIIYYX (-0.0009978175774173928+0j)
IIIZIIIIIIIIIIIXYY (0.0009978175774173928+0j)
IIZZZIZIIIZIIIIYYX (-0.0018929370377096988+0j)
IIZZZIZIIIZIIIIXYY (0.0018929370377096988+0j)
IZIIIIIIIIIIIIIYYX (-0.0018929370377097049+0j)
IZIIIIIIIIIIIIIXYY (0.0018929370377097049+0j)
ZZIIIIIIIIIIIIIYYX (-0.004882208615265068+0j)
ZZIIIIIIIIIIIIIXYY (0.004882208615265068+0j)
IIIIIIXIXYYIIIYZYX (-0.0006388445727941474+0j)
IIIIIIXIXXYIIIYZYY (0.0006388445727941474+0j)
IIIIIIIIIIIYYZZIXX (0.00020914770901732662+0j)
IIIIIIIIIIIXXIZIXX (0.0009122986748411346+0j)
IIIIIIIIIIIYXIIZYX (0.0007031509658238079+0j)
IIIIIIIIIIIXYZZIXY (0.0007031509658238079+0j)
IIIIIIIIIIIYYZIZYY (0.0009122986748411346+0j)
IIIIIIIIIIIXXIIZYY (0.00020914770901732662+0j)
IIIIIIIIIIZIXZIIXX (2.230564973016691e-05+0j)
IIIIIIIIIIIZXIZIXX (-9.729685678085034e-05+0j)
IIIIIIIIIIZIYIZZYX (-7.499120705068346e-05+0j)
IIIIIIIIIIIZYZZIXY (-7.499120705068346e-05+0j)
IIIIIIIIIIZIXZZZYY (9.729685678085034e-05+0j)
IIIIIIIIIIIZXIIZYY (-2.230564973016691e-05+0j)
IIIIXYYIXZIIIIZIXX (-0.002356705714591673+0j)
IIIIXXYIYIIIIIZIXX (0.002356705714591673+0j)
IIIIXYYIXZIIIIIZYY (-0.002356705714591673+0j)
IIIIXXYIYIIIIIIZYY (0.002356705714591673+0j)
IIZIIIXXZIZIIIZIXX (-0.0029232762339976397+0j)
IIIZZIYYZIIIIIZIXX (-0.0029232762339976397+0j)
IIZIIIXXZIZIIIIZYY (-0.0029232762339976397+0j)
IIIZZIYYZIIIIIIZYY (-0.0029232762339976397+0j)
XYYIIIXXZIZIIIZIXX (-0.00031176806117761904+0j)
XXYIIIXYZIZIIIZIXX (0.00031176806117761904+0j)
XYYIIIXXZIZIIIIZYY (-0.00031176806117761904+0j)
XXYIIIXYZIZIIIIZYY (0.00031176806117761904+0j)
IIIIXYYZZIIIIIZIXX (0.002945254009560625+0j)
IIIIXXXIIIIIIIZIXX (0.002945254009560625+0j)
IIIIXYYZZIIIIIIZYY (0.002945254009560625+0j)
IIIIXXXIIIIIIIIZYY (0.002945254009560625+0j)
YIYIXXZIIIZIIIZIXX (-0.0020277580285061013+0j)
XZYIXYZIIIZIIIZIXX (0.0020277580285061013+0j)
YIYIXXZIIIZIIIIZYY (-0.0020277580285061013+0j)
XZYIXYZIIIZIIIIZYY (0.0020277580285061013+0j)
IIZXZIZIIIZIIIZIXX (-0.0016804964966457491+0j)
IIIXIIIIIIIIIIZIXX (0.0016804964966457491+0j)
IIZXZIZIIIZIIIIZYY (-0.0016804964966457491+0j)
IIIXIIIIIIIIIIIZYY (0.0016804964966457491+0j)
XYYXZIZIIIZIIIZIXX (-0.0001792253255035526+0j)
XXYYZIZIIIZIIIZIXX (0.0001792253255035526+0j)
XYYXZIZIIIZIIIIZYY (-0.0001792253255035526+0j)
XXYYZIZIIIZIIIIZYY (0.0001792253255035526+0j)
IIIIIIXIXYYIIZXIXX (0.000638844572794148+0j)
IIIIIIXIXXYIIZXIXY (-0.000638844572794148+0j)
IIIIIIIIIIIYZXYIXX (-2.230564973016688e-05+0j)
IIIIIIIIIIIXIYYIXX (9.72968567808501e-05+0j)
IIIIIIIIIIIYIXYIXX (-7.499120705068319e-05+0j)
IIIIIIIIIIIXZXYIXY (-7.499120705068319e-05+0j)
IIIIIIIIIIIYZYYIXY (-9.72968567808501e-05+0j)
IIIIIIIIIIIXIXYIXY (-2.230564973016688e-05+0j)
IIIIIIIIIIZIIXXIXX (0.00020914770901732735+0j)
IIIIIIIIIIIZIYYIXX (0.0009122986748411348+0j)
IIIIIIIIIIZIZXXIXX (0.0007031509658238075+0j)
IIIIIIIIIIIZZXYIXY (-0.0007031509658238075+0j)
IIIIIIIIIIZIIYXIXY (0.0009122986748411348+0j)
IIIIIIIIIIIZIXYIXY (-0.00020914770901732735+0j)
IIIIYIYIXZIIXYYIXX (0.002356705714591675+0j)
IIIIXZYIYIIIXYYIXX (-0.002356705714591675+0j)
IIIIYIYIXZIIXXYIXY (-0.002356705714591675+0j)
IIIIXZYIYIIIXXYIXY (0.002356705714591675+0j)
IIZIIIXXZIZIXYYIXX (-0.00031176806117761926+0j)
IIIZZIYYZIIIXYYIXX (-0.00031176806117761926+0j)
IIZIIIXXZIZIXXYIXY (0.00031176806117761926+0j)
IIIZZIYYZIIIXXYIXY (0.00031176806117761926+0j)
XYYIIIXXZIZIXYYIXX (0.0029232762339976405+0j)
XXYIIIXYZIZIXYYIXX (-0.0029232762339976405+0j)
XYYIIIXXZIZIXXYIXY (-0.0029232762339976405+0j)
XXYIIIXYZIZIXXYIXY (0.0029232762339976405+0j)
IIIIYIYZZIIIXYYIXX (-0.0029452540095606283+0j)
IIIIXZXIIIIIXYYIXX (-0.0029452540095606283+0j)
IIIIYIYZZIIIXXYIXY (0.0029452540095606283+0j)
IIIIXZXIIIIIXXYIXY (0.0029452540095606283+0j)
YIYIXZZIIIZIXYYIXX (0.0020277580285061035+0j)
XZYIYIZIIIZIXYYIXX (-0.0020277580285061035+0j)
YIYIXZZIIIZIXXYIXY (-0.0020277580285061035+0j)
XZYIYIZIIIZIXXYIXY (0.0020277580285061035+0j)
IIZXZIZIIIZIXYYIXX (-0.00017922532550355277+0j)
IIIXIIIIIIIIXYYIXX (0.00017922532550355277+0j)
IIZXZIZIIIZIXXYIXY (0.00017922532550355277+0j)
IIIXIIIIIIIIXXYIXY (-0.00017922532550355277+0j)
XYYXZIZIIIZIXYYIXX (0.0016804964966457504+0j)
XXYYZIZIIIZIXYYIXX (-0.0016804964966457504+0j)
XYYXZIZIIIZIXXYIXY (-0.0016804964966457504+0j)
XXYYZIZIIIZIXXYIXY (0.0016804964966457504+0j)
IIIIIIXIXYYIZZXIXX (0.002084223917722173+0j)
IIIIIIXIXXYIZZXIXY (-0.002084223917722173+0j)
IIIIIIIYYZIIYIYIXX (0.0018252552043683604+0j)
IIIIIIIXXIIIYIYIXX (0.0018252552043683604+0j)
IIIIIIIYYZIIXZYIXY (-0.0018252552043683604+0j)
IIIIIIIXXIIIXZYIXY (-0.0018252552043683604+0j)
IIIYZIYIXZIIYIYIXX (0.003310902275379787+0j)
IIIXZIYIYIIIYIYIXX (-0.003310902275379787+0j)
IIIYZIYIXZIIXZYIXY (-0.003310902275379787+0j)
IIIXZIYIYIIIXZYIXY (0.003310902275379787+0j)
IIIIIIZXZIIIYIYIXX (0.0001492210981119998+0j)
IIIIIIIXIIIIYIYIXX (-0.0001492210981119998+0j)
IIIIIIZXZIIIXZYIXY (-0.0001492210981119998+0j)
IIIIIIIXIIIIXZYIXY (0.0001492210981119998+0j)
YIYIIIXXZIZIYIYIXX (-0.002916273804080632+0j)
XZYIIIXYZIZIYIYIXX (0.002916273804080632+0j)
YIYIIIXXZIZIXZYIXY (0.002916273804080632+0j)
XZYIIIXYZIZIXZYIXY (-0.002916273804080632+0j)
IIIYZIYZZIIIYIYIXX (-0.0035504345682943047+0j)
IIIXZIXIIIIIYIYIXX (-0.0035504345682943047+0j)
IIIYZIYZZIIIXZYIXY (0.0035504345682943047+0j)
IIIXZIXIIIIIXZYIXY (0.0035504345682943047+0j)
IIZIXXZIIIZIYIYIXX (0.0007681978218046147+0j)
IIIZYYIIIIIIYIYIXX (0.0007681978218046147+0j)
IIZIXXZIIIZIXZYIXY (-0.0007681978218046147+0j)
IIIZYYIIIIIIXZYIXY (-0.0007681978218046147+0j)
XYYIXXZIIIZIYIYIXX (8.192846872270226e-05+0j)
XXYIXYZIIIZIYIYIXX (-8.192846872270226e-05+0j)
XYYIXXZIIIZIXZYIXY (-8.192846872270226e-05+0j)
XXYIXYZIIIZIXZYIXY (8.192846872270226e-05+0j)
IIZIXZZIIIZIYIYIXX (-8.192846872270267e-05+0j)
IIIZXIIIIIIIYIYIXX (8.192846872270267e-05+0j)
IIZIXZZIIIZIXZYIXY (8.192846872270267e-05+0j)
IIIZXIIIIIIIXZYIXY (-8.192846872270267e-05+0j)
XYYIXZZIIIZIYIYIXX (0.0007681978218046154+0j)
XXYIYIZIIIZIYIYIXX (-0.0007681978218046154+0j)
XYYIXZZIIIZIXZYIXY (-0.0007681978218046154+0j)
XXYIYIZIIIZIXZYIXY (0.0007681978218046154+0j)
YIYXZIZIIIZIYIYIXX (-0.0007523760427739497+0j)
XZYYZIZIIIZIYIYIXX (0.0007523760427739497+0j)
YIYXZIZIIIZIXZYIXY (0.0007523760427739497+0j)
XZYYZIZIIIZIXZYIXY (-0.0007523760427739497+0j)
IIIIIIXIXYYZIIXIXX (0.0028993884253473994+0j)
IIIIIIXIXXYZIIXIXY (-0.0028993884253473994+0j)
IIZIIIXIXZZYZIYIXX (-0.0034939895698911684+0j)
IIIZZIYIYIIYZIYIXX (-0.0034939895698911684+0j)
IIZIIIXIXZZXZIYIXY (0.0034939895698911684+0j)
IIIZZIYIYIIXZIYIXY (0.0034939895698911684+0j)
IIIIXYYXZIIYZIYIXX (-0.004490137278993357+0j)
IIIIXXYYZIIYZIYIXX (0.004490137278993357+0j)
IIIIXYYXZIIXZIYIXY (0.004490137278993357+0j)
IIIIXXYYZIIXZIYIXY (-0.004490137278993357+0j)
IIIIYIYXZIIYZIYIXX (0.0004788741404635387+0j)
IIIIXZYYZIIYZIYIXX (-0.0004788741404635387+0j)
IIIIYIYXZIIXZIYIXY (-0.0004788741404635387+0j)
IIIIXZYYZIIXZIYIXY (0.0004788741404635387+0j)
IIZIIIXZZIZYZIYIXX (0.004569599389820799+0j)
IIIZZIXIIIIYZIYIXX (-0.004569599389820799+0j)
IIZIIIXZZIZXZIYIXY (-0.004569599389820799+0j)
IIIZZIXIIIIXZIYIXY (0.004569599389820799+0j)
IIIYYXIIIIIYZIYIXX (-0.001471348787628423+0j)
IIIXYYIIIIIYZIYIXX (0.001471348787628423+0j)
IIIYYXIIIIIXZIYIXY (0.001471348787628423+0j)
IIIXYYIIIIIXZIYIXY (-0.001471348787628423+0j)
IIIYYZIIIIIYZIYIXX (0.00015691967577338586+0j)
IIIXXIIIIIIYZIYIXX (0.00015691967577338586+0j)
IIIYYZIIIIIXZIYIXY (-0.00015691967577338586+0j)
IIIXXIIIIIIXZIYIXY (-0.00015691967577338586+0j)
YIYZZIZIIIZYZIYIXX (0.0028759108791557722+0j)
XZXIIIIIIIIYZIYIXX (0.0028759108791557722+0j)
YIYZZIZIIIZXZIYIXY (-0.0028759108791557722+0j)
XZXIIIIIIIIXZIYIXY (-0.0028759108791557722+0j)
IIIIIIXIXYXZZIYIXX (0.0028993884253473976+0j)
IIIIIIXIXXXZZIYIXY (-0.0028993884253473976+0j)
XYYIIIXIXZIIIIXIXX (-0.0034939895698911654+0j)
XXYIIIXIYIIIIIXIXX (0.0034939895698911654+0j)
XYYIIIXIXZZZZIYIXY (-0.0034939895698911654+0j)
XXYIIIXIYIZZZIYIXY (0.0034939895698911654+0j)
IIIIXYYXZIZIIIXIXX (-0.0004788741404635382+0j)
IIIIXXYYZIZIIIXIXX (0.0004788741404635382+0j)
IIIIXYYXZIIZZIYIXY (-0.0004788741404635382+0j)
IIIIXXYYZIIZZIYIXY (0.0004788741404635382+0j)
IIIIYIYXZIZIIIXIXX (-0.0044901372789933605+0j)
IIIIXZYYZIZIIIXIXX (0.0044901372789933605+0j)
IIIIYIYXZIIZZIYIXY (-0.0044901372789933605+0j)
IIIIXZYYZIIZZIYIXY (0.0044901372789933605+0j)
XYYIIIXZZIIIIIXIXX (0.004569599389820795+0j)
XXYIIIYIIIIIIIXIXX (-0.004569599389820795+0j)
XYYIIIXZZIZZZIYIXY (0.004569599389820795+0j)
XXYIIIYIIIZZZIYIXY (-0.004569599389820795+0j)
IIIYYXIIIIZIIIXIXX (-0.00015691967577338573+0j)
IIIXYYIIIIZIIIXIXX (0.00015691967577338573+0j)
IIIYYXIIIIIZZIYIXY (-0.00015691967577338573+0j)
IIIXYYIIIIIZZIYIXY (0.00015691967577338573+0j)
IIIYYZIIIIZIIIXIXX (-0.0014713487876284231+0j)
IIIXXIIIIIZIIIXIXX (-0.0014713487876284231+0j)
IIIYYZIIIIIZZIYIXY (-0.0014713487876284231+0j)
IIIXXIIIIIIZZIYIXY (-0.0014713487876284231+0j)
ZXIIIIIIIIZIIIXIXX (0.0028759108791557714+0j)
IXIIIIIIIIZIIIXIXX (-0.0028759108791557714+0j)
ZXIIIIIIIIIZZIYIXY (0.0028759108791557714+0j)
IXIIIIIIIIIZZIYIXY (-0.0028759108791557714+0j)
IIIIIIXIYXYIIIXIXX (0.03129537529369652+0j)
IIIIIIXIYYYIIIXIXY (0.03129537529369652+0j)
IIIIIIYIIXYIIIXIXX (0.0036003477161525997+0j)
IIIIIIXZIYYIIIXIXX (-0.0036003477161525997+0j)
IIIIIIYIIYYIIIXIXY (0.0036003477161525997+0j)
IIIIIIXZIXYIIIXIXY (0.0036003477161525997+0j)
YIYIIIIIIXXIIIXIXX (-0.008508206869119883+0j)
XZYIIIIIZYXIIIXIXX (0.008508206869119883+0j)
YIYIIIIIIYXIIIXIXY (-0.008508206869119883+0j)
XZYIIIIIZXXIIIXIXY (-0.008508206869119883+0j)
IIIIIIXZXYYIIIXIXX (-0.005019869940689035+0j)
IIIIIIXZXXYIIIXIXY (0.005019869940689035+0j)
IIIYZIZXYYYIIIXIXX (-0.004281226612720186+0j)
IIIXZIZYYYYIIIXIXX (0.004281226612720186+0j)
IIIYZIZXYXYIIIXIXY (0.004281226612720186+0j)
IIIXZIZYYXYIIIXIXY (-0.004281226612720186+0j)
IIIIIIYZYYYIIIXIXX (-0.0037946193110652096+0j)
IIIIIIYZYXYIIIXIXY (0.0037946193110652096+0j)
YIYIIIIZYYXIIIXIXX (-0.0035330668148192868+0j)
XZYIIIZIXYXIIIXIXX (-0.0035330668148192868+0j)
YIYIIIIZYXXIIIXIXY (0.0035330668148192868+0j)
XZYIIIZIXXXIIIXIXY (0.0035330668148192868+0j)
IIIIIZXIXYYIIIXIXX (-0.001388913455711954+0j)
IIIIIZXIXXYIIIXIXY (0.001388913455711954+0j)
IIIIZZXIXYYIIIXIXX (-0.0013889134557119555+0j)
IIIIZZXIXXYIIIXIXY (0.0013889134557119555+0j)
IIIZIIXIXYYIIIXIXX (0.002836599960496123+0j)
IIIZIIXIXXYIIIXIXY (-0.002836599960496123+0j)
IIZZZIYIXYXIIIXIXX (2.3477546191626672e-05+0j)
IIZZZIYIXXXIIIXIXY (-2.3477546191626672e-05+0j)
IZIIIIXIXYYIIIXIXX (2.347754619162658e-05+0j)
IZIIIIXIXXYIIIXIXY (-2.347754619162658e-05+0j)
ZZIIIIXIXYYIIIXIXX (-0.003555190094267809+0j)
ZZIIIIXIXXYIIIXIXY (0.003555190094267809+0j)
IIIIIIIIIIIIIIIZZZ (0.10921597324467566+0j)
IIIIIIXIXYYIIIXXIZ (0.003466149259571196+0j)
IIIIIIXIXXYIIIXYIZ (-0.003466149259571196+0j)
IIIIIIIIIIIIIIZZIZ (0.12460122013638739+0j)
IIIIIIIIIIIIIZIIZZ (0.12460122013638752+0j)
IIIIIIIIIIIIZZIIZZ (0.11954708066333415+0j)
IIIIIIIIIIIZIIIIZZ (0.13363548570618353+0j)
