Jordan-Wigner mapping of N2 Hamiltonian in sto3g basis.
IIIIIIIIIIIIIIIIII (-54.90718292900202+0j)
IIIIIIIIIIIIYZZYXX (0.0041417728435421625+0j)
IIIIIIIIIIIIXZZXXX (0.0032445497452893057+0j)
IIIIIIIIIIIYZZYIYY (0.006476199410346927+0j)
IIIIIIIIIIIXZZXIYY (0.00490933836535121+0j)
IIIIIIIIIIIYZZXIXY (0.0015668610449957173+0j)
IIIIIIIIIIIXZZYIYX (0.0015668610449957173+0j)
IIIIIIIIIIIYZZYIXX (0.00490933836535121+0j)
IIIIIIIIIIIXZZXIXX (0.006476199410346927+0j)
IIIIIIIIIIYZZZYIYY (-0.0006906881089380937+0j)
IIIIIIIIIIXZZZXIYY (-0.0005235820296521745+0j)
IIIIIIIIIIYZZZXIXY (-0.00016710607928591923+0j)
IIIIIIIIIIXZZZYIYX (-0.00016710607928591923+0j)
IIIIIIIIIIYZZZYIXX (-0.0005235820296521745+0j)
IIIIIIIIIIXZZZXIXX (-0.0006906881089380937+0j)
IIIIIIIIIIIYZYIIYY (-0.0006906881089380934+0j)
IIIIIIIIIIIXZXIIYY (-0.0005235820296521739+0j)
IIIIIIIIIIIYZXIIXY (-0.00016710607928591955+0j)
IIIIIIIIIIIXZYIIYX (-0.00016710607928591955+0j)
IIIIIIIIIIIYZYIIXX (-0.0005235820296521739+0j)
IIIIIIIIIIIXZXIIXX (-0.0006906881089380934+0j)
IIIIIIIIIIYZZYIIYY (-0.006476199410346931+0j)
IIIIIIIIIIXZZXIIYY (-0.004909338365351211+0j)
IIIIIIIIIIYZZXIIXY (-0.0015668610449957182+0j)
IIIIIIIIIIXZZYIIYX (-0.0015668610449957182+0j)
IIIIIIIIIIYZZYIIXX (-0.004909338365351211+0j)
IIIIIIIIIIXZZXIIXX (-0.006476199410346931+0j)
IIIIIIIIIYZZYIIIYY (0.005825045051519881+0j)
IIIIIIIIIXZZXIIIYY (0.004460092242880329+0j)
IIIIIIIIIYZZXIIIXY (0.0013649528086395538+0j)
IIIIIIIIIXZZYIIIYX (0.0013649528086395538+0j)
IIIIIIIIIYZZYIIIXX (0.004460092242880329+0j)
IIIIIIIIIXZZXIIIXX (0.005825045051519881+0j)
IIIIIIIYYIIIIIIIYY (0.007259619431390433+0j)
IIIIIIIXXIIIIIIIYY (0.007259619431390433+0j)
IIIIIIIYYIIIIIIIXX (0.007259619431390433+0j)
IIIIIIIXXIIIIIIIXX (0.007259619431390433+0j)
IIIYZZZZYIIIIIIIYY (0.0018252552043683604+0j)
IIIXZZZZXIIIIIIIYY (0.0018252552043683604+0j)
IIIYZZZZYIIIIIIIXX (0.0018252552043683604+0j)
IIIXZZZZXIIIIIIIXX (0.0018252552043683604+0j)
IIIIIIYYIIIIIIIIYY (0.0020250185363549374+0j)
IIIIIIXXIIIIIIIIYY (0.0020250185363549374+0j)
IIIIIIYYIIIIIIIIXX (0.0020250185363549374+0j)
IIIIIIXXIIIIIIIIXX (0.0020250185363549374+0j)
YZZZZZZYIIIIIIIIYY (-0.000981112092399392+0j)
XZZZZZZXIIIIIIIIYY (-0.000981112092399392+0j)
YZZZZZZYIIIIIIIIXX (-0.000981112092399392+0j)
XZZZZZZXIIIIIIIIXX (-0.000981112092399392+0j)
IIIYZZYIIIIIIIIIYY (0.0030953286471773066+0j)
IIIXZZXIIIIIIIIIYY (0.0030953286471773066+0j)
IIIYZZYIIIIIIIIIXX (0.0030953286471773066+0j)
IIIXZZXIIIIIIIIIXX (0.0030953286471773066+0j)
IIYZZYIIIIIIIIIIYY (0.0019860621313535706+0j)
IIXZZXIIIIIIIIIIYY (0.0019860621313535706+0j)
IIYZZYIIIIIIIIIIXX (0.0019860621313535706+0j)
IIXZZXIIIIIIIIIIXX (0.0019860621313535706+0j)
IYZZZYIIIIIIIIIIYY (-0.00021181396847455545+0j)
IXZZZXIIIIIIIIIIYY (-0.00021181396847455545+0j)
IYZZZYIIIIIIIIIIXX (-0.00021181396847455545+0j)
IXZZZXIIIIIIIIIIXX (-0.00021181396847455545+0j)
IIYZYIIIIIIIIIIIYY (-0.00021181396847455455+0j)
IIXZXIIIIIIIIIIIYY (-0.00021181396847455455+0j)
IIYZYIIIIIIIIIIIXX (-0.00021181396847455455+0j)
IIXZXIIIIIIIIIIIXX (-0.00021181396847455455+0j)
IYZZYIIIIIIIIIIIYY (-0.00198606213135357+0j)
IXZZXIIIIIIIIIIIYY (-0.00198606213135357+0j)
IYZZYIIIIIIIIIIIXX (-0.00198606213135357+0j)
IXZZXIIIIIIIIIIIXX (-0.00198606213135357+0j)
YZZYIIIIIIIIIIIIYY (0.0015438184387996969+0j)
XZZXIIIIIIIIIIIIYY (0.0015438184387996969+0j)
YZZYIIIIIIIIIIIIXX (0.0015438184387996969+0j)
XZZXIIIIIIIIIIIIXX (0.0015438184387996969+0j)
IIIIIIIIIYZZZZZIZY (0.0019324195525094114+0j)
IIIIIIIIIXZZZZZIZX (0.0019324195525094114+0j)
IIIIIIIIIIIIIIZYZY (-0.004771477127308435+0j)
IIIIIIIIIIIIIIZXZX (-0.004771477127308435+0j)
IIIIIIIIIIIIIZIYZY (-0.004771477127308443+0j)
IIIIIIIIIIIIIZIXZX (-0.004771477127308443+0j)
IIIIIIIIIIIIZIIYZY (-0.004548252145711697+0j)
IIIIIIIIIIIIZIIXZX (-0.004548252145711697+0j)
IIIIIIIIIIIZIIIYZY (-0.006462536427530496+0j)
IIIIIIIIIIIZIIIXZX (-0.006462536427530496+0j)
IIIIIIIIIIZIIIIYZY (-0.0064625364275305+0j)
IIIIIIIIIIZIIIIXZX (-0.0064625364275305+0j)
IIIIIIIIIZIIIIIYZY (-0.008415275430084355+0j)
IIIIIIIIIZIIIIIXZX (-0.008415275430084355+0j)
IIIIIIIIZIIIIIIYZY (-0.048626774871797944+0j)
IIIIIIIIZIIIIIIXZX (-0.048626774871797944+0j)
IIIIIIYZYIIIIIIYZY (0.007416726092476905+0j)
IIIIIIXZXIIIIIIYZY (0.007416726092476905+0j)
IIIIIIYZYIIIIIIXZX (0.007416726092476905+0j)
IIIIIIXZXIIIIIIXZX (0.007416726092476905+0j)
YZZZZZZZYIIIIIIYZY (-0.0036003477161525997+0j)
XZZZZZZZXIIIIIIYZY (-0.0036003477161525997+0j)
YZZZZZZZYIIIIIIXZX (-0.0036003477161525997+0j)
XZZZZZZZXIIIIIIXZX (-0.0036003477161525997+0j)
IIIIIIIZIIIIIIIYZY (-0.004082647821445929+0j)
IIIIIIIZIIIIIIIXZX (-0.004082647821445929+0j)
IIIYZZZYIIIIIIIYZY (-0.0010464441963648563+0j)
IIIXZZZXIIIIIIIYZY (-0.0010464441963648563+0j)
IIIYZZZYIIIIIIIXZX (-0.0010464441963648563+0j)
IIIXZZZXIIIIIIIXZX (-0.0010464441963648563+0j)
IIIIIIZIIIIIIIIYZY (-0.0014126288986259276+0j)
IIIIIIZIIIIIIIIXZX (-0.0014126288986259276+0j)
YZZZZZYIIIIIIIIYZY (-0.0018621997585557984+0j)
XZZZZZXIIIIIIIIYZY (-0.0018621997585557984+0j)
YZZZZZYIIIIIIIIXZX (-0.0018621997585557984+0j)
XZZZZZXIIIIIIIIXZX (-0.0018621997585557984+0j)
IIIIIZIIIIIIIIIYZY (-0.0018262231177478111+0j)
IIIIIZIIIIIIIIIXZX (-0.0018262231177478111+0j)
IIIIZIIIIIIIIIIYZY (-0.001826223117747815+0j)
IIIIZIIIIIIIIIIXZX (-0.001826223117747815+0j)
IIIZIIIIIIIIIIIYZY (-0.0009978175774173928+0j)
IIIZIIIIIIIIIIIXZX (-0.0009978175774173928+0j)
IIZIIIIIIIIIIIIYZY (-0.0018929370377096988+0j)
IIZIIIIIIIIIIIIXZX (-0.0018929370377096988+0j)
IZIIIIIIIIIIIIIYZY (-0.0018929370377097049+0j)
IZIIIIIIIIIIIIIXZX (-0.0018929370377097049+0j)
ZIIIIIIIIIIIIIIYZY (-0.004882208615265068+0j)
ZIIIIIIIIIIIIIIXZX (-0.004882208615265068+0j)
IIIIIIIIIYZZZZIZZY (0.0006388445727941474+0j)
IIIIIIIIIXZZZZIZZX (0.0006388445727941474+0j)
IIIIIIIIIIIYYIYZZY (-0.00020914770901732662+0j)
IIIIIIIIIIIXXIYZZY (-0.0009122986748411346+0j)
IIIIIIIIIIIYXIXZZY (0.0007031509658238079+0j)
IIIIIIIIIIIXYIYZZX (0.0007031509658238079+0j)
IIIIIIIIIIIYYIXZZX (-0.0009122986748411346+0j)
IIIIIIIIIIIXXIXZZX (-0.00020914770901732662+0j)
IIIIIIIIIIYZYIYZZY (2.230564973016691e-05+0j)
IIIIIIIIIIXZXIYZZY (9.729685678085034e-05+0j)
IIIIIIIIIIYZXIXZZY (-7.499120705068346e-05+0j)
IIIIIIIIIIXZYIYZZX (-7.499120705068346e-05+0j)
IIIIIIIIIIYZYIXZZX (9.729685678085034e-05+0j)
IIIIIIIIIIXZXIXZZX (2.230564973016691e-05+0j)
IIIIIYZZYIIIIIYZZY (0.002356705714591673+0j)
IIIIIXZZXIIIIIYZZY (0.002356705714591673+0j)
IIIIIYZZYIIIIIXZZX (0.002356705714591673+0j)
IIIIIXZZXIIIIIXZZX (0.002356705714591673+0j)
IIYZZZZYIIIIIIYZZY (-0.0029232762339976397+0j)
IIXZZZZXIIIIIIYZZY (-0.0029232762339976397+0j)
IIYZZZZYIIIIIIXZZX (-0.0029232762339976397+0j)
IIXZZZZXIIIIIIXZZX (-0.0029232762339976397+0j)
IYZZZZZYIIIIIIYZZY (0.00031176806117761904+0j)
IXZZZZZXIIIIIIYZZY (0.00031176806117761904+0j)
IYZZZZZYIIIIIIXZZX (0.00031176806117761904+0j)
IXZZZZZXIIIIIIXZZX (0.00031176806117761904+0j)
IIIIIYYIIIIIIIYZZY (-0.002945254009560625+0j)
IIIIIXXIIIIIIIYZZY (-0.002945254009560625+0j)
IIIIIYYIIIIIIIXZZX (-0.002945254009560625+0j)
IIIIIXXIIIIIIIXZZX (-0.002945254009560625+0j)
YZZZZYIIIIIIIIYZZY (0.0020277580285061013+0j)
XZZZZXIIIIIIIIYZZY (0.0020277580285061013+0j)
YZZZZYIIIIIIIIXZZX (0.0020277580285061013+0j)
XZZZZXIIIIIIIIXZZX (0.0020277580285061013+0j)
IIYYIIIIIIIIIIYZZY (-0.0016804964966457491+0j)
IIXXIIIIIIIIIIYZZY (-0.0016804964966457491+0j)
IIYYIIIIIIIIIIXZZX (-0.0016804964966457491+0j)
IIXXIIIIIIIIIIXZZX (-0.0016804964966457491+0j)
IYZYIIIIIIIIIIYZZY (0.0001792253255035526+0j)
IXZXIIIIIIIIIIYZZY (0.0001792253255035526+0j)
IYZYIIIIIIIIIIXZZX (0.0001792253255035526+0j)
IXZXIIIIIIIIIIXZZX (0.0001792253255035526+0j)
IIIIIIIIIYZZZIZZZY (0.000638844572794148+0j)
IIIIIIIIIXZZZIZZZX (0.000638844572794148+0j)
IIIIIIIIIIIYYYZZZY (2.230564973016688e-05+0j)
IIIIIIIIIIIXXYZZZY (9.72968567808501e-05+0j)
IIIIIIIIIIIYXXZZZY (-7.499120705068319e-05+0j)
IIIIIIIIIIIXYYZZZX (-7.499120705068319e-05+0j)
IIIIIIIIIIIYYXZZZX (9.72968567808501e-05+0j)
IIIIIIIIIIIXXXZZZX (2.230564973016688e-05+0j)
IIIIIIIIIIYZYYZZZY (0.00020914770901732735+0j)
IIIIIIIIIIXZXYZZZY (0.0009122986748411348+0j)
IIIIIIIIIIYZXXZZZY (-0.0007031509658238075+0j)
IIIIIIIIIIXZYYZZZX (-0.0007031509658238075+0j)
IIIIIIIIIIYZYXZZZX (0.0009122986748411348+0j)
IIIIIIIIIIXZXXZZZX (0.00020914770901732735+0j)
IIIIYZZZYIIIIYZZZY (0.002356705714591675+0j)
IIIIXZZZXIIIIYZZZY (0.002356705714591675+0j)
IIIIYZZZYIIIIXZZZX (0.002356705714591675+0j)
IIIIXZZZXIIIIXZZZX (0.002356705714591675+0j)
IIYZZZZYIIIIIYZZZY (0.00031176806117761926+0j)
IIXZZZZXIIIIIYZZZY (0.00031176806117761926+0j)
IIYZZZZYIIIIIXZZZX (0.00031176806117761926+0j)
IIXZZZZXIIIIIXZZZX (0.00031176806117761926+0j)
IYZZZZZYIIIIIYZZZY (0.0029232762339976405+0j)
IXZZZZZXIIIIIYZZZY (0.0029232762339976405+0j)
IYZZZZZYIIIIIXZZZX (0.0029232762339976405+0j)
IXZZZZZXIIIIIXZZZX (0.0029232762339976405+0j)
IIIIYZYIIIIIIYZZZY (-0.0029452540095606283+0j)
IIIIXZXIIIIIIYZZZY (-0.0029452540095606283+0j)
IIIIYZYIIIIIIXZZZX (-0.0029452540095606283+0j)
IIIIXZXIIIIIIXZZZX (-0.0029452540095606283+0j)
YZZZYIIIIIIIIYZZZY (0.0020277580285061035+0j)
XZZZXIIIIIIIIYZZZY (0.0020277580285061035+0j)
YZZZYIIIIIIIIXZZZX (0.0020277580285061035+0j)
XZZZXIIIIIIIIXZZZX (0.0020277580285061035+0j)
IIYYIIIIIIIIIYZZZY (0.00017922532550355277+0j)
IIXXIIIIIIIIIYZZZY (0.00017922532550355277+0j)
IIYYIIIIIIIIIXZZZX (0.00017922532550355277+0j)
IIXXIIIIIIIIIXZZZX (0.00017922532550355277+0j)
IYZYIIIIIIIIIYZZZY (0.0016804964966457504+0j)
IXZXIIIIIIIIIYZZZY (0.0016804964966457504+0j)
IYZYIIIIIIIIIXZZZX (0.0016804964966457504+0j)
IXZXIIIIIIIIIXZZZX (0.0016804964966457504+0j)
IIIIIIIIIYZZIZZZZY (0.002084223917722173+0j)
IIIIIIIIIXZZIZZZZX (0.002084223917722173+0j)
IIIIIIIYYIIIYZZZZY (0.0018252552043683604+0j)
IIIIIIIXXIIIYZZZZY (0.0018252552043683604+0j)
IIIIIIIYYIIIXZZZZX (0.0018252552043683604+0j)
IIIIIIIXXIIIXZZZZX (0.0018252552043683604+0j)
IIIYZZZZYIIIYZZZZY (0.003310902275379787+0j)
IIIXZZZZXIIIYZZZZY (0.003310902275379787+0j)
IIIYZZZZYIIIXZZZZX (0.003310902275379787+0j)
IIIXZZZZXIIIXZZZZX (0.003310902275379787+0j)
IIIIIIYYIIIIYZZZZY (-0.0001492210981119998+0j)
IIIIIIXXIIIIYZZZZY (-0.0001492210981119998+0j)
IIIIIIYYIIIIXZZZZX (-0.0001492210981119998+0j)
IIIIIIXXIIIIXZZZZX (-0.0001492210981119998+0j)
YZZZZZZYIIIIYZZZZY (-0.002916273804080632+0j)
XZZZZZZXIIIIYZZZZY (-0.002916273804080632+0j)
YZZZZZZYIIIIXZZZZX (-0.002916273804080632+0j)
XZZZZZZXIIIIXZZZZX (-0.002916273804080632+0j)
IIIYZZYIIIIIYZZZZY (-0.0035504345682943047+0j)
IIIXZZXIIIIIYZZZZY (-0.0035504345682943047+0j)
IIIYZZYIIIIIXZZZZX (-0.0035504345682943047+0j)
IIIXZZXIIIIIXZZZZX (-0.0035504345682943047+0j)
IIYZZYIIIIIIYZZZZY (-0.0007681978218046147+0j)
IIXZZXIIIIIIYZZZZY (-0.0007681978218046147+0j)
IIYZZYIIIIIIXZZZZX (-0.0007681978218046147+0j)
IIXZZXIIIIIIXZZZZX (-0.0007681978218046147+0j)
IYZZZYIIIIIIYZZZZY (8.192846872270226e-05+0j)
IXZZZXIIIIIIYZZZZY (8.192846872270226e-05+0j)
IYZZZYIIIIIIXZZZZX (8.192846872270226e-05+0j)
IXZZZXIIIIIIXZZZZX (8.192846872270226e-05+0j)
IIYZYIIIIIIIYZZZZY (8.192846872270267e-05+0j)
IIXZXIIIIIIIYZZZZY (8.192846872270267e-05+0j)
IIYZYIIIIIIIXZZZZX (8.192846872270267e-05+0j)
IIXZXIIIIIIIXZZZZX (8.192846872270267e-05+0j)
IYZZYIIIIIIIYZZZZY (0.0007681978218046154+0j)
IXZZXIIIIIIIYZZZZY (0.0007681978218046154+0j)
IYZZYIIIIIIIXZZZZX (0.0007681978218046154+0j)
IXZZXIIIIIIIXZZZZX (0.0007681978218046154+0j)
YZZYIIIIIIIIYZZZZY (-0.0007523760427739497+0j)
XZZXIIIIIIIIYZZZZY (-0.0007523760427739497+0j)
YZZYIIIIIIIIXZZZZX (-0.0007523760427739497+0j)
XZZXIIIIIIIIXZZZZX (-0.0007523760427739497+0j)
IIIIIIIIIYZIZZZZZY (0.0028993884253473994+0j)
IIIIIIIIIXZIZZZZZX (0.0028993884253473994+0j)
IIYZZZZZYIIYZZZZZY (0.0034939895698911684+0j)
IIXZZZZZXIIYZZZZZY (0.0034939895698911684+0j)
IIYZZZZZYIIXZZZZZX (0.0034939895698911684+0j)
IIXZZZZZXIIXZZZZZX (0.0034939895698911684+0j)
IIIIIYZYIIIYZZZZZY (-0.004490137278993357+0j)
IIIIIXZXIIIYZZZZZY (-0.004490137278993357+0j)
IIIIIYZYIIIXZZZZZX (-0.004490137278993357+0j)
IIIIIXZXIIIXZZZZZX (-0.004490137278993357+0j)
IIIIYZZYIIIYZZZZZY (0.0004788741404635387+0j)
IIIIXZZXIIIYZZZZZY (0.0004788741404635387+0j)
IIIIYZZYIIIXZZZZZX (0.0004788741404635387+0j)
IIIIXZZXIIIXZZZZZX (0.0004788741404635387+0j)
IIYZZZYIIIIYZZZZZY (-0.004569599389820799+0j)
IIXZZZXIIIIYZZZZZY (-0.004569599389820799+0j)
IIYZZZYIIIIXZZZZZX (-0.004569599389820799+0j)
IIXZZZXIIIIXZZZZZX (-0.004569599389820799+0j)
IIIYZYIIIIIYZZZZZY (-0.001471348787628423+0j)
IIIXZXIIIIIYZZZZZY (-0.001471348787628423+0j)
IIIYZYIIIIIXZZZZZX (-0.001471348787628423+0j)
IIIXZXIIIIIXZZZZZX (-0.001471348787628423+0j)
IIIYYIIIIIIYZZZZZY (0.00015691967577338586+0j)
IIIXXIIIIIIYZZZZZY (0.00015691967577338586+0j)
IIIYYIIIIIIXZZZZZX (0.00015691967577338586+0j)
IIIXXIIIIIIXZZZZZX (0.00015691967577338586+0j)
YZYIIIIIIIIYZZZZZY (0.0028759108791557722+0j)
XZXIIIIIIIIYZZZZZY (0.0028759108791557722+0j)
YZYIIIIIIIIXZZZZZX (0.0028759108791557722+0j)
XZXIIIIIIIIXZZZZZX (0.0028759108791557722+0j)
IIIIIIIIIYIZZZZZZY (0.0028993884253473976+0j)
IIIIIIIIIXIZZZZZZX (0.0028993884253473976+0j)
IYZZZZZZYIYZZZZZZY (0.0034939895698911654+0j)
IXZZZZZZXIYZZZZZZY (0.0034939895698911654+0j)
IYZZZZZZYIXZZZZZZX (0.0034939895698911654+0j)
IXZZZZZZXIXZZZZZZX (0.0034939895698911654+0j)
IIIIIYZYIIYZZZZZZY (0.0004788741404635382+0j)
IIIIIXZXIIYZZZZZZY (0.0004788741404635382+0j)
IIIIIYZYIIXZZZZZZX (0.0004788741404635382+0j)
IIIIIXZXIIXZZZZZZX (0.0004788741404635382+0j)
IIIIYZZYIIYZZZZZZY (0.0044901372789933605+0j)
IIIIXZZXIIYZZZZZZY (0.0044901372789933605+0j)
IIIIYZZYIIXZZZZZZX (0.0044901372789933605+0j)
IIIIXZZXIIXZZZZZZX (0.0044901372789933605+0j)
IYZZZZYIIIYZZZZZZY (-0.004569599389820795+0j)
IXZZZZXIIIYZZZZZZY (-0.004569599389820795+0j)
IYZZZZYIIIXZZZZZZX (-0.004569599389820795+0j)
IXZZZZXIIIXZZZZZZX (-0.004569599389820795+0j)
IIIYZYIIIIYZZZZZZY (0.00015691967577338573+0j)
IIIXZXIIIIYZZZZZZY (0.00015691967577338573+0j)
IIIYZYIIIIXZZZZZZX (0.00015691967577338573+0j)
IIIXZXIIIIXZZZZZZX (0.00015691967577338573+0j)
IIIYYIIIIIYZZZZZZY (0.0014713487876284231+0j)
IIIXXIIIIIYZZZZZZY (0.0014713487876284231+0j)
IIIYYIIIIIXZZZZZZX (0.0014713487876284231+0j)
IIIXXIIIIIXZZZZZZX (0.0014713487876284231+0j)
YYIIIIIIIIYZZZZZZY (0.0028759108791557714+0j)
XXIIIIIIIIYZZZZZZY (0.0028759108791557714+0j)
YYIIIIIIIIXZZZZZZX (0.0028759108791557714+0j)
XXIIIIIIIIXZZZZZZX (0.0028759108791557714+0j)
IIIIIIIIZYZZZZZZZY (0.03129537529369652+0j)
IIIIIIIIZXZZZZZZZX (0.03129537529369652+0j)
IIIIIIYZYYZZZZZZZY (-0.0036003477161525997+0j)
IIIIIIXZXYZZZZZZZY (-0.0036003477161525997+0j)
IIIIIIYZYXZZZZZZZX (-0.0036003477161525997+0j)
IIIIIIXZXXZZZZZZZX (-0.0036003477161525997+0j)
YZZZZZZZYYZZZZZZZY (0.008508206869119883+0j)
XZZZZZZZXYZZZZZZZY (0.008508206869119883+0j)
YZZZZZZZYXZZZZZZZX (0.008508206869119883+0j)
XZZZZZZZXXZZZZZZZX (0.008508206869119883+0j)
IIIIIIIZIYZZZZZZZY (-0.005019869940689035+0j)
IIIIIIIZIXZZZZZZZX (-0.005019869940689035+0j)
IIIYZZZYIYZZZZZZZY (-0.004281226612720186+0j)
IIIXZZZXIYZZZZZZZY (-0.004281226612720186+0j)
IIIYZZZYIXZZZZZZZX (-0.004281226612720186+0j)
IIIXZZZXIXZZZZZZZX (-0.004281226612720186+0j)
IIIIIIZIIYZZZZZZZY (0.0037946193110652096+0j)
IIIIIIZIIXZZZZZZZX (0.0037946193110652096+0j)
YZZZZZYIIYZZZZZZZY (-0.0035330668148192868+0j)
XZZZZZXIIYZZZZZZZY (-0.0035330668148192868+0j)
YZZZZZYIIXZZZZZZZX (-0.0035330668148192868+0j)
XZZZZZXIIXZZZZZZZX (-0.0035330668148192868+0j)
IIIIIZIIIYZZZZZZZY (-0.001388913455711954+0j)
IIIIIZIIIXZZZZZZZX (-0.001388913455711954+0j)
IIIIZIIIIYZZZZZZZY (-0.0013889134557119555+0j)
IIIIZIIIIXZZZZZZZX (-0.0013889134557119555+0j)
IIIZIIIIIYZZZZZZZY (0.002836599960496123+0j)
IIIZIIIIIXZZZZZZZX (0.002836599960496123+0j)
IIZIIIIIIYZZZZZZZY (2.3477546191626672e-05+0j)
IIZIIIIIIXZZZZZZZX (2.3477546191626672e-05+0j)
IZIIIIIIIYZZZZZZZY (2.347754619162658e-05+0j)
IZIIIIIIIXZZZZZZZX (2.347754619162658e-05+0j)
ZIIIIIIIIYZZZZZZZY (-0.003555190094267809+0j)
ZIIIIIIIIXZZZZZZZX (-0.003555190094267809+0j)
IIIIIIIIIIIIIIIZZI (0.10921597324467566+0j)
IIIIIIIIIYZZZZZYZI (0.003466149259571196+0j)
IIIIIIIIIXZZZZZXZI (0.003466149259571196+0j)
IIIIIIIIIIIIIIZIZI (0.12460122013638739+0j)
IIIIIIIIIIIIIZIIZI (0.12460122013638752+0j)
IIIIIIIIIIIIZIIIZI (0.11954708066333415+0j)
IIIIIIIIIIIZIIIIZI (0.13363548570618353+0j)
IIIIIIIIIIZIIIIIZI (0.13363548570618342+0j)
