Bravyi-Kitaev mapping of N2 Hamiltonian in sto3g basis.
IIIIIIIIIIIIIIII (-25.237330367908303+0j)
IIXXYIXYIIIIIIIZ (-0.026948519029038054+0j)
IIIIIIZZIIIIIIIZ (0.12626562484274095+0j)
ZIIIXIXZZIIIIIIZ (0.019092593710126792+0j)
IZZIYIYIIIIIIIIZ (0.019092593710126792+0j)
IIIIIZIIIIIIIIIZ (0.14954483244432468+0j)
IIIIZZZIIIIIIIIZ (0.14954483244432457+0j)
IIIZIIIIIIIIIIIZ (0.13374423099551241+0j)
IIZZIIIIIIIIIIIZ (0.14531514706225873+0j)
IZIIIIIIIIIIIIIZ (0.14531514706225884+0j)
ZZZIZIIIZIIIIIIZ (0.17555333899250467+0j)
IIIIIIIIIIXYYIYY (-0.024139890058060613+0j)
IIIIIIIIIIXXYIYX (-0.024139890058060613+0j)
IIIIIIIIIIYIYXIX (0.01562570210575988+0j)
IIIIIIIIIIXZYYIX (-0.008485764773085103+0j)
IIIIIIIIIIYIYYZY (0.007139937332674776+0j)
IIIIIIIIIIXZYXIY (-0.007139937332674776+0j)
IIIIIIIIIIYIYXZX (-0.008485764773085103+0j)
IIIIIIIIIIXZYYZX (0.01562570210575988+0j)
IIIIIIIIIYZIYXIX (4.095213554437366e-05+0j)
IIIIIIIIIXZIYYIX (-2.2239652774191412e-05+0j)
IIIIIIIIIYZIYYZY (1.8712482770182256e-05+0j)
IIIIIIIIIXZIYXIY (-1.8712482770182256e-05+0j)
IIIIIIIIIYZIYXZX (-2.2239652774191412e-05+0j)
IIIIIIIIIXZIYYZX (4.095213554437366e-05+0j)
IIIIIIIIIIYIYZIX (-4.095213554437501e-05+0j)
IIIIIIIIIIXZXIZX (-2.2239652774192273e-05+0j)
IIIIIIIIIIYIXIIY (1.8712482770182737e-05+0j)
IIIIIIIIIIXZYZIY (1.8712482770182737e-05+0j)
IIIIIIIIIIYIYZZX (2.2239652774192273e-05+0j)
IIIIIIIIIIXZXIIX (4.095213554437501e-05+0j)
IIIIIIIIIYZIYZIX (0.015625702105759868+0j)
IIIIIIIIIXZIXIZX (0.008485764773085096+0j)
IIIIIIIIIYZIXIIY (-0.007139937332674775+0j)
IIIIIIIIIXZIYZIY (-0.007139937332674775+0j)
IIIIIIIIIYZIYZZX (-0.008485764773085096+0j)
IIIIIIIIIXZIXIIX (-0.015625702105759868+0j)
IIIIIIIIZIXXZIZX (-0.028517378863193173+0j)
IIIIIIIIIZYYIIZX (-0.007728547223000249+0j)
IIIIIIIIZIXYZIIY (-0.020788831640192934+0j)
IIIIIIIIIZYXIIZY (-0.020788831640192934+0j)
IIIIIIIIZIXXZIIX (0.007728547223000249+0j)
IIIIIIIIIZYYIIIX (0.028517378863193173+0j)
IIIIIIZXIIIIIIZX (0.017049651598065305+0j)
IIIIIIIXIIIIIIZX (-0.017049651598065305+0j)
IIIIIIZXIIIIIIIX (-0.017049651598065305+0j)
IIIIIIIXIIIIIIIX (0.017049651598065305+0j)
ZIIIXIXXZIIIIIZX (0.015626444450555627+0j)
IZZIYIXYIIIIIIZX (0.015626444450555627+0j)
ZIIIXIXXZIIIIIIX (-0.015626444450555627+0j)
IZZIYIXYIIIIIIIX (-0.015626444450555627+0j)
IIXYYIXZIIIIIIZX (-0.02503784626326405+0j)
IIXXYIYIIIIIIIZX (0.02503784626326405+0j)
IIXYYIXZIIIIIIIX (0.02503784626326405+0j)
IIXXYIYIIIIIIIIX (-0.02503784626326405+0j)
IIYIYXZIIIIIIIZX (0.027106487209828493+0j)
IIXZYYZIIIIIIIZX (-0.027106487209828493+0j)
IIYIYXZIIIIIIIIX (-0.027106487209828493+0j)
IIXZYYZIIIIIIIIX (0.027106487209828493+0j)
IYZIYXZIIIIIIIZX (7.104119423469235e-05+0j)
IXZIYYZIIIIIIIZX (-7.104119423469235e-05+0j)
IYZIYXZIIIIIIIIX (-7.104119423469235e-05+0j)
IXZIYYZIIIIIIIIX (7.104119423469235e-05+0j)
IIYIYZZIIIIIIIZX (-7.104119423469456e-05+0j)
IIXZXIIIIIIIIIZX (-7.104119423469456e-05+0j)
IIYIYZZIIIIIIIIX (7.104119423469456e-05+0j)
IIXZXIIIIIIIIIIX (7.104119423469456e-05+0j)
IYZIYZZIIIIIIIZX (0.027106487209828476+0j)
IXZIXIIIIIIIIIZX (0.027106487209828476+0j)
IYZIYZZIIIIIIIIX (-0.027106487209828476+0j)
IXZIXIIIIIIIIIIX (-0.027106487209828476+0j)
ZIXXZIIIZIIIIIZX (-0.016699971564166343+0j)
IZYYIIIIIIIIIIZX (-0.016699971564166343+0j)
ZIXXZIIIZIIIIIIX (0.016699971564166343+0j)
IZYYIIIIIIIIIIIX (0.016699971564166343+0j)
IIIIIIIIIIXYYZXX (0.01456370949838083+0j)
IIIIIIIIIIXXYZXY (-0.01456370949838083+0j)
IIIIIIIIZIXZZYYX (-0.010847545606650454+0j)
IIIIIIIIIZXIIYYX (-0.005989626937754422+0j)
IIIIIIIIZIYIZXYX (0.01683717254440488+0j)
IIIIIIIIIZYZIYYY (-0.01683717254440488+0j)
IIIIIIIIZIXZZXYY (-0.005989626937754422+0j)
IIIIIIIIIZXIIXYY (-0.010847545606650454+0j)
IIIIIIIIZXZIZYYX (-2.842945264159209e-05+0j)
IIIIIIIIIXIIIYYX (-1.56977275360148e-05+0j)
IIIIIIIIZYZIZXYX (4.412718017760689e-05+0j)
IIIIIIIIIYIIIYYY (-4.412718017760689e-05+0j)
IIIIIIIIZXZIZXYY (-1.56977275360148e-05+0j)
IIIIIIIIIXIIIXYY (-2.842945264159209e-05+0j)
IIIIIYYXIIIIIYYX (0.024943612307937117+0j)
IIIIIXYYIIIIIYYX (-0.024943612307937117+0j)
IIIIIYYXIIIIIXYY (-0.024943612307937117+0j)
IIIIIXYYIIIIIXYY (0.024943612307937117+0j)
IIYIYIXZIIIIIYYX (-0.018620722436743384+0j)
IIXZYIYIIIIIIYYX (0.018620722436743384+0j)
IIYIYIXZIIIIIXYY (0.018620722436743384+0j)
IIXZYIYIIIIIIXYY (-0.018620722436743384+0j)
IYZIYIXZIIIIIYYX (-4.880154146050094e-05+0j)
IXZIYIYIIIIIIYYX (4.880154146050094e-05+0j)
IYZIYIXZIIIIIXYY (4.880154146050094e-05+0j)
IXZIYIYIIIIIIXYY (-4.880154146050094e-05+0j)
IIXYYXZIIIIIIYYX (0.0031313032628737907+0j)
IIXXYYZIIIIIIYYX (-0.0031313032628737907+0j)
IIXYYXZIIIIIIXYY (-0.0031313032628737907+0j)
IIXXYYZIIIIIIXYY (0.0031313032628737907+0j)
ZIXZZIIIZIIIIYYX (0.014229207900785744+0j)
IZXIIIIIIIIIIYYX (-0.014229207900785744+0j)
ZIXZZIIIZIIIIXYY (-0.014229207900785744+0j)
IZXIIIIIIIIIIXYY (0.014229207900785744+0j)
ZXZIZIIIZIIIIYYX (3.7292177125740414e-05+0j)
IXIIIIIIIIIIIYYX (-3.7292177125740414e-05+0j)
ZXZIZIIIZIIIIXYY (-3.7292177125740414e-05+0j)
IXIIIIIIIIIIIXYY (3.7292177125740414e-05+0j)
IIIIIIIIIIXYXZYX (0.014563709498380819+0j)
IIIIIIIIIIXXXZYY (-0.014563709498380819+0j)
IIIIIIIIZIXZIIXX (-2.8429452641592937e-05+0j)
IIIIIIIIIZXIZIXX (-1.5697727536015254e-05+0j)
IIIIIIIIZIYIZZYX (-4.4127180177608184e-05+0j)
IIIIIIIIIZYZZIXY (-4.4127180177608184e-05+0j)
IIIIIIIIZIXZZZYY (1.5697727536015254e-05+0j)
IIIIIIIIIZXIIZYY (2.8429452641592937e-05+0j)
IIIIIIIIZXZIIIXX (0.010847545606650456+0j)
IIIIIIIIIXIIZIXX (0.005989626937754421+0j)
IIIIIIIIZYZIZZYX (0.016837172544404883+0j)
IIIIIIIIIYIIZIXY (0.016837172544404883+0j)
IIIIIIIIZXZIZZYY (-0.005989626937754421+0j)
IIIIIIIIIXIIIZYY (-0.010847545606650456+0j)
IIIIZIXXIIIIZIXX (0.024943612307937096+0j)
IIIIIZYYIIIIZIXX (0.024943612307937096+0j)
IIIIZIXXIIIIIZYY (0.024943612307937096+0j)
IIIIIZYYIIIIIZYY (0.024943612307937096+0j)
IIYIYIXZIIIIZIXX (-4.8801541460502285e-05+0j)
IIXZYIYIIIIIZIXX (4.8801541460502285e-05+0j)
IIYIYIXZIIIIIZYY (-4.8801541460502285e-05+0j)
IIXZYIYIIIIIIZYY (4.8801541460502285e-05+0j)
IYZIYIXZIIIIZIXX (0.018620722436743384+0j)
IXZIYIYIIIIIZIXX (-0.018620722436743384+0j)
IYZIYIXZIIIIIZYY (0.018620722436743384+0j)
IXZIYIYIIIIIIZYY (-0.018620722436743384+0j)
IIXYYZZIIIIIZIXX (-0.003131303262873788+0j)
IIXXXIIIIIIIZIXX (-0.003131303262873788+0j)
IIXYYZZIIIIIIZYY (-0.003131303262873788+0j)
IIXXXIIIIIIIIZYY (-0.003131303262873788+0j)
ZIXZZIIIZIIIZIXX (3.729217712574146e-05+0j)
IZXIIIIIIIIIZIXX (-3.729217712574146e-05+0j)
ZIXZZIIIZIIIIZYY (3.729217712574146e-05+0j)
IZXIIIIIIIIIIZYY (-3.729217712574146e-05+0j)
ZXZIZIIIZIIIZIXX (-0.014229207900785742+0j)
IXIIIIIIIIIIZIXX (0.014229207900785742+0j)
ZXZIZIIIZIIIIZYY (-0.014229207900785742+0j)
IXIIIIIIIIIIIZYY (0.014229207900785742+0j)
IIIIIIIIIIYXYIXX (0.013205017485573907+0j)
IIIIIIIIIIYYYIXY (0.013205017485573907+0j)
IIIIIIIIIZXYYIXX (0.01320501748557391+0j)
IIIIIIIIIZXXYIXY (-0.01320501748557391+0j)
IIIIIIIIZZYYXIXX (0.006669332953191314+0j)
IIIIIIIIZZYXXIXY (-0.006669332953191314+0j)
IIIIIIIZIIXYYIXX (0.026948519029038054+0j)
IIIIIIIZIIXXYIXY (-0.026948519029038054+0j)
IIXYYIXXIIXYYIXX (0.014197150332178304+0j)
IIXXYIXYIIXYYIXX (-0.014197150332178304+0j)
IIXYYIXXIIXXYIXY (-0.014197150332178304+0j)
IIXXYIXYIIXXYIXY (0.014197150332178304+0j)
IIIIIIZZIIXYYIXX (-0.0008979562052034372+0j)
IIIIIIZZIIXXYIXY (0.0008979562052034372+0j)
ZIIIXIXZZIXYYIXX (0.008971424341166094+0j)
IZZIYIYIIIXYYIXX (0.008971424341166094+0j)
ZIIIXIXZZIXXYIXY (-0.008971424341166094+0j)
IZZIYIYIIIXXYIXY (-0.008971424341166094+0j)
IIIIIZIIIIXYYIXX (0.01143240623550704+0j)
IIIIIZIIIIXXYIXY (-0.01143240623550704+0j)
IIIIZZZIIIXYYIXX (0.011432406235507031+0j)
IIIIZZZIIIXXYIXY (-0.011432406235507031+0j)
IIIZIIIIIIXYYIXX (0.003571044312356334+0j)
IIIZIIIIIIXXYIXY (-0.003571044312356334+0j)
IIZZIIIIIIXYYIXX (0.007085952001464092+0j)
IIZZIIIIIIXXYIXY (-0.007085952001464092+0j)
IZIIIIIIIIXYYIXX (0.007085952001464089+0j)
IZIIIIIIIIXXYIXY (-0.007085952001464089+0j)
ZZZIZIIIZIXYYIXX (0.02206323382401057+0j)
ZZZIZIIIZIXXYIXY (-0.02206323382401057+0j)
IIYIYIXXIIYIYIXX (0.011679661356075292+0j)
IIXZYIXYIIYIYIXX (-0.011679661356075292+0j)
IIYIYIXXIIXZYIXY (-0.011679661356075292+0j)
IIXZYIXYIIXZYIXY (0.011679661356075292+0j)
IIIIIYYZIIYIYIXX (-0.011480785104068606+0j)
IIIIIXXIIIYIYIXX (-0.011480785104068606+0j)
IIIIIYYZIIXZYIXY (0.011480785104068606+0j)
IIIIIXXIIIXZYIXY (0.011480785104068606+0j)
IIIIZIXZIIYIYIXX (-3.0089058690319544e-05+0j)
IIIIIZXIIIYIYIXX (3.0089058690319544e-05+0j)
IIIIZIXZIIXZYIXY (3.0089058690319544e-05+0j)
IIIIIZXIIIXZYIXY (-3.0089058690319544e-05+0j)
ZIIIXXZIZIYIYIXX (0.00823958096303132+0j)
IZZIYYZIIIYIYIXX (0.00823958096303132+0j)
ZIIIXXZIZIXZYIXY (-0.00823958096303132+0j)
IZZIYYZIIIXZYIXY (-0.00823958096303132+0j)
ZIIIXZZIZIYIYIXX (-2.1594449589726207e-05+0j)
IZZIXIIIIIYIYIXX (2.1594449589726207e-05+0j)
ZIIIXZZIZIXZYIXY (2.1594449589726207e-05+0j)
IZZIXIIIIIXZYIXY (-2.1594449589726207e-05+0j)
IIZXIIIIIIYIYIXX (-0.0061190654841098155+0j)
IIIXIIIIIIYIYIXX (0.0061190654841098155+0j)
IIZXIIIIIIXZYIXY (0.0061190654841098155+0j)
IIIXIIIIIIXZYIXY (-0.0061190654841098155+0j)
IYZIYIXXIYZIYIXX (0.011679661356075304+0j)
IXZIYIXYIYZIYIXX (-0.011679661356075304+0j)
IYZIYIXXIXZIYIXY (-0.011679661356075304+0j)
IXZIYIXYIXZIYIXY (0.011679661356075304+0j)
IIIIIYYZIYZIYIXX (-3.008905869031868e-05+0j)
IIIIIXXIIYZIYIXX (-3.008905869031868e-05+0j)
IIIIIYYZIXZIYIXY (3.008905869031868e-05+0j)
IIIIIXXIIXZIYIXY (3.008905869031868e-05+0j)
IIIIZIXZIYZIYIXX (0.011480785104068606+0j)
IIIIIZXIIYZIYIXX (-0.011480785104068606+0j)
IIIIZIXZIXZIYIXY (-0.011480785104068606+0j)
IIIIIZXIIXZIYIXY (0.011480785104068606+0j)
ZIIIXXZIZYZIYIXX (2.1594449589725607e-05+0j)
IZZIYYZIIYZIYIXX (2.1594449589725607e-05+0j)
ZIIIXXZIZXZIYIXY (-2.1594449589725607e-05+0j)
IZZIYYZIIXZIYIXY (-2.1594449589725607e-05+0j)
ZIIIXZZIZYZIYIXX (0.00823958096303132+0j)
IZZIXIIIIYZIYIXX (-0.00823958096303132+0j)
ZIIIXZZIZXZIYIXY (-0.00823958096303132+0j)
IZZIXIIIIXZIYIXY (0.00823958096303132+0j)
IYYXIIIIIYZIYIXX (0.006119065484109821+0j)
IXYYIIIIIYZIYIXX (-0.006119065484109821+0j)
IYYXIIIIIXZIYIXY (-0.006119065484109821+0j)
IXYYIIIIIXZIYIXY (0.006119065484109821+0j)
IIIIIIZXZIIIXIXX (0.015626444450555627+0j)
IIIIIIIXZIIIXIXX (-0.015626444450555627+0j)
IIIIIIZXIZZIYIXY (0.015626444450555627+0j)
IIIIIIIXIZZIYIXY (-0.015626444450555627+0j)
ZIIIXIXXIIIIXIXX (0.026340605096521+0j)
IZZIYIXYZIIIXIXX (0.026340605096521+0j)
ZIIIXIXXZZZIYIXY (0.026340605096521+0j)
IZZIYIXYIZZIYIXY (0.026340605096521+0j)
IIXYYIXZZIIIXIXX (-0.01181740729902684+0j)
IIXXYIYIZIIIXIXX (0.01181740729902684+0j)
IIXYYIXZIZZIYIXY (-0.01181740729902684+0j)
IIXXYIYIIZZIYIXY (0.01181740729902684+0j)
IIYIYXZIZIIIXIXX (0.025076753507436204+0j)
IIXZYYZIZIIIXIXX (-0.025076753507436204+0j)
IIYIYXZIIZZIYIXY (0.025076753507436204+0j)
IIXZYYZIIZZIYIXY (-0.025076753507436204+0j)
IYZIYXZIZIIIXIXX (6.57216297673325e-05+0j)
IXZIYYZIZIIIXIXX (-6.57216297673325e-05+0j)
IYZIYXZIIZZIYIXY (6.57216297673325e-05+0j)
IXZIYYZIIZZIYIXY (-6.57216297673325e-05+0j)
IIYIYZZIZIIIXIXX (-6.57216297673344e-05+0j)
IIXZXIIIZIIIXIXX (-6.57216297673344e-05+0j)
IIYIYZZIIZZIYIXY (-6.57216297673344e-05+0j)
IIXZXIIIIZZIYIXY (-6.57216297673344e-05+0j)
IYZIYZZIZIIIXIXX (0.025076753507436204+0j)
IXZIXIIIZIIIXIXX (0.025076753507436204+0j)
IYZIYZZIIZZIYIXY (0.025076753507436204+0j)
IXZIXIIIIZZIYIXY (0.025076753507436204+0j)
ZIXXZIIIIIIIXIXX (-0.015393900870819254+0j)
IZYYIIIIZIIIXIXX (-0.015393900870819254+0j)
ZIXXZIIIZZZIYIXY (-0.015393900870819254+0j)
IZYYIIIIIZZIYIXY (-0.015393900870819254+0j)
IIIIIIIIIIIIIZZZ (0.11290476377265034+0j)
IIIIIIIIIIIIZZIZ (0.1129047637726503+0j)
IIIIIIIIIIIZIIZZ (0.08379704851203947+0j)
IIIIIIIIIIZZIIZZ (0.11148781859050373+0j)
IIIIIIIIIZIIIIZZ (0.11148781859050383+0j)
IIIIIIIIZZZIZIZZ (0.12506297470072902+0j)
IIIIIIIZIIIIIIZZ (0.12626562484274095+0j)
IIXYYIXXIIIIIIZZ (-0.0008979562052034372+0j)
IIXXYIXYIIIIIIZZ (0.0008979562052034372+0j)
IIIIIIZZIIIIIIZZ (0.1341266065565795+0j)
ZIIIXIXZZIIIIIZZ (-0.0042473699058882455+0j)
IZZIYIYIIIIIIIZZ (-0.0042473699058882455+0j)
IIIIIZIIIIIIIIZZ (0.126276011658012+0j)
IIIIZZZIIIIIIIZZ (0.12627601165801194+0j)
IIIZIIIIIIIIIIZZ (0.13693706553069024+0j)
IIZZIIIIIIIIIIZZ (0.13208451216171396+0j)
IZIIIIIIIIIIIIZZ (0.13208451216171407+0j)
ZZZIZIIIZIIIIIZZ (0.13771117338762448+0j)
IIIIIIIIZIIIXZXZ (0.0049261725827025715+0j)
IIIIIIIIIZZIYZYI (0.0049261725827025715+0j)
IIIIIIIIIIZXIYYZ (0.000624006242327807+0j)
IIIIIIIIIIIXIYYZ (0.029382137183634832+0j)
IIIIIIIIIIZYIXYZ (-0.030006143425962636+0j)
IIIIIIIIIIIYIYXI (-0.030006143425962636+0j)
IIIIIIIIIIZXIXXI (-0.029382137183634832+0j)
IIIIIIIIIIIXIXXI (-0.000624006242327807+0j)
IIIIIIIIIYYXIYYZ (-1.635407359194675e-06+0j)
IIIIIIIIIXYYIYYZ (-7.70052607161925e-05+0j)
IIIIIIIIIYYYIXYZ (7.864066807538719e-05+0j)
IIIIIIIIIXYXIYXI (-7.864066807538719e-05+0j)
IIIIIIIIIYYXIXXI (7.70052607161925e-05+0j)
IIIIIIIIIXYYIXXI (1.635407359194675e-06+0j)
IIYIYIXXIIIIIYYZ (-0.011480785104068606+0j)
IIXZYIXYIIIIIYYZ (0.011480785104068606+0j)
IIYIYIXXIIIIIXXI (-0.011480785104068606+0j)
IIXZYIXYIIIIIXXI (0.011480785104068606+0j)
IYZIYIXXIIIIIYYZ (-3.008905869031868e-05+0j)
IXZIYIXYIIIIIYYZ (3.008905869031868e-05+0j)
IYZIYIXXIIIIIXXI (-3.008905869031868e-05+0j)
IXZIYIXYIIIIIXXI (3.008905869031868e-05+0j)
IIIIIYYZIIIIIYYZ (0.01337124788536166+0j)
IIIIIXXIIIIIIYYZ (0.01337124788536166+0j)
IIIIIYYZIIIIIXXI (0.01337124788536166+0j)
IIIIIXXIIIIIIXXI (0.01337124788536166+0j)
ZIIIXXZIZIIIIYYZ (-0.0057518520558547314+0j)
IZZIYYZIIIIIIYYZ (-0.0057518520558547314+0j)
ZIIIXXZIZIIIIXXI (-0.0057518520558547314+0j)
IZZIYYZIIIIIIXXI (-0.0057518520558547314+0j)
IIZXIIIIIIIIIYYZ (0.0094787020385043+0j)
IIIXIIIIIIIIIYYZ (-0.0094787020385043+0j)
IIZXIIIIIIIIIXXI (0.0094787020385043+0j)
IIIXIIIIIIIIIXXI (-0.0094787020385043+0j)
IYYXIIIIIIIIIYYZ (-2.484196153480193e-05+0j)
IXYYIIIIIIIIIYYZ (2.484196153480193e-05+0j)
IYYXIIIIIIIIIXXI (-2.484196153480193e-05+0j)
IXYYIIIIIIIIIXXI (2.484196153480193e-05+0j)
IIIIIIIIZIIIYZYZ (-0.004926172582702566+0j)
IIIIIIIIIZZIXZXI (-0.004926172582702566+0j)
IIIIIIIIIIZXZIXZ (1.63540735919473e-06+0j)
IIIIIIIIIIIXZIXZ (7.700526071619475e-05+0j)
IIIIIIIIIIZYIZYZ (7.864066807538949e-05+0j)
IIIIIIIIIIIYZIYI (7.864066807538949e-05+0j)
IIIIIIIIIIZXIZXI (7.700526071619475e-05+0j)
IIIIIIIIIIIXIZXI (1.63540735919473e-06+0j)
IIIIIIIIIYYXZIXZ (0.00062400624232781+0j)
IIIIIIIIIXYYZIXZ (0.029382137183634825+0j)
IIIIIIIIIYYYIZYZ (0.030006143425962636+0j)
IIIIIIIIIXYXZIYI (-0.030006143425962636+0j)
IIIIIIIIIYYXIZXI (0.029382137183634825+0j)
IIIIIIIIIXYYIZXI (0.00062400624232781+0j)
IIYIYIXXIIIIZIXZ (-3.0089058690319544e-05+0j)
IIXZYIXYIIIIZIXZ (3.0089058690319544e-05+0j)
IIYIYIXXIIIIIZXI (3.0089058690319544e-05+0j)
IIXZYIXYIIIIIZXI (-3.0089058690319544e-05+0j)
IYZIYIXXIIIIZIXZ (0.011480785104068606+0j)
IXZIYIXYIIIIZIXZ (-0.011480785104068606+0j)
IYZIYIXXIIIIIZXI (-0.011480785104068606+0j)
IXZIYIXYIIIIIZXI (0.011480785104068606+0j)
IIIIZIXZIIIIZIXZ (0.01337124788536165+0j)
IIIIIZXIIIIIZIXZ (-0.01337124788536165+0j)
IIIIZIXZIIIIIZXI (-0.01337124788536165+0j)
IIIIIZXIIIIIIZXI (0.01337124788536165+0j)
ZIIIXZZIZIIIZIXZ (0.005751852055854725+0j)
IZZIXIIIIIIIZIXZ (-0.005751852055854725+0j)
ZIIIXZZIZIIIIZXI (-0.005751852055854725+0j)
IZZIXIIIIIIIIZXI (0.005751852055854725+0j)
IIZXIIIIIIIIZIXZ (2.484196153480258e-05+0j)
IIIXIIIIIIIIZIXZ (-2.484196153480258e-05+0j)
IIZXIIIIIIIIIZXI (-2.484196153480258e-05+0j)
IIIXIIIIIIIIIZXI (2.484196153480258e-05+0j)
IYYXIIIIIIIIZIXZ (0.0094787020385043+0j)
IXYYIIIIIIIIZIXZ (-0.0094787020385043+0j)
IYYXIIIIIIIIIZXI (-0.0094787020385043+0j)
IXYYIIIIIIIIIZXI (0.0094787020385043+0j)
IIIIIIIIZIIZXIXZ (0.025731741169233963+0j)
IIIIIIIIIZZZYIYI (0.025731741169233963+0j)
IIIIIIZXIIXYYIXZ (-0.02503784626326405+0j)
IIIIIIIXIIXYYIXZ (0.02503784626326405+0j)
IIIIIIZXIIXXYIYI (0.02503784626326405+0j)
IIIIIIIXIIXXYIYI (-0.02503784626326405+0j)
ZIIIXIXXZIXYYIXZ (-0.01181740729902684+0j)
IZZIYIXYIIXYYIXZ (-0.01181740729902684+0j)
ZIIIXIXXZIXXYIYI (0.01181740729902684+0j)
IZZIYIXYIIXXYIYI (0.01181740729902684+0j)
IIXYYIXZIIXYYIXZ (0.05314001701865078+0j)
IIXXYIYIIIXYYIXZ (-0.05314001701865078+0j)
IIXYYIXZIIXXYIYI (-0.05314001701865078+0j)
IIXXYIYIIIXXYIYI (0.05314001701865078+0j)
IIYIYXZIIIXYYIXZ (-0.03886083922213913+0j)
IIXZYYZIIIXYYIXZ (0.03886083922213913+0j)
IIYIYXZIIIXXYIYI (0.03886083922213913+0j)
IIXZYYZIIIXXYIYI (-0.03886083922213913+0j)
IYZIYXZIIIXYYIXZ (-0.00010184722225099445+0j)
IXZIYYZIIIXYYIXZ (0.00010184722225099445+0j)
IYZIYXZIIIXXYIYI (0.00010184722225099445+0j)
IXZIYYZIIIXXYIYI (-0.00010184722225099445+0j)
IIYIYZZIIIXYYIXZ (0.00010184722225099733+0j)
IIXZXIIIIIXYYIXZ (0.00010184722225099733+0j)
IIYIYZZIIIXXYIYI (-0.00010184722225099733+0j)
IIXZXIIIIIXXYIYI (-0.00010184722225099733+0j)
IYZIYZZIIIXYYIXZ (-0.03886083922213912+0j)
IXZIXIIIIIXYYIXZ (-0.03886083922213912+0j)
IYZIYZZIIIXXYIYI (0.03886083922213912+0j)
IXZIXIIIIIXXYIYI (0.03886083922213912+0j)
ZIXXZIIIZIXYYIXZ (0.03179714672358904+0j)
IZYYIIIIIIXYYIXZ (0.03179714672358904+0j)
ZIXXZIIIZIXXYIYI (-0.03179714672358904+0j)
IZYYIIIIIIXXYIYI (-0.03179714672358904+0j)
IIIIIIIIZIZZXIXZ (-0.0007814706859479582+0j)
IIIIIIIIIZIZYIYI (-0.0007814706859479582+0j)
IIIIIYYXIIYIYIXZ (-0.018620722436743384+0j)
IIIIIXYYIIYIYIXZ (0.018620722436743384+0j)
IIIIIYYXIIXZYIYI (0.018620722436743384+0j)
IIIIIXYYIIXZYIYI (-0.018620722436743384+0j)
IIIIZIXXIIYIYIXZ (-4.8801541460502285e-05+0j)
IIIIIZYYIIYIYIXZ (-4.8801541460502285e-05+0j)
IIIIZIXXIIXZYIYI (4.8801541460502285e-05+0j)
IIIIIZYYIIXZYIYI (4.8801541460502285e-05+0j)
IIYIYIXZIIYIYIXZ (0.02059669357121023+0j)
IIXZYIYIIIYIYIXZ (-0.02059669357121023+0j)
IIYIYIXZIIXZYIYI (-0.02059669357121023+0j)
IIXZYIYIIIXZYIYI (0.02059669357121023+0j)
IIXYYXZIIIYIYIXZ (-0.008854695796176494+0j)
IIXXYYZIIIYIYIXZ (0.008854695796176494+0j)
IIXYYXZIIIXZYIYI (0.008854695796176494+0j)
IIXXYYZIIIXZYIYI (-0.008854695796176494+0j)
IIXYYZZIIIYIYIXZ (2.320655417560786e-05+0j)
