Bravyi-Kitaev mapping of N2 Hamiltonian in sto3g basis.
IIIIIIIIIIIIIIIIIIII (-88.68589203916153+0j)
IIIIIIIIZZZIIIIIIXYY (-0.04699693119019462+0j)
IIIIIIYIYZZIIIIIIYYX (-0.006542445364076956+0j)
IIIIIIXZXIIIIIIIIYYX (-0.006542445364076956+0j)
IIIIIIYIYZZIIIIIIXYY (0.006542445364076956+0j)
IIIIIIXZXIIIIIIIIXYY (0.006542445364076956+0j)
YIIIYIIIXZZIZIIIIYYX (0.0063779650495826646+0j)
XZZIYIIIYIIIZIIIIYYX (-0.0063779650495826646+0j)
YIIIYIIIXZZIZIIIIXYY (-0.0063779650495826646+0j)
XZZIYIIIYIIIZIIIIXYY (0.0063779650495826646+0j)
IIIIIIIZIIIIIIIIIYYX (-0.0001519772450868404+0j)
IIIIIIIZIIIIIIIIIXYY (0.0001519772450868404+0j)
XIXYYIXXZIIIZIIIIYYX (0.001705796961487063+0j)
XIXXYIXYZIIIZIIIIYYX (-0.001705796961487063+0j)
XIXYYIXXZIIIZIIIIXYY (-0.001705796961487063+0j)
XIXXYIXYZIIIZIIIIXYY (0.001705796961487063+0j)
IIIIIIZZIIIIIIIIIYYX (0.002972011607406162+0j)
IIIIIIZZIIIIIIIIIXYY (-0.002972011607406162+0j)
YIIIYIXZZIIIZIIIIYYX (-0.0006120886089342488+0j)
XZZIYIYIZIIIZIIIIYYX (0.0006120886089342488+0j)
YIIIYIXZZIIIZIIIIXYY (0.0006120886089342488+0j)
XZZIYIYIZIIIZIIIIXYY (-0.0006120886089342488+0j)
IIIIIZIIIIIIIIIIIYYX (0.0005401754265470859+0j)
IIIIIZIIIIIIIIIIIXYY (-0.0005401754265470859+0j)
IIIIZZZIZIIIZIIIIYYX (0.0005401754265470978+0j)
IIIIZZZIZIIIZIIIIXYY (-0.0005401754265470978+0j)
IIIZIIIIIIIIIIIIIYYX (0.0020984453634063593+0j)
IIIZIIIIIIIIIIIIIXYY (-0.0020984453634063593+0j)
IIZZIIIIIIIIIIIIIYYX (0.0014349702266419017+0j)
IIZZIIIIIIIIIIIIIXYY (-0.0014349702266419017+0j)
IZIIIIIIIIIIIIIIIYYX (0.0014349702266418995+0j)
IZIIIIIIIIIIIIIIIXYY (-0.0014349702266418995+0j)
ZZZIIIIIIIIIIIIIIYYX (0.0013321466306220394+0j)
ZZZIIIIIIIIIIIIIIXYY (-0.0013321466306220394+0j)
IIIIIIIIIIIIIYZIXZYX (0.0005388161886781915+0j)
IIIIIIIIIIIIIXZIXZYY (-0.0005388161886781915+0j)
IIIIIIIIIIIIZIXXIIXX (-0.0008845228423430228+0j)
IIIIIIIIIIIIIZYYZIXX (-0.0009816864818518976+0j)
IIIIIIIIIIIIZIXYZZYX (9.716363950887506e-05+0j)
IIIIIIIIIIIIIZYXZIXY (9.716363950887506e-05+0j)
IIIIIIIIIIIIZIXXZZYY (-0.0009816864818518976+0j)
IIIIIIIIIIIIIZYYIZYY (-0.0008845228423430228+0j)
IIIIIIIIXIXYYIXXIIXX (-0.0041690874521925405+0j)
IIIIIIIIXIXXYIXYIIXX (0.00462705607764124+0j)
IIIIIIIIXIXYYIXYZZYX (0.00045796862544869924+0j)
IIIIIIIIXIXXYIXXIIXY (-0.00045796862544869924+0j)
IIIIIIIIXIXYYIXXZZYY (-0.00462705607764124+0j)
IIIIIIIIXIXXYIXYZZYY (0.0041690874521925405+0j)
IIIIIIIIIIIIZIXZIIXX (0.0041690874521925405+0j)
IIIIIIIIIIIIIZXIZIXX (-0.004627056077641242+0j)
IIIIIIIIIIIIZIYIZZYX (-0.00045796862544869935+0j)
IIIIIIIIIIIIIZYZZIXY (-0.00045796862544869935+0j)
IIIIIIIIIIIIZIXZZZYY (0.004627056077641242+0j)
IIIIIIIIIIIIIZXIIZYY (-0.0041690874521925405+0j)
IIIIIIIIXIXYYIXZIIXX (-0.0008845228423430226+0j)
IIIIIIIIXIXXYIYIIIXX (0.0009816864818518976+0j)
IIIIIIIIXIXYYIYIZZYX (9.716363950887491e-05+0j)
IIIIIIIIXIXXYIXZIIXY (-9.716363950887491e-05+0j)
IIIIIIIIXIXYYIXZZZYY (-0.0009816864818518976+0j)
IIIIIIIIXIXXYIYIZZYY (0.0008845228423430226+0j)
IIIIIIIIXIYIYXZIIIXX (-0.006793691839682523+0j)
IIIIIIIIXIXZYYZIIIXX (0.003715444933851047+0j)
IIIIIIIIXIYIYYZIZZYX (-0.0030782469058314773+0j)
IIIIIIIIXIXZYXZIIIXY (0.0030782469058314773+0j)
IIIIIIIIXIYIYXZIZZYY (-0.003715444933851047+0j)
IIIIIIIIXIXZYYZIZZYY (0.006793691839682523+0j)
IIIIIIIIZXZIIIIIZIXX (0.0472960308881545+0j)
IIIIIIIIIXIIIIIIZIXX (-0.0472960308881545+0j)
IIIIIIIIZXZIIIIIIZYY (0.0472960308881545+0j)
IIIIIIIIIXIIIIIIIZYY (-0.0472960308881545+0j)
IIIIIIYIYXZIIIIIZIXX (-0.0073895141959929985+0j)
IIIIIIXZYYZIIIIIZIXX (0.0073895141959929985+0j)
IIIIIIYIYXZIIIIIIZYY (-0.0073895141959929985+0j)
IIIIIIXZYYZIIIIIIZYY (0.0073895141959929985+0j)
YIIIYIIIXXZIZIIIZIXX (0.003705741319894832+0j)
XZZIYIIIXYZIZIIIZIXX (-0.003705741319894832+0j)
YIIIYIIIXXZIZIIIIZYY (0.003705741319894832+0j)
XZZIYIIIXYZIZIIIIZYY (-0.003705741319894832+0j)
IIIIIIXYYZZIIIIIZIXX (0.006571661612646535+0j)
IIIIIIXXXIIIIIIIZIXX (0.006571661612646535+0j)
IIIIIIXYYZZIIIIIIZYY (0.006571661612646535+0j)
IIIIIIXXXIIIIIIIIZYY (0.006571661612646535+0j)
XIXYYIIIXZZIZIIIZIXX (-0.0036786964093294583+0j)
XIXXYIIIYIIIZIIIZIXX (0.0036786964093294583+0j)
XIXYYIIIXZZIZIIIIZYY (-0.0036786964093294583+0j)
XIXXYIIIYIIIZIIIIZYY (0.0036786964093294583+0j)
IIIIIIZXIIIIIIIIZIXX (-0.0013222164018502592+0j)
IIIIIIIXIIIIIIIIZIXX (0.0013222164018502592+0j)
IIIIIIZXIIIIIIIIIZYY (-0.0013222164018502592+0j)
IIIIIIIXIIIIIIIIIZYY (0.0013222164018502592+0j)
YIIIYIXXZIIIZIIIZIXX (-0.0027709101547270204+0j)
XZZIYIXYZIIIZIIIZIXX (0.0027709101547270204+0j)
YIIIYIXXZIIIZIIIIZYY (-0.0027709101547270204+0j)
XZZIYIXYZIIIZIIIIZYY (0.0027709101547270204+0j)
XIXYYIXZZIIIZIIIZIXX (0.00038505455171535316+0j)
XIXXYIYIZIIIZIIIZIXX (-0.00038505455171535316+0j)
XIXYYIXZZIIIZIIIIZYY (0.00038505455171535316+0j)
XIXXYIYIZIIIZIIIIZYY (-0.00038505455171535316+0j)
XIYIYXZIZIIIZIIIZIXX (0.00017121857634978094+0j)
XIXZYYZIZIIIZIIIZIXX (-0.00017121857634978094+0j)
XIYIYXZIZIIIZIIIIZYY (0.00017121857634978094+0j)
XIXZYYZIZIIIZIIIIZYY (-0.00017121857634978094+0j)
XYZIYXZIZIIIZIIIZIXX (-0.0008070172799057202+0j)
XXZIYYZIZIIIZIIIZIXX (0.0008070172799057202+0j)
XYZIYXZIZIIIZIIIIZYY (-0.0008070172799057202+0j)
XXZIYYZIZIIIZIIIIZYY (0.0008070172799057202+0j)
XIYIYZZIZIIIZIIIZIXX (-0.000807017279905721+0j)
XIXZXIIIIIIIIIIIZIXX (-0.000807017279905721+0j)
XIYIYZZIZIIIZIIIIZYY (-0.000807017279905721+0j)
XIXZXIIIIIIIIIIIIZYY (-0.000807017279905721+0j)
XYZIYZZIZIIIZIIIZIXX (-0.0001712185763497816+0j)
XXZIXIIIIIIIIIIIZIXX (-0.0001712185763497816+0j)
XYZIYZZIZIIIZIIIIZYY (-0.0001712185763497816+0j)
XXZIXIIIIIIIIIIIIZYY (-0.0001712185763497816+0j)
ZIXXIIIIIIIIIIIIZIXX (0.0005146961918297169+0j)
IZYYIIIIIIIIIIIIZIXX (0.0005146961918297169+0j)
ZIXXIIIIIIIIIIIIIZYY (0.0005146961918297169+0j)
IZYYIIIIIIIIIIIIIZYY (0.0005146961918297169+0j)
IIIIIIIIIIIIIYZZYIXX (-0.0032442620659962986+0j)
IIIIIIIIIIIIIXZZYIXY (0.0032442620659962986+0j)
IIIIIIIIXIYIYZYYXIXX (-0.0010122209389496+0j)
IIIIIIIIXIXZXIXYYIXX (-5.308406422527799e-05+0j)
IIIIIIIIXIYIXIXXYIXX (-0.000959136874724322+0j)
IIIIIIIIXIXZYZYYXIXY (0.000959136874724322+0j)
IIIIIIIIXIYIYZYXXIXY (5.308406422527799e-05+0j)
IIIIIIIIXIXZXIXXYIXY (0.0010122209389496+0j)
IIIIIIIIIIZXIIXYYIXX (-0.004770976410561454+0j)
IIIIIIIIIIIXIIXYYIXX (0.00025020507722192187+0j)
IIIIIIIIIIZYIIXXYIXX (0.004520771333339531+0j)
IIIIIIIIIIIYIIXYYIXY (-0.004520771333339531+0j)
IIIIIIIIIIZXIIXXYIXY (0.00025020507722192187+0j)
IIIIIIIIIIIXIIXXYIXY (-0.004770976410561454+0j)
IIIIIYZIYXZIIIXYYIXX (0.002450352308859509+0j)
IIIIIXZIYYZIIIXYYIXX (-0.002450352308859509+0j)
IIIIIYZIYXZIIIXXYIXY (-0.002450352308859509+0j)
IIIIIXZIYYZIIIXXYIXY (0.002450352308859509+0j)
XIYIYIIIXZZIZIXYYIXX (-0.0006068609548771525+0j)
XIXZYIIIYIIIZIXYYIXX (0.0006068609548771525+0j)
XIYIYIIIXZZIZIXXYIXY (0.0006068609548771525+0j)
XIXZYIIIYIIIZIXXYIXY (-0.0006068609548771525+0j)
XYZIYIIIXZZIZIXYYIXX (0.0028603629788712115+0j)
XXZIYIIIYIIIZIXYYIXX (-0.0028603629788712115+0j)
XYZIYIIIXZZIZIXXYIXY (-0.0028603629788712115+0j)
XXZIYIIIYIIIZIXXYIXY (0.0028603629788712115+0j)
IIIIIYYXIIIIIIXYYIXX (0.003989063333116252+0j)
IIIIIXYYIIIIIIXYYIXX (-0.003989063333116252+0j)
IIIIIYYXIIIIIIXXYIXY (-0.003989063333116252+0j)
IIIIIXYYIIIIIIXXYIXY (0.003989063333116252+0j)
XIYIYIXZZIIIZIXYYIXX (0.0008104679055021167+0j)
XIXZYIYIZIIIZIXYYIXX (-0.0008104679055021167+0j)
XIYIYIXZZIIIZIXXYIXY (-0.0008104679055021167+0j)
XIXZYIYIZIIIZIXXYIXY (0.0008104679055021167+0j)
XYZIYIXZZIIIZIXYYIXX (-0.0038200387977355204+0j)
XXZIYIYIZIIIZIXYYIXX (0.0038200387977355204+0j)
XYZIYIXZZIIIZIXXYIXY (0.0038200387977355204+0j)
XXZIYIYIZIIIZIXXYIXY (-0.0038200387977355204+0j)
XIXYYXZIZIIIZIXYYIXX (-0.001189646034297764+0j)
XIXXYYZIZIIIZIXYYIXX (0.001189646034297764+0j)
XIXYYXZIZIIIZIXXYIXY (0.001189646034297764+0j)
XIXXYYZIZIIIZIXXYIXY (-0.001189646034297764+0j)
ZIXZIIIIIIIIIIXYYIXX (0.0005285900716856653+0j)
IZXIIIIIIIIIIIXYYIXX (-0.0005285900716856653+0j)
ZIXZIIIIIIIIIIXXYIXY (-0.0005285900716856653+0j)
IZXIIIIIIIIIIIXXYIXY (0.0005285900716856653+0j)
ZXZIIIIIIIIIIIXYYIXX (-0.0024914429901897787+0j)
IXIIIIIIIIIIIIXYYIXX (0.0024914429901897787+0j)
ZXZIIIIIIIIIIIXXYIXY (0.0024914429901897787+0j)
IXIIIIIIIIIIIIXXYIXY (-0.0024914429901897787+0j)
IIIIIIIIIIIIIYIZYIXX (-0.0032442620659962986+0j)
IIIIIIIIIIIIIXIZYIXY (0.0032442620659962986+0j)
IIIIIIIIXIYIYZXIXIXX (-0.004770976410561455+0j)
IIIIIIIIXIXZXIYIYIXX (0.0002502050772219223+0j)
IIIIIIIIXIYIXIXZYIXX (0.004520771333339532+0j)
IIIIIIIIXIXZYZXIXIXY (0.004520771333339532+0j)
IIIIIIIIXIYIYZYZXIXY (-0.0002502050772219223+0j)
IIIIIIIIXIXZXIXZYIXY (-0.004770976410561455+0j)
IIIIIIIIIIZXIIYIYIXX (-0.0010122209389495996+0j)
IIIIIIIIIIIXIIYIYIXX (5.308406422527817e-05+0j)
