Bravyi-Kitaev mapping of H2O Hamiltonian in sto3g basis.
IIIIIIIIIIII (-15.938363293773717+0j)
IXYYIIIIIIII (7.650487082632789e-08+0j)
ZIXXIIIIIIII (3.455822645136667e-06+0j)
IZYYIIIIIIII (3.455822645136667e-06+0j)
IIZZIIIIIIII (0.4590165789008025+0j)
IYYZIIIIIIII (-0.33949967208045034+0j)
IXXIIIIIIIII (-0.33949967208045034+0j)
ZIXZIIIIIIII (7.772433024836153e-07+0j)
IZXIIIIIIIII (-7.772433024836153e-07+0j)
IZIIIIIIIIII (0.45530377601712846+0j)
ZXZIIIIIIIII (8.123751387512254e-07+0j)
IXIIIIIIIIII (-8.123751387512254e-07+0j)
ZZZIIIIIIIII (0.3985942463091888+0j)
IIIIIIIIIIZI (0.13126664467407706+0j)
IIIIIIIIIYYI (-6.590658656947759e-07+0j)
IIIIIIIIIXXZ (-6.590658656947759e-07+0j)
IIIIIIIIZIXI (1.0030900134682567e-07+0j)
IIIIIIIIIZXZ (-1.0030900134682567e-07+0j)
IIIIIIXYYIXI (-8.444364497182943e-08+0j)
IIIIIIXXYIYZ (8.444364497182943e-08+0j)
IIIIIIYIYIXI (0.02298913349297786+0j)
IIIIIIXZYIYZ (-0.02298913349297786+0j)
IIIIIIIIIZIZ (0.15306448297442393+0j)
IIIIIIYIYXZZ (-4.966769304833331e-07+0j)
IIIIIIXZYYZZ (4.966769304833331e-07+0j)
IIIIIIIIZZZZ (0.08645825100254342+0j)
IIIIIIXYYZZZ (-0.06697143400189073+0j)
IIIIIIXXXIIZ (-0.06697143400189073+0j)
IIIIIIYIYZZZ (-1.049602329946913e-07+0j)
IIIIIIXZXIIZ (-1.049602329946913e-07+0j)
IIIIIIIZIIIZ (0.08572584460078857+0j)
IIIIIIZXIIIZ (1.2016033686054663e-07+0j)
IIIIIIIXIIIZ (-1.2016033686054663e-07+0j)
IIIIIIZZIIIZ (0.13617516147802966+0j)
IIIIIZIIIIIZ (0.18772585390470323+0j)
IIIIZXZIZIIZ (-0.0022242761668676905+0j)
IIIIIXIIIIIZ (0.0022242761668676905+0j)
XIXYYXZIZIIZ (1.5151703434042196e-06+0j)
XIXXYYZIZIIZ (-1.5151703434042196e-06+0j)
YIIIYXZIZIIZ (0.028730372819434195+0j)
XZZIYYZIZIIZ (-0.028730372819434195+0j)
IIIIZZZIZIIZ (0.16706063982650654+0j)
XIXYYZZIZIIZ (-1.2763205117973372e-06+0j)
XIXXXIIIIIIZ (-1.2763205117973372e-06+0j)
XIYIYZZIZIIZ (-1.0030900134682567e-07+0j)
XIXZXIIIIIIZ (-1.0030900134682567e-07+0j)
XYZIYZZIZIIZ (-8.444364497182943e-08+0j)
XXZIXIIIIIIZ (-8.444364497182943e-08+0j)
YIIIYZZIZIIZ (0.03013032819063+0j)
XZZIXIIIIIIZ (0.03013032819063+0j)
IIIZIIIIIIIZ (0.1917582096451666+0j)
ZIXXIIIIIIIZ (9.533844723713412e-07+0j)
IZYYIIIIIIIZ (9.533844723713412e-07+0j)
IIZZIIIIIIIZ (0.10591090242766282+0j)
IYYZIIIIIIIZ (-0.08631800815237181+0j)
IXXIIIIIIIIZ (-0.08631800815237181+0j)
ZIXZIIIIIIIZ (1.049602329946913e-07+0j)
IZXIIIIIIIIZ (-1.049602329946913e-07+0j)
IZIIIIIIIIIZ (0.10496691992674326+0j)
ZXZIIIIIIIIZ (1.2016033686054663e-07+0j)
IXIIIIIIIIIZ (-1.2016033686054663e-07+0j)
ZZZIIIIIIIIZ (0.15976824619169347+0j)
IIIIIIIIIYXY (2.3911654333333356e-07+0j)
IIIIIIIIIXXX (2.3911654333333356e-07+0j)
IIIIIIYIYIYY (-0.03101307478771985+0j)
IIIIIIXZYIYX (-0.03101307478771985+0j)
IIIIIIIIIZZX (-0.007635451817681606+0j)
IIIIIIIIIZIX (0.007635451817681606+0j)
IIIIIIYIYXIX (4.396493143457317e-07+0j)
IIIIIIXZYYIX (-2.569684378963362e-07+0j)
IIIIIIYIYYZY (1.826808764493955e-07+0j)
IIIIIIXZYXIY (-1.826808764493955e-07+0j)
IIIIIIYIYXZX (-2.569684378963362e-07+0j)
IIIIIIXZYYZX (4.396493143457317e-07+0j)
IIIIIIIIZZIX (-0.004241935484354082+0j)
IIIIIIIIZZZX (0.004241935484354082+0j)
IIIIIIXYYZIX (0.0034121229881613722+0j)
IIIIIIXXXIZX (0.0034121229881608622+0j)
IIIIIIXYYZZX (-0.0034121229881608622+0j)
IIIIIIXXXIIX (-0.0034121229881613722+0j)
IIIIIIYIYZIX (4.1537508694732135e-08+0j)
IIIIIIYIXIIY (-3.454377520508136e-08+0j)
IIIIIIXZYZIY (-3.454377520508136e-08+0j)
IIIIIIXZXIIX (-4.1537508694732135e-08+0j)
IIIIIIIZIIZX (-0.004204620160908969+0j)
IIIIIIIZIIIX (0.004204620160908969+0j)
IIIIIIZXIIZX (-4.401510815332408e-08+0j)
IIIIIIIXIIZX (1.0331240369943508e-08+0j)
IIIIIIZYIIIY (-3.3683867783380585e-08+0j)
IIIIIIIYIIZY (-3.3683867783380585e-08+0j)
IIIIIIZXIIIX (1.0331240369943508e-08+0j)
IIIIIIIXIIIX (-4.401510815332408e-08+0j)
IIIIIIZZIIZX (0.003779429302716273+0j)
IIIIIIZZIIIX (-0.003779429302716273+0j)
IIIIIZIIIIZX (-0.0022242761668676905+0j)
IIIIIZIIIIIX (0.0022242761668676905+0j)
IIIIZXZIZIZX (0.03579399515242948+0j)
IIIIIXIIIIZX (-0.03579399515242948+0j)
IIIIZXZIZIIX (-0.03579399515242948+0j)
IIIIIXIIIIIX (0.03579399515242948+0j)
XIXYYXZIZIZX (-6.172546461025612e-07+0j)
XIXXYYZIZIZX (6.172546461025612e-07+0j)
XIXYYXZIZIIX (6.172546461025612e-07+0j)
XIXXYYZIZIIX (-6.172546461025612e-07+0j)
YIIIYXZIZIZX (0.00714119469765214+0j)
XZZIYYZIZIZX (-0.00714119469765214+0j)
YIIIYXZIZIIX (-0.00714119469765214+0j)
XZZIYYZIZIIX (0.00714119469765214+0j)
IIIIZZZIZIZX (-0.010582643050866257+0j)
IIIIZZZIZIIX (0.010582643050866257+0j)
XIXYYZZIZIZX (2.2070873941367718e-07+0j)
XIXXXIIIIIZX (2.2070873941367718e-07+0j)
XIXYYZZIZIIX (-2.2070873941367718e-07+0j)
XIXXXIIIIIIX (-2.2070873941367718e-07+0j)
YIIIYZZIZIZX (-0.024517214650905613+0j)
XZZIXIIIIIZX (-0.024517214650905613+0j)
YIIIYZZIZIIX (0.024517214650905613+0j)
XZZIXIIIIIIX (0.024517214650905613+0j)
IIIZIIIIIIZX (-0.018519148057128+0j)
IIIZIIIIIIIX (0.018519148057128+0j)
ZIXXIIIIIIZX (-1.3683682011542968e-06+0j)
IZYYIIIIIIZX (-1.3683682011542968e-06+0j)
ZIXXIIIIIIIX (1.3683682011542968e-06+0j)
IZYYIIIIIIIX (1.3683682011542968e-06+0j)
IIZZIIIIIIZX (-0.009713539487617112+0j)
IIZZIIIIIIIX (0.009713539487617112+0j)
IYYZIIIIIIZX (0.008853889781702519+0j)
IXXIIIIIIIZX (0.008853889781702519+0j)
IYYZIIIIIIIX (-0.008853889781702519+0j)
IXXIIIIIIIIX (-0.008853889781702519+0j)
ZIXZIIIIIIZX (-1.2770573942891572e-07+0j)
IZXIIIIIIIZX (1.2770573942891572e-07+0j)
ZIXZIIIIIIIX (1.2770573942891572e-07+0j)
IZXIIIIIIIIX (-1.2770573942891572e-07+0j)
IZIIIIIIIIZX (-0.009616712450043873+0j)
IZIIIIIIIIIX (0.009616712450043873+0j)
ZXZIIIIIIIZX (-1.27141438459296e-07+0j)
IXIIIIIIIIZX (1.27141438459296e-07+0j)
ZXZIIIIIIIIX (1.27141438459296e-07+0j)
IXIIIIIIIIIX (-1.27141438459296e-07+0j)
ZZZIIIIIIIZX (0.017883919393588188+0j)
ZZZIIIIIIIIX (-0.017883919393588188+0j)
IIIIIIYIYZXX (0.019153447679209012+0j)
IIIIIIXZYZXY (-0.019153447679209012+0j)
IIIIIIIIZXXX (-0.00034135492006829503+0j)
IIIIIIIIZYXY (-0.00034135492006829503+0j)
IIIIIIXYYXXX (-0.00034288823827153603+0j)
IIIIIIXXXYYX (0.00034288823826471076+0j)
IIIIIIXYYYXY (-0.00034288823826471076+0j)
IIIIIIXXXXYY (-0.00034288823827153603+0j)
IIIIIIIZIYYX (0.0003451047806609824+0j)
IIIIIIIZIXYY (-0.0003451047806609824+0j)
IIIIIIZZIYYX (3.131842827985457e-07+0j)
IIIIIIZZIXYY (-3.131842827985457e-07+0j)
IIIIIZIIIYYX (1.5151703434042196e-06+0j)
IIIIIZIIIXYY (-1.5151703434042196e-06+0j)
IIIIZXZIZYYX (-6.172546461025612e-07+0j)
IIIIIXIIIYYX (6.172546461025612e-07+0j)
IIIIZXZIZXYY (6.172546461025612e-07+0j)
IIIIIXIIIXYY (-6.172546461025612e-07+0j)
XIXYYXZIZYYX (0.038693726670742674+0j)
XIXXYYZIZYYX (-0.038693726670742674+0j)
XIXYYXZIZXYY (-0.038693726670742674+0j)
XIXXYYZIZXYY (0.038693726670742674+0j)
YIIIYXZIZYYX (4.5670754188800805e-07+0j)
XZZIYYZIZYYX (-4.5670754188800805e-07+0j)
YIIIYXZIZXYY (-4.5670754188800805e-07+0j)
XZZIYYZIZXYY (4.5670754188800805e-07+0j)
IIIIZZZIZYYX (4.5982528274701074e-07+0j)
IIIIZZZIZXYY (-4.5982528274701074e-07+0j)
XIXYYZZIZYYX (-0.010883696239446393+0j)
XIXXXIIIIYYX (-0.010883696239446393+0j)
XIXYYZZIZXYY (0.010883696239446393+0j)
XIXXXIIIIXYY (0.010883696239446393+0j)
YIIIYZZIZYYX (-1.1113997632579607e-06+0j)
XZZIXIIIIYYX (-1.1113997632579607e-06+0j)
YIIIYZZIZXYY (1.1113997632579607e-06+0j)
XZZIXIIIIXYY (1.1113997632579607e-06+0j)
IIIZIIIIIYYX (-2.409334438302589e-06+0j)
IIIZIIIIIXYY (2.409334438302589e-06+0j)
ZIXXIIIIIYYX (0.010215121302295101+0j)
IZYYIIIIIYYX (0.010215121302295101+0j)
ZIXXIIIIIXYY (-0.010215121302295101+0j)
IZYYIIIIIXYY (-0.010215121302295101+0j)
IIZZIIIIIYYX (0.0003408947809878194+0j)
IIZZIIIIIXYY (-0.0003408947809878194+0j)
IYYZIIIIIYYX (0.0003433458681729268+0j)
IXXIIIIIIYYX (0.0003433458681729268+0j)
IYYZIIIIIXYY (-0.0003433458681729268+0j)
IXXIIIIIIXYY (-0.0003433458681729268+0j)
IZIIIIIIIYYX (0.00034464964625381786+0j)
IZIIIIIIIXYY (-0.00034464964625381786+0j)
ZZZIIIIIIYYX (5.105042942134941e-07+0j)
ZZZIIIIIIXYY (-5.105042942134941e-07+0j)
IIIIIIIIZZXX (9.238109454105826e-08+0j)
IIIIIIIIIIYY (9.238109454105826e-08+0j)
IIIIIIXYXZYX (8.12290033480194e-08+0j)
IIIIIIXXXZYY (-8.12290033480194e-08+0j)
IIIIIIYIXZYX (0.009690224732367754+0j)
IIIIIIXZXZYY (-0.009690224732367754+0j)
IIIIIIIZZIXX (-5.5811925923831965e-08+0j)
IIIIIIIZIZYY (-5.5811925923831965e-08+0j)
IIIIIIZXZIXX (0.009515109795538872+0j)
IIIIIIZYIZYX (0.009515109795527159+0j)
IIIIIIIYZIXY (0.009515109795527159+0j)
IIIIIIIXIZYY (-0.009515109795538872+0j)
IIIIIZIIZIXX (2.9017878747511224e-08+0j)
IIIIIZIIIZYY (2.9017878747511224e-08+0j)
XIYIYXZIIIXX (-0.019452651425119403+0j)
XIXZYYZIIIXX (0.019452651425119403+0j)
XIYIYXZIZZYY (-0.019452651425119403+0j)
XIXZYYZIZZYY (0.019452651425119403+0j)
XYZIYXZIIIXX (-0.01934657415048108+0j)
XXZIYYZIIIXX (0.01934657415048108+0j)
XYZIYXZIZZYY (-0.01934657415048108+0j)
XXZIYYZIZZYY (0.01934657415048108+0j)
XIYIYZZIIIXX (0.0054716040032630284+0j)
XIXZXIIIZIXX (0.0054716040032630284+0j)
XIYIYZZIZZYY (0.0054716040032630284+0j)
XIXZXIIIIZYY (0.0054716040032630284+0j)
XYZIYZZIIIXX (0.005441766793541656+0j)
XXZIXIIIZIXX (0.005441766793541656+0j)
XYZIYZZIZZYY (0.005441766793541656+0j)
XXZIXIIIIZYY (0.005441766793541656+0j)
YIIIYZZIIIXX (1.2071200593926498e-07+0j)
XZZIXIIIZIXX (1.2071200593926498e-07+0j)
YIIIYZZIZZYY (1.2071200593926498e-07+0j)
XZZIXIIIIZYY (1.2071200593926498e-07+0j)
IIIZIIIIZIXX (9.238109454105826e-08+0j)
IIIZIIIIIZYY (9.238109454105826e-08+0j)
IIZXIIIIZIXX (4.6013908047559543e-07+0j)
IIIXIIIIZIXX (-4.6013908047559543e-07+0j)
IIZXIIIIIZYY (4.6013908047559543e-07+0j)
IIIXIIIIIZYY (-4.6013908047559543e-07+0j)
IYYXIIIIZIXX (-4.5762990821595215e-07+0j)
IXYYIIIIZIXX (4.5762990821595215e-07+0j)
IYYXIIIIIZYY (-4.5762990821595215e-07+0j)
IXYYIIIIIZYY (4.5762990821595215e-07+0j)
IIZZIIIIZIXX (2.8682974586994565e-08+0j)
IIZZIIIIIZYY (2.8682974586994565e-08+0j)
IYYZIIIIZIXX (-1.0969938859758038e-07+0j)
IXXIIIIIZIXX (-1.0969938859758038e-07+0j)
IYYZIIIIIZYY (-1.0969938859758038e-07+0j)
IXXIIIIIIZYY (-1.0969938859758038e-07+0j)
ZIXZIIIIZIXX (-0.005135488660134851+0j)
IZXIIIIIZIXX (0.005135488660134851+0j)
ZIXZIIIIIZYY (-0.005135488660134851+0j)
IZXIIIIIIZYY (0.005135488660134851+0j)
IZIIIIIIZIXX (2.511193362202853e-08+0j)
IZIIIIIIIZYY (2.511193362202853e-08+0j)
ZXZIIIIIZIXX (-0.005107484321338048+0j)
IXIIIIIIZIXX (0.005107484321338048+0j)
ZXZIIIIIIZYY (-0.005107484321338048+0j)
IXIIIIIIIZYY (0.005107484321338048+0j)
ZZZIIIIIZIXX (-2.1699125986453156e-08+0j)
ZZZIIIIIIZYY (-2.1699125986453156e-08+0j)
IIIIIIXYYZXX (-3.1877127367331864e-08+0j)
IIIIIIXXYZXY (3.1877127367331864e-08+0j)
IIIIIIYZYIXX (0.009586166525585119+0j)
IIIIIIXIYIXY (-0.009586166525585119+0j)
XIYIYXYYXIXX (0.01934657415048108+0j)
XIXZYYYYXIXX (-0.01934657415048108+0j)
XIYIYXYXXIXY (-0.01934657415048108+0j)
XIXZYYYXXIXY (0.01934657415048108+0j)
XYZIYXYYXIXX (0.019241075325954694+0j)
XXZIYYYYXIXX (-0.019241075325954694+0j)
XYZIYXYXXIXY (-0.019241075325954694+0j)
XXZIYYYXXIXY (0.019241075325954694+0j)
XIYIYZYYXIXX (-0.005441766793541148+0j)
XIXZXIXYYIXX (-0.005441766793541148+0j)
XIYIYZYXXIXY (0.005441766793541148+0j)
XIXZXIXXYIXY (0.005441766793541148+0j)
XYZIYZYYXIXX (-0.005412092289134904+0j)
XXZIXIXYYIXX (-0.005412092289134904+0j)
XYZIYZYXXIXY (0.005412092289134904+0j)
XXZIXIXXYIXY (0.005412092289134904+0j)
YIIIYZYYXIXX (-1.168101980893525e-07+0j)
XZZIXIXYYIXX (-1.168101980893525e-07+0j)
YIIIYZYXXIXY (1.168101980893525e-07+0j)
XZZIXIXXYIXY (1.168101980893525e-07+0j)
IIIZIIXYYIXX (-3.1877127367331864e-08+0j)
IIIZIIXXYIXY (3.1877127367331864e-08+0j)
IIZXIIXYYIXX (-4.576299013906403e-07+0j)
IIIXIIXYYIXX (4.576299013906403e-07+0j)
IIZXIIXXYIXY (4.576299013906403e-07+0j)
IIIXIIXXYIXY (-4.576299013906403e-07+0j)
IYYXIIXYYIXX (4.5513440716454724e-07+0j)
IXYYIIXYYIXX (-4.5513440716454724e-07+0j)
IYYXIIXXYIXY (-4.5513440716454724e-07+0j)
IXYYIIXXYIXY (4.5513440716454724e-07+0j)
IIZZIIXYYIXX (-2.8470385249561003e-08+0j)
IIZZIIXXYIXY (2.8470385249561003e-08+0j)
IYYZIIXYYIXX (8.09238595458605e-08+0j)
IXXIIIXYYIXX (8.09238595458605e-08+0j)
IYYZIIXXYIXY (-8.09238595458605e-08+0j)
IXXIIIXXYIXY (-8.09238595458605e-08+0j)
ZIXZIIXYYIXX (0.005107484321349764+0j)
IZXIIIXYYIXX (-0.005107484321349764+0j)
ZIXZIIXXYIXY (-0.005107484321349764+0j)
IZXIIIXXYIXY (0.005107484321349764+0j)
IZIIIIXYYIXX (-2.5072892587481317e-08+0j)
IZIIIIXXYIXY (2.5072892587481317e-08+0j)
ZXZIIIXYYIXX (0.005079632693048106+0j)
IXIIIIXYYIXX (-0.005079632693048106+0j)
ZXZIIIXXYIXY (-0.005079632693048106+0j)
IXIIIIXXYIXY (0.005079632693048106+0j)
ZZZIIIXYYIXX (3.4412451769773165e-08+0j)
ZZZIIIXXYIXY (-3.4412451769773165e-08+0j)
IIIIIZYIYIXX (0.028730372819434195+0j)
IIIIIZXZYIXY (-0.028730372819434195+0j)
IIIIZXXIXIXX (-0.00714119469765214+0j)
IIIIIXYIYIXX (-0.00714119469765214+0j)
IIIIZXYZXIXY (-0.00714119469765214+0j)
IIIIIXXZYIXY (0.00714119469765214+0j)
XIXYYXXIXIXX (-4.5670754188800805e-07+0j)
XIXXYYXIXIXX (4.5670754188800805e-07+0j)
XIXYYXYZXIXY (-4.5670754188800805e-07+0j)
XIXXYYYZXIXY (4.5670754188800805e-07+0j)
YIIIYXXIXIXX (-0.023593084713663795+0j)
XZZIYYXIXIXX (0.023593084713663795+0j)
YIIIYXYZXIXY (-0.023593084713663795+0j)
XZZIYYYZXIXY (0.023593084713663795+0j)
IIIIZZXIXIXX (-0.0064958601368142336+0j)
IIIIZZYZXIXY (-0.0064958601368142336+0j)
XIXYYZXIXIXX (9.287188868085652e-07+0j)
XIXXXIYIYIXX (-9.287188868085652e-07+0j)
XIXYYZYZXIXY (9.287188868085652e-07+0j)
XIXXXIXZYIXY (9.287188868085652e-07+0j)
XIYIYZXIXIXX (8.616823073418364e-08+0j)
XIXZXIYIYIXX (-8.616823073418364e-08+0j)
XIYIYZYZXIXY (8.616823073418364e-08+0j)
XIXZXIXZYIXY (8.616823073418364e-08+0j)
XYZIYZXIXIXX (8.312633030597193e-08+0j)
XXZIXIYIYIXX (-8.312633030597193e-08+0j)
XYZIYZYZXIXY (8.312633030597193e-08+0j)
XXZIXIXZYIXY (8.312633030597193e-08+0j)
YIIIYZXIXIXX (-0.014104490090871917+0j)
XZZIXIYIYIXX (0.014104490090871917+0j)
YIIIYZYZXIXY (-0.014104490090871917+0j)
XZZIXIXZYIXY (-0.014104490090871917+0j)
IIIZIIYIYIXX (0.029368568981504112+0j)
IIIZIIXZYIXY (-0.029368568981504112+0j)
ZIXXIIYIYIXX (1.9732001141494837e-07+0j)
IZYYIIYIYIXX (1.9732001141494837e-07+0j)
ZIXXIIXZYIXY (-1.9732001141494837e-07+0j)
IZYYIIXZYIXY (-1.9732001141494837e-07+0j)
IIZZIIYIYIXX (0.014825713392502606+0j)
IIZZIIXZYIXY (-0.014825713392502606+0j)
IYYZIIYIYIXX (-0.014622594116876917+0j)
IXXIIIYIYIXX (-0.014622594116876917+0j)
IYYZIIXZYIXY (0.014622594116876917+0j)
IXXIIIXZYIXY (0.014622594116876917+0j)
IZIIIIYIYIXX (0.014665799218633225+0j)
IZIIIIXZYIXY (-0.014665799218633225+0j)
ZZZIIIYIYIXX (0.013573725802162874+0j)
ZZZIIIXZYIXY (-0.013573725802162874+0j)
IIIIIIIIIZXX (-3.773040123889492e-08+0j)
IIIIIIIIZIYY (-3.773040123889492e-08+0j)
IIIIIIXXYIYX (3.93162258314085e-08+0j)
IIIIIIXYYIYY (3.93162258314085e-08+0j)
IIIIIIIIIZZZ (0.15645227586533766+0j)
IIIIIIYIYXIZ (-7.922282063497538e-07+0j)
IIIIIIXZYYIZ (7.922282063497538e-07+0j)
IIIIIIIIZZIZ (0.0881328263227276+0j)
IIIIIIXYYZIZ (-0.06869404515102817+0j)
IIIIIIXXXIZZ (-0.06869404515102817+0j)
IIIIIIIZIIZZ (0.08738158127053888+0j)
IIIIIIZZIIZZ (0.11553262665746561+0j)
IIIIIZIIIIZZ (0.16706063982650654+0j)
IIIIZXZIZIZZ (-0.010582643050866257+0j)
IIIIIXIIIIZZ (0.010582643050866257+0j)
XIXYYXZIZIZZ (4.5982528274701074e-07+0j)
XIXXYYZIZIZZ (-4.5982528274701074e-07+0j)
YIIIYXZIZIZZ (0.0064958601368142336+0j)
XZZIYYZIZIZZ (-0.0064958601368142336+0j)
IIIIZZZIZIZZ (0.1733694456013429+0j)
XIXYYZZIZIZZ (-4.2223849831863887e-07+0j)
XIXXXIIIIIZZ (-4.2223849831863887e-07+0j)
YIIIYZZIZIZZ (0.02350677458641437+0j)
XZZIXIIIIIZZ (0.02350677458641437+0j)
IIIZIIIIIIZZ (0.16781332201989577+0j)
ZIXXIIIIIIZZ (5.641692818171402e-07+0j)
IZYYIIIIIIZZ (5.641692818171402e-07+0j)
IIZZIIIIIIZZ (0.0938444103254578+0j)
IYYZIIIIIIZZ (-0.07437448330882922+0j)
IXXIIIIIIIZZ (-0.07437448330882922+0j)
IZIIIIIIIIZZ (0.09303104342485512+0j)
ZZZIIIIIIIZZ (0.15644342759960916+0j)
IIIIIIYIYZXZ (0.037529342747464695+0j)
IIIIIIXZYZYI (-0.037529342747464695+0j)
IIIIIIIIZXXZ (0.00010450721337290379+0j)
IIIIIIIIZYYI (0.00010450721337290379+0j)
IIIIIIXYYXXZ (0.00010420139254843502+0j)
IIIIIIXXXYYZ (-0.00010420139255512571+0j)
IIIIIIXYYYYI (0.00010420139255512571+0j)
IIIIIIXXXXXI (-0.00010420139254843502+0j)
IIIIIIIZIYYZ (-0.0001056467703730015+0j)
IIIIIIIZIXXI (-0.0001056467703730015+0j)
IIIIIIZZIYYZ (-1.0750150326968076e-06+0j)
IIIIIIZZIXXI (-1.0750150326968076e-06+0j)
IIIIIZIIIYYZ (-1.2763205117973372e-06+0j)
IIIIIZIIIXXI (-1.2763205117973372e-06+0j)
IIIIZXZIZYYZ (2.2070873941367718e-07+0j)
IIIIIXIIIYYZ (-2.2070873941367718e-07+0j)
IIIIZXZIZXXI (2.2070873941367718e-07+0j)
IIIIIXIIIXXI (-2.2070873941367718e-07+0j)
XIXYYXZIZYYZ (-0.010883696239446393+0j)
XIXXYYZIZYYZ (0.010883696239446393+0j)
XIXYYXZIZXXI (-0.010883696239446393+0j)
XIXXYYZIZXXI (0.010883696239446393+0j)
YIIIYXZIZYYZ (-9.287188868085652e-07+0j)
XZZIYYZIZYYZ (9.287188868085652e-07+0j)
YIIIYXZIZXXI (-9.287188868085652e-07+0j)
XZZIYYZIZXXI (9.287188868085652e-07+0j)
IIIIZZZIZYYZ (-4.2223849831863887e-07+0j)
IIIIZZZIZXXI (-4.2223849831863887e-07+0j)
XIXYYZZIZYYZ (0.011361046154558104+0j)
XIXXXIIIIYYZ (0.011361046154558104+0j)
XIXYYZZIZXXI (0.011361046154558104+0j)
XIXXXIIIIXXI (0.011361046154558104+0j)
YIIIYZZIZYYZ (-2.2805892453261371e-07+0j)
XZZIXIIIIYYZ (-2.2805892453261371e-07+0j)
YIIIYZZIZXXI (-2.2805892453261371e-07+0j)
XZZIXIIIIXXI (-2.2805892453261371e-07+0j)
IIIZIIIIIYYZ (-2.959726118063426e-07+0j)
IIIZIIIIIXXI (-2.959726118063426e-07+0j)
ZIXXIIIIIYYZ (0.0026265471402276436+0j)
IZYYIIIIIYYZ (0.0026265471402276436+0j)
ZIXXIIIIIXXI (0.0026265471402276436+0j)
IZYYIIIIIXXI (0.0026265471402276436+0j)
IIZZIIIIIYYZ (-0.00010441034173545947+0j)
IIZZIIIIIXXI (-0.00010441034173545947+0j)
IYYZIIIIIYYZ (-0.00010429773593327682+0j)
IXXIIIIIIYYZ (-0.00010429773593327682+0j)
IYYZIIIIIXXI (-0.00010429773593327682+0j)
IXXIIIIIIXXI (-0.00010429773593327682+0j)
IZIIIIIIIYYZ (-0.00010555095236461819+0j)
