Jordan-Wigner mapping of H2O Hamiltonian in sto3g basis.
IIIIIIIIIIIIII (-51.93362142169509+0j)
IIIZIIIIIIIIII (1.3478687607713105+0j)
IIYYIIIIIIIIII (-5.5230579630432436e-08+0j)
IIXXIIIIIIIIII (-5.5230579630432436e-08+0j)
IYZYIIIIIIIIII (-5.537817541525619e-08+0j)
IXZXIIIIIIIIII (-5.537817541525619e-08+0j)
YZZYIIIIIIIIII (-6.927315937191013e-06+0j)
XZZXIIIIIIIIII (-6.927315937191013e-06+0j)
IIZIIIIIIIIIII (0.7554631122902338+0j)
IYYIIIIIIIIIII (0.5956543830534918+0j)
IXXIIIIIIIIIII (0.5956543830534918+0j)
YZYIIIIIIIIIII (-1.1090818208967665e-07+0j)
XZXIIIIIIIIIII (-1.1090818208967665e-07+0j)
IZIIIIIIIIIIII (0.7489478269355528+0j)
YYIIIIIIIIIIII (-2.4874672743784307e-08+0j)
XXIIIIIIIIIIII (-2.4874672743784307e-08+0j)
ZIIIIIIIIIIIII (0.8065443739677738+0j)
IIIIIIIIIIIIZZ (0.2449397365523112+0j)
IIIIIIIIIIIYYZ (0.029241774513573515+0j)
IIIIIIIIIIIXXZ (0.029241774513573515+0j)
IIIIIIIIIIYZYZ (-5.235734141802161e-07+0j)
IIIIIIIIIIXZXZ (-5.235734141802161e-07+0j)
IIIIIIIYZZZZYZ (0.05018702075392923+0j)
IIIIIIIXZZZZXZ (0.05018702075392923+0j)
IIIIIIIIIIIZIZ (0.21728369728221733+0j)
IIIIIIIIIIYYIZ (-1.4241860451352588e-06+0j)
IIIIIIIIIIXXIZ (-1.4241860451352588e-06+0j)
IIIIIIIYZZZYIZ (0.07276478743877461+0j)
IIIIIIIXZZZXIZ (0.07276478743877461+0j)
IIIIIIIIIIZIIZ (0.2723616823743067+0j)
IIIIIIIYZZYIIZ (-1.7159695069479771e-06+0j)
IIIIIIIXZZXIIZ (-1.7159695069479771e-06+0j)
IIIIIIIIIZIIIZ (0.14659412501238792+0j)
IIIIIIIIYYIIIZ (0.12645726289424772+0j)
IIIIIIIIXXIIIZ (0.12645726289424772+0j)
IIIIIIIIZIIIIZ (0.14521093171041638+0j)
IIIIIIIZIIIIIZ (0.20089884844916917+0j)
IIIIIIZIIIIIIZ (1.1870006819512846+0j)
IIIIIYYIIIIIIZ (0.10955376733974091+0j)
IIIIIXXIIIIIIZ (0.10955376733974091+0j)
IIIIYZYIIIIIIZ (-0.04017532351791905+0j)
IIIIXZXIIIIIIZ (-0.04017532351791905+0j)
IIIYZZYIIIIIIZ (3.51019737371126e-06+0j)
IIIXZZXIIIIIIZ (3.51019737371126e-06+0j)
YZZZZZYIIIIIIZ (-0.03841313331172132+0j)
XZZZZZXIIIIIIZ (-0.03841313331172132+0j)
IIIIIZIIIIIIIZ (0.2609222719566117+0j)
IIIIYYIIIIIIIZ (0.03461255457200697+0j)
IIIIXXIIIIIIIZ (0.03461255457200697+0j)
IIIYZYIIIIIIIZ (-8.934322458246528e-07+0j)
IIIXZXIIIIIIIZ (-8.934322458246528e-07+0j)
YZZZZYIIIIIIIZ (0.05636765650411702+0j)
XZZZZXIIIIIIIZ (0.05636765650411702+0j)
IIIIZIIIIIIIIZ (0.22262891859316142+0j)
IIIYYIIIIIIIIZ (-1.3952818421211357e-06+0j)
IIIXXIIIIIIIIZ (-1.3952818421211357e-06+0j)
YZZZYIIIIIIIIZ (0.07433313179265706+0j)
XZZZXIIIIIIIIZ (0.07433313179265706+0j)
IIIZIIIIIIIIIZ (0.2788421532536612+0j)
YZZYIIIIIIIIIZ (-1.6887817043427207e-06+0j)
XZZXIIIIIIIIIZ (-1.6887817043427207e-06+0j)
IIZIIIIIIIIIIZ (0.14985208107836967+0j)
IYYIIIIIIIIIIZ (0.12969744987263407+0j)
IXXIIIIIIIIIIZ (0.12969744987263407+0j)
IZIIIIIIIIIIIZ (0.14843344651487575+0j)
ZIIIIIIIIIIIIZ (0.20705128273101278+0j)
IIIIIIIIIIIYIY (-0.0011935186673747772+0j)
IIIIIIIIIIIXIX (-0.0011935186673747772+0j)
IIIIIIIIIIYZIY (2.62231330672017e-07+0j)
IIIIIIIIIIXZIX (2.62231330672017e-07+0j)
IIIIIIIYZZZZIY (0.001454365003921214+0j)
IIIIIIIXZZZZIX (0.001454365003921214+0j)
IIIIIIIIIIIZYY (0.006751027279035267+0j)
IIIIIIIIIIIZXX (0.006751027279035267+0j)
IIIIIIIYZZZYYY (0.006972754586825249+0j)
IIIIIIIXZZZXYY (0.005783130497000168+0j)
IIIIIIIYZZZXXY (0.0011896240898250808+0j)
IIIIIIIXZZZYYX (0.0011896240898250808+0j)
IIIIIIIYZZZYXX (0.005783130497000168+0j)
IIIIIIIXZZZXXX (0.006972754586825249+0j)
IIIIIIIIIIZIYY (0.011567649070449645+0j)
IIIIIIIIIIZIXX (0.011567649070449645+0j)
IIIIIIIIIZIIYY (0.005818663308900854+0j)
IIIIIIIIIZIIXX (0.005818663308900854+0j)
IIIIIIIIYYIIYY (0.005780513030368815+0j)
IIIIIIIIXXIIYY (0.005780513030368825+0j)
IIIIIIIIYYIIXX (0.005780513030368825+0j)
IIIIIIIIXXIIXX (0.005780513030368815+0j)
IIIIIIIIZIIIYY (0.005755435885480691+0j)
IIIIIIIIZIIIXX (0.005755435885480691+0j)
IIIIIIIZIIIIYY (0.00560611836891079+0j)
IIIIIIIZIIIIXX (0.00560611836891079+0j)
IIIIIIZIIIIIYY (0.10955376733974091+0j)
IIIIIIZIIIIIXX (0.10955376733974091+0j)
IIIIIYYIIIIIYY (0.015982535404300533+0j)
IIIIIXXIIIIIYY (0.015982535404300533+0j)
IIIIIYYIIIIIXX (0.015982535404300533+0j)
IIIIIXXIIIIIXX (0.015982535404300533+0j)
IIIIYZYIIIIIYY (-0.0053707800584334615+0j)
IIIIXZXIIIIIYY (-0.0053707800584334615+0j)
IIIIYZYIIIIIXX (-0.0053707800584334615+0j)
IIIIXZXIIIIIXX (-0.0053707800584334615+0j)
IIIYZZYIIIIIYY (3.6985883164443675e-07+0j)
IIIXZZXIIIIIYY (3.6985883164443675e-07+0j)
IIIYZZYIIIIIXX (3.6985883164443675e-07+0j)
IIIXZZXIIIIIXX (3.6985883164443675e-07+0j)
YZZZZZYIIIIIYY (-0.006180635750187792+0j)
XZZZZZXIIIIIYY (-0.006180635750187792+0j)
YZZZZZYIIIIIXX (-0.006180635750187792+0j)
XZZZZZXIIIIIXX (-0.006180635750187792+0j)
IIIIIZIIIIIIYY (0.004049927037600155+0j)
IIIIIZIIIIIIXX (0.004049927037600155+0j)
IIIIYYIIIIIIYY (0.002093772345313834+0j)
IIIIXXIIIIIIYY (0.002093772345313834+0j)
IIIIYYIIIIIIXX (0.002093772345313834+0j)
IIIIXXIIIIIIXX (0.002093772345313834+0j)
IIIYZYIIIIIIYY (-2.5892207132699293e-07+0j)
IIIXZXIIIIIIYY (-2.5892207132699293e-07+0j)
IIIYZYIIIIIIXX (-2.5892207132699293e-07+0j)
IIIXZXIIIIIIXX (-2.5892207132699293e-07+0j)
YZZZZYIIIIIIYY (0.0011397665613200366+0j)
XZZZZXIIIIIIYY (0.0011397665613200366+0j)
YZZZZYIIIIIIXX (0.0011397665613200366+0j)
XZZZZXIIIIIIXX (0.0011397665613200366+0j)
IIIIZIIIIIIIYY (0.002530648115043302+0j)
IIIIZIIIIIIIXX (0.002530648115043302+0j)
YZZZYIIIIIIIYY (0.001352787385959132+0j)
XZZZXIIIIIIIYY (0.001352787385959132+0j)
YZZZYIIIIIIIXX (0.001352787385959132+0j)
XZZZXIIIIIIIXX (0.001352787385959132+0j)
IIIZIIIIIIIIYY (0.0031343581382496646+0j)
IIIZIIIIIIIIXX (0.0031343581382496646+0j)
IIZIIIIIIIIIYY (0.0015789572822096942+0j)
IIZIIIIIIIIIXX (0.0015789572822096942+0j)
IYYIIIIIIIIIYY (0.001563930614383702+0j)
IXXIIIIIIIIIYY (0.001563930614383702+0j)
IYYIIIIIIIIIXX (0.001563930614383702+0j)
IXXIIIIIIIIIXX (0.001563930614383702+0j)
IZIIIIIIIIIIYY (0.001561850962643266+0j)
IZIIIIIIIIIIXX (0.001561850962643266+0j)
ZIIIIIIIIIIIYY (0.0020536201422871317+0j)
ZIIIIIIIIIIIXX (0.0020536201422871317+0j)
IIIIIIIIIIYXXY (-5.0696449872601286e-08+0j)
IIIIIIIIIIXXYY (-1.968263007856193e-07+0j)
IIIIIIIIIIYYYY (-2.475227506582206e-07+0j)
IIIIIIIIIIXXXX (-2.475227506582206e-07+0j)
IIIIIIIIIIYYXX (-1.968263007856193e-07+0j)
IIIIIIIIIIXYYX (-5.0696449872601286e-08+0j)
IIIIIIIYZZZIZY (-0.0023599181182039916+0j)
IIIIIIIXZZZIZX (-0.0023599181182039916+0j)
IIIIIIIIIIZYZY (-0.004051826561833089+0j)
IIIIIIIIIIZXZX (-0.004051826561833089+0j)
IIIIIIIYZZYYZY (-2.06737965667548e-08+0j)
IIIIIIIXZZXYZY (-1.0483416618246269e-07+0j)
IIIIIIIYZZXXZY (8.416036961570793e-08+0j)
IIIIIIIXZZYYZX (8.416036961570793e-08+0j)
IIIIIIIYZZYXZX (-1.0483416618246269e-07+0j)
IIIIIIIXZZXXZX (-2.06737965667548e-08+0j)
IIIIIIIIIZIYZY (-0.0020149721718130077+0j)
IIIIIIIIIZIXZX (-0.0020149721718130077+0j)
IIIIIIIIYYIYZY (-0.002048024435757835+0j)
IIIIIIIIXXIYZY (-0.0020480244357578303+0j)
IIIIIIIIYYIXZX (-0.0020480244357578303+0j)
IIIIIIIIXXIXZX (-0.002048024435757835+0j)
IIIIIIIIZIIYZY (-0.001992570819633008+0j)
IIIIIIIIZIIXZX (-0.001992570819633008+0j)
IIIIIIIZIIIYZY (-0.005536594182573447+0j)
IIIIIIIZIIIXZX (-0.005536594182573447+0j)
IIIIIIZIIIIYZY (-0.04017532351791905+0j)
IIIIIIZIIIIXZX (-0.04017532351791905+0j)
IIIIIYYIIIIYZY (-0.0053707800584334615+0j)
IIIIIXXIIIIYZY (-0.0053707800584334615+0j)
IIIIIYYIIIIXZX (-0.0053707800584334615+0j)
IIIIIXXIIIIXZX (-0.0053707800584334615+0j)
IIIIYZYIIIIYZY (0.005345221310944084+0j)
IIIIXZXIIIIYZY (0.005345221310944084+0j)
IIIIYZYIIIIXZX (0.005345221310944084+0j)
IIIIXZXIIIIXZX (0.005345221310944084+0j)
YZZZZZYIIIIYZY (-0.0015683443538824472+0j)
XZZZZZXIIIIYZY (-0.0015683443538824472+0j)
YZZZZZYIIIIXZX (-0.0015683443538824472+0j)
XZZZZZXIIIIXZX (-0.0015683443538824472+0j)
IIIIIZIIIIIYZY (-0.0032872910126886114+0j)
IIIIIZIIIIIXZX (-0.0032872910126886114+0j)
IIIIYYIIIIIYZY (0.004220379163991965+0j)
IIIIXXIIIIIYZY (0.004220379163991965+0j)
IIIIYYIIIIIXZX (0.004220379163991965+0j)
IIIIXXIIIIIXZX (0.004220379163991965+0j)
IIIYZYIIIIIYZY (1.968263007856193e-07+0j)
IIIXZXIIIIIYZY (1.968263007856193e-07+0j)
IIIYZYIIIIIXZX (1.968263007856193e-07+0j)
IIIXZXIIIIIXZX (1.968263007856193e-07+0j)
YZZZZYIIIIIYZY (-0.004430343111041035+0j)
XZZZZXIIIIIYZY (-0.004430343111041035+0j)
YZZZZYIIIIIXZX (-0.004430343111041035+0j)
XZZZZXIIIIIXZX (-0.004430343111041035+0j)
IIIIZIIIIIIYZY (0.0012565973356996531+0j)
IIIIZIIIIIIXZX (0.0012565973356996531+0j)
YZZZYIIIIIIYZY (0.0007323109837117065+0j)
XZZZXIIIIIIYZY (0.0007323109837117065+0j)
YZZZYIIIIIIXZX (0.0007323109837117065+0j)
XZZZXIIIIIIXZX (0.0007323109837117065+0j)
IIIZIIIIIIIYZY (-0.001148810254231689+0j)
IIIZIIIIIIIXZX (-0.001148810254231689+0j)
YZZYIIIIIIIYZY (-2.0590269597676173e-07+0j)
XZZXIIIIIIIYZY (-2.0590269597676173e-07+0j)
YZZYIIIIIIIXZX (-2.0590269597676173e-07+0j)
XZZXIIIIIIIXZX (-2.0590269597676173e-07+0j)
IIZIIIIIIIIYZY (-0.0005555258124481178+0j)
IIZIIIIIIIIXZX (-0.0005555258124481178+0j)
IYYIIIIIIIIYZY (-0.0005965379842846342+0j)
IXXIIIIIIIIYZY (-0.0005965379842846342+0j)
IYYIIIIIIIIXZX (-0.0005965379842846342+0j)
IXXIIIIIIIIXZX (-0.0005965379842846342+0j)
IZIIIIIIIIIYZY (-0.0005490008622369056+0j)
IZIIIIIIIIIXZX (-0.0005490008622369056+0j)
ZIIIIIIIIIIYZY (-0.0037582546954757546+0j)
ZIIIIIIIIIIXZX (-0.0037582546954757546+0j)
IIIIIIIYZZXIXY (4.6644387108657504e-08+0j)
IIIIIIIXZZXIYY (-2.3100612041166014e-07+0j)
IIIIIIIYZZYIYY (-1.8436173330300264e-07+0j)
IIIIIIIXZZXIXX (-1.8436173330300264e-07+0j)
IIIIIIIYZZYIXX (-2.3100612041166014e-07+0j)
IIIIIIIXZZYIYX (4.6644387108657504e-08+0j)
IIIIIIIIIIYIZY (2.461414663621184e-07+0j)
IIIIIIIIIIXIZX (2.461414663621184e-07+0j)
IIIIIIIYZZIZZY (-0.003543478226078931+0j)
IIIIIIIXZZIZZX (-0.003543478226078931+0j)
IIIIIIIIIZYZZY (3.52333193919236e-05+0j)
IIIIIIIIIZXZZX (3.52333193919236e-05+0j)
IIIIIIIIYYYZZY (-3.5059885549497234e-05+0j)
IIIIIIIIXXYZZY (-3.505988554949233e-05+0j)
IIIIIIIIYYXZZX (-3.505988554949233e-05+0j)
IIIIIIIIXXXZZX (-3.5059885549497234e-05+0j)
IIIIIIIIZIYZZY (3.561680546264066e-05+0j)
IIIIIIIIZIXZZX (3.561680546264066e-05+0j)
IIIIIIIZIIYZZY (3.110511559118674e-07+0j)
IIIIIIIZIIXZZX (3.110511559118674e-07+0j)
IIIIIIZIIIYZZY (3.51019737371126e-06+0j)
IIIIIIZIIIXZZX (3.51019737371126e-06+0j)
IIIIIYYIIIYZZY (3.6985883164443675e-07+0j)
IIIIIXXIIIYZZY (3.6985883164443675e-07+0j)
IIIIIYYIIIXZZX (3.6985883164443675e-07+0j)
IIIIIXXIIIXZZX (3.6985883164443675e-07+0j)
IIIYZZYIIIYZZY (0.0064804708793545+0j)
IIIXZZXIIIYZZY (0.0064804708793545+0j)
IIIYZZYIIIXZZX (0.0064804708793545+0j)
IIIXZZXIIIXZZX (0.0064804708793545+0j)
IIIIIZIIIIYZZY (5.211534019990099e-07+0j)
IIIIIZIIIIXZZX (5.211534019990099e-07+0j)
IIIIYYIIIIYZZY (2.475227506582206e-07+0j)
IIIIXXIIIIYZZY (2.475227506582206e-07+0j)
IIIIYYIIIIXZZX (2.475227506582206e-07+0j)
IIIIXXIIIIXZZX (2.475227506582206e-07+0j)
IIIYZYIIIIYZZY (0.008433290932199982+0j)
IIIXZXIIIIYZZY (0.008433290932199982+0j)
IIIYZYIIIIXZZX (0.008433290932199982+0j)
IIIXZXIIIIXZZX (0.008433290932199982+0j)
YZZZZYIIIIYZZY (2.3100612041166014e-07+0j)
XZZZZXIIIIYZZY (2.3100612041166014e-07+0j)
YZZZZYIIIIXZZX (2.3100612041166014e-07+0j)
XZZZZXIIIIXZZX (2.3100612041166014e-07+0j)
IIIIZIIIIIYZZY (2.1520760074265743e-07+0j)
IIIIZIIIIIXZZX (2.1520760074265743e-07+0j)
IIIYYIIIIIYZZY (-0.0029030163076014005+0j)
IIIXXIIIIIYZZY (-0.0029030163076014005+0j)
IIIYYIIIIIXZZX (-0.0029030163076014005+0j)
IIIXXIIIIIXZZX (-0.0029030163076014005+0j)
YZZZYIIIIIYZZY (-1.0106852979429907e-07+0j)
XZZZXIIIIIYZZY (-1.0106852979429907e-07+0j)
YZZZYIIIIIXZZX (-1.0106852979429907e-07+0j)
XZZZXIIIIIXZZX (-1.0106852979429907e-07+0j)
IIIZIIIIIIYZZY (-4.4045204876304944e-07+0j)
IIIZIIIIIIXZZX (-4.4045204876304944e-07+0j)
YZZYIIIIIIYZZY (-0.0025202914688865416+0j)
XZZXIIIIIIYZZY (-0.0025202914688865416+0j)
YZZYIIIIIIXZZX (-0.0025202914688865416+0j)
XZZXIIIIIIXZZX (-0.0025202914688865416+0j)
IIZIIIIIIIYZZY (3.5098401446652174e-05+0j)
IIZIIIIIIIXZZX (3.5098401446652174e-05+0j)
IYYIIIIIIIYZZY (-3.519406764420733e-05+0j)
IXXIIIIIIIYZZY (-3.519406764420733e-05+0j)
IYYIIIIIIIXZZX (-3.519406764420733e-05+0j)
IXXIIIIIIIXZZX (-3.519406764420733e-05+0j)
IZIIIIIIIIYZZY (3.548335520511854e-05+0j)
IZIIIIIIIIXZZX (3.548335520511854e-05+0j)
ZIIIIIIIIIYZZY (1.7601991030685704e-07+0j)
ZIIIIIIIIIXZZX (1.7601991030685704e-07+0j)
IIIIIIIYZIZZZY (-0.0018073021352915891+0j)
IIIIIIIXZIZZZX (-0.0018073021352915891+0j)
IIIIIIIYYYZZZY (0.001745697225771899+0j)
IIIIIIIYXXZZZY (0.001745697225771919+0j)
IIIIIIIXYYZZZX (0.001745697225771919+0j)
IIIIIIIXXXZZZX (0.001745697225771899+0j)
IIYZZZYIIYZZZY (0.0032579560659817615+0j)
IIXZZZXIIYZZZY (0.0032579560659817615+0j)
IIYZZZYIIXZZZX (0.0032579560659817615+0j)
IIXZZZXIIXZZZX (0.0032579560659817615+0j)
IYZZZZYIIYZZZY (-0.003240186978386336+0j)
IXZZZZXIIYZZZY (-0.003240186978386336+0j)
IYZZZZYIIXZZZX (-0.003240186978386336+0j)
IXZZZZXIIXZZZX (-0.003240186978386336+0j)
IIYZZYIIIYZZZY (0.004239706026691158+0j)
IIXZZXIIIYZZZY (0.004239706026691158+0j)
IIYZZYIIIXZZZX (0.004239706026691158+0j)
IIXZZXIIIXZZZX (0.004239706026691158+0j)
IYZZZYIIIYZZZY (-0.004216582415985122+0j)
IXZZZXIIIYZZZY (-0.004216582415985122+0j)
IYZZZYIIIXZZZX (-0.004216582415985122+0j)
IXZZZXIIIXZZZX (-0.004216582415985122+0j)
IIYZYIIIIYZZZY (-0.0014594463593648902+0j)
IIXZXIIIIYZZZY (-0.0014594463593648902+0j)
IIYZYIIIIXZZZX (-0.0014594463593648902+0j)
IIXZXIIIIXZZZX (-0.0014594463593648902+0j)
IYZZYIIIIYZZZY (0.0014514864514731962+0j)
IXZZXIIIIYZZZY (0.0014514864514731962+0j)
IYZZYIIIIXZZZX (0.0014514864514731962+0j)
IXZZXIIIIXZZZX (0.0014514864514731962+0j)
IIYYIIIIIYZZZY (1.3491794527142e-07+0j)
IIXXIIIIIYZZZY (1.3491794527142e-07+0j)
IIYYIIIIIXZZZX (1.3491794527142e-07+0j)
IIXXIIIIIXZZZX (1.3491794527142e-07+0j)
IYZYIIIIIYZZZY (-1.341820947149951e-07+0j)
IXZXIIIIIYZZZY (-1.341820947149951e-07+0j)
IYZYIIIIIXZZZX (-1.341820947149951e-07+0j)
IXZXIIIIIXZZZX (-1.341820947149951e-07+0j)
YZYIIIIIIYZZZY (-0.0012670373912509198+0j)
XZXIIIIIIYZZZY (-0.0012670373912509198+0j)
YZYIIIIIIXZZZX (-0.0012670373912509198+0j)
XZXIIIIIIXZZZX (-0.0012670373912509198+0j)
YYIIIIIIIYZZZY (0.001260126893400153+0j)
XXIIIIIIIYZZZY (0.001260126893400153+0j)
YYIIIIIIIXZZZX (0.001260126893400153+0j)
XXIIIIIIIXZZZX (0.001260126893400153+0j)
IIIIIIIYIZZZZY (-0.0017882076471246399+0j)
IIIIIIIXIZZZZX (-0.0017882076471246399+0j)
IIYZZZYIYZZZZY (-0.003240186978386336+0j)
IIXZZZXIYZZZZY (-0.003240186978386336+0j)
IIYZZZYIXZZZZX (-0.003240186978386336+0j)
IIXZZZXIXZZZZX (-0.003240186978386336+0j)
IYZZZZYIYZZZZY (0.0032225148044593833+0j)
IXZZZZXIYZZZZY (0.0032225148044593833+0j)
IYZZZZYIXZZZZX (0.0032225148044593833+0j)
IXZZZZXIXZZZZX (0.0032225148044593833+0j)
IIYZZYIIYZZZZY (-0.0042165824159851135+0j)
IIXZZXIIYZZZZY (-0.0042165824159851135+0j)
IIYZZYIIXZZZZX (-0.0042165824159851135+0j)
IIXZZXIIXZZZZX (-0.0042165824159851135+0j)
IYZZZYIIYZZZZY (0.004193584922837425+0j)
IXZZZXIIYZZZZY (0.004193584922837425+0j)
IYZZZYIIXZZZZX (0.004193584922837425+0j)
IXZZZXIIXZZZZX (0.004193584922837425+0j)
IIYZYIIIYZZZZY (0.0014514864514732005+0j)
IIXZXIIIYZZZZY (0.0014514864514732005+0j)
IIYZYIIIXZZZZX (0.0014514864514732005+0j)
IIXZXIIIXZZZZX (0.0014514864514732005+0j)
IYZZYIIIYZZZZY (-0.0014435699573961023+0j)
IXZZXIIIYZZZZY (-0.0014435699573961023+0j)
IYZZYIIIXZZZZX (-0.0014435699573961023+0j)
IXZZXIIIXZZZZX (-0.0014435699573961023+0j)
IIYYIIIIYZZZZY (-1.341820947100908e-07+0j)
IIXXIIIIYZZZZY (-1.341820947100908e-07+0j)
IIYYIIIIXZZZZX (-1.341820947100908e-07+0j)
IIXXIIIIXZZZZX (-1.341820947100908e-07+0j)
IYZYIIIIYZZZZY (1.3345025752212376e-07+0j)
IXZXIIIIYZZZZY (1.3345025752212376e-07+0j)
IYZYIIIIXZZZZX (1.3345025752212376e-07+0j)
IXZXIIIIXZZZZX (1.3345025752212376e-07+0j)
YZYIIIIIYZZZZY (0.0012601268934001727+0j)
XZXIIIIIYZZZZY (0.0012601268934001727+0j)
YZYIIIIIXZZZZX (0.0012601268934001727+0j)
XZXIIIIIXZZZZX (0.0012601268934001727+0j)
YYIIIIIIYZZZZY (-0.0012532540858187626+0j)
XXIIIIIIYZZZZY (-0.0012532540858187626+0j)
YYIIIIIIXZZZZX (-0.0012532540858187626+0j)
XXIIIIIIXZZZZX (-0.0012532540858187626+0j)
IIIIIIZYZZZZZY (-0.03841313331172132+0j)
IIIIIIZXZZZZZX (-0.03841313331172132+0j)
IIIIIYYYZZZZZY (-0.006180635750187792+0j)
IIIIIXXYZZZZZY (-0.006180635750187792+0j)
IIIIIYYXZZZZZX (-0.006180635750187792+0j)
IIIIIXXXZZZZZX (-0.006180635750187792+0j)
IIIIYZYYZZZZZY (-0.0015683443538824472+0j)
IIIIXZXYZZZZZY (-0.0015683443538824472+0j)
IIIIYZYXZZZZZX (-0.0015683443538824472+0j)
IIIIXZXXZZZZZX (-0.0015683443538824472+0j)
YZZZZZYYZZZZZY (0.006152434281843615+0j)
XZZZZZXYZZZZZY (0.006152434281843615+0j)
YZZZZZYXZZZZZX (0.006152434281843615+0j)
XZZZZZXXZZZZZX (0.006152434281843615+0j)
IIIIIZIYZZZZZY (0.00031459844260117736+0j)
IIIIIZIXZZZZZX (0.00031459844260117736+0j)
IIIIYYIYZZZZZY (-0.005619967200866115+0j)
IIIIXXIYZZZZZY (-0.005619967200866115+0j)
IIIIYYIXZZZZZX (-0.005619967200866115+0j)
IIIIXXIXZZZZZX (-0.005619967200866115+0j)
IIIYZYIYZZZZZY (1.8436173330300264e-07+0j)
IIIXZXIYZZZZZY (1.8436173330300264e-07+0j)
IIIYZYIXZZZZZX (1.8436173330300264e-07+0j)
IIIXZXIXZZZZZX (1.8436173330300264e-07+0j)
YZZZZYIYZZZZZY (0.003552498226623658+0j)
XZZZZXIYZZZZZY (0.003552498226623658+0j)
YZZZZYIXZZZZZX (0.003552498226623658+0j)
XZZZZXIXZZZZZX (0.003552498226623658+0j)
IIIIZIIYZZZZZY (-0.0030922291019156983+0j)
