Jordan-Wigner mapping of C2 Hamiltonian in sto3g basis.
IIIIIIIIIIIIIIIIII (-61.68813609254261+0j)
IIIIIIIIIIIXZZZZIX (-0.003697700633154438+0j)
IIIIIIIIIIIIIIYYYY (0.038223336633539315+0j)
IIIIIIIIIIIIIIXXYY (0.03825761443074021+0j)
IIIIIIIIIIIIIIYXXY (-3.427779720090174e-05+0j)
IIIIIIIIIIIIIIXYYX (-3.427779720090174e-05+0j)
IIIIIIIIIIIIIIYYXX (0.03825761443074021+0j)
IIIIIIIIIIIIIIXXXX (0.038223336633539315+0j)
IIIIIIIIIIIYZZYIYY (-0.04774560589871446+0j)
IIIIIIIIIIIXZZXIYY (-0.04785798264167296+0j)
IIIIIIIIIIIYZZXIXY (0.00011237674295849417+0j)
IIIIIIIIIIIXZZYIYX (0.00011237674295849417+0j)
IIIIIIIIIIIYZZYIXX (-0.04785798264167296+0j)
IIIIIIIIIIIXZZXIXX (-0.04774560589871446+0j)
IIIIIIIIIIYZZYIIYY (0.05821020014163489+0j)
IIIIIIIIIIXZZXIIYY (0.05806571993746247+0j)
IIIIIIIIIIYZZXIIXY (0.00014448020417241227+0j)
IIIIIIIIIIXZZYIIYX (0.00014448020417241227+0j)
IIIIIIIIIIYZZYIIXX (0.05806571993746247+0j)
IIIIIIIIIIXZZXIIXX (0.05821020014163489+0j)
IIIIIIIIIYZZZYIIYY (-0.0028497363040579995+0j)
IIIIIIIIIXZZZXIIYY (-0.002842663136777247+0j)
IIIIIIIIIYZZZXIIXY (-7.073167280751986e-06+0j)
IIIIIIIIIXZZZYIIYX (-7.073167280751986e-06+0j)
IIIIIIIIIYZZZYIIXX (-0.002842663136777247+0j)
IIIIIIIIIXZZZXIIXX (-0.0028497363040579995+0j)
IIIIIIIIIIYZYIIIYY (0.002849736304057983+0j)
IIIIIIIIIIXZXIIIYY (0.0028426631367772315+0j)
IIIIIIIIIIYZXIIIXY (7.073167280751823e-06+0j)
IIIIIIIIIIXZYIIIYX (7.073167280751823e-06+0j)
IIIIIIIIIIYZYIIIXX (0.0028426631367772315+0j)
IIIIIIIIIIXZXIIIXX (0.002849736304057983+0j)
IIIIIIIIIYZZYIIIYY (0.0582102001416349+0j)
IIIIIIIIIXZZXIIIYY (0.058065719937462484+0j)
IIIIIIIIIYZZXIIIXY (0.00014448020417241053+0j)
IIIIIIIIIXZZYIIIYX (0.00014448020417241053+0j)
IIIIIIIIIYZZYIIIXX (0.058065719937462484+0j)
IIIIIIIIIXZZXIIIXX (0.0582102001416349+0j)
IIIIIIIYYIIIIIIIYY (0.3861298154204996+0j)
IIIIIIIXXIIIIIIIYY (0.3861298154204996+0j)
IIIIIIIYYIIIIIIIXX (0.3861298154204996+0j)
IIIIIIIXXIIIIIIIXX (0.3861298154204996+0j)
IIIIIYZZYIIIIIIIYY (-0.04170950507396814+0j)
IIIIIXZZXIIIIIIIYY (-0.04170950507396814+0j)
IIIIIYZZYIIIIIIIXX (-0.04170950507396814+0j)
IIIIIXZZXIIIIIIIXX (-0.04170950507396814+0j)
IIIIIIYYIIIIIIIIYY (-0.045809734165159405+0j)
IIIIIIXXIIIIIIIIYY (-0.045809734165159405+0j)
IIIIIIYYIIIIIIIIXX (-0.045809734165159405+0j)
IIIIIIXXIIIIIIIIXX (-0.045809734165159405+0j)
IIYZZZZYIIIIIIIIYY (0.010839291580633664+0j)
IIXZZZZXIIIIIIIIYY (0.010839291580633664+0j)
IIYZZZZYIIIIIIIIXX (0.010839291580633664+0j)
IIXZZZZXIIIIIIIIXX (0.010839291580633664+0j)
IIIIIYYIIIIIIIIIYY (0.044809105875442116+0j)
IIIIIXXIIIIIIIIIYY (0.044809105875442116+0j)
IIIIIYYIIIIIIIIIXX (0.044809105875442116+0j)
IIIIIXXIIIIIIIIIXX (0.044809105875442116+0j)
IIYZZYIIIIIIIIIIYY (-0.0507494809883227+0j)
IIXZZXIIIIIIIIIIYY (-0.0507494809883227+0j)
IIYZZYIIIIIIIIIIXX (-0.0507494809883227+0j)
IIXZZXIIIIIIIIIIXX (-0.0507494809883227+0j)
IYZZYIIIIIIIIIIIYY (0.060942366544481145+0j)
IXZZXIIIIIIIIIIIYY (0.060942366544481145+0j)
IYZZYIIIIIIIIIIIXX (0.060942366544481145+0j)
IXZZXIIIIIIIIIIIXX (0.060942366544481145+0j)
YZZZYIIIIIIIIIIIYY (-0.0029834921366779536+0j)
XZZZXIIIIIIIIIIIYY (-0.0029834921366779536+0j)
YZZZYIIIIIIIIIIIXX (-0.0029834921366779536+0j)
XZZZXIIIIIIIIIIIXX (-0.0029834921366779536+0j)
IYZYIIIIIIIIIIIIYY (0.0029834921366779367+0j)
IXZXIIIIIIIIIIIIYY (0.0029834921366779367+0j)
IYZYIIIIIIIIIIIIXX (0.0029834921366779367+0j)
IXZXIIIIIIIIIIIIXX (0.0029834921366779367+0j)
YZZYIIIIIIIIIIIIYY (0.06094236654448116+0j)
XZZXIIIIIIIIIIIIYY (0.06094236654448116+0j)
YZZYIIIIIIIIIIIIXX (0.06094236654448116+0j)
XZZXIIIIIIIIIIIIXX (0.06094236654448116+0j)
IIIIIIIIIIIYZZZIZY (-0.0037788603947393443+0j)
IIIIIIIIIIIXZZZIZX (-0.0037788603947393443+0j)
IIIIIIIIIIIIIIZYZY (0.0017337490556414178+0j)
IIIIIIIIIIIIIIZXZX (0.0017337490556414178+0j)
IIIIIIIIIIIIIZIYZY (0.0046673715642225975+0j)
IIIIIIIIIIIIIZIXZX (0.0046673715642225975+0j)
IIIIIIIIIIIIZIIYZY (0.0046673715642226036+0j)
IIIIIIIIIIIIZIIXZX (0.0046673715642226036+0j)
IIIIIIIIIIIZIIIYZY (0.005523205926757513+0j)
IIIIIIIIIIIZIIIXZX (0.005523205926757513+0j)
IIIIIIIIIIZIIIIYZY (0.004940271792629765+0j)
IIIIIIIIIIZIIIIXZX (0.004940271792629765+0j)
IIIIIIIIIZIIIIIYZY (0.0049402717926297695+0j)
IIIIIIIIIZIIIIIXZX (0.0049402717926297695+0j)
IIIIIIIIZIIIIIIYZY (0.04459551424241066+0j)
IIIIIIIIZIIIIIIXZX (0.04459551424241066+0j)
IIIIIIYZYIIIIIIYZY (0.007600225969381246+0j)
IIIIIIXZXIIIIIIYZY (0.007600225969381246+0j)
IIIIIIYZYIIIIIIXZX (0.007600225969381246+0j)
IIIIIIXZXIIIIIIXZX (0.007600225969381246+0j)
IIYZZZZZYIIIIIIYZY (-0.0011590912139308187+0j)
IIXZZZZZXIIIIIIYZY (-0.0011590912139308187+0j)
IIYZZZZZYIIIIIIXZX (-0.0011590912139308187+0j)
IIXZZZZZXIIIIIIXZX (-0.0011590912139308187+0j)
IIIIIIIZIIIIIIIYZY (0.044573421412316794+0j)
IIIIIIIZIIIIIIIXZX (0.044573421412316794+0j)
IIIIIYZYIIIIIIIYZY (0.0065514914447019+0j)
IIIIIXZXIIIIIIIYZY (0.0065514914447019+0j)
IIIIIYZYIIIIIIIXZX (0.0065514914447019+0j)
IIIIIXZXIIIIIIIXZX (0.0065514914447019+0j)
IIIIIIZIIIIIIIIYZY (0.0006785514404977044+0j)
IIIIIIZIIIIIIIIXZX (0.0006785514404977044+0j)
IIYZZZYIIIIIIIIYZY (0.001528652343817547+0j)
IIXZZZXIIIIIIIIYZY (0.001528652343817547+0j)
IIYZZZYIIIIIIIIXZX (0.001528652343817547+0j)
IIXZZZXIIIIIIIIXZX (0.001528652343817547+0j)
IIIIIZIIIIIIIIIYZY (0.002907543145240808+0j)
IIIIIZIIIIIIIIIXZX (0.002907543145240808+0j)
IIIIZIIIIIIIIIIYZY (0.0006643142655695744+0j)
IIIIZIIIIIIIIIIXZX (0.0006643142655695744+0j)
IIIZIIIIIIIIIIIYZY (0.0006643142655695791+0j)
IIIZIIIIIIIIIIIXZX (0.0006643142655695791+0j)
IIZIIIIIIIIIIIIYZY (0.0017514359313500173+0j)
IIZIIIIIIIIIIIIXZX (0.0017514359313500173+0j)
IZIIIIIIIIIIIIIYZY (0.001597803574445784+0j)
IZIIIIIIIIIIIIIXZX (0.001597803574445784+0j)
ZIIIIIIIIIIIIIIYZY (0.0015978035744457872+0j)
ZIIIIIIIIIIIIIIXZX (0.0015978035744457872+0j)
IIIIIIIIIIIYZZIZZY (0.0005668574456344414+0j)
IIIIIIIIIIIXZZIZZX (0.0005668574456344414+0j)
IIIIIIIIIIYZZYYZZY (-0.003874948439889843+0j)
IIIIIIIIIIXZZXYZZY (-0.004379657319252777+0j)
IIIIIIIIIIYZZXXZZY (0.0005047088793629336+0j)
IIIIIIIIIIXZZYYZZX (0.0005047088793629336+0j)
IIIIIIIIIIYZZYXZZX (-0.004379657319252777+0j)
IIIIIIIIIIXZZXXZZX (-0.003874948439889843+0j)
IIIIIIIIIYZZZYYZZY (0.00018970182577346623+0j)
IIIIIIIIIXZZZXYZZY (0.00021441033412769622+0j)
IIIIIIIIIYZZZXXZZY (-2.470850835422998e-05+0j)
IIIIIIIIIXZZZYYZZX (-2.470850835422998e-05+0j)
IIIIIIIIIYZZZYXZZX (0.00021441033412769622+0j)
IIIIIIIIIXZZZXXZZX (0.00018970182577346623+0j)
IIIIIIIIIIYZYIYZZY (-0.0001897018257734644+0j)
IIIIIIIIIIXZXIYZZY (-0.00021441033412769424+0j)
IIIIIIIIIIYZXIXZZY (2.4708508354229847e-05+0j)
IIIIIIIIIIXZYIYZZX (2.4708508354229847e-05+0j)
IIIIIIIIIIYZYIXZZX (-0.00021441033412769424+0j)
IIIIIIIIIIXZXIXZZX (-0.0001897018257734644+0j)
IIIIIIIIIYZZYIYZZY (-0.003874948439889847+0j)
IIIIIIIIIXZZXIYZZY (-0.004379657319252782+0j)
IIIIIIIIIYZZXIXZZY (0.0005047088793629344+0j)
IIIIIIIIIXZZYIYZZX (0.0005047088793629344+0j)
IIIIIIIIIYZZYIXZZX (-0.004379657319252782+0j)
IIIIIIIIIXZZXIXZZX (-0.003874948439889847+0j)
IIIIIIIYYIIIIIYZZY (-0.04170950507396814+0j)
IIIIIIIXXIIIIIYZZY (-0.04170950507396814+0j)
IIIIIIIYYIIIIIXZZX (-0.04170950507396814+0j)
IIIIIIIXXIIIIIXZZX (-0.04170950507396814+0j)
IIIIIYZZYIIIIIYZZY (0.006931241240484625+0j)
IIIIIXZZXIIIIIYZZY (0.006931241240484625+0j)
IIIIIYZZYIIIIIXZZX (0.006931241240484625+0j)
IIIIIXZZXIIIIIXZZX (0.006931241240484625+0j)
IIIIIIYYIIIIIIYZZY (0.0065857692419028025+0j)
IIIIIIXXIIIIIIYZZY (0.0065857692419028025+0j)
IIIIIIYYIIIIIIXZZX (0.0065857692419028025+0j)
IIIIIIXXIIIIIIXZZX (0.0065857692419028025+0j)
IIYZZZZYIIIIIIYZZY (-0.002891498346649742+0j)
IIXZZZZXIIIIIIYZZY (-0.002891498346649742+0j)
IIYZZZZYIIIIIIXZZX (-0.002891498346649742+0j)
IIXZZZZXIIIIIIXZZX (-0.002891498346649742+0j)
IIIIIYYIIIIIIIYZZY (-0.0011737940895993901+0j)
IIIIIXXIIIIIIIYZZY (-0.0011737940895993901+0j)
IIIIIYYIIIIIIIXZZX (-0.0011737940895993901+0j)
IIIIIXXIIIIIIIXZZX (-0.0011737940895993901+0j)
IIYZZYIIIIIIIIYZZY (-0.0006110374730380234+0j)
IIXZZXIIIIIIIIYZZY (-0.0006110374730380234+0j)
IIYZZYIIIIIIIIXZZX (-0.0006110374730380234+0j)
IIXZZXIIIIIIIIXZZX (-0.0006110374730380234+0j)
IYZZYIIIIIIIIIYZZY (-0.0006934736257900553+0j)
IXZZXIIIIIIIIIYZZY (-0.0006934736257900553+0j)
IYZZYIIIIIIIIIXZZX (-0.0006934736257900553+0j)
IXZZXIIIIIIIIIXZZX (-0.0006934736257900553+0j)
YZZZYIIIIIIIIIYZZY (3.394966797077203e-05+0j)
XZZZXIIIIIIIIIYZZY (3.394966797077203e-05+0j)
YZZZYIIIIIIIIIXZZX (3.394966797077203e-05+0j)
XZZZXIIIIIIIIIXZZX (3.394966797077203e-05+0j)
IYZYIIIIIIIIIIYZZY (-3.394966797077089e-05+0j)
IXZXIIIIIIIIIIYZZY (-3.394966797077089e-05+0j)
IYZYIIIIIIIIIIXZZX (-3.394966797077089e-05+0j)
IXZXIIIIIIIIIIXZZX (-3.394966797077089e-05+0j)
YZZYIIIIIIIIIIYZZY (-0.0006934736257900593+0j)
XZZXIIIIIIIIIIYZZY (-0.0006934736257900593+0j)
YZZYIIIIIIIIIIXZZX (-0.0006934736257900593+0j)
XZZXIIIIIIIIIIXZZX (-0.0006934736257900593+0j)
IIIIIIIIIIIYZIZZZY (-0.002829988029188357+0j)
IIIIIIIIIIIXZIZZZX (-0.002829988029188357+0j)
IIIIYZZZYIIIIYZZZY (0.0023839259921840613+0j)
IIIIXZZZXIIIIYZZZY (0.0023839259921840613+0j)
IIIIYZZZYIIIIXZZZX (0.0023839259921840613+0j)
IIIIXZZZXIIIIXZZZX (0.0023839259921840613+0j)
IYZZZZZYIIIIIYZZZY (0.0028766466070186715+0j)
IXZZZZZXIIIIIYZZZY (0.0028766466070186715+0j)
IYZZZZZYIIIIIXZZZX (0.0028766466070186715+0j)
IXZZZZZXIIIIIXZZZX (0.0028766466070186715+0j)
YZZZZZZYIIIIIYZZZY (-0.0001408289999007058+0j)
XZZZZZZXIIIIIYZZZY (-0.0001408289999007058+0j)
YZZZZZZYIIIIIXZZZX (-0.0001408289999007058+0j)
XZZZZZZXIIIIIXZZZX (-0.0001408289999007058+0j)
IIIIYZYIIIIIIYZZZY (0.004003057298653022+0j)
IIIIXZXIIIIIIYZZZY (0.004003057298653022+0j)
IIIIYZYIIIIIIXZZZX (0.004003057298653022+0j)
IIIIXZXIIIIIIXZZZX (0.004003057298653022+0j)
IYZZZYIIIIIIIYZZZY (0.003686183693462721+0j)
IXZZZXIIIIIIIYZZZY (0.003686183693462721+0j)
IYZZZYIIIIIIIXZZZX (0.003686183693462721+0j)
IXZZZXIIIIIIIXZZZX (0.003686183693462721+0j)
YZZZZYIIIIIIIYZZZY (-0.00018046066615692426+0j)
XZZZZXIIIIIIIYZZZY (-0.00018046066615692426+0j)
YZZZZYIIIIIIIXZZZX (-0.00018046066615692426+0j)
XZZZZXIIIIIIIXZZZX (-0.00018046066615692426+0j)
IIYZYIIIIIIIIYZZZY (-0.0007058942480013083+0j)
IIXZXIIIIIIIIYZZZY (-0.0007058942480013083+0j)
IIYZYIIIIIIIIXZZZX (-0.0007058942480013083+0j)
IIXZXIIIIIIIIXZZZX (-0.0007058942480013083+0j)
IIIIIIIIIIIYIZZZZY (-0.002829988029188358+0j)
IIIIIIIIIIIXIZZZZX (-0.002829988029188358+0j)
IIIYZZZZYIIIYZZZZY (0.002383925992184062+0j)
IIIXZZZZXIIIYZZZZY (0.002383925992184062+0j)
IIIYZZZZYIIIXZZZZX (0.002383925992184062+0j)
IIIXZZZZXIIIXZZZZX (0.002383925992184062+0j)
IYZZZZZYIIIIYZZZZY (0.0001408289999007052+0j)
IXZZZZZXIIIIYZZZZY (0.0001408289999007052+0j)
IYZZZZZYIIIIXZZZZX (0.0001408289999007052+0j)
IXZZZZZXIIIIXZZZZX (0.0001408289999007052+0j)
YZZZZZZYIIIIYZZZZY (0.002876646607018671+0j)
XZZZZZZXIIIIYZZZZY (0.002876646607018671+0j)
YZZZZZZYIIIIXZZZZX (0.002876646607018671+0j)
XZZZZZZXIIIIXZZZZX (0.002876646607018671+0j)
IIIYZZYIIIIIYZZZZY (0.004003057298653024+0j)
IIIXZZXIIIIIYZZZZY (0.004003057298653024+0j)
IIIYZZYIIIIIXZZZZX (0.004003057298653024+0j)
IIIXZZXIIIIIXZZZZX (0.004003057298653024+0j)
IYZZZYIIIIIIYZZZZY (0.0001804606661569234+0j)
IXZZZXIIIIIIYZZZZY (0.0001804606661569234+0j)
IYZZZYIIIIIIXZZZZX (0.0001804606661569234+0j)
IXZZZXIIIIIIXZZZZX (0.0001804606661569234+0j)
YZZZZYIIIIIIYZZZZY (0.003686183693462723+0j)
XZZZZXIIIIIIYZZZZY (0.003686183693462723+0j)
YZZZZYIIIIIIXZZZZX (0.003686183693462723+0j)
XZZZZXIIIIIIXZZZZX (0.003686183693462723+0j)
IIYYIIIIIIIIYZZZZY (-0.0007058942480013084+0j)
IIXXIIIIIIIIYZZZZY (-0.0007058942480013084+0j)
IIYYIIIIIIIIXZZZZX (-0.0007058942480013084+0j)
IIXXIIIIIIIIXZZZZX (-0.0007058942480013084+0j)
IIIIIIIIIIZYZZZZZY (-0.0028452615066167824+0j)
IIIIIIIIIIZXZZZZZX (-0.0028452615066167824+0j)
IIIIIIIIIZIYZZZZZY (-0.002845261506616783+0j)
IIIIIIIIIZIXZZZZZX (-0.002845261506616783+0j)
IIIIIIIIZIIYZZZZZY (-0.014516632710289589+0j)
IIIIIIIIZIIXZZZZZX (-0.014516632710289589+0j)
IIIIIIYZYIIYZZZZZY (-0.0011590912139308187+0j)
IIIIIIXZXIIYZZZZZY (-0.0011590912139308187+0j)
IIIIIIYZYIIXZZZZZX (-0.0011590912139308187+0j)
IIIIIIXZXIIXZZZZZX (-0.0011590912139308187+0j)
IIYZZZZZYIIYZZZZZY (0.0031961070329269985+0j)
IIXZZZZZXIIYZZZZZY (0.0031961070329269985+0j)
IIYZZZZZYIIXZZZZZX (0.0031961070329269985+0j)
IIXZZZZZXIIXZZZZZX (0.0031961070329269985+0j)
IIIIIIIZIIIYZZZZZY (-0.0145369922137881+0j)
IIIIIIIZIIIXZZZZZX (-0.0145369922137881+0j)
IIIIIYZYIIIYZZZZZY (-0.0030038750896082367+0j)
IIIIIXZXIIIYZZZZZY (-0.0030038750896082367+0j)
IIIIIYZYIIIXZZZZZX (-0.0030038750896082367+0j)
IIIIIXZXIIIXZZZZZX (-0.0030038750896082367+0j)
IIIIIIZIIIIYZZZZZY (-0.005307512738556891+0j)
IIIIIIZIIIIXZZZZZX (-0.005307512738556891+0j)
IIYZZZYIIIIYZZZZZY (0.003771769995407497+0j)
IIXZZZXIIIIYZZZZZY (0.003771769995407497+0j)
IIYZZZYIIIIXZZZZZX (0.003771769995407497+0j)
IIXZZZXIIIIXZZZZZX (0.003771769995407497+0j)
IIIIIZIIIIIYZZZZZY (0.0011778949186724648+0j)
IIIIIZIIIIIXZZZZZX (0.0011778949186724648+0j)
IIIIZIIIIIIYZZZZZY (-0.0021240937811870487+0j)
IIIIZIIIIIIXZZZZZX (-0.0021240937811870487+0j)
IIIZIIIIIIIYZZZZZY (-0.0021240937811870496+0j)
IIIZIIIIIIIXZZZZZX (-0.0021240937811870496+0j)
IIZIIIIIIIIYZZZZZY (8.510377213342578e-06+0j)
IIZIIIIIIIIXZZZZZX (8.510377213342578e-06+0j)
IZIIIIIIIIIYZZZZZY (-0.001192741713559902+0j)
IZIIIIIIIIIXZZZZZX (-0.001192741713559902+0j)
ZIIIIIIIIIIYZZZZZY (-0.0011927417135599013+0j)
ZIIIIIIIIIIXZZZZZX (-0.0011927417135599013+0j)
IYZZZZZZYIYZZZZZZY (0.0033250038948528836+0j)
IXZZZZZZXIYZZZZZZY (0.0033250038948528836+0j)
IYZZZZZZYIXZZZZZZX (0.0033250038948528836+0j)
IXZZZZZZXIXZZZZZZX (0.0033250038948528836+0j)
IIIIYZZYIIYZZZZZZY (0.0027321664028462592+0j)
IIIIXZZXIIYZZZZZZY (0.0027321664028462592+0j)
IIIIYZZYIIXZZZZZZX (0.0027321664028462592+0j)
IIIIXZZXIIXZZZZZZX (0.0027321664028462592+0j)
IIIYZZZYIIYZZZZZZY (0.00013375583261995337+0j)
IIIXZZZXIIYZZZZZZY (0.00013375583261995337+0j)
IIIYZZZYIIXZZZZZZX (0.00013375583261995337+0j)
IIIXZZZXIIXZZZZZZX (0.00013375583261995337+0j)
IYZZZZYIIIYZZZZZZY (0.00334246821818398+0j)
IXZZZZXIIIYZZZZZZY (0.00334246821818398+0j)
IYZZZZYIIIXZZZZZZX (0.00334246821818398+0j)
IXZZZZXIIIXZZZZZZX (0.00334246821818398+0j)
IIIIYYIIIIYZZZZZZY (0.0031814748140997877+0j)
IIIIXXIIIIYZZZZZZY (0.0031814748140997877+0j)
IIIIYYIIIIXZZZZZZX (0.0031814748140997877+0j)
IIIIXXIIIIXZZZZZZX (0.0031814748140997877+0j)
IIIYZYIIIIYZZZZZZY (0.00015575215780269354+0j)
IIIXZXIIIIYZZZZZZY (0.00015575215780269354+0j)
IIIYZYIIIIXZZZZZZX (0.00015575215780269354+0j)
IIIXZXIIIIXZZZZZZX (0.00015575215780269354+0j)
IYYIIIIIIIYZZZZZZY (-0.0016525197930568807+0j)
IXXIIIIIIIYZZZZZZY (-0.0016525197930568807+0j)
IYYIIIIIIIXZZZZZZX (-0.0016525197930568807+0j)
IXXIIIIIIIXZZZZZZX (-0.0016525197930568807+0j)
YZZZZZZZYYZZZZZZZY (0.0033250038948528836+0j)
XZZZZZZZXYZZZZZZZY (0.0033250038948528836+0j)
YZZZZZZZYXZZZZZZZX (0.0033250038948528836+0j)
XZZZZZZZXXZZZZZZZX (0.0033250038948528836+0j)
IIIIYZZYIYZZZZZZZY (-0.0001337558326199538+0j)
IIIIXZZXIYZZZZZZZY (-0.0001337558326199538+0j)
IIIIYZZYIXZZZZZZZX (-0.0001337558326199538+0j)
IIIIXZZXIXZZZZZZZX (-0.0001337558326199538+0j)
IIIYZZZYIYZZZZZZZY (0.00273216640284626+0j)
IIIXZZZXIYZZZZZZZY (0.00273216640284626+0j)
IIIYZZZYIXZZZZZZZX (0.00273216640284626+0j)
IIIXZZZXIXZZZZZZZX (0.00273216640284626+0j)
YZZZZZYIIYZZZZZZZY (0.003342468218183982+0j)
XZZZZZXIIYZZZZZZZY (0.003342468218183982+0j)
YZZZZZYIIXZZZZZZZX (0.003342468218183982+0j)
XZZZZZXIIXZZZZZZZX (0.003342468218183982+0j)
IIIIYYIIIYZZZZZZZY (-0.00015575215780269427+0j)
IIIIXXIIIYZZZZZZZY (-0.00015575215780269427+0j)
IIIIYYIIIXZZZZZZZX (-0.00015575215780269427+0j)
IIIIXXIIIXZZZZZZZX (-0.00015575215780269427+0j)
IIIYZYIIIYZZZZZZZY (0.003181474814099788+0j)
IIIXZXIIIYZZZZZZZY (0.003181474814099788+0j)
IIIYZYIIIXZZZZZZZX (0.003181474814099788+0j)
IIIXZXIIIXZZZZZZZX (0.003181474814099788+0j)
YZYIIIIIIYZZZZZZZY (-0.0016525197930568817+0j)
XZXIIIIIIYZZZZZZZY (-0.0016525197930568817+0j)
YZYIIIIIIXZZZZZZZX (-0.0016525197930568817+0j)
XZXIIIIIIXZZZZZZZX (-0.0016525197930568817+0j)
IIIIIIIIIIIIIIIZZI (0.16139357723513922+0j)
IIIIIIIIIIIYZZZYZI (-0.017313723583356075+0j)
IIIIIIIIIIIXZZZXZI (-0.017313723583356075+0j)
IIIIIIIIIIIIIIZIZI (0.13998965662073307+0j)
IIIIIIIIIIIIIZIIZI (0.14887799830660978+0j)
IIIIIIIIIIIIZIIIZI (0.14887799830660986+0j)
IIIIIIIIIIIZIIIIZI (0.151145558658165+0j)
IIIIIIIIIIZIIIIIZI (0.15629507022563355+0j)
IIIIIIIIIZIIIIIIZI (0.1562950702256336+0j)
IIIIIIIIZIIIIIIIZI (0.49092072115361296+0j)
