Bravyi-Kitaev mapping of C2 Hamiltonian in sto3g basis.
IIIIIIIIIIIIIIIIIIII (-62.50754225107464+0j)
IIIIIIIIXIYIYIIIXZZZ (0.007781341581739614+0j)
IIIIIIIIXIXZYIIIYIIZ (-0.007781341581739614+0j)
IIIIIIIIIIIIIIIZIIIZ (0.1487351921805507+0j)
IIIIIIIIIIIIIIZZIIIZ (0.1487351921805508+0j)
IIIIIIIIIIIIIZIIIIIZ (0.1508837040692105+0j)
IIIIIIIIIIIIZZZIZIIZ (0.15644905498389758+0j)
IIIIIIIIIIIZIIIIIIIZ (0.1564490549838976+0j)
IIIIIIIIIIZZIIIIIIIZ (0.18785629384453414+0j)
IIIIIIIIIZIIIIIIIIIZ (0.49098064359239507+0j)
IIIIIIXYYXZIIIIIIIIZ (0.04459551424241061+0j)
IIIIIIXXYYZIIIIIIIIZ (-0.04459551424241061+0j)
XIXYYIIIXXZIZIIIIIIZ (-0.014516632710289565+0j)
XIXXYIIIXYZIZIIIIIIZ (0.014516632710289565+0j)
IIIIIIIIZZZIIIIIIIIZ (0.49092072115361257+0j)
IIIIIIYIYZZIIIIIIIIZ (0.04335933905766105+0j)
IIIIIIXZXIIIIIIIIIIZ (0.04335933905766105+0j)
YIIIYIIIXZZIZIIIIIIZ (-0.028486041893160265+0j)
XZZIYIIIYIIIZIIIIIIZ (0.028486041893160265+0j)
IIIIIIIZIIIIIIIIIIIZ (0.1689371485377082+0j)
XIXYYIXXZIIIZIIIIIIZ (-0.016045276569507414+0j)
XIXXYIXYZIIIZIIIIIIZ (0.016045276569507414+0j)
IIIIIIZZIIIIIIIIIIIZ (0.1469824613030027+0j)
YIIIYIXZZIIIZIIIIIIZ (0.01125023104138262+0j)
XZZIYIYIZIIIZIIIIIIZ (-0.01125023104138262+0j)
IIIIIZIIIIIIIIIIIIIZ (0.15111911817273477+0j)
IIIIZZZIZIIIZIIIIIIZ (0.15111911817273488+0j)
IIIZIIIIIIIIIIIIIIIZ (0.1540798111021375+0j)
IIZZIIIIIIIIIIIIIIIZ (0.15977405887875046+0j)
IZIIIIIIIIIIIIIIIIIZ (0.15977405887875049+0j)
ZZZIIIIIIIIIIIIIIIIZ (0.19621494634800263+0j)
IIIIIIIIIIIIIIIIIYXY (-0.0012363127528425902+0j)
IIIIIIIIIIIIIIIIIXXX (-0.0012363127528425902+0j)
IIIIIIIIIIIIIYZIYIYY (0.003697700633154395+0j)
IIIIIIIIIIIIIXZIYIYX (0.003697700633154395+0j)
IIIIIIIIIIIIIIIIZXIX (0.03822333663353918+0j)
IIIIIIIIIIIIIIIIIXZX (-0.03825761443074009+0j)
IIIIIIIIIIIIIIIIZYZY (-3.427779720090521e-05+0j)
IIIIIIIIIIIIIIIIIYZY (-3.427779720090521e-05+0j)
IIIIIIIIIIIIIIIIZXZX (-0.03825761443074009+0j)
IIIIIIIIIIIIIIIIIXIX (0.03822333663353918+0j)
IIIIIIIIXIYIYIIIXXIX (0.03821121476497055+0j)
IIIIIIIIXIXZYIIIXYIX (-0.03812819582800728+0j)
IIIIIIIIXIYIYIIIXYZY (8.301893696327414e-05+0j)
IIIIIIIIXIXZYIIIXXIY (-8.301893696327414e-05+0j)
IIIIIIIIXIYIYIIIXXZX (-0.03812819582800728+0j)
IIIIIIIIXIXZYIIIXYZX (0.03821121476497055+0j)
IIIIIIIIIIIIIYZIYZIX (0.04774560589871454+0j)
IIIIIIIIIIIIIXZIXIZX (0.047857982641673034+0j)
IIIIIIIIIIIIIYZIXIIY (0.00011237674295849331+0j)
IIIIIIIIIIIIIXZIYZIY (0.00011237674295849331+0j)
IIIIIIIIIIIIIYZIYZZX (-0.047857982641673034+0j)
IIIIIIIIIIIIIXZIXIIX (-0.04774560589871454+0j)
IIIIIIIIIIIIZIXXZIZX (0.05821533151801084+0j)
IIIIIIIIIIIIIZYYIIZX (0.058070838577543+0j)
IIIIIIIIIIIIZIXYZIIY (0.00014449294046784897+0j)
IIIIIIIIIIIIIZYXIIZY (0.00014449294046784897+0j)
IIIIIIIIIIIIZIXXZIIX (-0.058070838577543+0j)
IIIIIIIIIIIIIZYYIIIX (-0.05821533151801084+0j)
IIIIIIIIXIXYYIXXZIZX (0.0027429133744877807+0j)
IIIIIIIIXIXXYIXYZIZX (-0.002736105346282947+0j)
IIIIIIIIXIXYYIXYZIIY (6.808028204833129e-06+0j)
IIIIIIIIXIXXYIXXZIZY (-6.808028204833129e-06+0j)
IIIIIIIIXIXYYIXXZIIX (-0.002736105346282947+0j)
IIIIIIIIXIXXYIXYZIIX (0.0027429133744877807+0j)
IIIIIIIIIIIIZIXZZIZX (0.0027429133744877633+0j)
IIIIIIIIIIIIIZXIIIZX (-0.0027361053462829307+0j)
IIIIIIIIIIIIZIYIZIIY (6.808028204833075e-06+0j)
IIIIIIIIIIIIIZYZIIZY (6.808028204833075e-06+0j)
IIIIIIIIIIIIZIXZZIIX (-0.0027361053462829307+0j)
IIIIIIIIIIIIIZXIIIIX (0.0027429133744877633+0j)
IIIIIIIIXIXYYIXZZIZX (-0.058215331518010865+0j)
IIIIIIIIXIXXYIYIZIZX (0.05807083857754301+0j)
IIIIIIIIXIXYYIYIZIIY (-0.00014449294046784897+0j)
IIIIIIIIXIXXYIXZZIZY (0.00014449294046784897+0j)
IIIIIIIIXIXYYIXZZIIX (0.05807083857754301+0j)
IIIIIIIIXIXXYIYIZIIX (-0.058215331518010865+0j)
IIIIIIIIXIYIYXZIZIZX (0.04642895806229955+0j)
IIIIIIIIXIXZYYZIZIZX (-0.046141574948298715+0j)
IIIIIIIIXIYIYYZIZIIY (0.00028738311400083264+0j)
IIIIIIIIXIXZYXZIZIZY (-0.00028738311400083264+0j)
IIIIIIIIXIYIYXZIZIIX (-0.046141574948298715+0j)
IIIIIIIIXIXZYYZIZIIX (0.04642895806229955+0j)
IIIIIIIIZXZIIIIIIIZX (0.3861298154204992+0j)
IIIIIIIIIXIIIIIIIIZX (-0.3861298154204992+0j)
IIIIIIIIZXZIIIIIIIIX (-0.3861298154204992+0j)
IIIIIIIIIXIIIIIIIIIX (0.3861298154204992+0j)
IIIIIIYIYXZIIIIIIIZX (0.041709505073968096+0j)
IIIIIIXZYYZIIIIIIIZX (-0.041709505073968096+0j)
IIIIIIYIYXZIIIIIIIIX (-0.041709505073968096+0j)
IIIIIIXZYYZIIIIIIIIX (0.041709505073968096+0j)
YIIIYIIIXXZIZIIIIIZX (-0.032733838412762846+0j)
XZZIYIIIXYZIZIIIIIZX (0.032733838412762846+0j)
YIIIYIIIXXZIZIIIIIIX (0.032733838412762846+0j)
XZZIYIIIXYZIZIIIIIIX (-0.032733838412762846+0j)
IIIIIIXYYZZIIIIIIIZX (0.04580973416515933+0j)
IIIIIIXXXIIIIIIIIIZX (0.04580973416515933+0j)
IIIIIIXYYZZIIIIIIIIX (-0.04580973416515933+0j)
IIIIIIXXXIIIIIIIIIIX (-0.04580973416515933+0j)
XIXYYIIIXZZIZIIIIIZX (-0.010839291580633688+0j)
XIXXYIIIYIIIZIIIIIZX (0.010839291580633688+0j)
XIXYYIIIXZZIZIIIIIIX (0.010839291580633688+0j)
XIXXYIIIYIIIZIIIIIIX (-0.010839291580633688+0j)
IIIIIIZXIIIIIIIIIIZX (0.04480910587544197+0j)
IIIIIIIXIIIIIIIIIIZX (-0.04480910587544197+0j)
IIIIIIZXIIIIIIIIIIIX (-0.04480910587544197+0j)
IIIIIIIXIIIIIIIIIIIX (0.04480910587544197+0j)
YIIIYIXXZIIIZIIIIIZX (0.044427451806609834+0j)
XZZIYIXYZIIIZIIIIIZX (-0.044427451806609834+0j)
YIIIYIXXZIIIZIIIIIIX (-0.044427451806609834+0j)
XZZIYIXYZIIIZIIIIIIX (0.044427451806609834+0j)
XIXYYIXZZIIIZIIIIIZX (0.050749480988322784+0j)
XIXXYIYIZIIIZIIIIIZX (-0.050749480988322784+0j)
XIXYYIXZZIIIZIIIIIIX (-0.050749480988322784+0j)
XIXXYIYIZIIIZIIIIIIX (0.050749480988322784+0j)
XIYIYXZIZIIIZIIIIIZX (-0.0609477387682361+0j)
XIXZYYZIZIIIZIIIIIZX (0.0609477387682361+0j)
XIYIYXZIZIIIZIIIIIIX (0.0609477387682361+0j)
XIXZYYZIZIIIZIIIIIIX (-0.0609477387682361+0j)
XYZIYXZIZIIIZIIIIIZX (0.002871655343239972+0j)
XXZIYYZIZIIIZIIIIIZX (-0.002871655343239972+0j)
XYZIYXZIZIIIZIIIIIIX (-0.002871655343239972+0j)
XXZIYYZIZIIIZIIIIIIX (0.002871655343239972+0j)
XIYIYZZIZIIIZIIIIIZX (-0.002871655343239954+0j)
XIXZXIIIIIIIIIIIIIZX (-0.002871655343239954+0j)
XIYIYZZIZIIIZIIIIIIX (0.002871655343239954+0j)
XIXZXIIIIIIIIIIIIIIX (0.002871655343239954+0j)
XYZIYZZIZIIIZIIIIIZX (-0.06094773876823612+0j)
XXZIXIIIIIIIIIIIIIZX (-0.06094773876823612+0j)
XYZIYZZIZIIIZIIIIIIX (0.06094773876823612+0j)
XXZIXIIIIIIIIIIIIIIX (0.06094773876823612+0j)
ZIXXIIIIIIIIIIIIIIZX (-0.048344394867002864+0j)
IZYYIIIIIIIIIIIIIIZX (-0.048344394867002864+0j)
ZIXXIIIIIIIIIIIIIIIX (0.048344394867002864+0j)
IZYYIIIIIIIIIIIIIIIX (0.048344394867002864+0j)
IIIIIIIIIIIIIYZIYZXX (-0.003778860394739322+0j)
IIIIIIIIIIIIIXZIYZXY (0.003778860394739322+0j)
IIIIIIIIIIIIIIIIZXXX (-0.0017337490556414321+0j)
IIIIIIIIIIIIIIIIZYXY (-0.0017337490556414321+0j)
IIIIIIIIXIYIYIIIXXXX (0.0028910446020460534+0j)
IIIIIIIIXIXZYIIIYYYX (0.0029540432155324824+0j)
IIIIIIIIXIYIYIIIYXYX (-6.29986134864295e-05+0j)
IIIIIIIIXIXZYIIIXXXY (6.29986134864295e-05+0j)
IIIIIIIIXIYIYIIIXYXY (0.0029540432155324824+0j)
IIIIIIIIXIXZYIIIYXYY (-0.0028910446020460534+0j)
IIIIIIIIIIIIIIIZIYYX (0.004667371564222612+0j)
IIIIIIIIIIIIIIIZIXYY (-0.004667371564222612+0j)
IIIIIIIIIIIIIIZZIYYX (0.0046673715642226166+0j)
IIIIIIIIIIIIIIZZIXYY (-0.0046673715642226166+0j)
IIIIIIIIIIIIIZIIIYYX (0.0055232059267575325+0j)
IIIIIIIIIIIIIZIIIXYY (-0.0055232059267575325+0j)
IIIIIIIIIIIIZZZIZYYX (0.004940271792629761+0j)
IIIIIIIIIIIIZZZIZXYY (-0.004940271792629761+0j)
IIIIIIIIIIIZIIIIIYYX (0.004940271792629764+0j)
IIIIIIIIIIIZIIIIIXYY (-0.004940271792629764+0j)
IIIIIIIIIIZZIIIIIYYX (0.0036398443340728125+0j)
IIIIIIIIIIZZIIIIIXYY (-0.0036398443340728125+0j)
IIIIIIIIIZIIIIIIIYYX (0.04459551424241061+0j)
IIIIIIIIIZIIIIIIIXYY (-0.04459551424241061+0j)
IIIIIIXYYXZIIIIIIYYX (0.007600225969381231+0j)
IIIIIIXXYYZIIIIIIYYX (-0.007600225969381231+0j)
IIIIIIXYYXZIIIIIIXYY (-0.007600225969381231+0j)
IIIIIIXXYYZIIIIIIXYY (0.007600225969381231+0j)
XIXYYIIIXXZIZIIIIYYX (-0.0011590912139308213+0j)
XIXXYIIIXYZIZIIIIYYX (0.0011590912139308213+0j)
XIXYYIIIXXZIZIIIIXYY (0.0011590912139308213+0j)
XIXXYIIIXYZIZIIIIXYY (-0.0011590912139308213+0j)
IIIIIIIIZZZIIIIIIYYX (0.04457342141231674+0j)
IIIIIIIIZZZIIIIIIXYY (-0.04457342141231674+0j)
IIIIIIYIYZZIIIIIIYYX (0.006551491444701887+0j)
IIIIIIXZXIIIIIIIIYYX (0.006551491444701887+0j)
IIIIIIYIYZZIIIIIIXYY (-0.006551491444701887+0j)
IIIIIIXZXIIIIIIIIXYY (-0.006551491444701887+0j)
YIIIYIIIXZZIZIIIIYYX (-0.006299255978602556+0j)
XZZIYIIIYIIIZIIIIYYX (0.006299255978602556+0j)
YIIIYIIIXZZIZIIIIXYY (0.006299255978602556+0j)
XZZIYIIIYIIIZIIIIXYY (-0.006299255978602556+0j)
IIIIIIIZIIIIIIIIIYYX (0.0006785514404977071+0j)
IIIIIIIZIIIIIIIIIXYY (-0.0006785514404977071+0j)
XIXYYIXXZIIIZIIIIYYX (0.0015286523438175431+0j)
XIXXYIXYZIIIZIIIIYYX (-0.0015286523438175431+0j)
XIXYYIXXZIIIZIIIIXYY (-0.0015286523438175431+0j)
XIXXYIXYZIIIZIIIIXYY (0.0015286523438175431+0j)
IIIIIIZZIIIIIIIIIYYX (0.002907543145240818+0j)
IIIIIIZZIIIIIIIIIXYY (-0.002907543145240818+0j)
YIIIYIXZZIIIZIIIIYYX (-0.0002822748620538631+0j)
XZZIYIYIZIIIZIIIIYYX (0.0002822748620538631+0j)
YIIIYIXZZIIIZIIIIXYY (0.0002822748620538631+0j)
XZZIYIYIZIIIZIIIIXYY (-0.0002822748620538631+0j)
IIIIIZIIIIIIIIIIIYYX (0.0006643142655695935+0j)
IIIIIZIIIIIIIIIIIXYY (-0.0006643142655695935+0j)
IIIIZZZIZIIIZIIIIYYX (0.0006643142655695938+0j)
IIIIZZZIZIIIZIIIIXYY (-0.0006643142655695938+0j)
IIIZIIIIIIIIIIIIIYYX (0.0017514359313500476+0j)
IIIZIIIIIIIIIIIIIXYY (-0.0017514359313500476+0j)
IIZZIIIIIIIIIIIIIYYX (0.001597803574445786+0j)
IIZZIIIIIIIIIIIIIXYY (-0.001597803574445786+0j)
IZIIIIIIIIIIIIIIIYYX (0.0015978035744457894+0j)
IZIIIIIIIIIIIIIIIXYY (-0.0015978035744457894+0j)
ZZZIIIIIIIIIIIIIIYYX (0.0020480307649437548+0j)
ZZZIIIIIIIIIIIIIIXYY (-0.0020480307649437548+0j)
IIIIIIIIIIIIIYZIXZYX (0.000566857445634476+0j)
IIIIIIIIIIIIIXZIXZYY (-0.000566857445634476+0j)
IIIIIIIIIIIIZIXXIIXX (-0.0038752900263958846+0j)
IIIIIIIIIIIIIZYYZIXX (-0.004380043397123114+0j)
IIIIIIIIIIIIZIXYZZYX (0.0005047533707272291+0j)
IIIIIIIIIIIIIZYXZIXY (0.0005047533707272291+0j)
IIIIIIIIIIIIZIXXZZYY (-0.004380043397123114+0j)
IIIIIIIIIIIIIZYYIZYY (-0.0038752900263958846+0j)
IIIIIIIIXIXYYIXXIIXX (-0.0001825908152757279+0j)
IIIIIIIIXIXXYIXYIIXX (0.0002063731203023198+0j)
IIIIIIIIXIXYYIXYZZYX (2.3782305026591977e-05+0j)
IIIIIIIIXIXXYIXXIIXY (-2.3782305026591977e-05+0j)
IIIIIIIIXIXYYIXXZZYY (-0.0002063731203023198+0j)
IIIIIIIIXIXXYIXYZZYY (0.0001825908152757279+0j)
IIIIIIIIIIIIZIXZIIXX (-0.00018259081527572686+0j)
IIIIIIIIIIIIIZXIZIXX (0.00020637312030231874+0j)
IIIIIIIIIIIIZIYIZZYX (2.378230502659184e-05+0j)
IIIIIIIIIIIIIZYZZIXY (2.378230502659184e-05+0j)
IIIIIIIIIIIIZIXZZZYY (-0.00020637312030231874+0j)
IIIIIIIIIIIIIZXIIZYY (0.00018259081527572686+0j)
IIIIIIIIXIXYYIXZIIXX (0.0038752900263958863+0j)
IIIIIIIIXIXXYIYIIIXX (-0.004380043397123116+0j)
IIIIIIIIXIXYYIYIZZYX (-0.00050475337072723+0j)
IIIIIIIIXIXXYIXZIIXY (0.00050475337072723+0j)
IIIIIIIIXIXYYIXZZZYY (0.004380043397123116+0j)
IIIIIIIIXIXXYIYIZZYY (-0.0038752900263958863+0j)
IIIIIIIIXIYIYXZIIIXX (-0.006571931508158145+0j)
IIIIIIIIXIXZYYZIIIXX (0.0037090082974385666+0j)
IIIIIIIIXIYIYYZIZZYX (-0.00286292321071958+0j)
IIIIIIIIXIXZYXZIIIXY (0.00286292321071958+0j)
IIIIIIIIXIYIYXZIZZYY (-0.0037090082974385666+0j)
IIIIIIIIXIXZYYZIZZYY (0.006571931508158145+0j)
IIIIIIIIZXZIIIIIZIXX (-0.041709505073968096+0j)
IIIIIIIIIXIIIIIIZIXX (0.041709505073968096+0j)
IIIIIIIIZXZIIIIIIZYY (-0.041709505073968096+0j)
IIIIIIIIIXIIIIIIIZYY (0.041709505073968096+0j)
IIIIIIYIYXZIIIIIZIXX (-0.006931241240484622+0j)
IIIIIIXZYYZIIIIIZIXX (0.006931241240484622+0j)
IIIIIIYIYXZIIIIIIZYY (-0.006931241240484622+0j)
IIIIIIXZYYZIIIIIIZYY (0.006931241240484622+0j)
YIIIYIIIXXZIZIIIZIXX (0.0034688894596430074+0j)
XZZIYIIIXYZIZIIIZIXX (-0.0034688894596430074+0j)
YIIIYIIIXXZIZIIIIZYY (0.0034688894596430074+0j)
XZZIYIIIXYZIZIIIIZYY (-0.0034688894596430074+0j)
IIIIIIXYYZZIIIIIZIXX (-0.006585769241902794+0j)
IIIIIIXXXIIIIIIIZIXX (-0.006585769241902794+0j)
IIIIIIXYYZZIIIIIIZYY (-0.006585769241902794+0j)
IIIIIIXXXIIIIIIIIZYY (-0.006585769241902794+0j)
XIXYYIIIXZZIZIIIZIXX (0.002891498346649748+0j)
XIXXYIIIYIIIZIIIZIXX (-0.002891498346649748+0j)
XIXYYIIIXZZIZIIIIZYY (0.002891498346649748+0j)
XIXXYIIIYIIIZIIIIZYY (-0.002891498346649748+0j)
IIIIIIZXIIIIIIIIZIXX (-0.0011737940895993858+0j)
IIIIIIIXIIIIIIIIZIXX (0.0011737940895993858+0j)
IIIIIIZXIIIIIIIIIZYY (-0.0011737940895993858+0j)
IIIIIIIXIIIIIIIIIZYY (0.0011737940895993858+0j)
YIIIYIXXZIIIZIIIZIXX (-0.002671768353478619+0j)
XZZIYIXYZIIIZIIIZIXX (0.002671768353478619+0j)
YIIIYIXXZIIIZIIIIZYY (-0.002671768353478619+0j)
XZZIYIXYZIIIZIIIIZYY (0.002671768353478619+0j)
XIXYYIXZZIIIZIIIZIXX (0.0006110374730380201+0j)
XIXXYIYIZIIIZIIIZIXX (-0.0006110374730380201+0j)
XIXYYIXZZIIIZIIIIZYY (0.0006110374730380201+0j)
XIXXYIYIZIIIZIIIIZYY (-0.0006110374730380201+0j)
XIYIYXZIZIIIZIIIZIXX (0.0006935347572441955+0j)
XIXZYYZIZIIIZIIIZIXX (-0.0006935347572441955+0j)
XIYIYXZIZIIIZIIIIZYY (0.0006935347572441955+0j)
XIXZYYZIZIIIZIIIIZYY (-0.0006935347572441955+0j)
XYZIYXZIZIIIZIIIZIXX (-3.267705794527178e-05+0j)
XXZIYYZIZIIIZIIIZIXX (3.267705794527178e-05+0j)
XYZIYXZIZIIIZIIIIZYY (-3.267705794527178e-05+0j)
XXZIYYZIZIIIZIIIIZYY (3.267705794527178e-05+0j)
XIYIYZZIZIIIZIIIZIXX (3.267705794527162e-05+0j)
XIXZXIIIIIIIIIIIZIXX (3.267705794527162e-05+0j)
XIYIYZZIZIIIZIIIIZYY (3.267705794527162e-05+0j)
XIXZXIIIIIIIIIIIIZYY (3.267705794527162e-05+0j)
XYZIYZZIZIIIZIIIZIXX (0.0006935347572441968+0j)
XXZIXIIIIIIIIIIIZIXX (0.0006935347572441968+0j)
XYZIYZZIZIIIZIIIIZYY (0.0006935347572441968+0j)
XXZIXIIIIIIIIIIIIZYY (0.0006935347572441968+0j)
ZIXXIIIIIIIIIIIIZIXX (0.0007183638977338729+0j)
IZYYIIIIIIIIIIIIZIXX (0.0007183638977338729+0j)
ZIXXIIIIIIIIIIIIIZYY (0.0007183638977338729+0j)
IZYYIIIIIIIIIIIIIZYY (0.0007183638977338729+0j)
IIIIIIIIIIIIIYZZYIXX (-0.0028299880291883313+0j)
IIIIIIIIIIIIIXZZYIXY (0.0028299880291883313+0j)
IIIIIIIIXIYIYZYYXIXX (-0.004868967178973872+0j)
IIIIIIIIXIXZXIXYYIXX (-0.0002901440370236532+0j)
IIIIIIIIXIYIXIXXYIXX (-0.004578823141950219+0j)
IIIIIIIIXIXZYZYYXIXY (0.004578823141950219+0j)
IIIIIIIIXIYIYZYXXIXY (0.0002901440370236532+0j)
IIIIIIIIXIXZXIXXYIXY (0.004868967178973872+0j)
IIIIIIIIIIZXIIXYYIXX (-0.00022940958759322028+0j)
IIIIIIIIIIIXIIXYYIXX (1.3670624883993602e-05+0j)
IIIIIIIIIIZYIIXXYIXX (0.0002157389627092267+0j)
IIIIIIIIIIIYIIXYYIXY (-0.0002157389627092267+0j)
IIIIIIIIIIZXIIXXYIXY (1.3670624883993602e-05+0j)
IIIIIIIIIIIXIIXXYIXY (-0.00022940958759322028+0j)
IIIIIYZIYXZIIIXYYIXX (0.002383925992184061+0j)
IIIIIXZIYYZIIIXYYIXX (-0.002383925992184061+0j)
IIIIIYZIYXZIIIXXYIXY (-0.002383925992184061+0j)
IIIIIXZIYYZIIIXXYIXY (0.002383925992184061+0j)
XIYIYIIIXZZIZIXYYIXX (0.0028769001906931014+0j)
XIXZYIIIYIIIZIXYYIXX (-0.0028769001906931014+0j)
XIYIYIIIXZZIZIXXYIXY (-0.0028769001906931014+0j)
XIXZYIIIYIIIZIXXYIXY (0.0028769001906931014+0j)
XYZIYIIIXZZIZIXYYIXX (-0.00013554999695702472+0j)
XXZIYIIIYIIIZIXYYIXX (0.00013554999695702472+0j)
XYZIYIIIXZZIZIXXYIXY (0.00013554999695702472+0j)
XXZIYIIIYIIIZIXXYIXY (-0.00013554999695702472+0j)
IIIIIYYXIIIIIIXYYIXX (0.004003057298653019+0j)
IIIIIXYYIIIIIIXYYIXX (-0.004003057298653019+0j)
IIIIIYYXIIIIIIXXYIXY (-0.004003057298653019+0j)
IIIIIXYYIIIIIIXXYIXY (0.004003057298653019+0j)
XIYIYIXZZIIIZIXYYIXX (0.0036865086398789183+0j)
XIXZYIYIZIIIZIXYYIXX (-0.0036865086398789183+0j)
XIYIYIXZZIIIZIXXYIXY (-0.0036865086398789183+0j)
XIXZYIYIZIIIZIXXYIXY (0.0036865086398789183+0j)
XYZIYIXZZIIIZIXYYIXX (-0.0001736960623570481+0j)
XXZIYIYIZIIIZIXYYIXX (0.0001736960623570481+0j)
XYZIYIXZZIIIZIXXYIXY (0.0001736960623570481+0j)
XXZIYIYIZIIIZIXXYIXY (-0.0001736960623570481+0j)
XIXYYXZIZIIIZIXYYIXX (-0.0007058942480013136+0j)
XIXXYYZIZIIIZIXYYIXX (0.0007058942480013136+0j)
XIXYYXZIZIIIZIXXYIXY (0.0007058942480013136+0j)
XIXXYYZIZIIIZIXXYIXY (-0.0007058942480013136+0j)
ZIXZIIIIIIIIIIXYYIXX (0.0025631375937030048+0j)
IZXIIIIIIIIIIIXYYIXX (-0.0025631375937030048+0j)
ZIXZIIIIIIIIIIXXYIXY (-0.0025631375937030048+0j)
IZXIIIIIIIIIIIXXYIXY (0.0025631375937030048+0j)
ZXZIIIIIIIIIIIXYYIXX (-0.000120766543848424+0j)
IXIIIIIIIIIIIIXYYIXX (0.000120766543848424+0j)
ZXZIIIIIIIIIIIXXYIXY (0.000120766543848424+0j)
IXIIIIIIIIIIIIXXYIXY (-0.000120766543848424+0j)
IIIIIIIIIIIIIYIZYIXX (-0.002829988029188333+0j)
IIIIIIIIIIIIIXIZYIXY (0.002829988029188333+0j)
IIIIIIIIXIYIYZXIXIXX (0.00022940958759321893+0j)
IIIIIIIIXIXZXIYIYIXX (-1.3670624883993504e-05+0j)
IIIIIIIIXIYIXIXZYIXX (-0.00021573896270922534+0j)
IIIIIIIIXIXZYZXIXIXY (-0.00021573896270922534+0j)
IIIIIIIIXIYIYZYZXIXY (1.3670624883993504e-05+0j)
IIIIIIIIXIXZXIXZYIXY (0.00022940958759321893+0j)
IIIIIIIIIIZXIIYIYIXX (0.004868967178973874+0j)
