Bravyi-Kitaev mapping of C2 Hamiltonian in sto3g basis.
IIIIIIIIIIIIIIII (-36.41716132236646+0j)
IXZIXIIIIIIIIIIX (0.0005089427850248747+0j)
ZIIIXZZIZIIIIIZX (-0.001963729331361477+0j)
IZZIXIIIIIIIIIZX (0.001963729331361477+0j)
ZIIIXZZIZIIIIIIX (0.001963729331361477+0j)
IZZIXIIIIIIIIIIX (-0.001963729331361477+0j)
IYYXIIIIIIIIIIZX (0.001963729331361482+0j)
IXYYIIIIIIIIIIZX (-0.001963729331361482+0j)
IYYXIIIIIIIIIIIX (-0.001963729331361482+0j)
IXYYIIIIIIIIIIIX (0.001963729331361482+0j)
ZIXXZIIIZIIIIIZX (-0.0005089427850248732+0j)
IZYYIIIIIIIIIIZX (-0.0005089427850248732+0j)
ZIXXZIIIZIIIIIIX (0.0005089427850248732+0j)
IZYYIIIIIIIIIIIX (0.0005089427850248732+0j)
IIIIIIIIIIIIZXXX (-0.004557485324819564+0j)
IIIIIIIIIIIIZYXY (-0.004557485324819564+0j)
IIIIIIIIIIIZIYYX (0.004557485324819569+0j)
IIIIIIIIIIIZIXYY (-0.004557485324819569+0j)
IIIIIIIIIIZZIYYX (0.004964267598456749+0j)
IIIIIIIIIIZZIXYY (-0.004964267598456749+0j)
IIIIIIIIIZIIIYYX (0.006258293357573534+0j)
IIIIIIIIIZIIIXYY (-0.006258293357573534+0j)
IIIIIIIIZZZIZYYX (0.0062582933575735245+0j)
IIIIIIIIZZZIZXYY (-0.0062582933575735245+0j)
IIIIIIIZIIIIIYYX (0.04335575530630583+0j)
IIIIIIIZIIIIIXYY (-0.04335575530630583+0j)
IIIIIYYXIIIIIYYX (0.006980432722286164+0j)
IIIIIXYYIIIIIYYX (-0.006980432722286164+0j)
IIIIIYYXIIIIIXYY (-0.006980432722286164+0j)
IIIIIXYYIIIIIXYY (0.006980432722286164+0j)
IIIIIIZZIIIIIYYX (0.0040888115964143+0j)
IIIIIIZZIIIIIXYY (-0.0040888115964143+0j)
IIYIYIXZIIIIIYYX (-0.0014248376313661863+0j)
IIXZYIYIIIIIIYYX (0.0014248376313661863+0j)
IIYIYIXZIIIIIXYY (0.0014248376313661863+0j)
IIXZYIYIIIIIIXYY (-0.0014248376313661863+0j)
IIIIIZIIIIIIIYYX (0.001330360359660175+0j)
IIIIIZIIIIIIIXYY (-0.001330360359660175+0j)
IIIIZZZIIIIIIYYX (0.0018840466639704276+0j)
IIIIZZZIIIIIIXYY (-0.0018840466639704276+0j)
IIIZIIIIIIIIIYYX (0.0018840466639704313+0j)
IIIZIIIIIIIIIXYY (-0.0018840466639704313+0j)
IIZZIIIIIIIIIYYX (0.0012648145836422376+0j)
IIZZIIIIIIIIIXYY (-0.0012648145836422376+0j)
IZIIIIIIIIIIIYYX (0.001913322512529034+0j)
IZIIIIIIIIIIIXYY (-0.001913322512529034+0j)
ZZZIZIIIZIIIIYYX (0.0019133225125290212+0j)
ZZZIZIIIZIIIIXYY (-0.0019133225125290212+0j)
IIIIIIIIIYYZZIXX (-9.57877980001438e-05+0j)
IIIIIIIIIXXIZIXX (-7.294382641424049e-05+0j)
IIIIIIIIIYXIIZYX (2.2843971585903295e-05+0j)
IIIIIIIIIXYZZIXY (2.2843971585903295e-05+0j)
IIIIIIIIIYYZIZYY (-7.294382641424049e-05+0j)
IIIIIIIIIXXIIZYY (-9.57877980001438e-05+0j)
IIIIIIIIZIXZIIXX (-0.0003695922489798482+0j)
IIIIIIIIIZXIZIXX (0.0002814499697925423+0j)
IIIIIIIIZIYIZZYX (-8.814227918730591e-05+0j)
IIIIIIIIIZYZZIXY (-8.814227918730591e-05+0j)
IIIIIIIIZIXZZZYY (-0.0002814499697925423+0j)
IIIIIIIIIZXIIZYY (0.0003695922489798482+0j)
IIIIZIXXIIIIZIXX (0.002253235060787579+0j)
IIIIIZYYIIIIZIXX (0.002253235060787579+0j)
IIIIZIXXIIIIIZYY (0.002253235060787579+0j)
IIIIIZYYIIIIIZYY (0.002253235060787579+0j)
IYZIYIXZIIIIZIXX (0.0007133034083705788+0j)
IXZIYIYIIIIIZIXX (-0.0007133034083705788+0j)
IYZIYIXZIIIIIZYY (0.0007133034083705788+0j)
IXZIYIYIIIIIIZYY (-0.0007133034083705788+0j)
ZIIIXIXZZIIIZIXX (0.0027522441940285272+0j)
IZZIYIYIIIIIZIXX (0.0027522441940285272+0j)
ZIIIXIXZZIIIIZYY (0.0027522441940285272+0j)
IZZIYIYIIIIIIZYY (0.0027522441940285272+0j)
IIIIZXZIIIIIZIXX (0.002673438660849136+0j)
IIIIIXIIIIIIZIXX (-0.002673438660849136+0j)
IIIIZXZIIIIIIZYY (0.002673438660849136+0j)
IIIIIXIIIIIIIZYY (-0.002673438660849136+0j)
IYYZIIIIIIIIZIXX (-0.00033556352427551947+0j)
IXXIIIIIIIIIZIXX (-0.00033556352427551947+0j)
IYYZIIIIIIIIIZYY (-0.00033556352427551947+0j)
IXXIIIIIIIIIIZYY (-0.00033556352427551947+0j)
ZIXZZIIIZIIIZIXX (-0.0012947544489164155+0j)
IZXIIIIIIIIIZIXX (0.0012947544489164155+0j)
ZIXZZIIIZIIIIZYY (-0.0012947544489164155+0j)
IZXIIIIIIIIIIZYY (0.0012947544489164155+0j)
IIIIIIIIIYZXYIXX (0.0003695922489798478+0j)
IIIIIIIIIXIYYIXX (-0.0002814499697925448+0j)
IIIIIIIIIYIXYIXX (-8.814227918730309e-05+0j)
IIIIIIIIIXZXYIXY (-8.814227918730309e-05+0j)
IIIIIIIIIYZYYIXY (0.0002814499697925448+0j)
IIIIIIIIIXIXYIXY (0.0003695922489798478+0j)
IIIIIIIIZIIXXIXX (-9.578779800014357e-05+0j)
IIIIIIIIIZIYYIXX (-7.294382641423995e-05+0j)
IIIIIIIIZIZXXIXX (2.284397158590362e-05+0j)
IIIIIIIIIZZXYIXY (-2.284397158590362e-05+0j)
IIIIIIIIZIIYXIXY (-7.294382641423995e-05+0j)
IIIIIIIIIZIXYIXY (9.578779800014357e-05+0j)
IIXYYIXXIIXYYIXX (0.0022532350607875795+0j)
IIXXYIXYIIXYYIXX (-0.0022532350607875795+0j)
IIXYYIXXIIXXYIXY (-0.0022532350607875795+0j)
IIXXYIXYIIXXYIXY (0.0022532350607875795+0j)
IYZIYIXZIIXYYIXX (0.002752244194028527+0j)
IXZIYIYIIIXYYIXX (-0.002752244194028527+0j)
IYZIYIXZIIXXYIXY (-0.002752244194028527+0j)
IXZIYIYIIIXXYIXY (0.002752244194028527+0j)
ZIIIXIXZZIXYYIXX (-0.0007133034083705769+0j)
IZZIYIYIIIXYYIXX (-0.0007133034083705769+0j)
ZIIIXIXZZIXXYIXY (0.0007133034083705769+0j)
IZZIYIYIIIXXYIXY (0.0007133034083705769+0j)
IIXYYXZIIIXYYIXX (0.002673438660849137+0j)
IIXXYYZIIIXYYIXX (-0.002673438660849137+0j)
IIXYYXZIIIXXYIXY (-0.002673438660849137+0j)
IIXXYYZIIIXXYIXY (0.002673438660849137+0j)
IYYZIIIIIIXYYIXX (-0.001294754448916415+0j)
IXXIIIIIIIXYYIXX (-0.001294754448916415+0j)
IYYZIIIIIIXXYIXY (0.001294754448916415+0j)
IXXIIIIIIIXXYIXY (0.001294754448916415+0j)
ZIXZZIIIZIXYYIXX (0.00033556352427551855+0j)
IZXIIIIIIIXYYIXX (-0.00033556352427551855+0j)
ZIXZZIIIZIXXYIXY (-0.00033556352427551855+0j)
IZXIIIIIIIXXYIXY (0.00033556352427551855+0j)
IIIIIIZXIIYIYIXX (0.0012511006002572257+0j)
IIIIIIIXIIYIYIXX (-0.0012511006002572257+0j)
IIIIIIZXIIXZYIXY (-0.0012511006002572257+0j)
IIIIIIIXIIXZYIXY (0.0012511006002572257+0j)
IIYIYIXXIIYIYIXX (0.002924741957384725+0j)
IIXZYIXYIIYIYIXX (-0.002924741957384725+0j)
IIYIYIXXIIXZYIXY (-0.002924741957384725+0j)
IIXZYIXYIIXZYIXY (0.002924741957384725+0j)
IIIIIYYZIIYIYIXX (-0.0007525496132019974+0j)
IIIIIXXIIIYIYIXX (-0.0007525496132019974+0j)
IIIIIYYZIIXZYIXY (0.0007525496132019974+0j)
IIIIIXXIIIXZYIXY (0.0007525496132019974+0j)
IIYIYXZIIIYIYIXX (0.00369945301481451+0j)
IIXZYYZIIIYIYIXX (-0.00369945301481451+0j)
IIYIYXZIIIXZYIXY (-0.00369945301481451+0j)
IIXZYYZIIIXZYIXY (0.00369945301481451+0j)
IYZIYZZIIIYIYIXX (0.0002626196978612791+0j)
IXZIXIIIIIYIYIXX (0.0002626196978612791+0j)
IYZIYZZIIIXZYIXY (-0.0002626196978612791+0j)
IXZIXIIIIIXZYIXY (-0.0002626196978612791+0j)
ZIIIXZZIZIYIYIXX (0.0010133044791238732+0j)
IZZIXIIIIIYIYIXX (-0.0010133044791238732+0j)
ZIIIXZZIZIXZYIXY (-0.0010133044791238732+0j)
IZZIXIIIIIXZYIXY (0.0010133044791238732+0j)
IYYXIIIIIIYIYIXX (-0.0010133044791238706+0j)
IXYYIIIIIIYIYIXX (0.0010133044791238706+0j)
IYYXIIIIIIXZYIXY (0.0010133044791238706+0j)
IXYYIIIIIIXZYIXY (-0.0010133044791238706+0j)
ZIXXZIIIZIYIYIXX (0.00026261969786127865+0j)
IZYYIIIIIIYIYIXX (0.00026261969786127865+0j)
ZIXXZIIIZIXZYIXY (-0.00026261969786127865+0j)
IZYYIIIIIIXZYIXY (-0.00026261969786127865+0j)
IYZIYIXXIYZIYIXX (0.0034882105134476445+0j)
IXZIYIXYIYZIYIXX (-0.0034882105134476445+0j)
IYZIYIXXIXZIYIXY (-0.0034882105134476445+0j)
IXZIYIXYIXZIYIXY (0.0034882105134476445+0j)
IIIIZIXZIYZIYIXX (0.0011353470587351846+0j)
IIIIIZXIIYZIYIXX (-0.0011353470587351846+0j)
IIIIZIXZIXZIYIXY (-0.0011353470587351846+0j)
IIIIIZXIIXZIYIXY (0.0011353470587351846+0j)
IIXYYIXZIYZIYIXX (0.0043806777227508925+0j)
IIXXYIYIIYZIYIXX (-0.0043806777227508925+0j)
IIXYYIXZIXZIYIXY (-0.0043806777227508925+0j)
IIXXYIYIIXZIYIXY (0.0043806777227508925+0j)
IYZIYXZIIYZIYIXX (0.0043449708450445+0j)
IXZIYYZIIYZIYIXX (-0.0043449708450445+0j)
IYZIYXZIIXZIYIXY (-0.0043449708450445+0j)
IXZIYYZIIXZIYIXY (0.0043449708450445+0j)
IIYIYZZIIYZIYIXX (0.00023977572627537576+0j)
IIXZXIIIIYZIYIXX (0.00023977572627537576+0j)
IIYIYZZIIXZIYIXY (-0.00023977572627537576+0j)
IIXZXIIIIXZIYIXY (-0.00023977572627537576+0j)
IIZXIIIIIYZIYIXX (0.0009251621999365675+0j)
IIIXIIIIIYZIYIXX (-0.0009251621999365675+0j)
IIZXIIIIIXZIYIXY (-0.0009251621999365675+0j)
IIIXIIIIIXZIYIXY (0.0009251621999365675+0j)
ZIIIXIXXIIIIXIXX (0.003488210513447645+0j)
IZZIYIXYZIIIXIXX (0.003488210513447645+0j)
ZIIIXIXXZZZIYIXY (0.003488210513447645+0j)
IZZIYIXYIZZIYIXY (0.003488210513447645+0j)
IIIIZIXZZIIIXIXX (0.0043806777227508925+0j)
IIIIIZXIZIIIXIXX (-0.0043806777227508925+0j)
IIIIZIXZIZZIYIXY (0.0043806777227508925+0j)
IIIIIZXIIZZIYIXY (-0.0043806777227508925+0j)
IIXYYIXZZIIIXIXX (-0.001135347058735181+0j)
IIXXYIYIZIIIXIXX (0.001135347058735181+0j)
IIXYYIXZIZZIYIXY (-0.001135347058735181+0j)
IIXXYIYIIZZIYIXY (0.001135347058735181+0j)
ZIIIXXZIIIIIXIXX (0.004344970845044502+0j)
IZZIYYZIZIIIXIXX (0.004344970845044502+0j)
ZIIIXXZIZZZIYIXY (0.004344970845044502+0j)
IZZIYYZIIZZIYIXY (0.004344970845044502+0j)
IIYIYZZIZIIIXIXX (0.0009251621999365674+0j)
IIXZXIIIZIIIXIXX (0.0009251621999365674+0j)
IIYIYZZIIZZIYIXY (0.0009251621999365674+0j)
IIXZXIIIIZZIYIXY (0.0009251621999365674+0j)
IIZXIIIIZIIIXIXX (-0.0002397757262753751+0j)
IIIXIIIIZIIIXIXX (0.0002397757262753751+0j)
IIZXIIIIIZZIYIXY (-0.0002397757262753751+0j)
IIIXIIIIIZZIYIXY (0.0002397757262753751+0j)
IIIIIIIIIIIIIZZZ (0.09487733384650297+0j)
IIIIIIIIIIIIZZIZ (0.1094203699913548+0j)
IIIIIIIIIIIZIIZZ (0.10942036999135488+0j)
IIIIIIIIIIZZIIZZ (0.10774488750066008+0j)
IIIIIIIIIZIIIIZZ (0.11826996629460329+0j)
IIIIIIIIZZZIZIZZ (0.11826996629460332+0j)
IIIIIIIZIIIIIIZZ (0.16895657075788753+0j)
IIIIIYYXIIIIIIZZ (0.0040888115964143+0j)
IIIIIXYYIIIIIIZZ (-0.0040888115964143+0j)
IIIIIIZZIIIIIIZZ (0.15233086588303582+0j)
IIYIYIXZIIIIIIZZ (-0.02487446571237091+0j)
IIXZYIYIIIIIIIZZ (0.02487446571237091+0j)
IIIIIZIIIIIIIIZZ (0.11277343373796793+0j)
IIIIZZZIIIIIIIZZ (0.13271283266173758+0j)
IIIZIIIIIIIIIIZZ (0.13271283266173767+0j)
IIZZIIIIIIIIIIZZ (0.12369877119922451+0j)
IZIIIIIIIIIIIIZZ (0.1291758826025774+0j)
ZZZIZIIIZIIIIIZZ (0.12917588260257742+0j)
IIIIIIIIIIYIYZXZ (-0.022852774219712952+0j)
IIIIIIIIIIXZYZYI (0.022852774219712952+0j)
IIIIIIIIIYZIYXXZ (0.003776215823988213+0j)
IIIIIIIIIXZIXYYZ (-0.0020977707391555836+0j)
IIIIIIIIIYZIXXYZ (-0.0016784450848326287+0j)
IIIIIIIIIXZIYXYI (-0.0016784450848326287+0j)
IIIIIIIIIYZIYYYI (0.0020977707391555836+0j)
IIIIIIIIIXZIXXXI (-0.003776215823988213+0j)
IIIIIIIIZIIIXXXZ (0.014570332841548347+0j)
IIIIIIIIIZZIXYYZ (0.008094139561778704+0j)
IIIIIIIIZIIIYXYZ (0.006476193279769643+0j)
IIIIIIIIIZZIYXYI (0.006476193279769643+0j)
IIIIIIIIZIIIXYYI (0.008094139561778704+0j)
IIIIIIIIIZZIXXXI (0.014570332841548347+0j)
IIIIIIIIIYYXIYYZ (0.014570332841548336+0j)
IIIIIIIIIXYYIYYZ (-0.008094139561778698+0j)
IIIIIIIIIYYYIXYZ (-0.006476193279769639+0j)
IIIIIIIIIXYXIYXI (0.006476193279769639+0j)
IIIIIIIIIYYXIXXI (0.008094139561778698+0j)
IIIIIIIIIXYYIXXI (-0.014570332841548336+0j)
IIIIIIIIZIXXZYYZ (-0.003776215823988201+0j)
IIIIIIIIIZYYIYYZ (-0.0020977707391555767+0j)
IIIIIIIIZIXYZXYZ (0.001678445084832625+0j)
IIIIIIIIIZYXIYXI (0.001678445084832625+0j)
IIIIIIIIZIXXZXXI (-0.0020977707391555767+0j)
IIIIIIIIIZYYIXXI (-0.003776215823988201+0j)
IIIIIIZXIIIIIYYZ (0.002332108214760327+0j)
IIIIIIIXIIIIIYYZ (-0.002332108214760327+0j)
IIIIIIZXIIIIIXXI (0.002332108214760327+0j)
IIIIIIIXIIIIIXXI (-0.002332108214760327+0j)
IIYIYIXXIIIIIYYZ (-0.0007525496132019974+0j)
IIXZYIXYIIIIIYYZ (0.0007525496132019974+0j)
IIYIYIXXIIIIIXXI (-0.0007525496132019974+0j)
IIXZYIXYIIIIIXXI (0.0007525496132019974+0j)
IIIIIYYZIIIIIYYZ (0.01789609989146496+0j)
IIIIIXXIIIIIIYYZ (0.01789609989146496+0j)
IIIIIYYZIIIIIXXI (0.01789609989146496+0j)
IIIIIXXIIIIIIXXI (0.01789609989146496+0j)
IIYIYXZIIIIIIYYZ (-0.024131474077341585+0j)
IIXZYYZIIIIIIYYZ (0.024131474077341585+0j)
IIYIYXZIIIIIIXXI (-0.024131474077341585+0j)
IIXZYYZIIIIIIXXI (0.024131474077341585+0j)
IYZIYZZIIIIIIYYZ (-0.006383132931819641+0j)
IXZIXIIIIIIIIYYZ (-0.006383132931819641+0j)
IYZIYZZIIIIIIXXI (-0.006383132931819641+0j)
IXZIXIIIIIIIIXXI (-0.006383132931819641+0j)
ZIIIXZZIZIIIIYYZ (-0.02462898725164359+0j)
IZZIXIIIIIIIIYYZ (0.02462898725164359+0j)
ZIIIXZZIZIIIIXXI (-0.02462898725164359+0j)
IZZIXIIIIIIIIXXI (0.02462898725164359+0j)
IYYXIIIIIIIIIYYZ (0.024628987251643582+0j)
IXYYIIIIIIIIIYYZ (-0.024628987251643582+0j)
IYYXIIIIIIIIIXXI (0.024628987251643582+0j)
IXYYIIIIIIIIIXXI (-0.024628987251643582+0j)
ZIXXZIIIZIIIIYYZ (-0.006383132931819622+0j)
IZYYIIIIIIIIIYYZ (-0.006383132931819622+0j)
ZIXXZIIIZIIIIXXI (-0.006383132931819622+0j)
IZYYIIIIIIIIIXXI (-0.006383132931819622+0j)
IIIIIIIIIIYIXZYZ (-0.013489559457914628+0j)
IIIIIIIIIIXZXZXI (-0.013489559457914628+0j)
IYZIYIXXIIIIZIXZ (0.0011353470587351846+0j)
IXZIYIXYIIIIZIXZ (-0.0011353470587351846+0j)
IYZIYIXXIIIIIZXI (-0.0011353470587351846+0j)
IXZIYIXYIIIIIZXI (0.0011353470587351846+0j)
ZIIIXIXXZIIIZIXZ (0.0043806777227508925+0j)
IZZIYIXYIIIIZIXZ (0.0043806777227508925+0j)
ZIIIXIXXZIIIIZXI (-0.0043806777227508925+0j)
IZZIYIXYIIIIIZXI (-0.0043806777227508925+0j)
IIIIZIXZIIIIZIXZ (0.02329246267038279+0j)
IIIIIZXIIIIIZIXZ (-0.02329246267038279+0j)
IIIIZIXZIIIIIZXI (-0.02329246267038279+0j)
IIIIIZXIIIIIIZXI (0.02329246267038279+0j)
IYZIYXZIIIIIZIXZ (0.004285362192664058+0j)
IXZIYYZIIIIIZIXZ (-0.004285362192664058+0j)
IYZIYXZIIIIIIZXI (-0.004285362192664058+0j)
IXZIYYZIIIIIIZXI (0.004285362192664058+0j)
ZIIIXXZIZIIIZIXZ (0.016534847689864882+0j)
IZZIYYZIIIIIZIXZ (0.016534847689864882+0j)
ZIIIXXZIZIIIIZXI (-0.016534847689864882+0j)
IZZIYYZIIIIIIZXI (-0.016534847689864882+0j)
IIYIYZZIIIIIZIXZ (0.001057708185661716+0j)
IIXZXIIIIIIIZIXZ (0.001057708185661716+0j)
IIYIYZZIIIIIIZXI (-0.001057708185661716+0j)
IIXZXIIIIIIIIZXI (-0.001057708185661716+0j)
IIIIIIIIIIYZYIXZ (-0.013489559457914637+0j)
IIIIIIIIIIXIYIYI (0.013489559457914637+0j)
IYZIYIXXIIXYYIXZ (0.0043806777227508925+0j)
IXZIYIXYIIXYYIXZ (-0.0043806777227508925+0j)
IYZIYIXXIIXXYIYI (-0.0043806777227508925+0j)
IXZIYIXYIIXXYIYI (0.0043806777227508925+0j)
ZIIIXIXXZIXYYIXZ (-0.001135347058735181+0j)
IZZIYIXYIIXYYIXZ (-0.001135347058735181+0j)
ZIIIXIXXZIXXYIYI (0.001135347058735181+0j)
IZZIYIXYIIXXYIYI (0.001135347058735181+0j)
IIXYYIXZIIXYYIXZ (0.023292462670382794+0j)
IIXXYIYIIIXYYIXZ (-0.023292462670382794+0j)
IIXYYIXZIIXXYIYI (-0.023292462670382794+0j)
IIXXYIYIIIXXYIYI (0.023292462670382794+0j)
IYZIYXZIIIXYYIXZ (0.016534847689864882+0j)
IXZIYYZIIIXYYIXZ (-0.016534847689864882+0j)
IYZIYXZIIIXXYIYI (-0.016534847689864882+0j)
IXZIYYZIIIXXYIYI (0.016534847689864882+0j)
ZIIIXXZIZIXYYIXZ (-0.004285362192664046+0j)
IZZIYYZIIIXYYIXZ (-0.004285362192664046+0j)
ZIIIXXZIZIXXYIYI (0.004285362192664046+0j)
IZZIYYZIIIXXYIYI (0.004285362192664046+0j)
IIZXIIIIIIXYYIXZ (0.0010577081856617163+0j)
IIIXIIIIIIXYYIXZ (-0.0010577081856617163+0j)
IIZXIIIIIIXXYIYI (-0.0010577081856617163+0j)
IIIXIIIIIIXXYIYI (0.0010577081856617163+0j)
IIIIIIIIIZYIYIXZ (-0.012756238077833406+0j)
IIIIIIIIIZXZYIYI (0.012756238077833406+0j)
IIIIIIIIZZXIXIXZ (0.012756238077833422+0j)
IIIIIIIIZZYZXIYI (0.012756238077833422+0j)
IIIIIIIZIIYIYIXZ (-0.016062622983098834+0j)
IIIIIIIZIIXZYIYI (0.016062622983098834+0j)
IIIIIYYXIIYIYIXZ (-0.0014248376313661863+0j)
IIIIIXYYIIYIYIXZ (0.0014248376313661863+0j)
IIIIIYYXIIXZYIYI (0.0014248376313661863+0j)
IIIIIXYYIIXZYIYI (-0.0014248376313661863+0j)
IIIIIIZZIIYIYIXZ (-0.02487446571237091+0j)
IIIIIIZZIIXZYIYI (0.02487446571237091+0j)
IIYIYIXZIIYIYIXZ (0.015953883698564427+0j)
IIXZYIYIIIYIYIXZ (-0.015953883698564427+0j)
IIYIYIXZIIXZYIYI (-0.015953883698564427+0j)
IIXZYIYIIIXZYIYI (0.015953883698564427+0j)
IIIIIZIIIIYIYIXZ (0.0012786998576286303+0j)
IIIIIZIIIIXZYIYI (-0.0012786998576286303+0j)
IIIIZZZIIIYIYIXZ (-0.012431851272252914+0j)
IIIIZZZIIIXZYIYI (0.012431851272252914+0j)
IIIZIIIIIIYIYIXZ (-0.012431851272252919+0j)
