Jordan-Wigner mapping of C2 Hamiltonian in sto3g basis.
IIIIIIIIIIIIIIII (-36.41716132236646+0j)
IIIIIIZIIIIIIYZY (0.0040888115964143+0j)
IIIIIIZIIIIIIXZX (0.0040888115964143+0j)
IIYZZZYIIIIIIYZY (-0.0014248376313661863+0j)
IIXZZZXIIIIIIYZY (-0.0014248376313661863+0j)
IIYZZZYIIIIIIXZX (-0.0014248376313661863+0j)
IIXZZZXIIIIIIXZX (-0.0014248376313661863+0j)
IIIIIZIIIIIIIYZY (0.001330360359660175+0j)
IIIIIZIIIIIIIXZX (0.001330360359660175+0j)
IIIIZIIIIIIIIYZY (0.0018840466639704276+0j)
IIIIZIIIIIIIIXZX (0.0018840466639704276+0j)
IIIZIIIIIIIIIYZY (0.0018840466639704313+0j)
IIIZIIIIIIIIIXZX (0.0018840466639704313+0j)
IIZIIIIIIIIIIYZY (0.0012648145836422376+0j)
IIZIIIIIIIIIIXZX (0.0012648145836422376+0j)
IZIIIIIIIIIIIYZY (0.001913322512529034+0j)
IZIIIIIIIIIIIXZX (0.001913322512529034+0j)
ZIIIIIIIIIIIIYZY (0.0019133225125290212+0j)
ZIIIIIIIIIIIIXZX (0.0019133225125290212+0j)
IIIIIIIIIYYIYZZY (9.57877980001438e-05+0j)
IIIIIIIIIXXIYZZY (7.294382641424049e-05+0j)
IIIIIIIIIYXIXZZY (2.2843971585903295e-05+0j)
IIIIIIIIIXYIYZZX (2.2843971585903295e-05+0j)
IIIIIIIIIYYIXZZX (7.294382641424049e-05+0j)
IIIIIIIIIXXIXZZX (9.57877980001438e-05+0j)
IIIIIIIIYZYIYZZY (-0.0003695922489798482+0j)
IIIIIIIIXZXIYZZY (-0.0002814499697925423+0j)
IIIIIIIIYZXIXZZY (-8.814227918730591e-05+0j)
IIIIIIIIXZYIYZZX (-8.814227918730591e-05+0j)
IIIIIIIIYZYIXZZX (-0.0002814499697925423+0j)
IIIIIIIIXZXIXZZX (-0.0003695922489798482+0j)
IIIIYZZYIIIIYZZY (0.002253235060787579+0j)
IIIIXZZXIIIIYZZY (0.002253235060787579+0j)
IIIIYZZYIIIIXZZX (0.002253235060787579+0j)
IIIIXZZXIIIIXZZX (0.002253235060787579+0j)
IYZZZZYIIIIIYZZY (-0.0007133034083705788+0j)
IXZZZZXIIIIIYZZY (-0.0007133034083705788+0j)
IYZZZZYIIIIIXZZX (-0.0007133034083705788+0j)
IXZZZZXIIIIIXZZX (-0.0007133034083705788+0j)
YZZZZZYIIIIIYZZY (0.0027522441940285272+0j)
XZZZZZXIIIIIYZZY (0.0027522441940285272+0j)
YZZZZZYIIIIIXZZX (0.0027522441940285272+0j)
XZZZZZXIIIIIXZZX (0.0027522441940285272+0j)
IIIIYYIIIIIIYZZY (0.002673438660849136+0j)
IIIIXXIIIIIIYZZY (0.002673438660849136+0j)
IIIIYYIIIIIIXZZX (0.002673438660849136+0j)
IIIIXXIIIIIIXZZX (0.002673438660849136+0j)
IYYIIIIIIIIIYZZY (0.00033556352427551947+0j)
IXXIIIIIIIIIYZZY (0.00033556352427551947+0j)
IYYIIIIIIIIIXZZX (0.00033556352427551947+0j)
IXXIIIIIIIIIXZZX (0.00033556352427551947+0j)
YZYIIIIIIIIIYZZY (-0.0012947544489164155+0j)
XZXIIIIIIIIIYZZY (-0.0012947544489164155+0j)
YZYIIIIIIIIIXZZX (-0.0012947544489164155+0j)
XZXIIIIIIIIIXZZX (-0.0012947544489164155+0j)
IIIIIIIIIYYYZZZY (-0.0003695922489798478+0j)
IIIIIIIIIXXYZZZY (-0.0002814499697925448+0j)
IIIIIIIIIYXXZZZY (-8.814227918730309e-05+0j)
IIIIIIIIIXYYZZZX (-8.814227918730309e-05+0j)
IIIIIIIIIYYXZZZX (-0.0002814499697925448+0j)
IIIIIIIIIXXXZZZX (-0.0003695922489798478+0j)
IIIIIIIIYZYYZZZY (-9.578779800014357e-05+0j)
IIIIIIIIXZXYZZZY (-7.294382641423995e-05+0j)
IIIIIIIIYZXXZZZY (-2.284397158590362e-05+0j)
IIIIIIIIXZYYZZZX (-2.284397158590362e-05+0j)
IIIIIIIIYZYXZZZX (-7.294382641423995e-05+0j)
IIIIIIIIXZXXZZZX (-9.578779800014357e-05+0j)
IIIYZZZYIIIYZZZY (0.0022532350607875795+0j)
IIIXZZZXIIIYZZZY (0.0022532350607875795+0j)
IIIYZZZYIIIXZZZX (0.0022532350607875795+0j)
IIIXZZZXIIIXZZZX (0.0022532350607875795+0j)
IYZZZZYIIIIYZZZY (0.002752244194028527+0j)
IXZZZZXIIIIYZZZY (0.002752244194028527+0j)
IYZZZZYIIIIXZZZX (0.002752244194028527+0j)
IXZZZZXIIIIXZZZX (0.002752244194028527+0j)
YZZZZZYIIIIYZZZY (0.0007133034083705769+0j)
XZZZZZXIIIIYZZZY (0.0007133034083705769+0j)
YZZZZZYIIIIXZZZX (0.0007133034083705769+0j)
XZZZZZXIIIIXZZZX (0.0007133034083705769+0j)
IIIYZYIIIIIYZZZY (0.002673438660849137+0j)
IIIXZXIIIIIYZZZY (0.002673438660849137+0j)
IIIYZYIIIIIXZZZX (0.002673438660849137+0j)
IIIXZXIIIIIXZZZX (0.002673438660849137+0j)
IYYIIIIIIIIYZZZY (-0.001294754448916415+0j)
IXXIIIIIIIIYZZZY (-0.001294754448916415+0j)
IYYIIIIIIIIXZZZX (-0.001294754448916415+0j)
IXXIIIIIIIIXZZZX (-0.001294754448916415+0j)
YZYIIIIIIIIYZZZY (-0.00033556352427551855+0j)
XZXIIIIIIIIYZZZY (-0.00033556352427551855+0j)
YZYIIIIIIIIXZZZX (-0.00033556352427551855+0j)
XZXIIIIIIIIXZZZX (-0.00033556352427551855+0j)
IIIIIIYYIIYZZZZY (-0.0012511006002572257+0j)
IIIIIIXXIIYZZZZY (-0.0012511006002572257+0j)
IIIIIIYYIIXZZZZX (-0.0012511006002572257+0j)
IIIIIIXXIIXZZZZX (-0.0012511006002572257+0j)
IIYZZZZYIIYZZZZY (0.002924741957384725+0j)
IIXZZZZXIIYZZZZY (0.002924741957384725+0j)
IIYZZZZYIIXZZZZX (0.002924741957384725+0j)
IIXZZZZXIIXZZZZX (0.002924741957384725+0j)
IIIIIYYIIIYZZZZY (-0.0007525496132019974+0j)
IIIIIXXIIIYZZZZY (-0.0007525496132019974+0j)
IIIIIYYIIIXZZZZX (-0.0007525496132019974+0j)
IIIIIXXIIIXZZZZX (-0.0007525496132019974+0j)
IIYZZYIIIIYZZZZY (0.00369945301481451+0j)
IIXZZXIIIIYZZZZY (0.00369945301481451+0j)
IIYZZYIIIIXZZZZX (0.00369945301481451+0j)
IIXZZXIIIIXZZZZX (0.00369945301481451+0j)
IYZZYIIIIIYZZZZY (0.0002626196978612791+0j)
IXZZXIIIIIYZZZZY (0.0002626196978612791+0j)
IYZZYIIIIIXZZZZX (0.0002626196978612791+0j)
IXZZXIIIIIXZZZZX (0.0002626196978612791+0j)
YZZZYIIIIIYZZZZY (-0.0010133044791238732+0j)
XZZZXIIIIIYZZZZY (-0.0010133044791238732+0j)
YZZZYIIIIIXZZZZX (-0.0010133044791238732+0j)
XZZZXIIIIIXZZZZX (-0.0010133044791238732+0j)
IYZYIIIIIIYZZZZY (-0.0010133044791238706+0j)
IXZXIIIIIIYZZZZY (-0.0010133044791238706+0j)
IYZYIIIIIIXZZZZX (-0.0010133044791238706+0j)
IXZXIIIIIIXZZZZX (-0.0010133044791238706+0j)
YZZYIIIIIIYZZZZY (-0.00026261969786127865+0j)
XZZXIIIIIIYZZZZY (-0.00026261969786127865+0j)
YZZYIIIIIIXZZZZX (-0.00026261969786127865+0j)
XZZXIIIIIIXZZZZX (-0.00026261969786127865+0j)
IYZZZZZYIYZZZZZY (0.0034882105134476445+0j)
IXZZZZZXIYZZZZZY (0.0034882105134476445+0j)
IYZZZZZYIXZZZZZX (0.0034882105134476445+0j)
IXZZZZZXIXZZZZZX (0.0034882105134476445+0j)
IIIIYZYIIYZZZZZY (-0.0011353470587351846+0j)
IIIIXZXIIYZZZZZY (-0.0011353470587351846+0j)
IIIIYZYIIXZZZZZX (-0.0011353470587351846+0j)
IIIIXZXIIXZZZZZX (-0.0011353470587351846+0j)
IIIYZZYIIYZZZZZY (0.0043806777227508925+0j)
IIIXZZXIIYZZZZZY (0.0043806777227508925+0j)
IIIYZZYIIXZZZZZX (0.0043806777227508925+0j)
IIIXZZXIIXZZZZZX (0.0043806777227508925+0j)
IYZZZYIIIYZZZZZY (0.0043449708450445+0j)
IXZZZXIIIYZZZZZY (0.0043449708450445+0j)
IYZZZYIIIXZZZZZX (0.0043449708450445+0j)
IXZZZXIIIXZZZZZX (0.0043449708450445+0j)
IIYZYIIIIYZZZZZY (0.00023977572627537576+0j)
IIXZXIIIIYZZZZZY (0.00023977572627537576+0j)
IIYZYIIIIXZZZZZX (0.00023977572627537576+0j)
IIXZXIIIIXZZZZZX (0.00023977572627537576+0j)
IIYYIIIIIYZZZZZY (-0.0009251621999365675+0j)
IIXXIIIIIYZZZZZY (-0.0009251621999365675+0j)
IIYYIIIIIXZZZZZX (-0.0009251621999365675+0j)
IIXXIIIIIXZZZZZX (-0.0009251621999365675+0j)
YZZZZZZYYZZZZZZY (0.003488210513447645+0j)
XZZZZZZXYZZZZZZY (0.003488210513447645+0j)
YZZZZZZYXZZZZZZX (0.003488210513447645+0j)
XZZZZZZXXZZZZZZX (0.003488210513447645+0j)
IIIIYZYIYZZZZZZY (0.0043806777227508925+0j)
IIIIXZXIYZZZZZZY (0.0043806777227508925+0j)
IIIIYZYIXZZZZZZX (0.0043806777227508925+0j)
IIIIXZXIXZZZZZZX (0.0043806777227508925+0j)
IIIYZZYIYZZZZZZY (0.001135347058735181+0j)
IIIXZZXIYZZZZZZY (0.001135347058735181+0j)
IIIYZZYIXZZZZZZX (0.001135347058735181+0j)
IIIXZZXIXZZZZZZX (0.001135347058735181+0j)
YZZZZYIIYZZZZZZY (0.004344970845044502+0j)
XZZZZXIIYZZZZZZY (0.004344970845044502+0j)
YZZZZYIIXZZZZZZX (0.004344970845044502+0j)
XZZZZXIIXZZZZZZX (0.004344970845044502+0j)
IIYZYIIIYZZZZZZY (-0.0009251621999365674+0j)
IIXZXIIIYZZZZZZY (-0.0009251621999365674+0j)
IIYZYIIIXZZZZZZX (-0.0009251621999365674+0j)
IIXZXIIIXZZZZZZX (-0.0009251621999365674+0j)
IIYYIIIIYZZZZZZY (-0.0002397757262753751+0j)
IIXXIIIIYZZZZZZY (-0.0002397757262753751+0j)
IIYYIIIIXZZZZZZX (-0.0002397757262753751+0j)
IIXXIIIIXZZZZZZX (-0.0002397757262753751+0j)
IIIIIIIIIIIIIZZI (0.09487733384650297+0j)
IIIIIIIIIIIIZIZI (0.1094203699913548+0j)
IIIIIIIIIIIZIIZI (0.10942036999135488+0j)
IIIIIIIIIIZIIIZI (0.10774488750066008+0j)
IIIIIIIIIZIIIIZI (0.11826996629460329+0j)
IIIIIIIIZIIIIIZI (0.11826996629460332+0j)
IIIIIIIZIIIIIIZI (0.16895657075788753+0j)
IIIIIYZYIIIIIIZI (0.0040888115964143+0j)
IIIIIXZXIIIIIIZI (0.0040888115964143+0j)
IIIIIIZIIIIIIIZI (0.15233086588303582+0j)
IIYZZZYIIIIIIIZI (-0.02487446571237091+0j)
IIXZZZXIIIIIIIZI (-0.02487446571237091+0j)
IIIIIZIIIIIIIIZI (0.11277343373796793+0j)
IIIIZIIIIIIIIIZI (0.13271283266173758+0j)
IIIZIIIIIIIIIIZI (0.13271283266173767+0j)
IIZIIIIIIIIIIIZI (0.12369877119922451+0j)
IZIIIIIIIIIIIIZI (0.1291758826025774+0j)
ZIIIIIIIIIIIIIZI (0.12917588260257742+0j)
IIIIIIIIIIYZZIYI (-0.022852774219712952+0j)
IIIIIIIIIIXZZIXI (-0.022852774219712952+0j)
IIIIIIIIIYZZYYYI (-0.003776215823988213+0j)
IIIIIIIIIXZZXYYI (-0.0020977707391555836+0j)
IIIIIIIIIYZZXXYI (-0.0016784450848326287+0j)
IIIIIIIIIXZZYYXI (-0.0016784450848326287+0j)
IIIIIIIIIYZZYXXI (-0.0020977707391555836+0j)
IIIIIIIIIXZZXXXI (-0.003776215823988213+0j)
IIIIIIIIYZZZYYYI (0.014570332841548347+0j)
IIIIIIIIXZZZXYYI (0.008094139561778704+0j)
IIIIIIIIYZZZXXYI (0.006476193279769643+0j)
IIIIIIIIXZZZYYXI (0.006476193279769643+0j)
IIIIIIIIYZZZYXXI (0.008094139561778704+0j)
IIIIIIIIXZZZXXXI (0.014570332841548347+0j)
IIIIIIIIIYZYIYYI (0.014570332841548336+0j)
IIIIIIIIIXZXIYYI (0.008094139561778698+0j)
IIIIIIIIIYZXIXYI (0.006476193279769639+0j)
IIIIIIIIIXZYIYXI (0.006476193279769639+0j)
IIIIIIIIIYZYIXXI (0.008094139561778698+0j)
IIIIIIIIIXZXIXXI (0.014570332841548336+0j)
IIIIIIIIYZZYIYYI (0.003776215823988201+0j)
IIIIIIIIXZZXIYYI (0.0020977707391555767+0j)
IIIIIIIIYZZXIXYI (0.001678445084832625+0j)
IIIIIIIIXZZYIYXI (0.001678445084832625+0j)
IIIIIIIIYZZYIXXI (0.0020977707391555767+0j)
IIIIIIIIXZZXIXXI (0.003776215823988201+0j)
IIIIIIYYIIIIIYYI (-0.002332108214760327+0j)
IIIIIIXXIIIIIYYI (-0.002332108214760327+0j)
IIIIIIYYIIIIIXXI (-0.002332108214760327+0j)
IIIIIIXXIIIIIXXI (-0.002332108214760327+0j)
IIYZZZZYIIIIIYYI (-0.0007525496132019974+0j)
IIXZZZZXIIIIIYYI (-0.0007525496132019974+0j)
IIYZZZZYIIIIIXXI (-0.0007525496132019974+0j)
IIXZZZZXIIIIIXXI (-0.0007525496132019974+0j)
IIIIIYYIIIIIIYYI (0.01789609989146496+0j)
IIIIIXXIIIIIIYYI (0.01789609989146496+0j)
IIIIIYYIIIIIIXXI (0.01789609989146496+0j)
IIIIIXXIIIIIIXXI (0.01789609989146496+0j)
IIYZZYIIIIIIIYYI (-0.024131474077341585+0j)
IIXZZXIIIIIIIYYI (-0.024131474077341585+0j)
IIYZZYIIIIIIIXXI (-0.024131474077341585+0j)
IIXZZXIIIIIIIXXI (-0.024131474077341585+0j)
IYZZYIIIIIIIIYYI (-0.006383132931819641+0j)
IXZZXIIIIIIIIYYI (-0.006383132931819641+0j)
IYZZYIIIIIIIIXXI (-0.006383132931819641+0j)
IXZZXIIIIIIIIXXI (-0.006383132931819641+0j)
YZZZYIIIIIIIIYYI (0.02462898725164359+0j)
XZZZXIIIIIIIIYYI (0.02462898725164359+0j)
YZZZYIIIIIIIIXXI (0.02462898725164359+0j)
XZZZXIIIIIIIIXXI (0.02462898725164359+0j)
IYZYIIIIIIIIIYYI (0.024628987251643582+0j)
IXZXIIIIIIIIIYYI (0.024628987251643582+0j)
IYZYIIIIIIIIIXXI (0.024628987251643582+0j)
IXZXIIIIIIIIIXXI (0.024628987251643582+0j)
YZZYIIIIIIIIIYYI (0.006383132931819622+0j)
XZZXIIIIIIIIIYYI (0.006383132931819622+0j)
YZZYIIIIIIIIIXXI (0.006383132931819622+0j)
XZZXIIIIIIIIIXXI (0.006383132931819622+0j)
IIIIIIIIIIYZIZYI (-0.013489559457914628+0j)
IIIIIIIIIIXZIZXI (-0.013489559457914628+0j)
IYZZZZZYIIIIYZYI (-0.0011353470587351846+0j)
IXZZZZZXIIIIYZYI (-0.0011353470587351846+0j)
IYZZZZZYIIIIXZXI (-0.0011353470587351846+0j)
IXZZZZZXIIIIXZXI (-0.0011353470587351846+0j)
YZZZZZZYIIIIYZYI (0.0043806777227508925+0j)
XZZZZZZXIIIIYZYI (0.0043806777227508925+0j)
YZZZZZZYIIIIXZXI (0.0043806777227508925+0j)
XZZZZZZXIIIIXZXI (0.0043806777227508925+0j)
IIIIYZYIIIIIYZYI (0.02329246267038279+0j)
IIIIXZXIIIIIYZYI (0.02329246267038279+0j)
IIIIYZYIIIIIXZXI (0.02329246267038279+0j)
IIIIXZXIIIIIXZXI (0.02329246267038279+0j)
IYZZZYIIIIIIYZYI (-0.004285362192664058+0j)
IXZZZXIIIIIIYZYI (-0.004285362192664058+0j)
IYZZZYIIIIIIXZXI (-0.004285362192664058+0j)
IXZZZXIIIIIIXZXI (-0.004285362192664058+0j)
YZZZZYIIIIIIYZYI (0.016534847689864882+0j)
XZZZZXIIIIIIYZYI (0.016534847689864882+0j)
YZZZZYIIIIIIXZXI (0.016534847689864882+0j)
XZZZZXIIIIIIXZXI (0.016534847689864882+0j)
IIYZYIIIIIIIYZYI (-0.001057708185661716+0j)
IIXZXIIIIIIIYZYI (-0.001057708185661716+0j)
IIYZYIIIIIIIXZXI (-0.001057708185661716+0j)
IIXZXIIIIIIIXZXI (-0.001057708185661716+0j)
IIIIIIIIIIYIZZYI (-0.013489559457914637+0j)
IIIIIIIIIIXIZZXI (-0.013489559457914637+0j)
IYZZZZZYIIIYZZYI (0.0043806777227508925+0j)
IXZZZZZXIIIYZZYI (0.0043806777227508925+0j)
IYZZZZZYIIIXZZXI (0.0043806777227508925+0j)
IXZZZZZXIIIXZZXI (0.0043806777227508925+0j)
YZZZZZZYIIIYZZYI (0.001135347058735181+0j)
XZZZZZZXIIIYZZYI (0.001135347058735181+0j)
YZZZZZZYIIIXZZXI (0.001135347058735181+0j)
XZZZZZZXIIIXZZXI (0.001135347058735181+0j)
IIIYZZYIIIIYZZYI (0.023292462670382794+0j)
IIIXZZXIIIIYZZYI (0.023292462670382794+0j)
IIIYZZYIIIIXZZXI (0.023292462670382794+0j)
IIIXZZXIIIIXZZXI (0.023292462670382794+0j)
IYZZZYIIIIIYZZYI (0.016534847689864882+0j)
IXZZZXIIIIIYZZYI (0.016534847689864882+0j)
IYZZZYIIIIIXZZXI (0.016534847689864882+0j)
IXZZZXIIIIIXZZXI (0.016534847689864882+0j)
YZZZZYIIIIIYZZYI (0.004285362192664046+0j)
XZZZZXIIIIIYZZYI (0.004285362192664046+0j)
YZZZZYIIIIIXZZXI (0.004285362192664046+0j)
XZZZZXIIIIIXZZXI (0.004285362192664046+0j)
IIYYIIIIIIIYZZYI (-0.0010577081856617163+0j)
IIXXIIIIIIIYZZYI (-0.0010577081856617163+0j)
IIYYIIIIIIIXZZXI (-0.0010577081856617163+0j)
IIXXIIIIIIIXZZXI (-0.0010577081856617163+0j)
IIIIIIIIIZYZZZYI (-0.012756238077833406+0j)
IIIIIIIIIZXZZZXI (-0.012756238077833406+0j)
IIIIIIIIZIYZZZYI (-0.012756238077833422+0j)
IIIIIIIIZIXZZZXI (-0.012756238077833422+0j)
IIIIIIIZIIYZZZYI (-0.016062622983098834+0j)
IIIIIIIZIIXZZZXI (-0.016062622983098834+0j)
IIIIIYZYIIYZZZYI (-0.0014248376313661863+0j)
IIIIIXZXIIYZZZYI (-0.0014248376313661863+0j)
IIIIIYZYIIXZZZXI (-0.0014248376313661863+0j)
IIIIIXZXIIXZZZXI (-0.0014248376313661863+0j)
IIIIIIZIIIYZZZYI (-0.02487446571237091+0j)
IIIIIIZIIIXZZZXI (-0.02487446571237091+0j)
IIYZZZYIIIYZZZYI (0.015953883698564427+0j)
IIXZZZXIIIYZZZYI (0.015953883698564427+0j)
IIYZZZYIIIXZZZXI (0.015953883698564427+0j)
IIXZZZXIIIXZZZXI (0.015953883698564427+0j)
IIIIIZIIIIYZZZYI (0.0012786998576286303+0j)
IIIIIZIIIIXZZZXI (0.0012786998576286303+0j)
IIIIZIIIIIYZZZYI (-0.012431851272252914+0j)
IIIIZIIIIIXZZZXI (-0.012431851272252914+0j)
IIIZIIIIIIYZZZYI (-0.012431851272252919+0j)
IIIZIIIIIIXZZZXI (-0.012431851272252919+0j)
IIZIIIIIIIYZZZYI (-0.005757008969943829+0j)
IIZIIIIIIIXZZZXI (-0.005757008969943829+0j)
IZIIIIIIIIYZZZYI (-0.007612831048648747+0j)
IZIIIIIIIIXZZZXI (-0.007612831048648747+0j)
