Bravyi-Kitaev mapping of C2 Hamiltonian in sto3g basis.
IIIIIIIIIIIIIIIIII (-61.68813609254261+0j)
IZIIIIIIIIIIIIIIII (0.7733322981154378+0j)
ZZIIIIIIIIIIIIIIII (0.7733322981154379+0j)
IIIIIIIIIIIIIIIIZI (0.10479090573311328+0j)
IIIIIIIIIIIIIIZIXI (-0.0016498339836929499+0j)
IIIIIIIIIIIIIIIZXZ (0.0016498339836929499+0j)
IIIIIIIIIIIIIIIZIZ (0.16133692256832707+0j)
IIIIIIIIIIIYZIYXZZ (-0.017204367783438236+0j)
IIIIIIIIIIIXZIYYZZ (0.017204367783438236+0j)
IIIIIIIIIIIIIIZZZZ (0.14005122006251805+0j)
IIIIIIIIIIIIIZIIIZ (0.1487351921805507+0j)
IIIIIIIIIIIIZZIIIZ (0.14873519218055078+0j)
IIIIIIIIIIIZIIIIIZ (0.15088370406921048+0j)
IIIIIIIIIIZZZIZIIZ (0.15644905498389772+0j)
IIIIIIIIIZIIIIIIIZ (0.1564490549838978+0j)
IIIIIIIIZZIIIIIIIZ (0.4909806435923954+0j)
IIIIIIZIXZIIIIIIIZ (-0.04459551424241066+0j)
IIIIIIIZXIIIIIIIIZ (0.04459551424241066+0j)
IIZIIIXIXZZIIIIIIZ (0.014516632710289589+0j)
IIIZZIYIYIIIIIIIIZ (0.014516632710289589+0j)
IIIIIIIZIIIIIIIIIZ (0.49092072115361296+0j)
IIIIXYYXZIIIIIIIIZ (0.04335933905766109+0j)
IIIIXXYYZIIIIIIIIZ (-0.04335933905766109+0j)
IIIIIIZZZIIIIIIIIZ (0.16893714853770833+0j)
IIZIIIXZZIZIIIIIIZ (0.016045276569507418+0j)
IIIZZIXIIIIIIIIIIZ (-0.016045276569507418+0j)
IIIIIZIIIIIIIIIIIZ (0.1469824613030027+0j)
IIIIZZIIIIIIIIIIIZ (0.15111911817273477+0j)
IIIZIIIIIIIIIIIIIZ (0.15111911817273485+0j)
IIZZZIZIIIZIIIIIIZ (0.15407981110213748+0j)
IZIIIIIIIIIIIIIIIZ (0.1597740588787506+0j)
ZZIIIIIIIIIIIIIIIZ (0.15977405887875068+0j)
IIIIIIIIIIIIIIIYXY (-0.001236312752842611+0j)
IIIIIIIIIIIIIIIXXX (-0.001236312752842611+0j)
IIIIIIIIIIIYZIYIYY (0.003697700633154438+0j)
IIIIIIIIIIIXZIYIYX (0.003697700633154438+0j)
IIIIIIIIIIIIIIZXIX (0.038223336633539315+0j)
IIIIIIIIIIIIIIIXZX (-0.03825761443074021+0j)
IIIIIIIIIIIIIIZYZY (-3.427779720090174e-05+0j)
IIIIIIIIIIIIIIIYZY (-3.427779720090174e-05+0j)
IIIIIIIIIIIIIIZXZX (-0.03825761443074021+0j)
IIIIIIIIIIIIIIIXIX (0.038223336633539315+0j)
IIIIIIIIIIIYZIYZIX (0.04774560589871446+0j)
IIIIIIIIIIIXZIXIZX (0.04785798264167296+0j)
IIIIIIIIIIIYZIXIIY (0.00011237674295849417+0j)
IIIIIIIIIIIXZIYZIY (0.00011237674295849417+0j)
IIIIIIIIIIIYZIYZZX (-0.04785798264167296+0j)
IIIIIIIIIIIXZIXIIX (-0.04774560589871446+0j)
IIIIIIIIIIZIXXZIZX (0.05821020014163489+0j)
IIIIIIIIIIIZYYIIZX (0.05806571993746247+0j)
IIIIIIIIIIZIXYZIIY (0.00014448020417241227+0j)
IIIIIIIIIIIZYXIIZY (0.00014448020417241227+0j)
IIIIIIIIIIZIXXZIIX (-0.05806571993746247+0j)
IIIIIIIIIIIZYYIIIX (-0.05821020014163489+0j)
IIIIIIXIXYYIXXZIZX (0.0028497363040579995+0j)
IIIIIIXIXXYIXYZIZX (-0.002842663136777247+0j)
IIIIIIXIXYYIXYZIIY (7.073167280751986e-06+0j)
IIIIIIXIXXYIXXZIZY (-7.073167280751986e-06+0j)
IIIIIIXIXYYIXXZIIX (-0.002842663136777247+0j)
IIIIIIXIXXYIXYZIIX (0.0028497363040579995+0j)
IIIIIIIIIIZIXZZIZX (0.002849736304057983+0j)
IIIIIIIIIIIZXIIIZX (-0.0028426631367772315+0j)
IIIIIIIIIIZIYIZIIY (7.073167280751823e-06+0j)
IIIIIIIIIIIZYZIIZY (7.073167280751823e-06+0j)
IIIIIIIIIIZIXZZIIX (-0.0028426631367772315+0j)
IIIIIIIIIIIZXIIIIX (0.002849736304057983+0j)
IIIIIIXIXYYIXZZIZX (-0.0582102001416349+0j)
IIIIIIXIXXYIYIZIZX (0.058065719937462484+0j)
IIIIIIXIXYYIYIZIIY (-0.00014448020417241053+0j)
IIIIIIXIXXYIXZZIZY (0.00014448020417241053+0j)
IIIIIIXIXYYIXZZIIX (0.058065719937462484+0j)
IIIIIIXIXXYIYIZIIX (-0.0582102001416349+0j)
IIIIIIIYYZIIIIIIZX (-0.3861298154204996+0j)
IIIIIIIXXIIIIIIIZX (-0.3861298154204996+0j)
IIIIIIIYYZIIIIIIIX (0.3861298154204996+0j)
IIIIIIIXXIIIIIIIIX (0.3861298154204996+0j)
IIIIXYYIXZIIIIIIZX (0.04170950507396814+0j)
IIIIXXYIYIIIIIIIZX (-0.04170950507396814+0j)
IIIIXYYIXZIIIIIIIX (-0.04170950507396814+0j)
IIIIXXYIYIIIIIIIIX (0.04170950507396814+0j)
IIIIIIZXZIIIIIIIZX (-0.045809734165159405+0j)
IIIIIIIXIIIIIIIIZX (0.045809734165159405+0j)
IIIIIIZXZIIIIIIIIX (0.045809734165159405+0j)
IIIIIIIXIIIIIIIIIX (-0.045809734165159405+0j)
IIZIIIXXZIZIIIIIZX (0.010839291580633664+0j)
IIIZZIYYZIIIIIIIZX (0.010839291580633664+0j)
IIZIIIXXZIZIIIIIIX (-0.010839291580633664+0j)
IIIZZIYYZIIIIIIIIX (-0.010839291580633664+0j)
IIIIXYYZZIIIIIIIZX (-0.044809105875442116+0j)
IIIIXXXIIIIIIIIIZX (-0.044809105875442116+0j)
IIIIXYYZZIIIIIIIIX (0.044809105875442116+0j)
IIIIXXXIIIIIIIIIIX (0.044809105875442116+0j)
IIZIXXZIIIZIIIIIZX (-0.0507494809883227+0j)
IIIZYYIIIIIIIIIIZX (-0.0507494809883227+0j)
IIZIXXZIIIZIIIIIIX (0.0507494809883227+0j)
IIIZYYIIIIIIIIIIIX (0.0507494809883227+0j)
XYYIXZZIIIZIIIIIZX (-0.060942366544481145+0j)
XXYIYIZIIIZIIIIIZX (0.060942366544481145+0j)
XYYIXZZIIIZIIIIIIX (0.060942366544481145+0j)
XXYIYIZIIIZIIIIIIX (-0.060942366544481145+0j)
YIYIXZZIIIZIIIIIZX (0.0029834921366779536+0j)
XZYIYIZIIIZIIIIIZX (-0.0029834921366779536+0j)
YIYIXZZIIIZIIIIIIX (-0.0029834921366779536+0j)
XZYIYIZIIIZIIIIIIX (0.0029834921366779536+0j)
XYYXZIZIIIZIIIIIZX (-0.0029834921366779367+0j)
XXYYZIZIIIZIIIIIZX (0.0029834921366779367+0j)
XYYXZIZIIIZIIIIIIX (0.0029834921366779367+0j)
XXYYZIZIIIZIIIIIIX (-0.0029834921366779367+0j)
YIYXZIZIIIZIIIIIZX (-0.06094236654448116+0j)
XZYYZIZIIIZIIIIIZX (0.06094236654448116+0j)
YIYXZIZIIIZIIIIIIX (0.06094236654448116+0j)
XZYYZIZIIIZIIIIIIX (-0.06094236654448116+0j)
IIIIIIIIIIIYZIYZXX (-0.0037788603947393443+0j)
IIIIIIIIIIIXZIYZXY (0.0037788603947393443+0j)
IIIIIIIIIIIIIIZXXX (-0.0017337490556414178+0j)
IIIIIIIIIIIIIIZYXY (-0.0017337490556414178+0j)
IIIIIIIIIIIIIZIYYX (0.0046673715642225975+0j)
IIIIIIIIIIIIIZIXYY (-0.0046673715642225975+0j)
IIIIIIIIIIIIZZIYYX (0.0046673715642226036+0j)
IIIIIIIIIIIIZZIXYY (-0.0046673715642226036+0j)
IIIIIIIIIIIZIIIYYX (0.005523205926757513+0j)
IIIIIIIIIIIZIIIXYY (-0.005523205926757513+0j)
IIIIIIIIIIZZZIZYYX (0.004940271792629765+0j)
IIIIIIIIIIZZZIZXYY (-0.004940271792629765+0j)
IIIIIIIIIZIIIIIYYX (0.0049402717926297695+0j)
IIIIIIIIIZIIIIIXYY (-0.0049402717926297695+0j)
IIIIIIIIZZIIIIIYYX (0.04459551424241066+0j)
IIIIIIIIZZIIIIIXYY (-0.04459551424241066+0j)
IIIIIIZIXZIIIIIYYX (-0.007600225969381246+0j)
IIIIIIIZXIIIIIIYYX (0.007600225969381246+0j)
IIIIIIZIXZIIIIIXYY (0.007600225969381246+0j)
IIIIIIIZXIIIIIIXYY (-0.007600225969381246+0j)
IIZIIIXIXZZIIIIYYX (0.0011590912139308187+0j)
IIIZZIYIYIIIIIIYYX (0.0011590912139308187+0j)
IIZIIIXIXZZIIIIXYY (-0.0011590912139308187+0j)
IIIZZIYIYIIIIIIXYY (-0.0011590912139308187+0j)
IIIIIIIZIIIIIIIYYX (0.044573421412316794+0j)
IIIIIIIZIIIIIIIXYY (-0.044573421412316794+0j)
IIIIXYYXZIIIIIIYYX (0.0065514914447019+0j)
IIIIXXYYZIIIIIIYYX (-0.0065514914447019+0j)
IIIIXYYXZIIIIIIXYY (-0.0065514914447019+0j)
IIIIXXYYZIIIIIIXYY (0.0065514914447019+0j)
IIIIIIZZZIIIIIIYYX (0.0006785514404977044+0j)
IIIIIIZZZIIIIIIXYY (-0.0006785514404977044+0j)
IIZIIIXZZIZIIIIYYX (-0.001528652343817547+0j)
IIIZZIXIIIIIIIIYYX (0.001528652343817547+0j)
IIZIIIXZZIZIIIIXYY (0.001528652343817547+0j)
IIIZZIXIIIIIIIIXYY (-0.001528652343817547+0j)
IIIIIZIIIIIIIIIYYX (0.002907543145240808+0j)
IIIIIZIIIIIIIIIXYY (-0.002907543145240808+0j)
IIIIZZIIIIIIIIIYYX (0.0006643142655695744+0j)
IIIIZZIIIIIIIIIXYY (-0.0006643142655695744+0j)
IIIZIIIIIIIIIIIYYX (0.0006643142655695791+0j)
IIIZIIIIIIIIIIIXYY (-0.0006643142655695791+0j)
IIZZZIZIIIZIIIIYYX (0.0017514359313500173+0j)
IIZZZIZIIIZIIIIXYY (-0.0017514359313500173+0j)
IZIIIIIIIIIIIIIYYX (0.001597803574445784+0j)
IZIIIIIIIIIIIIIXYY (-0.001597803574445784+0j)
ZZIIIIIIIIIIIIIYYX (0.0015978035744457872+0j)
ZZIIIIIIIIIIIIIXYY (-0.0015978035744457872+0j)
IIIIIIIIIIIYZIXZYX (0.0005668574456344414+0j)
IIIIIIIIIIIXZIXZYY (-0.0005668574456344414+0j)
IIIIIIIIIIZIXXIIXX (-0.003874948439889843+0j)
IIIIIIIIIIIZYYZIXX (-0.004379657319252777+0j)
IIIIIIIIIIZIXYZZYX (0.0005047088793629336+0j)
IIIIIIIIIIIZYXZIXY (0.0005047088793629336+0j)
IIIIIIIIIIZIXXZZYY (-0.004379657319252777+0j)
IIIIIIIIIIIZYYIZYY (-0.003874948439889843+0j)
IIIIIIXIXYYIXXIIXX (-0.00018970182577346623+0j)
IIIIIIXIXXYIXYIIXX (0.00021441033412769622+0j)
IIIIIIXIXYYIXYZZYX (2.470850835422998e-05+0j)
IIIIIIXIXXYIXXIIXY (-2.470850835422998e-05+0j)
IIIIIIXIXYYIXXZZYY (-0.00021441033412769622+0j)
IIIIIIXIXXYIXYZZYY (0.00018970182577346623+0j)
IIIIIIIIIIZIXZIIXX (-0.0001897018257734644+0j)
IIIIIIIIIIIZXIZIXX (0.00021441033412769424+0j)
IIIIIIIIIIZIYIZZYX (2.4708508354229847e-05+0j)
IIIIIIIIIIIZYZZIXY (2.4708508354229847e-05+0j)
IIIIIIIIIIZIXZZZYY (-0.00021441033412769424+0j)
IIIIIIIIIIIZXIIZYY (0.0001897018257734644+0j)
IIIIIIXIXYYIXZIIXX (0.003874948439889847+0j)
IIIIIIXIXXYIYIIIXX (-0.004379657319252782+0j)
IIIIIIXIXYYIYIZZYX (-0.0005047088793629344+0j)
IIIIIIXIXXYIXZIIXY (0.0005047088793629344+0j)
IIIIIIXIXYYIXZZZYY (0.004379657319252782+0j)
IIIIIIXIXXYIYIZZYY (-0.003874948439889847+0j)
IIIIIIIYYZIIIIZIXX (0.04170950507396814+0j)
IIIIIIIXXIIIIIZIXX (0.04170950507396814+0j)
IIIIIIIYYZIIIIIZYY (0.04170950507396814+0j)
IIIIIIIXXIIIIIIZYY (0.04170950507396814+0j)
IIIIXYYIXZIIIIZIXX (-0.006931241240484625+0j)
IIIIXXYIYIIIIIZIXX (0.006931241240484625+0j)
IIIIXYYIXZIIIIIZYY (-0.006931241240484625+0j)
IIIIXXYIYIIIIIIZYY (0.006931241240484625+0j)
IIIIIIZXZIIIIIZIXX (0.0065857692419028025+0j)
IIIIIIIXIIIIIIZIXX (-0.0065857692419028025+0j)
IIIIIIZXZIIIIIIZYY (0.0065857692419028025+0j)
IIIIIIIXIIIIIIIZYY (-0.0065857692419028025+0j)
IIZIIIXXZIZIIIZIXX (-0.002891498346649742+0j)
IIIZZIYYZIIIIIZIXX (-0.002891498346649742+0j)
IIZIIIXXZIZIIIIZYY (-0.002891498346649742+0j)
IIIZZIYYZIIIIIIZYY (-0.002891498346649742+0j)
IIIIXYYZZIIIIIZIXX (0.0011737940895993901+0j)
IIIIXXXIIIIIIIZIXX (0.0011737940895993901+0j)
IIIIXYYZZIIIIIIZYY (0.0011737940895993901+0j)
IIIIXXXIIIIIIIIZYY (0.0011737940895993901+0j)
IIZIXXZIIIZIIIZIXX (-0.0006110374730380234+0j)
IIIZYYIIIIIIIIZIXX (-0.0006110374730380234+0j)
IIZIXXZIIIZIIIIZYY (-0.0006110374730380234+0j)
IIIZYYIIIIIIIIIZYY (-0.0006110374730380234+0j)
XYYIXZZIIIZIIIZIXX (0.0006934736257900553+0j)
XXYIYIZIIIZIIIZIXX (-0.0006934736257900553+0j)
XYYIXZZIIIZIIIIZYY (0.0006934736257900553+0j)
XXYIYIZIIIZIIIIZYY (-0.0006934736257900553+0j)
YIYIXZZIIIZIIIZIXX (-3.394966797077203e-05+0j)
XZYIYIZIIIZIIIZIXX (3.394966797077203e-05+0j)
YIYIXZZIIIZIIIIZYY (-3.394966797077203e-05+0j)
XZYIYIZIIIZIIIIZYY (3.394966797077203e-05+0j)
XYYXZIZIIIZIIIZIXX (3.394966797077089e-05+0j)
XXYYZIZIIIZIIIZIXX (-3.394966797077089e-05+0j)
XYYXZIZIIIZIIIIZYY (3.394966797077089e-05+0j)
XXYYZIZIIIZIIIIZYY (-3.394966797077089e-05+0j)
YIYXZIZIIIZIIIZIXX (0.0006934736257900593+0j)
XZYYZIZIIIZIIIZIXX (-0.0006934736257900593+0j)
YIYXZIZIIIZIIIIZYY (0.0006934736257900593+0j)
XZYYZIZIIIZIIIIZYY (-0.0006934736257900593+0j)
IIIIIIIIIIIYZZYIXX (-0.002829988029188357+0j)
IIIIIIIIIIIXZZYIXY (0.002829988029188357+0j)
IIIIYIYIXZIIXYYIXX (0.0023839259921840613+0j)
IIIIXZYIYIIIXYYIXX (-0.0023839259921840613+0j)
IIIIYIYIXZIIXXYIXY (-0.0023839259921840613+0j)
IIIIXZYIYIIIXXYIXY (0.0023839259921840613+0j)
XYYIIIXXZIZIXYYIXX (0.0028766466070186715+0j)
XXYIIIXYZIZIXYYIXX (-0.0028766466070186715+0j)
XYYIIIXXZIZIXXYIXY (-0.0028766466070186715+0j)
XXYIIIXYZIZIXXYIXY (0.0028766466070186715+0j)
YIYIIIXXZIZIXYYIXX (-0.0001408289999007058+0j)
XZYIIIXYZIZIXYYIXX (0.0001408289999007058+0j)
YIYIIIXXZIZIXXYIXY (0.0001408289999007058+0j)
XZYIIIXYZIZIXXYIXY (-0.0001408289999007058+0j)
IIIIYIYZZIIIXYYIXX (0.004003057298653022+0j)
IIIIXZXIIIIIXYYIXX (0.004003057298653022+0j)
IIIIYIYZZIIIXXYIXY (-0.004003057298653022+0j)
IIIIXZXIIIIIXXYIXY (-0.004003057298653022+0j)
XYYIXXZIIIZIXYYIXX (0.003686183693462721+0j)
XXYIXYZIIIZIXYYIXX (-0.003686183693462721+0j)
XYYIXXZIIIZIXXYIXY (-0.003686183693462721+0j)
XXYIXYZIIIZIXXYIXY (0.003686183693462721+0j)
YIYIXXZIIIZIXYYIXX (-0.00018046066615692426+0j)
XZYIXYZIIIZIXYYIXX (0.00018046066615692426+0j)
YIYIXXZIIIZIXXYIXY (0.00018046066615692426+0j)
XZYIXYZIIIZIXXYIXY (-0.00018046066615692426+0j)
IIZIXZZIIIZIXYYIXX (0.0007058942480013083+0j)
IIIZXIIIIIIIXYYIXX (-0.0007058942480013083+0j)
IIZIXZZIIIZIXXYIXY (-0.0007058942480013083+0j)
IIIZXIIIIIIIXXYIXY (0.0007058942480013083+0j)
IIIIIIIIIIIYIZYIXX (-0.002829988029188358+0j)
IIIIIIIIIIIXIZYIXY (0.002829988029188358+0j)
IIIYZIYIXZIIYIYIXX (0.002383925992184062+0j)
IIIXZIYIYIIIYIYIXX (-0.002383925992184062+0j)
IIIYZIYIXZIIXZYIXY (-0.002383925992184062+0j)
IIIXZIYIYIIIXZYIXY (0.002383925992184062+0j)
XYYIIIXXZIZIYIYIXX (0.0001408289999007052+0j)
XXYIIIXYZIZIYIYIXX (-0.0001408289999007052+0j)
XYYIIIXXZIZIXZYIXY (-0.0001408289999007052+0j)
XXYIIIXYZIZIXZYIXY (0.0001408289999007052+0j)
YIYIIIXXZIZIYIYIXX (0.002876646607018671+0j)
XZYIIIXYZIZIYIYIXX (-0.002876646607018671+0j)
YIYIIIXXZIZIXZYIXY (-0.002876646607018671+0j)
XZYIIIXYZIZIXZYIXY (0.002876646607018671+0j)
IIIYZIYZZIIIYIYIXX (0.004003057298653024+0j)
IIIXZIXIIIIIYIYIXX (0.004003057298653024+0j)
IIIYZIYZZIIIXZYIXY (-0.004003057298653024+0j)
IIIXZIXIIIIIXZYIXY (-0.004003057298653024+0j)
XYYIXXZIIIZIYIYIXX (0.0001804606661569234+0j)
XXYIXYZIIIZIYIYIXX (-0.0001804606661569234+0j)
XYYIXXZIIIZIXZYIXY (-0.0001804606661569234+0j)
XXYIXYZIIIZIXZYIXY (0.0001804606661569234+0j)
YIYIXXZIIIZIYIYIXX (0.003686183693462723+0j)
XZYIXYZIIIZIYIYIXX (-0.003686183693462723+0j)
YIYIXXZIIIZIXZYIXY (-0.003686183693462723+0j)
XZYIXYZIIIZIXZYIXY (0.003686183693462723+0j)
IIZXZIZIIIZIYIYIXX (0.0007058942480013084+0j)
IIIXIIIIIIIIYIYIXX (-0.0007058942480013084+0j)
IIZXZIZIIIZIXZYIXY (-0.0007058942480013084+0j)
IIIXIIIIIIIIXZYIXY (0.0007058942480013084+0j)
IIIIIIIIIIZXIIXIXX (0.0028452615066167824+0j)
IIIIIIIIIIZYIIXIXY (0.0028452615066167824+0j)
IIIIIIIIIZIYZIYIXX (-0.002845261506616783+0j)
IIIIIIIIIZIXZIYIXY (0.002845261506616783+0j)
IIIIIIIIZZIYZIYIXX (-0.014516632710289589+0j)
IIIIIIIIZZIXZIYIXY (0.014516632710289589+0j)
IIIIIIZIXZIYZIYIXX (0.0011590912139308187+0j)
IIIIIIIZXIIYZIYIXX (-0.0011590912139308187+0j)
IIIIIIZIXZIXZIYIXY (-0.0011590912139308187+0j)
IIIIIIIZXIIXZIYIXY (0.0011590912139308187+0j)
IIZIIIXIXZZYZIYIXX (-0.0031961070329269985+0j)
IIIZZIYIYIIYZIYIXX (-0.0031961070329269985+0j)
IIZIIIXIXZZXZIYIXY (0.0031961070329269985+0j)
IIIZZIYIYIIXZIYIXY (0.0031961070329269985+0j)
IIIIIIIZIIIYZIYIXX (-0.0145369922137881+0j)
IIIIIIIZIIIXZIYIXY (0.0145369922137881+0j)
IIIIXYYXZIIYZIYIXX (-0.0030038750896082367+0j)
IIIIXXYYZIIYZIYIXX (0.0030038750896082367+0j)
IIIIXYYXZIIXZIYIXY (0.0030038750896082367+0j)
IIIIXXYYZIIXZIYIXY (-0.0030038750896082367+0j)
IIIIIIZZZIIYZIYIXX (-0.005307512738556891+0j)
IIIIIIZZZIIXZIYIXY (0.005307512738556891+0j)
IIZIIIXZZIZYZIYIXX (-0.003771769995407497+0j)
IIIZZIXIIIIYZIYIXX (0.003771769995407497+0j)
IIZIIIXZZIZXZIYIXY (0.003771769995407497+0j)
IIIZZIXIIIIXZIYIXY (-0.003771769995407497+0j)
IIIIIZIIIIIYZIYIXX (0.0011778949186724648+0j)
IIIIIZIIIIIXZIYIXY (-0.0011778949186724648+0j)
IIIIZZIIIIIYZIYIXX (-0.0021240937811870487+0j)
IIIIZZIIIIIXZIYIXY (0.0021240937811870487+0j)
IIIZIIIIIIIYZIYIXX (-0.0021240937811870496+0j)
IIIZIIIIIIIXZIYIXY (0.0021240937811870496+0j)
IIZZZIZIIIZYZIYIXX (8.510377213342578e-06+0j)
IIZZZIZIIIZXZIYIXY (-8.510377213342578e-06+0j)
IZIIIIIIIIIYZIYIXX (-0.001192741713559902+0j)
IZIIIIIIIIIXZIYIXY (0.001192741713559902+0j)
ZZIIIIIIIIIYZIYIXX (-0.0011927417135599013+0j)
ZZIIIIIIIIIXZIYIXY (0.0011927417135599013+0j)
XYYIIIXIXZIIIIXIXX (-0.0033250038948528836+0j)
XXYIIIXIYIIIIIXIXX (0.0033250038948528836+0j)
XYYIIIXIXZZZZIYIXY (-0.0033250038948528836+0j)
XXYIIIXIYIZZZIYIXY (0.0033250038948528836+0j)
IIIIYIYXZIZIIIXIXX (-0.0027321664028462592+0j)
IIIIXZYYZIZIIIXIXX (0.0027321664028462592+0j)
IIIIYIYXZIIZZIYIXY (-0.0027321664028462592+0j)
IIIIXZYYZIIZZIYIXY (0.0027321664028462592+0j)
IIIYZIYXZIZIIIXIXX (-0.00013375583261995337+0j)
IIIXZIYYZIZIIIXIXX (0.00013375583261995337+0j)
IIIYZIYXZIIZZIYIXY (-0.00013375583261995337+0j)
IIIXZIYYZIIZZIYIXY (0.00013375583261995337+0j)
XYYIIIXZZIIIIIXIXX (-0.00334246821818398+0j)
XXYIIIYIIIIIIIXIXX (0.00334246821818398+0j)
XYYIIIXZZIZZZIYIXY (-0.00334246821818398+0j)
XXYIIIYIIIZZZIYIXY (0.00334246821818398+0j)
IIIIZXIIIIZIIIXIXX (0.0031814748140997877+0j)
IIIIIXIIIIZIIIXIXX (-0.0031814748140997877+0j)
IIIIZXIIIIIZZIYIXY (0.0031814748140997877+0j)
IIIIIXIIIIIZZIYIXY (-0.0031814748140997877+0j)
IIIYYXIIIIZIIIXIXX (-0.00015575215780269354+0j)
IIIXYYIIIIZIIIXIXX (0.00015575215780269354+0j)
IIIYYXIIIIIZZIYIXY (-0.00015575215780269354+0j)
IIIXYYIIIIIZZIYIXY (0.00015575215780269354+0j)
XYYZZIZIIIIIIIXIXX (0.0016525197930568807+0j)
XXXIIIIIIIZIIIXIXX (0.0016525197930568807+0j)
XYYZZIZIIIZZZIYIXY (0.0016525197930568807+0j)
XXXIIIIIIIIZZIYIXY (0.0016525197930568807+0j)
YIYIIIIIIXXIIIXIXX (-0.0033250038948528836+0j)
XZYIIIIIZYXIIIXIXX (0.0033250038948528836+0j)
YIYIIIIIIYXIIIXIXY (-0.0033250038948528836+0j)
XZYIIIIIZXXIIIXIXY (-0.0033250038948528836+0j)
IIIIYIZXYYYIIIXIXX (-0.0001337558326199538+0j)
IIIIXZZYYYYIIIXIXX (0.0001337558326199538+0j)
IIIIYIZXYXYIIIXIXY (0.0001337558326199538+0j)
IIIIXZZYYXYIIIXIXY (-0.0001337558326199538+0j)
IIIYZIZXYYYIIIXIXX (0.00273216640284626+0j)
IIIXZIZYYYYIIIXIXX (-0.00273216640284626+0j)
IIIYZIZXYXYIIIXIXY (-0.00273216640284626+0j)
IIIXZIZYYXYIIIXIXY (0.00273216640284626+0j)
YIYIIIIZYYXIIIXIXX (0.003342468218183982+0j)
XZYIIIZIXYXIIIXIXX (0.003342468218183982+0j)
YIYIIIIZYXXIIIXIXY (-0.003342468218183982+0j)
XZYIIIZIXXXIIIXIXY (-0.003342468218183982+0j)
IIIIZXXIXYYIIIXIXX (0.00015575215780269427+0j)
IIIIIXXIXYYIIIXIXX (-0.00015575215780269427+0j)
IIIIZXXIXXYIIIXIXY (-0.00015575215780269427+0j)
IIIIIXXIXXYIIIXIXY (0.00015575215780269427+0j)
IIIYYXXIXYYIIIXIXX (0.003181474814099788+0j)
IIIXYYXIXYYIIIXIXX (-0.003181474814099788+0j)
IIIYYXXIXXYIIIXIXY (-0.003181474814099788+0j)
IIIXYYXIXXYIIIXIXY (0.003181474814099788+0j)
YIYZZIYIXYXIIIXIXX (-0.0016525197930568817+0j)
XZXIIIXIXYYIIIXIXX (-0.0016525197930568817+0j)
YIYZZIYIXXXIIIXIXY (0.0016525197930568817+0j)
XZXIIIXIXXYIIIXIXY (0.0016525197930568817+0j)
IIIIIIIIIIIIIIIZZZ (0.16139357723513922+0j)
IIIIIIIIIIIYZIYXIZ (-0.017313723583356075+0j)
IIIIIIIIIIIXZIYYIZ (0.017313723583356075+0j)
IIIIIIIIIIIIIIZZIZ (0.13998965662073307+0j)
IIIIIIIIIIIIIZIIZZ (0.14887799830660978+0j)
IIIIIIIIIIIIZZIIZZ (0.14887799830660986+0j)
IIIIIIIIIIIZIIIIZZ (0.151145558658165+0j)
IIIIIIIIIIZZZIZIZZ (0.15629507022563355+0j)
IIIIIIIIIZIIIIIIZZ (0.1562950702256336+0j)
