Jordan-Wigner mapping of C2 Hamiltonian in sto3g basis.
IIIIIIIIIIIIIIIIIIII (-62.50754225107464+0j)
IIIIIIIIIIIIXZXIXZZX (-0.00018259081527572686+0j)
IIIIIIIIIIIYZZYIYZZY (-0.0038752900263958863+0j)
IIIIIIIIIIIXZZXIYZZY (-0.004380043397123116+0j)
IIIIIIIIIIIYZZXIXZZY (0.00050475337072723+0j)
IIIIIIIIIIIXZZYIYZZX (0.00050475337072723+0j)
IIIIIIIIIIIYZZYIXZZX (-0.004380043397123116+0j)
IIIIIIIIIIIXZZXIXZZX (-0.0038752900263958863+0j)
IIIIIIIIIIYZZYIIYZZY (0.006571931508158145+0j)
IIIIIIIIIIXZZXIIYZZY (0.0037090082974385666+0j)
IIIIIIIIIIYZZXIIXZZY (0.00286292321071958+0j)
IIIIIIIIIIXZZYIIYZZX (0.00286292321071958+0j)
IIIIIIIIIIYZZYIIXZZX (0.0037090082974385666+0j)
IIIIIIIIIIXZZXIIXZZX (0.006571931508158145+0j)
IIIIIIIIYYIIIIIIYZZY (-0.041709505073968096+0j)
IIIIIIIIXXIIIIIIYZZY (-0.041709505073968096+0j)
IIIIIIIIYYIIIIIIXZZX (-0.041709505073968096+0j)
IIIIIIIIXXIIIIIIXZZX (-0.041709505073968096+0j)
IIIIIIYZZYIIIIIIYZZY (0.006931241240484622+0j)
IIIIIIXZZXIIIIIIYZZY (0.006931241240484622+0j)
IIIIIIYZZYIIIIIIXZZX (0.006931241240484622+0j)
IIIIIIXZZXIIIIIIXZZX (0.006931241240484622+0j)
YZZZZZZZZYIIIIIIYZZY (-0.0034688894596430074+0j)
XZZZZZZZZXIIIIIIYZZY (-0.0034688894596430074+0j)
YZZZZZZZZYIIIIIIXZZX (-0.0034688894596430074+0j)
XZZZZZZZZXIIIIIIXZZX (-0.0034688894596430074+0j)
IIIIIIIYYIIIIIIIYZZY (0.006585769241902794+0j)
IIIIIIIXXIIIIIIIYZZY (0.006585769241902794+0j)
IIIIIIIYYIIIIIIIXZZX (0.006585769241902794+0j)
IIIIIIIXXIIIIIIIXZZX (0.006585769241902794+0j)
IIIYZZZZYIIIIIIIYZZY (-0.002891498346649748+0j)
IIIXZZZZXIIIIIIIYZZY (-0.002891498346649748+0j)
IIIYZZZZYIIIIIIIXZZX (-0.002891498346649748+0j)
IIIXZZZZXIIIIIIIXZZX (-0.002891498346649748+0j)
IIIIIIYYIIIIIIIIYZZY (-0.0011737940895993858+0j)
IIIIIIXXIIIIIIIIYZZY (-0.0011737940895993858+0j)
IIIIIIYYIIIIIIIIXZZX (-0.0011737940895993858+0j)
IIIIIIXXIIIIIIIIXZZX (-0.0011737940895993858+0j)
YZZZZZZYIIIIIIIIYZZY (0.002671768353478619+0j)
XZZZZZZXIIIIIIIIYZZY (0.002671768353478619+0j)
YZZZZZZYIIIIIIIIXZZX (0.002671768353478619+0j)
XZZZZZZXIIIIIIIIXZZX (0.002671768353478619+0j)
IIIYZZYIIIIIIIIIYZZY (-0.0006110374730380201+0j)
IIIXZZXIIIIIIIIIYZZY (-0.0006110374730380201+0j)
IIIYZZYIIIIIIIIIXZZX (-0.0006110374730380201+0j)
IIIXZZXIIIIIIIIIXZZX (-0.0006110374730380201+0j)
IIYZZYIIIIIIIIIIYZZY (-0.0006935347572441955+0j)
IIXZZXIIIIIIIIIIYZZY (-0.0006935347572441955+0j)
IIYZZYIIIIIIIIIIXZZX (-0.0006935347572441955+0j)
IIXZZXIIIIIIIIIIXZZX (-0.0006935347572441955+0j)
IYZZZYIIIIIIIIIIYZZY (3.267705794527178e-05+0j)
IXZZZXIIIIIIIIIIYZZY (3.267705794527178e-05+0j)
IYZZZYIIIIIIIIIIXZZX (3.267705794527178e-05+0j)
IXZZZXIIIIIIIIIIXZZX (3.267705794527178e-05+0j)
IIYZYIIIIIIIIIIIYZZY (-3.267705794527162e-05+0j)
IIXZXIIIIIIIIIIIYZZY (-3.267705794527162e-05+0j)
IIYZYIIIIIIIIIIIXZZX (-3.267705794527162e-05+0j)
IIXZXIIIIIIIIIIIXZZX (-3.267705794527162e-05+0j)
IYZZYIIIIIIIIIIIYZZY (-0.0006935347572441968+0j)
IXZZXIIIIIIIIIIIYZZY (-0.0006935347572441968+0j)
IYZZYIIIIIIIIIIIXZZX (-0.0006935347572441968+0j)
IXZZXIIIIIIIIIIIXZZX (-0.0006935347572441968+0j)
YZZYIIIIIIIIIIIIYZZY (0.0007183638977338729+0j)
XZZXIIIIIIIIIIIIYZZY (0.0007183638977338729+0j)
YZZYIIIIIIIIIIIIXZZX (0.0007183638977338729+0j)
XZZXIIIIIIIIIIIIXZZX (0.0007183638977338729+0j)
IIIIIIIIIIIIIYZIZZZY (-0.0028299880291883313+0j)
IIIIIIIIIIIIIXZIZZZX (-0.0028299880291883313+0j)
IIIIIIIIIIYZYIIYZZZY (-0.004868967178973872+0j)
IIIIIIIIIIXZXIIYZZZY (-0.0002901440370236532+0j)
IIIIIIIIIIYZXIIXZZZY (-0.004578823141950219+0j)
IIIIIIIIIIXZYIIYZZZX (-0.004578823141950219+0j)
IIIIIIIIIIYZYIIXZZZX (-0.0002901440370236532+0j)
IIIIIIIIIIXZXIIXZZZX (-0.004868967178973872+0j)
IIIIIIIIIIYYIIIYZZZY (0.00022940958759322028+0j)
IIIIIIIIIIXXIIIYZZZY (1.3670624883993602e-05+0j)
IIIIIIIIIIYXIIIXZZZY (0.0002157389627092267+0j)
IIIIIIIIIIXYIIIYZZZX (0.0002157389627092267+0j)
IIIIIIIIIIYYIIIXZZZX (1.3670624883993602e-05+0j)
IIIIIIIIIIXXIIIXZZZX (0.00022940958759322028+0j)
IIIIIYZZZYIIIIIYZZZY (0.002383925992184061+0j)
IIIIIXZZZXIIIIIYZZZY (0.002383925992184061+0j)
IIIIIYZZZYIIIIIXZZZX (0.002383925992184061+0j)
IIIIIXZZZXIIIIIXZZZX (0.002383925992184061+0j)
IIYZZZZZYIIIIIIYZZZY (0.0028769001906931014+0j)
IIXZZZZZXIIIIIIYZZZY (0.0028769001906931014+0j)
IIYZZZZZYIIIIIIXZZZX (0.0028769001906931014+0j)
IIXZZZZZXIIIIIIXZZZX (0.0028769001906931014+0j)
IYZZZZZZYIIIIIIYZZZY (-0.00013554999695702472+0j)
IXZZZZZZXIIIIIIYZZZY (-0.00013554999695702472+0j)
IYZZZZZZYIIIIIIXZZZX (-0.00013554999695702472+0j)
IXZZZZZZXIIIIIIXZZZX (-0.00013554999695702472+0j)
IIIIIYZYIIIIIIIYZZZY (0.004003057298653019+0j)
IIIIIXZXIIIIIIIYZZZY (0.004003057298653019+0j)
IIIIIYZYIIIIIIIXZZZX (0.004003057298653019+0j)
IIIIIXZXIIIIIIIXZZZX (0.004003057298653019+0j)
IIYZZZYIIIIIIIIYZZZY (0.0036865086398789183+0j)
IIXZZZXIIIIIIIIYZZZY (0.0036865086398789183+0j)
IIYZZZYIIIIIIIIXZZZX (0.0036865086398789183+0j)
IIXZZZXIIIIIIIIXZZZX (0.0036865086398789183+0j)
IYZZZZYIIIIIIIIYZZZY (-0.0001736960623570481+0j)
IXZZZZXIIIIIIIIYZZZY (-0.0001736960623570481+0j)
IYZZZZYIIIIIIIIXZZZX (-0.0001736960623570481+0j)
IXZZZZXIIIIIIIIXZZZX (-0.0001736960623570481+0j)
IIIYZYIIIIIIIIIYZZZY (-0.0007058942480013136+0j)
IIIXZXIIIIIIIIIYZZZY (-0.0007058942480013136+0j)
IIIYZYIIIIIIIIIXZZZX (-0.0007058942480013136+0j)
IIIXZXIIIIIIIIIXZZZX (-0.0007058942480013136+0j)
YZYIIIIIIIIIIIIYZZZY (-0.0025631375937030048+0j)
XZXIIIIIIIIIIIIYZZZY (-0.0025631375937030048+0j)
YZYIIIIIIIIIIIIXZZZX (-0.0025631375937030048+0j)
XZXIIIIIIIIIIIIXZZZX (-0.0025631375937030048+0j)
YYIIIIIIIIIIIIIYZZZY (0.000120766543848424+0j)
XXIIIIIIIIIIIIIYZZZY (0.000120766543848424+0j)
YYIIIIIIIIIIIIIXZZZX (0.000120766543848424+0j)
XXIIIIIIIIIIIIIXZZZX (0.000120766543848424+0j)
IIIIIIIIIIIIIYIZZZZY (-0.002829988029188333+0j)
IIIIIIIIIIIIIXIZZZZX (-0.002829988029188333+0j)
IIIIIIIIIIYZYIYZZZZY (-0.00022940958759321893+0j)
IIIIIIIIIIXZXIYZZZZY (-1.3670624883993504e-05+0j)
IIIIIIIIIIYZXIXZZZZY (-0.00021573896270922534+0j)
IIIIIIIIIIXZYIYZZZZX (-0.00021573896270922534+0j)
IIIIIIIIIIYZYIXZZZZX (-1.3670624883993504e-05+0j)
IIIIIIIIIIXZXIXZZZZX (-0.00022940958759321893+0j)
IIIIIIIIIIYYIIYZZZZY (-0.004868967178973874+0j)
IIIIIIIIIIXXIIYZZZZY (-0.00029014403702365237+0j)
